6271 109733
0 555 1
1 555 1
2 555 1
3 556 1
4 556 1
5 556 1
6 556 1
7 556 1
8 556 1
9 556 1
10 556 1
11 556 1
12 556 1
13 556 1
14 556 1
15 556 1
16 556 1
17 556 1
18 556 1
19 557 1
20 557 1
21 557 1
22 557 1
23 557 1
24 557 1
25 557 1
26 557 1
27 557 1
28 557 1
29 557 1
30 557 1
31 557 1
32 557 1
33 557 1
34 557 1
35 557 1
36 557 1
37 557 1
38 557 1
39 557 1
40 557 1
41 557 1
42 557 1
43 557 1
44 557 1
45 558 1
46 558 1
2 558 1
7 558 1
47 558 1
48 558 1
49 558 1
50 558 1
51 558 1
52 558 1
53 558 1
54 558 1
55 558 1
56 558 1
57 558 1
0 558 1
58 558 1
59 558 1
20 559 1
60 559 1
61 559 1
62 559 1
63 559 1
15 559 1
64 559 1
65 559 1
66 559 1
67 559 1
68 559 1
3 559 1
69 559 1
8 559 1
70 559 1
71 559 1
55 559 1
72 559 1
12 559 1
73 559 1
74 559 1
20 560 1
45 560 1
75 560 1
76 560 1
77 560 1
54 560 1
78 560 1
79 561 1
80 561 1
46 561 1
81 561 1
82 561 1
83 561 1
84 561 1
85 561 1
11 561 1
86 561 1
87 561 1
3 561 1
88 561 1
6 561 1
89 561 1
90 561 1
56 561 1
0 561 1
91 561 1
92 561 1
59 561 1
93 561 1
94 561 1
95 561 1
96 561 1
2 561 1
97 561 1
62 561 1
98 561 1
64 561 1
99 561 1
100 561 1
101 561 1
102 561 1
103 561 1
70 561 1
10 561 1
57 561 1
104 561 1
7 562 1
30 562 1
105 562 1
106 562 1
56 562 1
107 562 1
64 562 1
108 562 1
103 562 1
109 562 1
110 562 1
18 562 1
73 563 1
111 563 1
112 563 1
113 564 1
114 564 1
4 564 1
115 564 1
116 564 1
117 564 1
112 564 1
118 565 1
119 565 1
120 566 1
5 566 1
81 566 1
121 566 1
122 566 1
123 566 1
124 566 1
55 566 1
125 566 1
20 566 1
45 566 1
4 566 1
62 566 1
75 566 1
48 566 1
102 566 1
36 566 1
126 566 1
127 566 1
128 566 1
129 566 1
130 566 1
131 567 1
120 567 1
132 567 1
121 567 1
133 567 1
118 567 1
122 567 1
123 567 1
134 567 1
55 567 1
135 567 1
15 568 1
136 568 1
137 568 1
138 568 1
93 568 1
139 568 1
140 568 1
141 568 1
22 568 1
45 568 1
142 568 1
143 568 1
31 568 1
36 568 1
13 568 1
117 568 1
144 568 1
145 568 1
146 568 1
21 569 1
147 569 1
87 569 1
148 569 1
15 569 1
149 569 1
150 569 1
151 569 1
105 569 1
3 569 1
6 569 1
54 569 1
113 569 1
55 569 1
152 569 1
125 569 1
43 569 1
4 569 1
2 569 1
98 569 1
153 569 1
154 569 1
68 569 1
102 569 1
34 569 1
8 569 1
155 569 1
