6083 115072
0 392 1
1 392 1
2 392 1
3 392 1
4 392 1
5 392 1
6 392 1
7 392 1
8 392 1
9 392 1
10 392 1
11 392 1
12 392 1
13 393 1
14 393 1
15 393 1
16 393 1
17 393 1
18 393 1
19 393 1
20 393 1
21 393 1
22 393 1
23 393 1
24 393 1
25 393 1
26 393 1
27 393 1
28 393 1
29 394 1
8 394 1
16 395 1
6 395 1
14 396 1
30 396 1
3 396 1
31 396 1
32 396 1
33 396 1
34 396 1
35 396 1
36 396 1
37 396 1
38 396 1
27 396 1
14 397 1
29 397 1
3 397 1
18 397 1
39 397 1
19 397 1
40 397 1
41 398 1
2 398 1
42 398 1
4 398 1
43 398 1
44 398 1
45 398 1
46 398 1
47 398 1
19 398 1
48 398 1
49 398 1
50 398 1
51 398 1
52 398 1
53 398 1
54 398 1
27 398 1
55 398 1
56 398 1
57 398 1
58 398 1
59 398 1
12 398 1
60 398 1
61 398 1
62 398 1
7 398 1
8 398 1
63 398 1
64 398 1
65 398 1
20 399 1
57 399 1
66 400 1
67 400 1
38 400 1
68 400 1
69 400 1
4 401 1
44 401 1
70 401 1
51 401 1
53 401 1
0 401 1
71 401 1
59 401 1
12 401 1
72 401 1
73 401 1
8 401 1
74 401 1
75 401 1
69 401 1
65 401 1
76 402 1
77 402 1
76 403 1
1 403 1
16 403 1
78 403 1
79 403 1
80 403 1
81 403 1
14 403 1
29 403 1
0 403 1
3 403 1
6 403 1
39 403 1
12 403 1
82 403 1
61 403 1
83 403 1
25 403 1
84 403 1
85 403 1
86 403 1
87 403 1
88 403 1
89 403 1
90 404 1
91 404 1
92 404 1
93 404 1
94 405 1
95 405 1
96 405 1
97 405 1
98 405 1
2 405 1
99 405 1
100 405 1
101 405 1
102 405 1
46 405 1
31 405 1
32 405 1
19 405 1
103 405 1
104 405 1
48 405 1
105 405 1
106 405 1
107 405 1
108 405 1
109 405 1
77 405 1
50 405 1
110 405 1
111 405 1
112 405 1
54 405 1
27 405 1
113 405 1
55 405 1
114 405 1
56 405 1
115 405 1
116 405 1
117 405 1
15 405 1
29 405 1
118 405 1
119 405 1
71 405 1
120 405 1
121 405 1
67 405 1
122 405 1
123 405 1
124 405 1
125 405 1
59 405 1
126 405 1
21 405 1
72 405 1
22 405 1
60 405 1
127 405 1
128 405 1
129 405 1
130 405 1
131 405 1
132 405 1
133 405 1
134 405 1
135 405 1
73 405 1
25 405 1
62 405 1
136 405 1
8 405 1
36 405 1
9 405 1
137 405 1
74 405 1
138 405 1
139 405 1
140 405 1
75 405 1
141 405 1
142 405 1
143 405 1
144 405 1
145 405 1
146 405 1
65 405 1
90 406 1
4 406 1
44 406 1
147 406 1
45 406 1
46 406 1
31 406 1
32 406 1
148 406 1
149 406 1
50 406 1
150 406 1
151 406 1
152 406 1
28 406 1
56 406 1
81 406 1
0 406 1
3 406 1
153 406 1
12 406 1
154 406 1
33 406 1
61 406 1
155 406 1
156 406 1
62 406 1
157 406 1
37 406 1
