5769 72665
0 290 1
1 290 1
2 290 1
3 290 1
4 290 1
5 290 1
6 290 1
7 290 1
8 290 1
9 290 1
10 290 1
11 290 1
12 290 1
13 290 1
14 290 1
15 291 1
16 291 1
17 291 1
11 291 1
18 291 1
19 291 1
20 291 1
21 291 1
22 291 1
23 291 1
24 291 1
25 292 1
26 292 1
15 293 1
27 293 1
5 293 1
28 293 1
11 293 1
29 293 1
30 293 1
31 293 1
32 293 1
33 293 1
34 293 1
26 293 1
35 293 1
36 293 1
15 294 1
25 294 1
5 294 1
18 294 1
37 294 1
38 295 1
39 295 1
9 295 1
40 295 1
41 295 1
42 295 1
4 295 1
43 295 1
44 295 1
14 295 1
45 295 1
46 295 1
47 295 1
8 295 1
19 296 1
48 296 1
49 297 1
36 297 1
50 297 1
51 297 1
39 298 1
52 298 1
2 298 1
14 298 1
45 298 1
51 298 1
53 299 1
3 300 1
30 300 1
54 300 1
26 300 1
55 300 1
15 300 1
25 300 1
2 300 1
56 300 1
5 300 1
11 300 1
37 300 1
14 300 1
46 300 1
57 300 1
23 300 1
58 300 1
47 300 1
59 300 1
60 300 1
61 300 1
62 300 1
63 300 1
64 301 1
26 301 1
65 302 1
66 302 1
42 302 1
67 302 1
43 302 1
68 302 1
69 302 1
16 302 1
25 302 1
70 302 1
71 302 1
20 302 1
23 302 1
10 302 1
72 302 1
73 302 1
39 303 1
40 303 1
26 303 1
74 303 1
55 303 1
75 303 1
76 303 1
2 303 1
5 303 1
77 303 1
14 303 1
78 303 1
32 303 1
79 303 1
46 303 1
35 303 1
61 303 1
62 303 1
63 303 1
80 303 1
73 303 1
51 303 1
64 304 1
52 304 1
40 304 1
42 304 1
67 304 1
43 304 1
25 304 1
14 304 1
20 304 1
57 304 1
18 305 1
25 305 1
81 306 1
57 306 1
30 307 1
82 307 1
83 307 1
84 307 1
13 307 1
85 307 1
2 307 1
86 307 1
78 307 1
79 307 1
46 307 1
87 307 1
88 307 1
89 307 1
35 307 1
63 307 1
73 307 1
51 307 1
90 308 1
65 308 1
91 308 1
92 308 1
93 308 1
18 308 1
30 308 1
94 308 1
95 308 1
96 308 1
