7342 179819
0 1429 1
1 1429 1
2 1429 1
3 1429 1
4 1429 1
5 1430 1
6 1430 1
7 1430 1
8 1430 1
9 1430 1
10 1430 1
11 1430 1
12 1430 1
13 1430 1
14 1430 1
15 1430 1
16 1430 1
17 1430 1
18 1430 1
19 1430 1
20 1430 1
21 1430 1
22 1430 1
23 1430 1
24 1430 1
25 1430 1
26 1430 1
27 1430 1
28 1430 1
29 1430 1
30 1430 1
31 1430 1
32 1430 1
33 1430 1
34 1430 1
35 1430 1
36 1430 1
37 1430 1
38 1430 1
39 1430 1
40 1431 1
9 1432 1
41 1433 1
42 1433 1
43 1433 1
44 1433 1
45 1433 1
46 1433 1
47 1433 1
48 1433 1
49 1433 1
50 1433 1
51 1433 1
52 1433 1
53 1433 1
54 1433 1
55 1433 1
56 1433 1
57 1433 1
58 1433 1
22 1433 1
59 1433 1
60 1433 1
61 1433 1
62 1433 1
63 1433 1
64 1433 1
65 1433 1
66 1433 1
67 1433 1
68 1433 1
69 1433 1
70 1433 1
71 1433 1
72 1433 1
73 1433 1
74 1433 1
75 1433 1
76 1433 1
77 1433 1
78 1433 1
79 1433 1
80 1433 1
81 1433 1
82 1433 1
83 1433 1
84 1433 1
85 1433 1
86 1433 1
87 1433 1
88 1433 1
89 1433 1
90 1433 1
91 1433 1
92 1433 1
93 1433 1
94 1433 1
95 1433 1
96 1433 1
97 1433 1
98 1433 1
99 1433 1
100 1433 1
101 1433 1
102 1433 1
103 1433 1
104 1433 1
105 1433 1
106 1433 1
107 1433 1
108 1434 1
109 1434 1
110 1434 1
111 1434 1
112 1434 1
113 1434 1
114 1434 1
115 1434 1
116 1435 1
50 1435 1
117 1435 1
118 1435 1
119 1435 1
120 1435 1
121 1435 1
122 1435 1
3 1435 1
123 1435 1
124 1435 1
125 1435 1
126 1435 1
127 1435 1
128 1435 1
129 1435 1
130 1435 1
131 1435 1
132 1435 1
133 1435 1
134 1435 1
135 1435 1
136 1435 1
137 1435 1
138 1435 1
139 1435 1
140 1435 1
141 1435 1
142 1435 1
143 1435 1
144 1435 1
145 1435 1
5 1435 1
146 1435 1
147 1435 1
148 1435 1
149 1435 1
150 1435 1
151 1435 1
152 1435 1
153 1435 1
2 1435 1
154 1435 1
155 1435 1
156 1435 1
157 1435 1
26 1435 1
87 1435 1
88 1435 1
158 1435 1
159 1435 1
160 1435 1
161 1435 1
162 1435 1
101 1435 1
163 1435 1
164 1435 1
165 1435 1
166 1435 1
167 1435 1
117 1436 1
168 1436 1
169 1436 1
63 1436 1
67 1436 1
137 1436 1
170 1436 1
171 1436 1
112 1436 1
95 1436 1
172 1436 1
96 1436 1
173 1436 1
174 1436 1
175 1436 1
176 1437 1
177 1437 1
13 1437 1
120 1437 1
178 1437 1
179 1437 1
180 1437 1
25 1437 1
181 1437 1
136 1437 1
33 1437 1
5 1437 1
182 1437 1
12 1437 1
183 1437 1
23 1437 1
184 1437 1
185 1437 1
97 1437 1
186 1437 1
187 1437 1
188 1437 1
189 1437 1
190 1437 1
191 1437 1
167 1437 1
192 1437 1
193 1437 1
194 1437 1
128 1437 1
195 1437 1
30 1437 1
196 1437 1
138 1437 1
31 1437 1
197 1437 1
198 1437 1
199 1437 1
34 1437 1
200 1437 1
151 1437 1
201 1437 1
202 1437 1
153 1437 1
203 1437 1
204 1437 1
205 1437 1
206 1437 1
207 1437 1
0 1437 1
208 1437 1
106 1437 1
209 1437 1
210 1438 1
132 1438 1
211 1438 1
212 1438 1
161 1438 1
98 1438 1
213 1438 1
214 1438 1
22 1438 1
64 1438 1
138 1438 1
139 1438 1
197 1438 1
215 1438 1
216 1438 1
4 1438 1
170 1438 1
217 1438 1
218 1438 1
219 1438 1
96 1438 1
220 1438 1
160 1439 1
221 1439 1
222 1439 1
223 1440 1
160 1440 1
224 1440 1
225 1440 1
121 1441 1
168 1441 1
169 1441 1
131 1441 1
136 1441 1
226 1441 1
227 1441 1
228 1441 1
104 1441 1
229 1441 1
230 1441 1
231 1441 1
232 1441 1
233 1441 1
194 1441 1
221 1441 1
128 1441 1
234 1441 1
137 1441 1
31 1441 1
109 1441 1
146 1441 1
170 1441 1
235 1441 1
204 1441 1
236 1441 1
237 1441 1
238 1441 1
239 1441 1
163 1441 1
240 1441 1
241 1442 1
242 1442 1
13 1443 1
243 1443 1
244 1443 1
67 1443 1
245 1443 1
246 1443 1
247 1443 1
248 1443 1
249 1443 1
188 1443 1
250 1443 1
175 1443 1
251 1443 1
252 1443 1
253 1443 1
46 1443 1
254 1443 1
255 1443 1
256 1443 1
257 1443 1
64 1443 1
258 1443 1
31 1443 1
71 1443 1
147 1443 1
237 1443 1
27 1443 1
94 1443 1
259 1443 1
260 1443 1
45 1444 1
243 1444 1
261 1444 1
262 1444 1
263 1444 1
264 1444 1
265 1444 1
136 1444 1
266 1444 1
211 1444 1
5 1444 1
226 1444 1
267 1444 1
112 1444 1
21 1444 1
268 1444 1
269 1444 1
270 1444 1
95 1444 1
271 1444 1
160 1444 1
272 1444 1
230 1444 1
273 1444 1
194 1444 1
274 1444 1
275 1444 1
196 1444 1
71 1444 1
4 1444 1
222 1444 1
78 1444 1
151 1444 1
276 1444 1
277 1444 1
202 1444 1
278 1444 1
279 1444 1
26 1444 1
87 1444 1
239 1444 1
280 1444 1
165 1444 1
140 1445 1
226 1445 1
188 1445 1
281 1445 1
85 1445 1
89 1445 1
225 1445 1
282 1446 1
283 1447 1
13 1448 1
180 1448 1
134 1448 1
284 1448 1
75 1448 1
285 1448 1
286 1448 1
97 1448 1
162 1448 1
273 1448 1
122 1448 1
287 1448 1
288 1448 1
289 1449 1
244 1449 1
290 1449 1
291 1449 1
67 1449 1
292 1449 1
293 1449 1
294 1449 1
295 1449 1
249 1449 1
188 1449 1
296 1449 1
253 1449 1
46 1449 1
297 1449 1
298 1449 1
299 1449 1
300 1449 1
301 1449 1
302 1449 1
303 1449 1
304 1449 1
305 1449 1
93 1449 1
306 1449 1
280 1449 1
307 1449 1
260 1449 1
106 1449 1
308 1450 1
179 1450 1
76 1450 1
309 1450 1
80 1450 1
111 1450 1
268 1450 1
310 1450 1
311 1450 1
295 1450 1
213 1450 1
312 1450 1
166 1450 1
313 1450 1
43 1450 1
314 1450 1
199 1450 1
71 1450 1
110 1450 1
228 1451 1
190 1451 1
257 1451 1
31 1451 1
315 1451 1
164 1451 1
316 1452 1
317 1452 1
318 1452 1
120 1452 1
319 1452 1
320 1452 1
321 1452 1
261 1452 1
322 1452 1
323 1452 1
126 1452 1
266 1452 1
324 1452 1
141 1452 1
325 1452 1
227 1452 1
326 1452 1
183 1452 1
327 1452 1
268 1452 1
23 1452 1
328 1452 1
329 1452 1
184 1452 1
310 1452 1
270 1452 1
330 1452 1
29 1452 1
95 1452 1
295 1452 1
331 1452 1
312 1452 1
332 1452 1
333 1452 1
334 1452 1
335 1452 1
296 1452 1
336 1452 1
337 1452 1
299 1452 1
338 1452 1
300 1452 1
339 1452 1
340 1452 1
221 1452 1
341 1452 1
342 1452 1
257 1452 1
130 1452 1
343 1452 1
137 1452 1
344 1452 1
345 1452 1
198 1452 1
346 1452 1
347 1452 1
216 1452 1
348 1452 1
349 1452 1
350 1452 1
351 1452 1
352 1452 1
148 1452 1
353 1452 1
354 1452 1
355 1452 1
356 1452 1
151 1452 1
153 1452 1
204 1452 1
357 1452 1
26 1452 1
237 1452 1
238 1452 1
358 1452 1
206 1452 1
241 1452 1
96 1452 1
220 1452 1
359 1452 1
163 1452 1
164 1452 1
360 1452 1
165 1452 1
180 1453 1
361 1453 1
10 1453 1
189 1453 1
362 1453 1
363 1453 1
200 1453 1
11 1453 1
364 1453 1
119 1454 1
308 1454 1
132 1454 1
136 1454 1
140 1454 1
365 1454 1
366 1454 1
367 1454 1
271 1454 1
64 1454 1
195 1454 1
368 1454 1
87 1454 1
27 1454 1
158 1454 1
0 1454 1
369 1455 1
9 1455 1
285 1455 1
370 1455 1
17 1455 1
371 1455 1
372 1455 1
373 1456 1
374 1456 1
67 1456 1
375 1456 1
376 1456 1
160 1456 1
1 1456 1
377 1456 1
128 1456 1
145 1456 1
378 1456 1
113 1456 1
87 1456 1
379 1456 1
380 1457 1
33 1457 1
310 1457 1
295 1457 1
381 1457 1
382 1457 1
383 1457 1
384 1457 1
385 1457 1
110 1457 1
45 1458 1
16 1458 1
246 1458 1
111 1458 1
294 1458 1
271 1458 1
54 1458 1
386 1459 1
176 1459 1
13 1459 1
52 1459 1
290 1459 1
16 1459 1
387 1459 1
388 1459 1
308 1459 1
134 1459 1
68 1459 1
389 1459 1
390 1459 1
33 1459 1
284 1459 1
36 1459 1
5 1459 1
226 1459 1
267 1459 1
391 1459 1
392 1459 1
111 1459 1
393 1459 1
394 1459 1
19 1459 1
395 1459 1
21 1459 1
396 1459 1
397 1459 1
328 1459 1
185 1459 1
29 1459 1
271 1459 1
295 1459 1
161 1459 1
189 1459 1
398 1459 1
370 1459 1
6 1459 1
253 1459 1
46 1459 1
8 1459 1
192 1459 1
297 1459 1
117 1459 1
399 1459 1
232 1459 1
400 1459 1
18 1459 1
401 1459 1
342 1459 1
402 1459 1
403 1459 1
28 1459 1
71 1459 1
404 1459 1
40 1459 1
34 1459 1
405 1459 1
347 1459 1
406 1459 1
315 1459 1
144 1459 1
200 1459 1
110 1459 1
150 1459 1
2 1459 1
303 1459 1
371 1459 1
27 1459 1
0 1459 1
407 1459 1
408 1459 1
102 1459 1
32 1459 1
409 1459 1
410 1459 1
165 1459 1
260 1459 1
39 1459 1
386 1460 1
262 1460 1
112 1460 1
331 1460 1
411 1460 1
258 1460 1
345 1460 1
412 1460 1
350 1460 1
153 1460 1
159 1460 1
176 1461 1
413 1461 1
243 1461 1
387 1461 1
414 1461 1
415 1461 1
380 1461 1
416 1461 1
417 1461 1
418 1461 1
419 1461 1
33 1461 1
420 1461 1
223 1461 1
226 1461 1
421 1461 1
422 1461 1
10 1461 1
391 1461 1
423 1461 1
424 1461 1
112 1461 1
19 1461 1
395 1461 1
425 1461 1
23 1461 1
328 1461 1
426 1461 1
270 1461 1
427 1461 1
29 1461 1
249 1461 1
229 1461 1
428 1461 1
429 1461 1
6 1461 1
8 1461 1
430 1461 1
431 1461 1
432 1461 1
401 1461 1
339 1461 1
341 1461 1
342 1461 1
62 1461 1
129 1461 1
403 1461 1
30 1461 1
433 1461 1
348 1461 1
78 1461 1
200 1461 1
110 1461 1
11 1461 1
113 1461 1
434 1461 1
26 1461 1
91 1461 1
435 1461 1
407 1461 1
32 1461 1
436 1461 1
208 1461 1
437 1461 1
438 1461 1
7 1462 1
439 1462 1
176 1462 1
52 1462 1
121 1462 1
290 1462 1
168 1462 1
57 1462 1
380 1462 1
416 1462 1
59 1462 1
417 1462 1
265 1462 1
440 1462 1
292 1462 1
246 1462 1
12 1462 1
392 1462 1
23 1462 1
310 1462 1
441 1462 1
442 1462 1
230 1462 1
190 1462 1
250 1462 1
429 1462 1
336 1462 1
443 1462 1
46 1462 1
444 1462 1
445 1462 1
122 1462 1
257 1462 1
446 1462 1
137 1462 1
139 1462 1
412 1462 1
346 1462 1
447 1462 1
204 1462 1
303 1462 1
205 1462 1
