3841 20802
0 159 1
1 160 1
2 160 1
3 160 1
4 160 1
5 160 1
6 160 1
7 161 1
4 162 1
8 162 1
9 163 1
0 163 1
10 163 1
11 163 1
12 163 1
13 163 1
14 163 1
15 163 1
16 163 1
17 163 1
18 163 1
19 163 1
20 163 1
21 163 1
22 163 1
23 163 1
24 163 1
25 163 1
26 163 1
27 163 1
28 163 1
29 163 1
30 163 1
31 163 1
32 164 1
12 165 1
18 165 1
20 165 1
33 165 1
23 165 1
34 165 1
0 166 1
18 166 1
35 166 1
4 167 1
14 167 1
36 167 1
19 167 1
37 167 1
21 167 1
9 168 1
0 168 1
10 168 1
11 168 1
12 168 1
38 168 1
39 168 1
14 168 1
40 168 1
41 168 1
16 168 1
18 168 1
19 168 1
33 168 1
42 168 1
23 168 1
43 168 1
35 168 1
27 168 1
9 169 1
41 169 1
16 169 1
10 170 1
13 170 1
18 170 1
23 170 1
44 171 1
12 171 1
38 171 1
4 171 1
14 171 1
15 171 1
20 171 1
33 171 1
21 171 1
42 171 1
23 171 1
34 171 1
45 171 1
46 171 1
47 171 1
48 172 1
37 172 1
42 172 1
22 172 1
9 173 1
49 173 1
15 173 1
43 173 1
12 174 1
13 174 1
4 175 1
50 175 1
36 176 1
0 177 1
1 177 1
44 177 1
21 177 1
16 178 1
51 179 1
1 179 1
44 179 1
2 179 1
48 179 1
36 179 1
22 179 1
52 179 1
53 179 1
45 179 1
54 180 1
0 181 1
12 181 1
55 181 1
18 181 1
34 181 1
0 182 1
14 182 1
40 182 1
15 182 1
18 182 1
33 182 1
21 182 1
24 182 1
25 182 1
9 183 1
12 183 1
14 183 1
15 183 1
17 183 1
18 183 1
42 183 1
23 183 1
24 183 1
7 183 1
30 183 1
31 183 1
9 184 1
15 184 1
17 184 1
25 184 1
56 185 1
0 186 1
12 186 1
38 186 1
14 186 1
49 186 1
16 186 1
18 186 1
19 186 1
52 186 1
35 186 1
30 186 1
10 186 1
11 186 1
48 186 1
15 186 1
57 186 1
20 186 1
33 186 1
21 186 1
34 186 1
25 186 1
8 186 1
10 187 1
45 187 1
0 188 1
1 188 1
12 188 1
38 188 1
13 188 1
14 188 1
40 188 1
16 188 1
18 188 1
58 188 1
19 188 1
42 188 1
24 188 1
59 188 1
10 188 1
60 188 1
48 188 1
36 188 1
61 188 1
20 188 1
33 188 1
21 188 1
23 188 1
43 188 1
25 188 1
7 188 1
31 188 1
14 189 1
24 189 1
10 189 1
4 189 1
21 189 1
62 190 1
12 191 1
34 191 1
41 192 1
0 193 1
12 193 1
52 193 1
9 193 1
63 193 1
64 194 1
22 194 1
57 195 1
30 196 1
41 197 1
0 198 1
41 198 1
30 198 1
10 198 1
11 198 1
39 198 1
12 199 1
49 199 1
16 199 1
18 199 1
58 199 1
65 199 1
35 199 1
27 199 1
10 199 1
60 199 1
48 199 1
15 199 1
55 199 1
23 199 1
34 199 1
66 199 1
16 200 1
9 200 1
7 200 1
13 201 1
0 202 1
12 202 1
38 202 1
13 202 1
14 202 1
40 202 1
49 202 1
18 202 1
58 202 1
19 202 1
35 202 1
26 202 1
27 202 1
9 202 1
15 202 1
36 202 1
33 202 1
23 202 1
34 202 1
66 202 1
67 203 1
5 204 1
34 205 1
0 206 1
12 206 1
14 206 1
40 206 1
68 206 1
49 206 1
16 206 1
18 206 1
58 206 1
19 206 1
35 206 1
26 206 1
59 206 1
9 206 1
69 206 1
10 206 1
60 206 1
48 206 1
15 206 1
17 206 1
55 206 1
20 206 1
70 206 1
21 206 1
23 206 1
34 206 1
25 206 1
7 206 1
66 206 1
31 206 1
0 207 1
38 207 1
40 207 1
41 207 1
49 207 1
18 207 1
58 207 1
35 207 1
11 207 1
39 207 1
36 207 1
33 207 1
23 207 1
25 207 1
31 208 1
10 209 1
39 209 1
42 210 1
30 210 1
24 211 1
40 212 1
53 212 1
71 213 1
12 214 1
35 214 1
48 214 1
15 214 1
25 214 1
53 215 1
13 216 1
16 216 1
72 217 1
12 218 1
13 218 1
16 218 1
18 218 1
9 218 1
60 218 1
20 218 1
21 218 1
34 218 1
14 219 1
18 219 1
26 219 1
15 219 1
33 219 1
21 219 1
23 219 1
38 220 1
13 220 1
14 220 1
40 220 1
49 220 1
16 220 1
18 220 1
58 220 1
24 220 1
26 220 1
10 220 1
39 220 1
48 220 1
20 220 1
33 220 1
21 220 1
23 220 1
31 220 1
67 220 1
33 221 1
12 222 1
16 222 1
35 222 1
48 222 1
55 222 1
30 223 1
73 224 1
12 224 1
36 224 1
42 225 1
24 226 1
0 227 1
44 227 1
5 227 1
32 227 1
51 227 1
4 227 1
36 227 1
54 227 1
45 227 1
8 227 1
0 228 1
10 228 1
1 229 1
12 229 1
64 229 1
13 229 1
2 229 1
14 229 1
16 229 1
74 229 1
18 229 1
19 229 1
24 229 1
27 229 1
75 229 1
76 229 1
20 229 1
54 229 1
23 229 1
77 229 1
78 229 1
67 229 1
0 230 1
48 230 1
15 230 1
33 231 1
1 232 1
13 232 1
14 232 1
40 232 1
18 232 1
52 232 1
79 232 1
4 232 1
76 232 1
80 232 1
23 232 1
81 232 1
32 233 1
64 234 1
57 235 1
19 236 1
12 237 1
14 237 1
40 237 1
33 237 1
12 238 1
49 238 1
42 238 1
10 238 1
0 239 1
12 239 1
38 239 1
41 239 1
49 239 1
82 239 1
16 239 1
58 239 1
19 239 1
52 239 1
24 239 1
26 239 1
30 239 1
69 239 1
10 239 1
11 239 1
83 239 1
39 239 1
55 239 1
33 239 1
21 239 1
34 239 1
66 239 1
73 240 1
0 240 1
12 240 1
64 240 1
2 240 1
74 240 1
84 240 1
85 240 1
32 240 1
51 240 1
10 240 1
4 240 1
36 240 1
80 240 1
54 240 1
86 240 1
22 240 1
87 240 1
88 240 1
89 240 1
90 240 1
78 240 1
67 240 1
3 241 1
91 241 1
18 241 1
4 241 1
0 242 1
14 242 1
18 242 1
36 242 1
33 242 1
23 242 1
43 242 1
49 243 1
9 244 1
30 245 1
12 246 1
64 246 1
49 246 1
33 246 1
44 247 1
64 247 1
92 247 1
93 247 1
85 247 1
35 247 1
4 247 1
54 247 1
88 247 1
94 247 1
78 247 1
45 247 1
0 248 1
12 248 1
41 248 1
49 248 1
42 248 1
35 248 1
9 248 1
10 248 1
11 248 1
39 248 1
60 248 1
4 248 1
48 248 1
43 248 1
34 248 1
24 249 1
21 249 1
3 250 1
14 250 1
18 250 1
19 250 1
5 250 1
9 250 1
76 250 1
36 250 1
23 250 1
64 251 1
49 251 1
62 251 1
16 251 1
18 251 1
72 251 1
30 251 1
51 251 1
10 251 1
33 251 1
22 251 1
53 251 1
64 252 1
5 252 1
79 252 1
4 252 1
57 252 1
54 252 1
77 252 1
95 252 1
4 253 1
73 254 1
44 254 1
96 254 1
64 254 1
74 254 1
92 254 1
6 254 1
52 254 1
5 254 1
72 254 1
32 254 1
97 254 1
51 254 1
4 254 1
98 254 1
36 254 1
80 254 1
99 254 1
100 254 1
87 254 1
63 254 1
101 254 1
53 254 1
78 254 1
102 254 1
71 254 1
8 254 1
0 255 1
2 256 1
91 256 1
103 256 1
4 256 1
76 256 1
57 256 1
54 256 1
61 257 1
14 258 1
54 258 1
40 259 1
18 259 1
23 259 1
25 259 1
14 260 1
92 261 1
95 262 1
13 263 1
14 263 1
16 263 1
60 263 1
15 263 1
16 264 1
48 264 1
53 264 1
44 265 1
64 265 1
2 265 1
3 265 1
85 265 1
5 265 1
103 265 1
4 265 1
76 265 1
36 265 1
54 265 1
100 265 1
22 265 1
63 265 1
53 265 1
45 265 1
14 266 1
49 266 1
18 266 1
19 266 1
35 266 1
27 266 1
9 266 1
10 266 1
39 266 1
15 266 1
21 266 1
53 266 1
1 267 1
24 267 1
104 267 1
4 267 1
38 268 1
15 268 1
0 269 1
12 269 1
64 269 1
38 269 1
14 269 1
40 269 1
68 269 1
41 269 1
49 269 1
18 269 1
92 269 1
42 269 1
35 269 1
72 269 1
26 269 1
59 269 1
9 269 1
51 269 1
10 269 1
60 269 1
48 269 1
36 269 1
54 269 1
21 269 1
100 269 1
23 269 1
34 269 1
66 269 1
95 269 1
12 270 1
38 270 1
14 270 1
16 270 1
18 270 1
10 270 1
20 270 1
23 270 1
42 271 1
26 271 1
69 271 1
48 271 1
55 271 1
100 272 1
49 273 1
16 273 1
42 273 1
9 273 1
10 273 1
15 273 1
43 273 1
10 274 1
0 275 1
12 275 1
14 275 1
49 275 1
18 275 1
42 275 1
20 275 1
33 275 1
23 275 1
105 275 1
66 275 1
106 276 1
72 276 1
30 277 1
64 278 1
5 278 1
4 278 1
0 279 1
10 279 1
66 279 1
14 280 1
51 281 1
45 281 1
9 282 1
49 283 1
9 283 1
15 283 1
14 284 1
24 284 1
35 284 1
4 284 1
98 284 1
15 284 1
57 284 1
21 284 1
105 284 1
94 284 1
25 284 1
45 284 1
41 285 1
9 285 1
0 286 1
12 286 1
64 286 1
14 286 1
9 286 1
10 286 1
15 286 1
22 286 1
63 286 1
0 287 1
12 287 1
49 287 1
19 287 1
42 287 1
35 287 1
15 287 1
34 287 1
36 288 1
17 288 1
1 289 1
44 289 1
2 289 1
3 289 1
93 289 1
32 289 1
79 289 1
4 289 1
36 289 1
17 289 1
22 289 1
63 289 1
53 289 1
78 289 1
45 289 1
67 289 1
10 290 1
22 291 1
12 292 1
49 292 1
16 292 1
65 292 1
35 292 1
9 292 1
10 292 1
39 292 1
60 292 1
74 293 1
67 293 1
0 294 1
1 294 1
44 294 1
64 294 1
3 294 1
14 294 1
16 294 1
18 294 1
93 294 1
24 294 1
5 294 1
107 294 1
79 294 1
104 294 1
9 294 1
4 294 1
36 294 1
20 294 1
54 294 1
22 294 1
23 294 1
88 294 1
105 294 1
89 294 1
63 294 1
94 294 1
81 294 1
108 294 1
101 294 1
53 294 1
78 294 1
45 294 1
95 294 1
8 294 1
67 294 1
15 295 1
29 296 1
36 296 1
15 297 1
21 297 1
0 298 1
22 298 1
0 299 1
12 299 1
14 299 1
40 299 1
41 299 1
49 299 1
74 299 1
18 299 1
42 299 1
24 299 1
48 299 1
15 299 1
33 299 1
21 299 1
23 299 1
31 299 1
17 300 1
64 301 1
4 301 1
30 302 1
0 303 1
109 303 1
48 303 1
34 303 1
24 304 1
57 305 1
93 306 1
57 306 1
0 307 1
42 307 1
10 307 1
14 308 1
52 308 1
9 308 1
10 308 1
11 308 1
15 308 1
0 309 1
12 309 1
38 309 1
41 309 1
49 309 1
18 309 1
27 309 1
10 309 1
11 309 1
39 309 1
48 309 1
15 309 1
20 309 1
33 309 1
21 309 1
23 309 1
43 309 1
12 310 1
14 310 1
18 310 1
42 310 1
10 310 1
15 310 1
20 310 1
33 310 1
21 310 1
23 310 1
43 310 1
34 310 1
25 310 1
31 310 1
91 311 1
60 311 1
34 311 1
49 312 1
18 312 1
15 312 1
0 313 1
12 313 1
0 314 1
12 314 1
49 314 1
16 314 1
18 314 1
58 314 1
42 314 1
26 314 1
10 314 1
11 314 1
15 314 1
55 314 1
23 314 1
34 314 1
25 314 1
66 314 1
31 314 1
0 315 1
12 315 1
38 315 1
40 315 1
18 315 1
30 315 1
48 315 1
21 315 1
23 315 1
34 315 1
59 316 1
9 316 1
10 316 1
11 316 1
39 316 1
21 316 1
9 317 1
43 317 1
30 318 1
74 319 1
3 320 1
5 320 1
4 320 1
36 320 1
53 320 1
12 321 1
2 321 1
14 321 1
40 321 1
41 321 1
49 321 1
16 321 1
18 321 1
19 321 1
59 321 1
10 321 1
11 321 1
39 321 1
48 321 1
15 321 1
20 321 1
33 321 1
21 321 1
23 321 1
43 321 1
7 321 1
1 322 1
44 322 1
64 322 1
2 322 1
3 322 1
5 322 1
79 322 1
103 322 1
4 322 1
76 322 1
80 322 1
54 322 1
22 322 1
89 322 1
94 322 1
81 322 1
108 322 1
53 322 1
8 322 1
36 323 1
43 324 1
12 325 1
5 325 1
110 325 1
51 325 1
10 325 1
11 325 1
39 325 1
54 325 1
56 325 1
95 325 1
1 326 1
44 326 1
91 326 1
5 326 1
51 326 1
21 327 1
30 328 1
44 329 1
64 329 1
103 329 1
4 329 1
54 329 1
53 329 1
45 329 1
13 330 1
12 331 1
64 331 1
49 331 1
19 331 1
48 331 1
22 331 1
12 332 1
13 332 1
14 332 1
42 332 1
5 332 1
10 332 1
11 332 1
15 332 1
17 332 1
21 332 1
43 332 1
73 333 1
97 333 1
110 333 1
54 333 1
90 333 1
94 333 1
53 333 1
45 333 1
16 334 1
52 334 1
22 334 1
49 335 1
44 336 1
4 336 1
78 336 1
12 337 1
64 337 1
16 337 1
6 337 1
93 337 1
26 337 1
10 337 1
4 337 1
15 337 1
20 337 1
78 337 1
12 338 1
35 338 1
59 338 1
9 338 1
10 338 1
11 338 1
48 338 1
57 338 1
44 339 1
103 339 1
36 339 1
21 339 1
63 339 1
14 340 1
21 340 1
1 341 1
44 341 1
92 341 1
85 341 1
32 341 1
36 341 1
22 341 1
45 341 1
95 341 1
12 342 1
40 342 1
18 342 1
9 342 1
10 342 1
23 342 1
12 343 1
15 343 1
14 344 1
15 344 1
17 344 1
33 344 1
105 344 1
73 345 1
111 345 1
44 345 1
93 345 1
97 345 1
46 345 1
4 345 1
80 345 1
99 345 1
112 345 1
81 345 1
42 346 1
1 347 1
12 347 1
13 347 1
2 347 1
14 347 1
40 347 1
18 347 1
58 347 1
113 347 1
35 347 1
59 347 1
30 347 1
10 347 1
48 347 1
15 347 1
36 347 1
17 347 1
20 347 1
33 347 1
23 347 1
66 347 1
13 348 1
0 349 1
36 349 1
16 350 1
7 350 1
40 351 1
41 351 1
33 351 1
23 351 1
21 352 1
0 353 1
12 353 1
49 353 1
113 353 1
10 353 1
48 354 1
15 354 1
33 354 1
16 355 1
18 356 1
19 356 1
38 357 1
69 357 1
48 357 1
61 357 1
55 357 1
33 357 1
21 357 1
48 358 1
22 358 1
43 359 1
89 360 1
16 361 1
34 362 1
48 363 1
0 364 1
38 364 1
13 364 1
14 364 1
40 364 1
18 364 1
58 364 1
92 364 1
72 364 1
32 364 1
69 364 1
10 364 1
11 364 1
4 364 1
15 364 1
21 364 1
100 364 1
22 364 1
23 364 1
87 364 1
43 364 1
53 364 1
23 365 1
0 366 1
12 366 1
14 366 1
16 366 1
19 366 1
10 366 1
11 366 1
39 366 1
48 366 1
33 366 1
21 366 1
34 367 1
18 368 1
58 368 1
59 368 1
97 369 1
4 369 1
36 369 1
21 369 1
77 369 1
63 369 1
78 369 1
49 370 1
21 370 1
12 371 1
49 371 1
16 371 1
21 371 1
0 372 1
12 372 1
10 372 1
15 372 1
0 373 1
18 373 1
35 373 1
15 373 1
55 373 1
23 373 1
66 373 1
15 374 1
33 375 1
9 376 1
64 377 1
23 377 1
29 378 1
49 379 1
105 380 1
49 381 1
42 381 1
72 381 1
4 381 1
95 381 1
12 382 1
35 382 1
33 382 1
26 383 1
114 384 1
31 384 1
14 385 1
16 385 1
18 385 1
42 385 1
10 385 1
55 385 1
54 385 1
21 385 1
45 385 1
41 386 1
36 386 1
12 387 1
10 387 1
15 387 1
15 388 1
73 389 1
1 389 1
44 389 1
3 389 1
92 389 1
93 389 1
5 389 1
4 389 1
115 389 1
54 389 1
88 389 1
77 389 1
89 389 1
81 389 1
53 389 1
64 390 1
92 390 1
