2800 11293
0 139 1
1 140 1
2 140 1
3 140 1
4 140 1
5 140 1
6 141 1
7 142 1
8 142 1
9 143 1
10 144 1
11 145 1
12 145 1
13 145 1
14 145 1
0 145 1
15 145 1
16 146 1
17 147 1
18 147 1
19 147 1
20 147 1
7 148 1
21 149 1
22 149 1
23 149 1
24 149 1
25 149 1
25 150 1
0 150 1
26 151 1
1 152 1
17 152 1
21 152 1
16 152 1
27 152 1
24 152 1
25 152 1
28 152 1
0 152 1
24 153 1
29 154 1
1 154 1
17 154 1
2 154 1
11 154 1
30 154 1
7 154 1
31 154 1
32 154 1
19 154 1
33 155 1
34 156 1
31 157 1
35 157 1
6 157 1
19 158 1
1 159 1
23 159 1
24 159 1
11 159 1
36 160 1
25 160 1
0 160 1
11 161 1
16 162 1
23 162 1
24 162 1
25 162 1
31 162 1
0 162 1
11 162 1
10 162 1
30 162 1
37 162 1
38 162 1
15 162 1
39 163 1
7 163 1
35 164 1
0 165 1
11 166 1
11 167 1
40 168 1
24 168 1
13 168 1
0 168 1
41 169 1
16 170 1
4 171 1
0 172 1
11 173 1
10 173 1
42 174 1
23 174 1
24 174 1
25 174 1
13 174 1
0 174 1
14 174 1
23 175 1
25 175 1
24 176 1
32 176 1
43 177 1
25 178 1
32 179 1
42 180 1
40 180 1
22 180 1
16 180 1
44 180 1
23 180 1
24 180 1
25 180 1
13 180 1
0 180 1
30 180 1
38 180 1
14 180 1
45 181 1
41 182 1
16 183 1
24 183 1
0 183 1
11 183 1
10 183 1
30 183 1
15 183 1
25 184 1
46 185 1
17 186 1
24 186 1
25 186 1
4 186 1
9 186 1
29 186 1
33 186 1
19 186 1
6 186 1
11 187 1
1 188 1
39 188 1
2 188 1
47 188 1
23 188 1
25 188 1
48 188 1
49 188 1
33 188 1
50 188 1
51 188 1
41 188 1
11 189 1
40 190 1
13 190 1
21 190 1
11 190 1
1 191 1
31 191 1
0 191 1
52 191 1
49 191 1
53 191 1
54 191 1
25 192 1
13 192 1
9 192 1
0 192 1
38 192 1
42 193 1
13 193 1
39 194 1
35 195 1
42 196 1
22 196 1
16 196 1
25 196 1
13 196 1
0 196 1
21 196 1
55 196 1
30 196 1
38 196 1
31 197 1
56 197 1
15 197 1
46 198 1
39 198 1
