4395 40569
0 396 1
1 396 1
2 396 1
3 396 1
4 396 1
5 396 1
6 396 1
7 396 1
8 397 1
9 397 1
10 398 1
11 398 1
12 398 1
13 398 1
14 399 1
15 400 1
16 401 1
17 402 1
4 402 1
18 403 1
19 403 1
20 403 1
21 403 1
22 403 1
23 403 1
24 403 1
25 403 1
26 403 1
27 403 1
28 404 1
10 405 1
29 405 1
30 405 1
31 405 1
32 405 1
33 405 1
17 405 1
34 405 1
35 405 1
36 405 1
37 405 1
38 405 1
39 405 1
40 405 1
41 405 1
42 405 1
43 405 1
44 405 1
45 405 1
46 405 1
47 405 1
48 405 1
49 405 1
50 405 1
51 405 1
52 405 1
13 405 1
53 406 1
4 406 1
54 406 1
55 406 1
56 406 1
42 406 1
44 406 1
57 406 1
45 406 1
58 406 1
59 406 1
60 406 1
51 406 1
28 406 1
8 406 1
61 406 1
18 407 1
19 407 1
62 407 1
63 407 1
64 407 1
22 407 1
65 407 1
66 407 1
23 407 1
67 407 1
68 407 1
69 407 1
70 407 1
11 408 1
71 408 1
72 409 1
55 409 1
65 409 1
51 409 1
73 409 1
74 410 1
74 411 1
46 412 1
75 412 1
76 413 1
77 413 1
78 413 1
74 414 1
18 414 1
19 414 1
79 414 1
0 414 1
62 414 1
31 414 1
80 414 1
32 414 1
34 414 1
35 414 1
36 414 1
37 414 1
38 414 1
4 414 1
39 414 1
81 414 1
82 414 1
83 414 1
41 414 1
5 414 1
76 414 1
23 414 1
84 414 1
85 414 1
86 414 1
87 414 1
71 414 1
73 414 1
88 414 1
89 414 1
90 414 1
69 414 1
41 415 1
76 415 1
31 416 1
91 417 1
0 417 1
62 417 1
2 417 1
17 417 1
11 417 1
23 417 1
92 417 1
84 417 1
93 417 1
67 417 1
69 417 1
77 418 1
94 418 1
95 419 1
44 420 1
96 421 1
97 421 1
74 422 1
98 422 1
76 422 1
99 422 1
100 422 1
101 422 1
102 422 1
103 422 1
73 422 1
104 422 1
105 422 1
106 422 1
107 422 1
13 422 1
28 423 1
108 424 1
109 424 1
30 424 1
55 424 1
110 424 1
44 424 1
111 424 1
112 424 1
113 424 1
114 424 1
45 424 1
115 424 1
77 424 1
94 424 1
116 424 1
117 424 1
118 424 1
119 424 1
120 424 1
99 424 1
100 424 1
101 424 1
102 424 1
103 424 1
121 424 1
107 424 1
92 425 1
46 425 1
122 425 1
123 425 1
51 425 1
9 425 1
67 426 1
44 427 1
124 428 1
57 428 1
29 429 1
20 429 1
125 429 1
72 429 1
0 429 1
33 429 1
126 429 1
4 429 1
81 429 1
127 429 1
63 429 1
55 429 1
41 429 1
128 429 1
129 429 1
57 429 1
130 429 1
131 429 1
25 429 1
73 429 1
16 429 1
132 429 1
27 429 1
133 429 1
21 429 1
134 429 1
42 429 1
135 429 1
22 429 1
66 429 1
45 429 1
136 429 1
137 429 1
48 429 1
58 429 1
138 429 1
60 429 1
86 429 1
139 429 1
51 429 1
87 429 1
71 429 1
28 429 1
140 429 1
88 429 1
61 429 1
141 429 1
142 429 1
90 429 1
69 429 1
103 430 1
77 430 1
94 430 1
143 430 1
144 431 1
41 431 1
128 431 1
97 431 1
27 431 1
34 431 1
145 431 1
21 431 1
58 431 1
146 431 1
147 431 1
86 431 1
8 431 1
140 431 1
148 431 1
69 431 1
4 432 1
81 432 1
149 432 1
5 432 1
34 432 1
150 432 1
8 433 1
151 433 1
92 434 1
37 434 1
76 434 1
47 434 1
152 434 1
139 434 1
153 435 1
132 435 1
1 435 1
17 435 1
11 435 1
123 436 1
154 437 1
155 438 1
86 438 1
8 439 1
82 440 1
42 440 1
122 441 1
24 441 1
154 442 1
156 442 1
46 443 1
8 443 1
157 443 1
6 444 1
158 445 1
159 445 1
8 445 1
154 446 1
130 446 1
132 446 1
17 446 1
8 446 1
65 447 1
160 448 1
81 448 1
161 448 1
25 448 1
23 448 1
87 448 1
162 448 1
61 448 1
69 448 1
20 449 1
39 449 1
41 449 1
34 449 1
37 449 1
50 450 1
4 451 1
22 452 1
89 453 1
74 453 1
37 453 1
93 453 1
163 454 1
77 454 1
94 454 1
164 454 1
29 455 1
16 455 1
61 455 1
141 455 1
93 456 1
165 457 1
103 458 1
166 458 1
112 458 1
77 458 1
94 458 1
101 458 1
140 458 1
61 458 1
77 459 1
94 459 1
140 459 1
151 459 1
61 459 1
141 459 1
4 460 1
65 460 1
130 460 1
167 460 1
141 460 1
168 461 1
53 461 1
169 461 1
163 461 1
109 461 1
170 461 1
30 461 1
171 461 1
154 461 1
172 461 1
72 461 1
173 461 1
174 461 1
124 461 1
175 461 1
4 461 1
54 461 1
81 461 1
64 461 1
144 461 1
98 461 1
128 461 1
176 461 1
129 461 1
65 461 1
177 461 1
103 461 1
178 461 1
131 461 1
156 461 1
155 461 1
179 461 1
180 461 1
73 461 1
104 461 1
105 461 1
106 461 1
27 461 1
31 461 1
181 461 1
182 461 1
80 461 1
122 461 1
34 461 1
183 461 1
37 461 1
184 461 1
96 461 1
133 461 1
21 461 1
185 461 1
186 461 1
187 461 1
159 461 1
188 461 1
22 461 1
66 461 1
110 461 1
77 461 1
116 461 1
117 461 1
137 461 1
189 461 1
190 461 1
24 461 1
146 461 1
86 461 1
191 461 1
192 461 1
193 461 1
167 461 1
194 461 1
195 461 1
87 461 1
196 461 1
197 461 1
140 461 1
198 461 1
88 461 1
143 461 1
199 461 1
200 461 1
61 461 1
141 461 1
142 461 1
201 461 1
69 461 1
70 461 1
157 461 1
154 462 1
98 462 1
140 463 1
202 464 1
176 464 1
46 464 1
22 464 1
139 464 1
51 464 1
140 464 1
142 464 1
168 465 1
53 465 1
154 465 1
41 465 1
203 465 1
65 465 1
204 465 1
50 465 1
105 465 1
17 465 1
188 465 1
66 465 1
45 465 1
115 465 1
77 465 1
84 465 1
99 465 1
100 465 1
48 465 1
189 465 1
60 465 1
107 465 1
69 465 1
36 466 1
205 467 1
29 468 1
20 468 1
206 468 1
61 468 1
13 468 1
62 469 1
6 469 1
14 469 1
91 469 1
95 469 1
67 469 1
9 469 1
163 470 1
1 470 1
55 471 1
86 471 1
122 472 1
207 472 1
8 472 1
154 473 1
132 473 1
76 473 1
29 474 1
0 474 1
153 474 1
2 474 1
208 474 1
56 474 1
131 474 1
156 474 1
34 474 1
183 474 1
209 474 1
210 474 1
76 474 1
95 474 1
45 474 1
211 474 1
51 474 1
28 474 1
212 474 1
61 474 1
157 474 1
29 475 1
154 475 1
28 475 1
5 476 1
72 477 1
0 477 1
173 477 1
174 477 1
33 477 1
126 477 1
63 477 1
55 477 1
98 477 1
92 477 1
73 477 1
213 477 1
210 477 1
214 477 1
215 477 1
207 477 1
86 477 1
216 477 1
88 477 1
61 477 1
141 477 1
142 477 1
14 478 1
153 479 1
123 480 1
39 481 1
34 481 1
183 481 1
37 481 1
96 481 1
135 481 1
69 481 1
29 482 1
53 482 1
98 482 1
92 482 1
50 482 1
27 482 1
122 482 1
217 482 1
17 482 1
37 482 1
96 482 1
186 482 1
66 482 1
218 482 1
207 482 1
58 482 1
205 483 1
153 483 1
2 483 1
5 483 1
208 483 1
219 483 1
220 483 1
14 483 1
91 483 1
214 483 1
95 483 1
221 483 1
11 483 1
222 483 1
223 483 1
224 483 1
225 483 1
8 483 1
212 483 1
157 483 1
3 484 1
41 484 1
226 484 1
218 484 1
8 484 1
76 485 1
8 485 1
158 486 1
58 487 1
151 487 1
40 488 1
153 489 1
27 489 1
13 489 1
227 490 1
62 491 1
153 491 1
228 491 1
229 491 1
220 491 1
95 491 1
223 491 1
230 491 1
212 491 1
67 491 1
125 492 1
154 492 1
72 492 1
4 492 1
127 492 1
202 492 1
128 492 1
43 492 1
176 492 1
129 492 1
65 492 1
44 492 1
57 492 1
158 492 1
46 492 1
130 492 1
103 492 1
231 492 1
232 492 1
16 492 1
132 492 1
233 492 1
1 492 1
122 492 1
234 492 1
17 492 1
235 492 1
145 492 1
185 492 1
134 492 1
42 492 1
186 492 1
187 492 1
188 492 1
236 492 1
114 492 1
118 492 1
24 492 1
138 492 1
191 492 1
193 492 1
139 492 1
51 492 1
28 492 1
140 492 1
198 492 1
237 492 1
107 492 1
238 492 1
201 492 1
239 493 1
41 493 1
203 493 1
73 493 1
96 493 1
240 493 1
76 493 1
22 493 1
23 493 1
48 493 1
72 494 1
3 494 1
41 494 1
50 494 1
177 494 1
241 494 1
131 494 1
6 494 1
97 494 1
16 494 1
210 494 1
23 494 1
58 494 1
60 494 1
51 494 1
71 494 1
198 494 1
61 494 1
153 495 1
55 495 1
149 495 1
98 495 1
129 495 1
166 495 1
27 495 1
91 495 1
