4094 22684
0 186 1
1 187 1
2 187 1
3 187 1
4 187 1
5 187 1
6 187 1
7 188 1
4 189 1
8 189 1
9 190 1
10 190 1
11 191 1
12 192 1
13 192 1
0 193 1
14 193 1
15 193 1
16 193 1
17 193 1
13 193 1
18 193 1
4 194 1
19 194 1
20 194 1
21 194 1
22 194 1
12 195 1
23 196 1
12 196 1
18 196 1
24 197 1
25 197 1
16 197 1
23 197 1
26 197 1
27 198 1
4 198 1
20 198 1
28 198 1
29 198 1
30 198 1
31 198 1
9 199 1
25 200 1
15 200 1
32 200 1
13 200 1
33 200 1
18 200 1
34 201 1
35 202 1
4 203 1
36 203 1
37 204 1
1 205 1
27 205 1
38 205 1
17 205 1
39 205 1
40 205 1
41 205 1
42 205 1
26 206 1
43 207 1
28 207 1
44 207 1
45 207 1
46 207 1
47 208 1
1 208 1
27 208 1
43 208 1
2 208 1
19 208 1
48 208 1
9 208 1
49 208 1
50 208 1
30 208 1
51 209 1
12 210 1
23 211 1
18 211 1
20 212 1
52 212 1
24 213 1
20 213 1
33 213 1
53 213 1
28 214 1
54 214 1
55 214 1
23 215 1
56 215 1
18 215 1
0 216 1
15 216 1
20 216 1
57 216 1
49 216 1
26 216 1
12 216 1
18 216 1
25 216 1
58 216 1
17 216 1
32 216 1
59 216 1
55 216 1
8 216 1
20 217 1
30 217 1
23 218 1
0 219 1
7 219 1
13 219 1
1 220 1
20 220 1
57 220 1
26 220 1
60 220 1
61 220 1
7 220 1
52 220 1
42 220 1
45 220 1
24 220 1
25 220 1
62 220 1
19 220 1
63 220 1
64 220 1
59 220 1
33 220 1
29 220 1
55 220 1
43 221 1
65 221 1
20 221 1
66 221 1
52 221 1
42 221 1
4 221 1
13 221 1
67 222 1
61 222 1
29 222 1
15 223 1
57 223 1
68 223 1
7 223 1
24 223 1
19 223 1
69 223 1
17 223 1
32 223 1
59 223 1
38 224 1
35 224 1
40 224 1
49 224 1
26 224 1
53 224 1
7 224 1
42 224 1
19 224 1
14 224 1
21 224 1
63 224 1
48 224 1
44 224 1
32 224 1
70 224 1
71 224 1
29 224 1
41 224 1
72 225 1
63 225 1
9 225 1
24 226 1
58 227 1
55 228 1
0 229 1
52 229 1
7 230 1
45 230 1
19 230 1
69 230 1
73 231 1
54 231 1
55 232 1
0 233 1
19 233 1
32 233 1
74 233 1
75 233 1
22 234 1
34 234 1
57 235 1
18 235 1
52 235 1
17 235 1
32 235 1
71 235 1
76 236 1
66 237 1
5 238 1
34 239 1
46 239 1
57 240 1
60 240 1
19 240 1
14 240 1
16 240 1
17 240 1
32 240 1
55 241 1
0 242 1
26 242 1
12 242 1
52 242 1
24 242 1
52 243 1
37 244 1
35 244 1
22 244 1
61 244 1
44 244 1
34 244 1
29 244 1
38 245 1
35 245 1
40 245 1
52 246 1
24 246 1
13 246 1
28 247 1
61 248 1
50 248 1
41 248 1
46 248 1
77 249 1
54 250 1
0 251 1
60 251 1
7 252 1
50 252 1
22 253 1
48 253 1
78 254 1
54 255 1
20 256 1
52 256 1
76 256 1
25 257 1
35 258 1
57 258 1
79 258 1
19 258 1
14 258 1
80 258 1
63 258 1
48 258 1
17 258 1
32 258 1
71 258 1
33 258 1
28 259 1
81 260 1
17 260 1
82 260 1
60 261 1
7 261 1
27 262 1
18 262 1
5 262 1
11 262 1
47 262 1
4 262 1
51 262 1
33 262 1
29 262 1
30 262 1
8 262 1
17 263 1
32 263 1
52 264 1
19 265 1
1 266 1
72 266 1
2 266 1
83 266 1
20 266 1
39 266 1
26 266 1
84 266 1
85 266 1
51 266 1
86 266 1
87 266 1
41 266 1
55 266 1
76 266 1
15 267 1
39 267 1
52 267 1
19 267 1
69 267 1
74 267 1
22 268 1
19 268 1
1 269 1
49 269 1
12 269 1
61 269 1
42 269 1
88 269 1
4 269 1
85 269 1
89 269 1
90 269 1
35 270 1
22 270 1
11 270 1
29 270 1
22 271 1
61 271 1
63 271 1
91 271 1
29 271 1
72 272 1
20 273 1
58 273 1
20 274 1
38 275 1
28 275 1
40 275 1
26 275 1
22 275 1
61 275 1
53 275 1
42 275 1
48 275 1
34 275 1
29 275 1
41 275 1
60 276 1
13 276 1
0 277 1
28 277 1
49 277 1
12 277 1
61 277 1
52 277 1
42 277 1
25 277 1
92 277 1
16 277 1
80 277 1
21 277 1
63 277 1
32 277 1
34 277 1
81 278 1
0 278 1
72 278 1
2 278 1
83 278 1
93 278 1
94 278 1
60 278 1
11 278 1
7 278 1
45 278 1
47 278 1
24 278 1
4 278 1
19 278 1
14 278 1
89 278 1
51 278 1
95 278 1
9 278 1
82 278 1
96 278 1
97 278 1
98 278 1
13 278 1
34 278 1
99 278 1
87 278 1
76 278 1
3 279 1
100 279 1
4 279 1
64 280 1
15 281 1
57 281 1
53 281 1
80 281 1
17 281 1
32 281 1
33 281 1
41 281 1
55 281 1
72 282 1
20 282 1
12 282 1
19 282 1
27 283 1
72 283 1
101 283 1
102 283 1
94 283 1
61 283 1
62 283 1
4 283 1
51 283 1
97 283 1
103 283 1
87 283 1
41 283 1
30 283 1
46 283 1
0 284 1
65 284 1
23 284 1
60 284 1
18 284 1
52 284 1
4 284 1
104 284 1
38 285 1
28 285 1
66 286 1
34 286 1
3 287 1
20 287 1
39 287 1
26 287 1
12 287 1
5 287 1
105 287 1
85 287 1
21 287 1
17 287 1
64 287 1
13 287 1
29 287 1
41 287 1
24 288 1
72 289 1
67 289 1
12 289 1
60 289 1
78 289 1
47 289 1
63 289 1
9 289 1
29 289 1
50 289 1
72 290 1
5 290 1
88 290 1
4 290 1
19 290 1
58 290 1
51 290 1
86 290 1
106 290 1
4 291 1
48 291 1
81 292 1
27 292 1
107 292 1
72 292 1
38 292 1
37 292 1
43 292 1
83 292 1
101 292 1
35 292 1
28 292 1
6 292 1
66 292 1
40 292 1
49 292 1
22 292 1
61 292 1
5 292 1
78 292 1
11 292 1
108 292 1
47 292 1
62 292 1
4 292 1
19 292 1
14 292 1
109 292 1
89 292 1
110 292 1
63 292 1
111 292 1
48 292 1
44 292 1
82 292 1
96 292 1
91 292 1
34 292 1
70 292 1
112 292 1
29 292 1
50 292 1
87 292 1
41 292 1
113 292 1
77 292 1
114 292 1
8 292 1
46 292 1
2 293 1
100 293 1
53 293 1
7 293 1
115 293 1
4 293 1
85 293 1
58 293 1
51 293 1
48 293 1
55 293 1
21 294 1
51 295 1
20 296 1
28 296 1
20 297 1
101 298 1
13 299 1
106 300 1
57 301 1
22 301 1
116 301 1
63 301 1
48 301 1
44 301 1
91 301 1
34 301 1
53 302 1
50 303 1
27 304 1
72 304 1
2 304 1
3 304 1
94 304 1
5 304 1
7 304 1
105 304 1
115 304 1
4 304 1
69 304 1
85 304 1
51 304 1
111 304 1
9 304 1
70 304 1
50 304 1
75 304 1
30 304 1
55 304 1
