5877 75922
0 495 1
1 495 1
2 495 1
3 496 1
4 496 1
5 496 1
6 496 1
7 496 1
8 496 1
9 496 1
10 497 1
11 497 1
12 497 1
13 497 1
14 497 1
15 497 1
16 497 1
17 497 1
18 497 1
19 497 1
20 497 1
21 497 1
22 497 1
23 497 1
24 497 1
25 497 1
26 497 1
27 497 1
28 497 1
29 497 1
30 497 1
31 497 1
32 497 1
33 497 1
34 498 1
2 498 1
35 498 1
36 498 1
37 498 1
38 498 1
39 498 1
40 498 1
41 498 1
42 498 1
43 498 1
0 498 1
44 498 1
45 498 1
46 499 1
47 499 1
48 499 1
7 499 1
49 499 1
50 499 1
51 499 1
52 499 1
3 499 1
53 499 1
4 499 1
54 499 1
55 499 1
6 499 1
56 499 1
22 500 1
57 500 1
58 500 1
42 500 1
59 500 1
60 500 1
61 501 1
62 501 1
34 501 1
63 501 1
64 501 1
65 501 1
66 501 1
67 501 1
5 501 1
68 501 1
3 501 1
69 501 1
70 501 1
71 501 1
43 501 1
0 501 1
72 501 1
73 501 1
45 501 1
74 501 1
75 501 1
76 501 1
2 501 1
77 501 1
47 501 1
78 501 1
49 501 1
79 501 1
80 501 1
81 501 1
54 501 1
82 501 1
83 501 1
84 502 1
85 502 1
43 502 1
86 502 1
49 502 1
87 502 1
88 502 1
89 502 1
90 503 1
91 503 1
92 503 1
93 503 1
94 503 1
95 504 1
96 505 1
63 505 1
97 505 1
98 505 1
99 505 1
47 505 1
36 505 1
100 505 1
101 506 1
96 506 1
97 506 1
102 506 1
98 506 1
99 506 1
103 506 1
104 506 1
22 507 1
7 507 1
105 507 1
106 507 1
12 507 1
107 507 1
94 507 1
108 507 1
11 508 1
109 508 1
110 508 1
7 508 1
111 508 1
112 508 1
84 508 1
3 508 1
42 508 1
90 508 1
113 508 1
2 508 1
78 508 1
25 508 1
4 508 1
114 508 1
55 508 1
6 508 1
94 508 1
115 509 1
68 509 1
50 509 1
106 509 1
104 509 1
116 510 1
61 511 1
7 511 1
43 511 1
92 511 1
117 511 1
4 511 1
55 511 1
61 512 1
118 512 1
22 512 1
90 512 1
119 512 1
120 512 1
72 512 1
121 512 1
106 512 1
12 512 1
55 512 1
122 512 1
123 512 1
66 513 1
41 513 1
43 513 1
45 513 1
124 513 1
10 513 1
125 513 1
126 513 1
40 513 1
74 514 1
127 515 1
128 515 1
129 515 1
34 515 1
130 515 1
65 515 1
67 515 1
131 515 1
132 515 1
133 515 1
111 515 1
134 515 1
98 515 1
51 515 1
135 515 1
38 515 1
103 515 1
136 515 1
137 515 1
70 515 1
138 515 1
71 515 1
91 515 1
139 515 1
140 515 1
141 515 1
121 515 1
142 515 1
143 515 1
113 515 1
144 515 1
106 515 1
145 515 1
146 515 1
147 515 1
148 515 1
149 515 1
150 515 1
1 515 1
151 515 1
2 515 1
152 515 1
153 515 1
154 515 1
155 515 1
87 515 1
156 515 1
157 515 1
158 515 1
159 515 1
160 515 1
161 515 1
162 515 1
4 515 1
54 515 1
163 515 1
164 515 1
6 515 1
100 515 1
94 515 1
165 515 1
166 515 1
44 515 1
167 515 1
168 515 1
73 516 1
169 516 1
81 516 1
50 517 1
73 517 1
170 517 1
169 517 1
79 517 1
81 517 1
7 518 1
22 519 1
171 519 1
47 519 1
93 519 1
172 519 1
173 520 1
174 520 1
102 520 1
37 520 1
175 520 1
176 520 1
81 520 1
177 520 1
40 520 1
11 521 1
105 521 1
41 521 1
178 521 1
179 522 1
16 522 1
118 522 1
115 522 1
68 522 1
102 522 1
3 522 1
180 522 1
41 522 1
181 522 1
119 522 1
0 522 1
73 522 1
169 522 1
182 522 1
76 522 1
12 522 1
15 522 1
183 522 1
177 522 1
40 522 1
55 522 1
179 523 1
61 523 1
129 523 1
96 523 1
184 523 1
109 523 1
65 523 1
132 523 1
7 523 1
37 523 1
99 523 1
39 523 1
42 523 1
70 523 1
43 523 1
139 523 1
141 523 1
185 523 1
175 523 1
149 523 1
151 523 1
92 523 1
158 523 1
104 523 1
4 523 1
54 523 1
164 523 1
56 523 1
94 523 1
44 523 1
31 523 1
34 524 1
115 524 1
186 524 1
184 524 1
65 524 1
174 524 1
187 524 1
188 524 1
189 524 1
98 524 1
42 524 1
181 524 1
190 524 1
120 524 1
0 524 1
72 524 1
178 524 1
191 524 1
192 524 1
193 524 1
152 524 1
48 524 1
80 524 1
156 524 1
25 524 1
40 524 1
194 524 1
195 524 1
196 524 1
6 524 1
29 524 1
197 524 1
198 524 1
61 525 1
199 525 1
16 525 1
118 525 1
65 525 1
174 525 1
188 525 1
19 525 1
189 525 1
105 525 1
38 525 1
143 525 1
74 525 1
12 525 1
200 525 1
201 525 1
202 525 1
55 525 1
122 525 1
44 525 1
198 525 1
132 526 1
136 526 1
70 526 1
142 526 1
150 526 1
158 526 1
31 526 1
96 527 1
14 527 1
184 527 1
17 527 1
132 527 1
98 527 1
99 527 1
84 527 1
203 527 1
103 527 1
204 527 1
42 527 1
205 527 1
70 527 1
43 527 1
190 527 1
206 527 1
86 527 1
139 527 1
207 527 1
185 527 1
147 527 1
150 527 1
1 527 1
208 527 1
2 527 1
92 527 1
49 527 1
36 527 1
155 527 1
52 527 1
158 527 1
159 527 1
54 527 1
6 527 1
56 527 1
166 527 1
103 528 1
144 528 1
209 529 1
183 529 1
210 529 1
94 529 1
17 530 1
5 530 1
68 530 1
25 530 1
211 530 1
112 531 1
90 531 1
212 531 1
106 531 1
94 531 1
97 532 1
99 532 1
46 533 1
68 533 1
84 533 1
213 533 1
119 533 1
52 533 1
157 533 1
31 533 1
214 534 1
215 534 1
179 534 1
61 534 1
101 534 1
129 534 1
216 534 1
14 534 1
34 534 1
217 534 1
218 534 1
184 534 1
63 534 1
130 534 1
97 534 1
65 534 1
219 534 1
66 534 1
174 534 1
67 534 1
131 534 1
102 534 1
133 534 1
111 534 1
134 534 1
37 534 1
98 534 1
51 534 1
99 534 1
220 534 1
203 534 1
69 534 1
136 534 1
221 534 1
222 534 1
213 534 1
41 534 1
223 534 1
137 534 1
204 534 1
42 534 1
224 534 1
70 534 1
119 534 1
138 534 1
71 534 1
43 534 1
120 534 1
0 534 1
72 534 1
73 534 1
91 534 1
206 534 1
45 534 1
139 534 1
140 534 1
225 534 1
143 534 1
113 534 1
170 534 1
207 534 1
226 534 1
191 534 1
227 534 1
146 534 1
228 534 1
229 534 1
230 534 1
148 534 1
175 534 1
231 534 1
232 534 1
15 534 1
1 534 1
233 534 1
208 534 1
151 534 1
2 534 1
77 534 1
35 534 1
234 534 1
235 534 1
153 534 1
125 534 1
236 534 1
237 534 1
79 534 1
80 534 1
52 534 1
183 534 1
156 534 1
158 534 1
177 534 1
238 534 1
126 534 1
159 534 1
239 534 1
240 534 1
161 534 1
40 534 1
241 534 1
4 534 1
54 534 1
195 534 1
163 534 1
242 534 1
29 534 1
94 534 1
243 534 1
244 534 1
166 534 1
44 534 1
245 534 1
31 534 1
246 535 1
84 536 1
48 536 1
65 537 1
66 537 1
5 537 1
42 537 1
0 537 1
72 537 1
73 537 1
142 537 1
231 537 1
232 537 1
201 537 1
92 537 1
80 537 1
52 537 1
54 537 1
6 537 1
100 537 1
94 537 1
46 537 1
63 537 1
132 537 1
247 537 1
111 537 1
99 537 1
136 537 1
248 537 1
137 537 1
249 537 1
90 537 1
250 537 1
70 537 1
91 537 1
140 537 1
106 537 1
207 537 1
149 537 1
15 537 1
2 537 1
251 537 1
252 537 1
160 537 1
31 537 1
60 537 1
21 538 1
57 538 1
122 538 1
131 539 1
226 539 1
47 539 1
189 539 1
253 539 1
171 540 1
185 540 1
50 541 1
149 541 1
55 541 1
254 541 1
16 542 1
97 542 1
68 542 1
112 542 1
50 542 1
135 542 1
3 542 1
255 542 1
41 542 1
85 542 1
42 542 1
224 542 1
119 542 1
71 542 1
0 542 1
12 542 1
92 542 1
21 542 1
154 542 1
256 542 1
87 542 1
4 542 1
54 542 1
211 542 1
6 542 1
100 542 1
56 542 1
243 542 1
197 542 1
179 542 1
109 542 1
17 542 1
189 542 1
110 542 1
57 542 1
99 542 1
105 542 1
84 542 1
38 542 1
181 542 1
90 542 1
139 542 1
257 542 1
227 542 1
192 542 1
15 542 1
2 542 1
35 542 1
18 542 1
251 542 1
107 542 1
78 542 1
125 542 1
49 542 1
9 542 1
157 542 1
160 542 1
258 542 1
40 542 1
117 542 1
81 543 1
127 543 1
40 543 1
53 544 1
46 545 1
207 546 1
188 547 1
6 547 1
94 547 1
46 547 1
22 547 1
7 547 1
86 547 1
192 547 1
15 547 1
162 547 1
114 547 1
31 547 1
174 548 1
5 548 1
259 548 1
3 548 1
221 548 1
41 548 1
0 548 1
73 548 1
170 548 1
169 548 1
77 548 1
193 548 1
256 548 1
81 548 1
25 548 1
210 548 1
260 548 1
17 548 1
110 548 1
45 548 1
178 548 1
192 548 1
15 548 1
48 548 1
78 548 1
183 548 1
9 548 1
261 548 1
161 548 1
40 548 1
242 548 1
31 548 1
198 548 1
119 549 1
94 549 1
207 549 1
251 549 1
83 549 1
57 550 1
262 550 1
130 551 1
263 551 1
65 551 1
66 551 1
174 551 1
67 551 1
5 551 1
134 551 1
135 551 1
69 551 1
264 551 1
41 551 1
71 551 1
72 551 1
73 551 1
170 551 1
191 551 1
147 551 1
169 551 1
182 551 1
76 551 1
201 551 1
151 551 1
265 551 1
266 551 1
267 551 1
256 551 1
52 551 1
81 551 1
177 551 1
25 551 1
53 551 1
268 551 1
56 551 1
165 551 1
243 551 1
44 551 1
260 551 1
168 551 1
127 551 1
179 551 1
34 551 1
109 551 1
17 551 1
102 551 1
133 551 1
37 551 1
51 551 1
38 551 1
269 551 1
249 551 1
181 551 1
70 551 1
91 551 1
139 551 1
113 551 1
192 551 1
150 551 1
15 551 1
270 551 1
271 551 1
161 551 1
40 551 1
89 551 1
242 551 1
272 551 1
198 551 1
273 552 1
96 552 1
99 552 1
74 552 1
248 553 1
106 553 1
149 553 1
160 553 1
5 554 1
249 554 1
181 554 1
40 554 1
37 555 1
178 555 1
3 556 1
12 556 1
15 556 1
107 556 1
48 556 1
9 556 1
89 556 1
196 556 1
47 557 1
47 558 1
92 559 1
154 559 1
111 559 1
119 560 1
197 560 1
261 560 1
63 561 1
247 561 1
99 561 1
209 561 1
274 561 1
2 561 1
57 562 1
31 562 1
97 563 1
103 563 1
221 564 1
43 564 1
190 564 1
0 564 1
193 564 1
61 564 1
137 564 1
70 564 1
86 564 1
275 564 1
125 564 1
162 564 1
31 564 1
119 565 1
189 565 1
276 565 1
2 566 1
66 567 1
119 567 1
6 567 1
271 567 1
112 568 1
47 568 1
101 568 1
98 568 1
99 568 1
105 568 1
90 568 1
45 568 1
140 568 1
62 569 1
277 569 1
94 570 1
96 570 1
132 570 1
274 570 1
50 571 1
278 571 1
26 571 1
55 571 1
279 572 1
198 572 1
66 573 1
142 573 1
143 573 1
191 573 1
4 573 1
17 573 1
207 573 1
280 573 1
126 573 1
162 573 1
81 574 1
242 574 1
31 574 1
62 575 1
97 575 1
112 575 1
221 575 1
0 575 1
141 575 1
281 575 1
92 575 1
282 575 1
47 575 1
154 575 1
4 575 1
6 575 1
94 575 1
214 575 1
96 575 1
218 575 1
189 575 1
247 575 1
111 575 1
283 575 1
98 575 1
284 575 1
99 575 1
39 575 1
209 575 1
253 575 1
91 575 1
171 575 1
144 575 1
207 575 1
274 575 1
2 575 1
125 575 1
262 575 1
183 575 1
285 575 1
160 575 1
104 575 1
286 575 1
112 576 1
92 576 1
154 576 1
4 576 1
243 576 1
7 576 1
111 576 1
57 576 1
105 576 1
90 576 1
106 576 1
2 576 1
55 576 1
287 577 1
61 577 1
107 577 1
162 577 1
50 578 1
252 578 1
173 579 1
180 579 1
73 579 1
170 579 1
169 579 1
288 579 1
77 579 1
193 579 1
79 579 1
81 579 1
177 579 1
215 579 1
249 579 1
261 579 1
177 580 1
283 581 1
284 581 1
39 581 1
253 581 1
262 581 1
4 582 1
39 582 1
250 582 1
54 583 1
6 583 1
184 583 1
170 584 1
169 584 1
182 584 1
175 584 1
77 584 1
80 584 1
289 584 1
290 584 1
96 584 1
189 584 1
98 584 1
39 584 1
171 584 1
176 584 1
156 584 1
55 584 1
92 585 1
154 585 1
4 585 1
6 585 1
250 585 1
47 586 1
98 586 1
7 587 1
126 587 1
55 587 1
174 588 1
50 588 1
3 588 1
41 588 1
42 588 1
119 588 1
120 588 1
0 588 1
72 588 1
73 588 1
170 588 1
175 588 1
193 588 1
79 588 1
178 588 1
49 588 1
252 588 1
40 588 1
31 588 1
112 589 1
73 589 1
175 589 1
79 589 1
291 589 1
192 589 1
202 589 1
242 589 1
69 590 1
292 590 1
169 591 1
76 591 1
175 591 1
131 592 1
12 592 1
57 592 1
3 593 1
143 593 1
287 593 1
25 593 1
109 593 1
46 593 1
86 593 1
202 593 1
31 593 1
169 594 1
293 595 1
54 595 1
189 595 1
57 595 1
39 595 1
221 596 1
0 596 1
121 596 1
45 596 1
274 596 1
2 596 1
1 597 1
90 597 1
174 598 1
68 598 1
112 598 1
255 598 1
0 598 1
141 598 1
92 598 1
154 598 1
6 598 1
115 598 1
111 598 1
