5563 81098
0 331 1
1 331 1
2 331 1
3 331 1
4 332 1
5 332 1
6 332 1
7 332 1
8 332 1
9 332 1
10 332 1
11 332 1
12 332 1
13 332 1
14 332 1
15 332 1
3 333 1
2 334 1
16 335 1
17 335 1
18 335 1
13 335 1
9 336 1
10 336 1
19 336 1
20 336 1
21 337 1
0 337 1
22 337 1
1 337 1
23 337 1
24 337 1
25 337 1
10 337 1
26 337 1
27 337 1
28 337 1
29 337 1
30 337 1
31 337 1
32 337 1
33 337 1
13 337 1
34 337 1
35 337 1
36 337 1
37 337 1
38 337 1
39 337 1
40 337 1
41 337 1
42 337 1
43 337 1
3 337 1
44 337 1
45 337 1
46 337 1
47 337 1
48 338 1
49 338 1
37 338 1
50 338 1
51 339 1
1 340 1
52 340 1
27 340 1
30 340 1
32 340 1
53 340 1
39 340 1
54 340 1
55 340 1
3 340 1
56 340 1
46 340 1
57 340 1
47 340 1
58 341 1
59 341 1
58 342 1
60 342 1
61 342 1
49 342 1
2 342 1
62 343 1
63 343 1
64 343 1
65 344 1
66 344 1
67 344 1
68 344 1
0 344 1
69 344 1
70 344 1
9 344 1
71 344 1
24 344 1
16 344 1
17 344 1
10 344 1
72 344 1
73 344 1
26 344 1
74 344 1
75 344 1
76 344 1
77 344 1
78 344 1
27 344 1
59 344 1
29 344 1
79 344 1
80 344 1
81 344 1
33 344 1
13 344 1
82 344 1
34 344 1
83 344 1
35 344 1
84 344 1
85 344 1
53 344 1
86 344 1
51 344 1
87 344 1
88 344 1
89 344 1
90 344 1
39 344 1
91 344 1
54 344 1
11 344 1
40 344 1
92 344 1
93 344 1
94 344 1
95 344 1
41 344 1
96 344 1
97 344 1
98 344 1
99 344 1
100 344 1
55 344 1
43 344 1
101 344 1
3 344 1
18 344 1
102 344 1
56 344 1
103 344 1
46 344 1
104 344 1
57 344 1
105 344 1
106 344 1
107 344 1
108 344 1
109 344 1
47 344 1
62 345 1
1 345 1
110 345 1
24 345 1
16 345 1
17 345 1
111 345 1
112 345 1
29 345 1
113 345 1
114 345 1
115 345 1
15 345 1
