6146 97443
0 513 1
1 514 1
2 514 1
3 514 1
4 514 1
5 514 1
6 514 1
7 514 1
8 514 1
9 514 1
10 514 1
11 515 1
12 515 1
13 516 1
14 516 1
15 516 1
16 516 1
17 516 1
18 516 1
19 516 1
20 516 1
21 516 1
22 516 1
23 516 1
24 516 1
25 516 1
26 516 1
27 516 1
28 516 1
29 516 1
30 516 1
31 516 1
32 516 1
33 516 1
34 516 1
35 516 1
36 517 1
37 518 1
13 519 1
38 519 1
39 519 1
9 519 1
40 519 1
5 519 1
31 519 1
41 519 1
33 519 1
42 519 1
43 519 1
37 520 1
21 520 1
22 520 1
44 520 1
0 520 1
23 520 1
45 520 1
31 520 1
46 520 1
47 520 1
48 521 1
49 521 1
0 521 1
23 521 1
50 521 1
4 521 1
51 521 1
52 521 1
53 521 1
54 521 1
55 522 1
26 522 1
25 522 1
52 522 1
56 522 1
57 522 1
58 523 1
12 523 1
3 524 1
59 524 1
60 524 1
61 524 1
62 524 1
44 524 1
63 524 1
64 524 1
65 524 1
66 524 1
67 524 1
68 524 1
69 524 1
70 524 1
30 524 1
42 524 1
71 524 1
72 524 1
73 524 1
74 524 1
11 524 1
75 524 1
76 524 1
77 524 1
78 524 1
79 524 1
80 524 1
49 525 1
81 525 1
82 525 1
83 525 1
84 526 1
85 526 1
86 526 1
22 526 1
87 526 1
9 526 1
88 526 1
44 526 1
40 526 1
23 526 1
89 526 1
90 526 1
46 526 1
15 526 1
91 526 1
92 526 1
93 526 1
94 526 1
51 526 1
95 526 1
96 526 1
97 526 1
41 526 1
78 526 1
7 526 1
33 526 1
98 526 1
99 526 1
14 527 1
9 527 1
100 527 1
40 527 1
66 527 1
101 527 1
102 527 1
71 527 1
35 527 1
13 527 1
103 527 1
4 527 1
104 527 1
5 527 1
79 527 1
80 527 1
8 527 1
105 527 1
99 527 1
86 528 1
60 528 1
81 528 1
62 528 1
66 528 1
1 528 1
106 528 1
107 528 1
74 528 1
96 528 1
108 528 1
76 528 1
97 528 1
41 528 1
32 528 1
109 528 1
86 529 1
40 530 1
110 531 1
111 531 1
2 531 1
112 531 1
39 531 1
9 531 1
23 531 1
113 531 1
114 531 1
67 531 1
1 531 1
68 531 1
115 531 1
116 531 1
30 531 1
31 531 1
117 531 1
43 531 1
118 531 1
35 531 1
119 531 1
13 531 1
107 531 1
120 531 1
121 531 1
4 531 1
75 531 1
58 531 1
122 531 1
123 531 1
124 531 1
125 531 1
45 531 1
52 531 1
5 531 1
126 531 1
80 531 1
8 531 1
33 531 1
99 531 1
127 532 1
128 532 1
129 532 1
84 532 1
85 532 1
130 532 1
131 532 1
132 532 1
133 532 1
49 532 1
134 532 1
22 532 1
135 532 1
44 532 1
40 532 1
0 532 1
82 532 1
63 532 1
89 532 1
106 532 1
136 532 1
31 532 1
137 532 1
138 532 1
139 532 1
140 532 1
141 532 1
142 532 1
143 532 1
15 532 1
144 532 1
145 532 1
93 532 1
146 532 1
12 532 1
51 532 1
96 532 1
147 532 1
28 532 1
148 532 1
97 532 1
149 532 1
150 532 1
41 532 1
151 532 1
79 532 1
152 532 1
80 532 1
153 532 1
99 532 1
154 532 1
59 533 1
48 533 1
23 533 1
70 533 1
50 533 1
125 533 1
155 534 1
156 534 1
87 534 1
65 534 1
36 534 1
115 534 1
69 534 1
157 534 1
31 534 1
158 534 1
102 534 1
159 534 1
160 534 1
161 534 1
162 534 1
163 534 1
164 534 1
76 534 1
25 534 1
165 534 1
166 534 1
5 534 1
126 534 1
78 534 1
8 534 1
127 535 1
167 535 1
168 535 1
128 536 1
169 536 1
170 536 1
171 536 1
168 536 1
7 536 1
169 537 1
172 537 1
9 537 1
173 537 1
35 537 1
13 537 1
174 537 1
97 537 1
175 537 1
22 538 1
176 538 1
177 539 1
49 539 1
178 539 1
128 540 1
14 540 1
60 540 1
6 540 1
44 540 1
0 540 1
90 540 1
128 541 1
169 541 1
84 541 1
85 541 1
16 541 1
130 541 1
131 541 1
6 541 1
179 541 1
49 541 1
39 541 1
44 541 1
100 541 1
113 541 1
89 541 1
66 541 1
1 541 1
173 541 1
106 541 1
180 541 1
29 541 1
31 541 1
137 541 1
139 541 1
181 541 1
140 541 1
182 541 1
167 541 1
72 541 1
183 541 1
184 541 1
168 541 1
185 541 1
15 541 1
186 541 1
11 541 1
91 541 1
93 541 1
187 541 1
12 541 1
51 541 1
108 541 1
188 541 1
150 541 1
189 541 1
7 541 1
80 541 1
154 541 1
190 541 1
9 542 1
0 542 1
106 542 1
35 542 1
178 542 1
161 542 1
58 542 1
108 542 1
52 542 1
5 542 1
191 543 1
49 543 1
66 543 1
138 543 1
167 543 1
162 543 1
192 543 1
128 544 1
193 544 1
86 544 1
16 544 1
130 544 1
131 544 1
48 544 1
18 544 1
191 544 1
19 544 1
81 544 1
88 544 1
135 544 1
40 544 1
82 544 1
194 544 1
55 544 1
90 544 1
36 544 1
31 544 1
140 544 1
195 544 1
71 544 1
50 544 1
196 544 1
197 544 1
15 544 1
4 544 1
198 544 1
199 544 1
75 544 1
200 544 1
93 544 1
12 544 1
201 544 1
97 544 1
149 544 1
150 544 1
54 544 1
202 544 1
151 544 1
79 544 1
80 544 1
203 544 1
154 544 1
204 545 1
58 545 1
205 545 1
52 545 1
206 545 1
207 545 1
61 546 1
70 546 1
30 546 1
133 547 1
66 547 1
92 547 1
12 547 1
62 548 1
107 548 1
76 548 1
208 548 1
209 549 1
48 549 1
87 549 1
23 549 1
63 549 1
194 549 1
115 549 1
210 549 1
35 549 1
13 549 1
121 549 1
75 549 1
93 549 1
211 549 1
212 549 1
51 549 1
213 549 1
97 549 1
149 549 1
214 549 1
105 549 1
153 549 1
175 549 1
60 550 1
169 551 1
111 551 1
59 551 1
40 551 1
0 551 1
137 551 1
215 551 1
52 551 1
216 551 1
175 551 1
217 551 1
49 552 1
218 552 1
137 552 1
138 552 1
102 552 1
171 552 1
178 552 1
5 552 1
219 552 1
106 553 1
107 553 1
215 553 1
220 553 1
108 553 1
76 553 1
221 553 1
216 553 1
109 553 1
3 554 1
59 554 1
40 554 1
63 554 1
65 554 1
69 554 1
222 554 1
223 554 1
118 554 1
197 554 1
120 554 1
198 554 1
199 554 1
58 554 1
93 554 1
211 554 1
38 554 1
76 554 1
224 554 1
2 554 1
48 554 1
156 554 1
87 554 1
225 554 1
1 554 1
226 554 1
115 554 1
29 554 1
227 554 1
72 554 1
159 554 1
228 554 1
229 554 1
230 554 1
212 554 1
125 554 1
52 554 1
149 554 1
47 554 1
40 555 1
186 555 1
33 555 1
13 555 1
230 555 1
231 555 1
151 555 1
8 555 1
175 555 1
86 556 1
106 556 1
107 556 1
32 556 1
232 556 1
86 557 1
32 557 1
233 557 1
46 557 1
3 558 1
135 558 1
30 558 1
210 558 1
228 558 1
35 558 1
13 558 1
4 558 1
122 558 1
230 558 1
202 558 1
127 559 1
128 559 1
86 559 1
16 559 1
44 559 1
40 559 1
0 559 1
234 559 1
235 559 1
69 559 1
137 559 1
236 559 1
181 559 1
117 559 1
141 559 1
182 559 1
167 559 1
223 559 1
183 559 1
196 559 1
160 559 1
15 559 1
91 559 1
75 559 1
237 559 1
58 559 1
205 559 1
200 559 1
163 559 1
238 559 1
93 559 1
211 559 1
104 559 1
239 559 1
25 559 1
240 559 1
5 559 1
208 559 1
77 559 1
79 559 1
33 559 1
214 559 1
105 559 1
219 559 1
99 559 1
111 559 1
241 559 1
2 559 1
130 559 1
48 559 1
242 559 1
134 559 1
39 559 1
87 559 1
88 559 1
82 559 1
23 559 1
225 559 1
194 559 1
89 559 1
90 559 1
36 559 1
243 559 1
244 559 1
245 559 1
29 559 1
246 559 1
31 559 1
247 559 1
248 559 1
249 559 1
250 559 1
143 559 1
35 559 1
229 559 1
251 559 1
73 559 1
74 559 1
121 559 1
252 559 1
253 559 1
122 559 1
254 559 1
