4864 36431
0 224 1
1 224 1
2 224 1
3 224 1
4 224 1
5 224 1
6 225 1
7 225 1
8 225 1
9 225 1
10 225 1
5 225 1
11 225 1
12 225 1
13 225 1
14 226 1
15 227 1
5 227 1
16 227 1
17 227 1
18 227 1
14 227 1
11 228 1
19 228 1
6 229 1
20 229 1
4 229 1
21 229 1
22 229 1
2 229 1
23 229 1
24 229 1
25 229 1
26 229 1
27 229 1
28 230 1
29 230 1
30 230 1
31 231 1
25 231 1
32 232 1
17 233 1
14 233 1
33 233 1
5 233 1
27 233 1
14 234 1
11 235 1
22 235 1
34 235 1
14 236 1
35 236 1
36 236 1
37 236 1
38 236 1
39 237 1
31 237 1
22 237 1
40 238 1
39 239 1
17 239 1
41 239 1
38 239 1
42 239 1
43 240 1
44 240 1
39 240 1
17 240 1
11 240 1
45 240 1
25 240 1
46 240 1
47 240 1
39 241 1
32 241 1
14 241 1
48 242 1
49 242 1
50 242 1
23 242 1
41 242 1
42 242 1
51 243 1
17 243 1
52 243 1
37 243 1
38 243 1
27 243 1
30 243 1
6 244 1
31 244 1
25 244 1
1 244 1
14 245 1
53 245 1
54 246 1
31 246 1
22 246 1
55 246 1
3 246 1
25 246 1
56 246 1
57 246 1
11 247 1
58 247 1
39 248 1
59 248 1
57 248 1
6 249 1
14 249 1
6 250 1
8 250 1
43 250 1
39 250 1
32 250 1
60 250 1
22 250 1
61 250 1
62 250 1
55 250 1
63 250 1
56 250 1
57 250 1
64 251 1
60 251 1
65 251 1
1 251 1
66 251 1
0 252 1
67 252 1
6 252 1
8 252 1
43 252 1
39 252 1
9 252 1
51 252 1
17 252 1
60 252 1
49 252 1
28 252 1
22 252 1
2 252 1
61 252 1
68 252 1
35 252 1
23 252 1
24 252 1
69 252 1
70 252 1
38 252 1
71 252 1
66 252 1
27 252 1
57 252 1
46 252 1
72 252 1
73 252 1
74 253 1
44 254 1
31 254 1
51 254 1
75 254 1
17 254 1
60 254 1
21 254 1
22 254 1
50 254 1
76 254 1
68 254 1
77 254 1
62 254 1
78 254 1
36 254 1
55 254 1
24 254 1
79 254 1
34 254 1
63 254 1
25 254 1
56 254 1
80 254 1
38 254 1
81 254 1
57 254 1
82 254 1
72 254 1
4 255 1
39 256 1
75 256 1
22 256 1
15 257 1
14 258 1
83 258 1
63 258 1
84 259 1
0 260 1
6 260 1
20 260 1
31 260 1
4 260 1
37 260 1
55 260 1
83 260 1
69 260 1
70 260 1
33 260 1
5 260 1
16 260 1
85 260 1
15 260 1
17 260 1
49 260 1
21 260 1
86 260 1
68 260 1
77 260 1
62 260 1
87 260 1
88 260 1
14 260 1
3 260 1
89 260 1
25 260 1
41 260 1
56 260 1
38 260 1
19 260 1
25 261 1
46 261 1
14 262 1
90 263 1
8 263 1
60 263 1
61 263 1
45 263 1
40 263 1
36 263 1
33 263 1
72 263 1
91 263 1
49 263 1
22 263 1
68 263 1
35 263 1
3 263 1
41 263 1
30 263 1
92 264 1
28 265 1
5 266 1
15 266 1
17 266 1
28 266 1
6 267 1
39 267 1
52 267 1
