2990 12577
0 156 1
1 157 1
2 158 1
3 158 1
4 158 1
5 158 1
6 158 1
7 158 1
8 159 1
9 159 1
10 159 1
11 159 1
12 159 1
13 160 1
14 161 1
15 161 1
16 162 1
17 163 1
1 164 1
17 164 1
18 165 1
19 165 1
20 165 1
14 166 1
21 167 1
22 167 1
0 168 1
23 169 1
24 170 1
2 171 1
18 171 1
17 171 1
25 171 1
24 171 1
26 171 1
11 171 1
9 172 1
27 172 1
28 172 1
29 172 1
0 172 1
8 172 1
25 172 1
24 172 1
26 172 1
30 173 1
2 173 1
18 173 1
3 173 1
14 173 1
31 173 1
32 173 1
19 173 1
33 174 1
34 175 1
35 176 1
36 177 1
1 177 1
37 177 1
31 177 1
38 177 1
39 177 1
12 177 1
25 177 1
10 177 1
26 177 1
40 177 1
13 177 1
19 178 1
1 179 1
38 179 1
2 180 1
0 180 1
34 181 1
28 182 1
41 182 1
28 183 1
31 183 1
8 183 1
9 183 1
27 183 1
42 183 1
43 183 1
44 184 1
14 184 1
39 185 1
29 186 1
0 187 1
29 187 1
43 187 1
45 188 1
25 188 1
46 189 1
5 190 1
10 191 1
28 192 1
45 192 1
27 192 1
45 193 1
27 193 1
29 193 1
32 193 1
47 194 1
32 195 1
48 196 1
34 197 1
34 198 1
1 198 1
37 198 1
38 198 1
9 198 1
49 198 1
46 198 1
50 199 1
28 199 1
36 199 1
1 199 1
37 199 1
8 199 1
45 199 1
38 199 1
9 199 1
29 199 1
21 199 1
17 199 1
10 199 1
51 199 1
52 200 1
53 201 1
22 202 1
18 203 1
5 203 1
16 203 1
30 203 1
33 203 1
19 203 1
13 203 1
7 203 1
38 204 1
2 205 1
44 205 1
3 205 1
54 205 1
55 205 1
56 205 1
33 205 1
57 205 1
10 205 1
58 205 1
46 205 1
10 206 1
2 207 1
31 207 1
59 207 1
56 207 1
60 207 1
61 207 1
16 208 1
44 209 1
39 210 1
28 211 1
28 212 1
31 212 1
38 212 1
62 212 1
63 212 1
10 212 1
52 213 1
44 213 1
3 213 1
54 213 1
64 213 1
65 213 1
16 213 1
30 213 1
60 213 1
33 213 1
66 213 1
14 213 1
67 213 1
68 213 1
69 213 1
70 213 1
58 213 1
46 213 1
4 214 1
71 214 1
44 215 1
34 215 1
0 215 1
17 215 1
18 216 1
28 216 1
44 216 1
34 216 1
72 216 1
37 216 1
73 216 1
65 216 1
33 216 1
68 216 1
74 216 1
58 216 1
19 216 1
1 217 1
4 218 1
5 218 1
56 218 1
28 219 1
44 219 1
36 219 1
41 219 1
48 219 1
30 219 1
27 219 1
75 219 1
14 219 1
32 219 1
44 220 1
5 220 1
59 220 1
39 220 1
33 220 1
57 220 1
76 220 1
52 221 1
18 221 1
77 221 1
28 221 1
44 221 1
36 221 1
54 221 1
0 221 1
72 221 1
6 221 1
31 221 1
5 221 1
48 221 1
16 221 1
78 221 1
30 221 1
9 221 1
27 221 1
79 221 1
60 221 1
29 221 1
80 221 1
81 221 1
67 221 1
42 221 1
43 221 1
82 221 1
26 221 1
11 221 1
32 221 1
58 221 1
83 221 1
47 221 1
13 221 1
3 222 1
71 222 1
84 222 1
56 222 1
39 222 1
33 222 1
33 223 1
34 224 1
29 224 1
17 224 1
26 224 1
72 225 1
12 226 1
1 227 1
76 227 1
45 228 1
32 229 1
18 230 1
44 230 1
3 230 1
4 230 1
65 230 1
5 230 1
84 230 1
56 230 1
33 230 1
81 230 1
14 230 1
42 230 1
32 230 1
19 230 1
11 231 1
1 232 1
9 233 1
38 234 1
26 234 1
32 234 1
2 235 1
85 235 1
44 236 1
0 236 1
72 236 1
48 236 1
30 236 1
33 236 1
81 236 1
51 236 1
76 236 1
34 237 1
12 237 1
10 237 1
38 238 1
81 239 1
1 240 1
38 240 1
22 240 1
1 241 1
37 241 1
38 241 1
9 241 1
12 241 1
86 241 1
10 241 1
40 241 1
87 242 1
0 242 1
45 242 1
48 242 1
9 242 1
38 243 1
44 244 1
5 244 1
17 244 1
25 244 1
11 244 1
1 245 1
30 246 1
19 246 1
22 247 1
28 248 1
34 248 1
36 248 1
8 248 1
45 248 1
88 248 1
79 248 1
39 248 1
17 248 1
25 248 1
86 248 1
74 248 1
26 248 1
11 248 1
40 248 1
19 248 1
44 249 1
14 249 1
42 249 1
7 249 1
2 250 1
18 250 1
3 250 1
4 250 1
73 250 1
16 250 1
59 250 1
14 250 1
42 250 1
32 250 1
58 250 1
19 250 1
46 250 1
7 250 1
14 251 1
54 252 1
46 252 1
34 253 1
2 254 1
18 254 1
44 254 1
4 254 1
73 254 1
5 254 1
89 254 1
59 254 1
85 254 1
33 254 1
14 254 1
68 254 1
86 254 1
69 254 1
42 254 1
74 254 1
61 254 1
90 254 1
82 254 1
26 254 1
32 254 1
58 254 1
19 254 1
76 254 1
13 254 1
46 254 1
15 255 1
29 255 1
14 256 1
28 257 1
34 257 1
36 257 1
54 257 1
1 257 1
37 257 1
88 257 1
38 257 1
9 257 1
27 257 1
91 257 1
17 257 1
25 257 1
24 257 1
10 257 1
26 257 1
11 257 1
28 258 1
1 259 1
92 259 1
10 259 1
44 260 1
10 260 1
1 261 1
37 261 1
8 261 1
93 261 1
9 261 1
17 261 1
25 261 1
10 261 1
26 261 1
39 262 1
73 263 1
39 263 1
36 264 1
31 264 1
38 264 1
28 265 1
34 265 1
12 265 1
17 265 1
25 265 1
11 265 1
71 266 1
28 267 1
27 267 1
28 268 1
54 269 1
34 270 1
4 271 1
5 271 1
32 271 1
3 272 1
12 272 1
10 272 1
2 273 1
18 273 1
44 273 1
3 273 1
4 273 1
5 273 1
59 273 1
84 273 1
56 273 1
60 273 1
33 273 1
14 273 1
69 273 1
74 273 1
61 273 1
90 273 1
32 273 1
13 273 1
0 274 1
5 275 1
94 275 1
30 275 1
33 275 1
35 275 1
76 275 1
7 275 1
2 276 1
18 276 1
71 276 1
5 276 1
30 276 1
18 277 1
44 277 1
84 277 1
33 277 1
32 277 1
19 277 1
12 278 1
44 279 1
1 279 1
27 279 1
14 279 1
5 280 1
38 280 1
10 280 1
52 281 1
78 281 1
94 281 1
33 281 1
70 281 1
74 281 1
32 281 1
19 281 1
31 282 1
14 282 1
38 283 1
18 284 1
45 284 1
29 284 1
26 284 1
58 284 1
44 285 1
6 285 1
73 285 1
58 285 1
39 286 1
18 287 1
28 287 1
34 287 1
84 287 1
27 287 1
42 287 1
2 288 1
18 288 1
72 288 1
65 288 1
16 288 1
27 288 1
14 288 1
19 288 1
76 288 1
28 289 1
34 289 1
8 289 1
17 289 1
34 290 1
29 290 1
17 290 1
86 290 1
52 291 1
95 291 1
18 291 1
36 291 1
0 291 1
73 291 1
45 291 1
78 291 1
20 291 1
60 291 1
29 291 1
80 291 1
96 291 1
61 291 1
2 292 1
3 292 1
36 293 1
9 293 1
27 293 1
1 294 1
34 295 1
17 296 1
43 296 1
21 297 1
29 298 1
1 299 1
14 300 1
1 301 1
40 301 1
69 302 1
28 303 1
34 303 1
0 303 1
37 303 1
8 303 1
88 303 1
9 303 1
29 303 1
63 303 1
17 303 1
10 303 1
26 303 1
11 303 1
72 304 1
48 304 1
16 304 1
38 304 1
92 304 1
12 304 1
81 304 1
14 304 1
67 304 1
10 304 1
51 304 1
32 304 1
7 304 1
38 305 1
28 306 1
34 306 1
78 306 1
29 306 1
57 306 1
42 306 1
58 306 1
10 307 1
28 308 1
34 308 1
45 308 1
9 308 1
12 308 1
63 308 1
17 308 1
24 308 1
43 308 1
26 308 1
38 309 1
37 310 1
9 310 1
29 310 1
26 310 1
44 311 1
43 311 1
15 312 1
97 313 1
36 313 1
8 313 1
9 313 1
12 313 1
91 313 1
17 313 1
98 313 1
86 314 1
48 315 1
76 315 1
7 315 1
34 316 1
99 317 1
37 318 1
45 318 1
9 318 1
25 318 1
11 318 1
36 319 1
0 319 1
33 319 1
19 319 1
1 320 1
1 321 1
37 322 1
52 323 1
2 323 1
18 323 1
28 323 1
4 323 1
0 323 1
72 323 1
73 323 1
5 323 1
100 323 1
33 323 1
68 323 1
57 323 1
69 323 1
43 323 1
61 323 1
32 323 1
7 323 1
44 324 1
72 324 1
34 325 1
8 325 1
17 325 1
25 325 1
24 325 1
70 325 1
11 325 1
37 326 1
81 326 1
25 326 1
27 327 1
54 328 1
28 329 1
40 329 1
25 330 1
14 331 1
44 332 1
36 332 1
37 332 1
62 332 1
29 332 1
17 332 1
11 332 1
32 332 1
28 332 1
3 332 1
1 332 1
31 332 1
48 332 1
16 332 1
9 332 1
27 332 1
24 332 1
43 332 1
40 332 1
5 333 1
66 333 1
52 334 1
71 335 1
13 335 1
1 336 1
36 337 1
37 337 1
17 337 1
26 337 1
28 337 1
34 337 1
9 337 1
25 337 1
43 337 1
38 338 1
30 338 1
14 338 1
39 338 1
10 338 1
19 338 1
44 339 1
30 339 1
14 339 1
52 339 1
3 339 1
4 339 1
39 339 1
34 340 1
9 341 1
27 342 1
29 343 1
18 343 1
28 343 1
51 344 1
26 344 1
10 344 1
44 345 1
11 345 1
32 345 1
1 345 1
67 345 1
82 346 1
7 346 1
34 347 1
37 348 1
88 348 1
17 348 1
49 348 1
34 348 1
25 348 1
43 348 1
50 349 1
36 349 1
37 349 1
8 349 1
45 349 1
88 349 1
38 349 1
92 349 1
29 349 1
91 349 1
21 349 1
17 349 1
49 349 1
51 349 1
26 349 1
98 349 1
28 349 1
34 349 1
3 349 1
1 349 1
101 349 1
53 349 1
9 349 1
27 349 1
102 349 1
63 349 1
25 349 1
24 349 1
10 349 1
43 349 1
69 350 1
12 351 1
48 352 1
2 353 1
77 353 1
72 353 1
18 354 1
0 355 1
32 355 1
27 355 1
41 356 1
1 356 1
7 356 1
12 357 1
17 358 1
12 358 1
10 358 1
38 359 1
1 359 1
9 359 1
60 360 1
11 361 1
34 361 1
63 361 1
97 362 1
37 362 1
38 362 1
21 362 1
17 362 1
51 362 1
26 362 1
11 362 1
32 362 1
18 362 1
28 362 1
34 362 1
3 362 1
72 362 1
1 362 1
9 362 1
27 362 1
12 362 1
25 362 1
24 362 1
42 362 1
10 362 1
43 362 1
40 362 1
33 363 1
32 363 1
40 364 1
36 365 1
22 366 1
25 367 1
69 368 1
54 369 1
14 369 1
32 369 1
31 369 1
14 370 1
74 370 1
18 370 1
3 370 1
6 370 1
73 370 1
83 370 1
103 371 1
0 372 1
9 372 1
33 373 1
69 373 1
32 373 1
76 373 1
58 373 1
9 374 1
44 375 1
12 375 1
37 376 1
29 376 1
26 376 1
98 376 1
28 376 1
9 376 1
25 376 1
24 376 1
12 377 1
36 378 1
0 378 1
38 378 1
92 378 1
21 378 1
69 378 1
61 378 1
22 378 1
3 378 1
60 378 1
42 378 1
19 378 1
22 379 1
79 380 1
69 380 1
26 380 1
1 381 1
7 382 1
38 383 1
1 383 1
104 383 1
37 384 1
82 384 1
29 385 1
33 385 1
29 386 1
37 387 1
38 387 1
92 387 1
21 387 1
26 387 1
11 387 1
22 387 1
1 387 1
9 387 1
25 387 1
24 387 1
10 387 1
0 388 1
34 388 1
73 388 1
12 388 1
63 388 1
40 388 1
65 389 1
59 389 1
14 389 1
49 389 1
3 389 1
72 389 1
58 389 1
84 390 1
56 390 1
14 390 1
69 390 1
105 390 1
61 390 1
13 390 1
72 390 1
48 390 1
19 390 1
37 391 1
38 391 1
86 391 1
69 391 1
28 391 1
34 391 1
31 391 1
54 392 1
45 392 1
38 392 1
17 392 1
69 392 1
51 392 1
32 392 1
34 392 1
42 392 1
58 392 1
8 393 1
12 394 1
27 395 1
25 396 1
38 397 1
79 397 1
1 397 1
51 398 1
54 399 1
0 400 1
5 400 1
33 400 1
44 401 1
54 401 1
5 401 1
79 401 1
32 401 1
18 401 1
16 401 1
29 402 1
58 402 1
38 403 1
1 403 1
2 404 1
44 404 1
5 404 1
84 404 1
14 404 1
16 404 1
83 404 1
5 405 1
93 405 1
32 405 1
18 405 1
28 405 1
34 406 1
14 407 1
82 407 1
3 407 1
72 407 1
48 407 1
1 408 1
48 409 1
9 410 1
54 411 1
86 412 1
28 413 1
30 414 1
0 415 1
7 416 1
37 417 1
14 417 1
26 417 1
52 417 1
28 417 1
73 417 1
9 417 1
12 417 1
25 417 1
24 417 1
0 418 1
52 419 1
47 419 1
8 420 1
28 421 1
37 422 1
17 422 1
51 422 1
1 422 1
27 422 1
12 422 1
97 423 1
106 423 1
8 423 1
88 423 1
38 423 1
91 423 1
17 423 1
49 423 1
26 423 1
11 423 1
98 423 1
28 423 1
34 423 1
12 423 1
63 423 1
25 423 1
24 423 1
43 423 1
40 423 1
65 424 1
17 425 1
11 425 1
25 425 1
38 426 1
30 426 1
22 426 1
48 426 1
86 427 1
32 427 1
52 427 1
52 428 1
8 429 1
17 429 1
26 429 1
34 429 1
9 429 1
25 429 1
24 429 1
54 430 1
5 430 1
30 430 1
33 430 1
57 430 1
35 430 1
32 430 1
18 430 1
4 430 1
107 430 1
42 430 1
58 430 1
37 431 1
8 431 1
5 431 1
38 431 1
17 431 1
51 431 1
26 431 1
11 431 1
22 431 1
34 431 1
9 431 1
39 431 1
25 431 1
24 431 1
10 431 1
43 431 1
23 432 1
57 432 1
38 433 1
14 433 1
32 433 1
52 433 1
1 433 1
42 433 1
0 434 1
56 434 1
57 434 1
82 434 1
13 434 1
87 434 1
44 435 1
0 435 1
73 435 1
0 436 1
52 436 1
12 436 1
0 437 1
74 437 1
16 437 1
15 437 1
43 437 1
50 438 1
2 438 1
3 438 1
4 438 1
85 438 1
12 438 1
40 438 1
26 439 1
3 439 1
8 440 1
54 441 1
86 442 1
69 442 1
38 443 1
14 443 1
69 443 1
3 443 1
7 443 1
37 444 1
26 444 1
11 444 1
9 444 1
25 444 1
43 444 1
36 445 1
13 445 1
16 445 1
60 445 1
38 446 1
30 446 1
21 446 1
22 446 1
39 446 1
42 446 1
10 446 1
45 447 1
79 447 1
28 447 1
34 447 1
48 448 1
52 449 1
108 450 1
55 450 1
38 451 1
79 451 1
21 451 1
14 451 1
69 451 1
18 451 1
3 451 1
1 451 1
31 451 1
47 451 1
7 451 1
52 452 1
1 452 1
48 452 1
67 452 1
54 453 1
1 454 1
40 454 1
22 455 1
38 456 1
44 457 1
38 457 1
52 457 1
38 458 1
92 458 1
51 458 1
1 458 1
48 458 1
10 458 1
5 459 1
8 460 1
18 460 1
78 460 1
19 460 1
3 461 1
34 462 1
1 462 1
12 462 1
31 463 1
34 464 1
37 465 1
91 465 1
26 465 1
12 465 1
25 465 1
24 465 1
17 466 1
6 467 1
109 468 1
52 469 1
48 469 1
0 470 1
8 471 1
38 471 1
49 471 1
18 471 1
28 471 1
34 471 1
0 472 1
2 473 1
44 473 1
37 473 1
38 473 1
59 473 1
30 473 1
62 473 1
56 473 1
14 473 1
57 473 1
26 473 1
32 473 1
46 473 1
52 473 1
18 473 1
4 473 1
109 473 1
