7321 192021
0 1378 1
1 1378 1
2 1378 1
3 1378 1
4 1378 1
5 1379 1
6 1379 1
7 1379 1
8 1379 1
9 1379 1
10 1379 1
11 1379 1
12 1379 1
13 1379 1
14 1379 1
15 1379 1
16 1379 1
17 1379 1
18 1379 1
19 1379 1
20 1379 1
21 1379 1
22 1379 1
23 1379 1
24 1379 1
25 1379 1
26 1379 1
27 1379 1
28 1379 1
29 1379 1
30 1379 1
31 1379 1
32 1379 1
33 1379 1
34 1379 1
35 1379 1
36 1379 1
37 1379 1
38 1379 1
39 1379 1
40 1379 1
41 1380 1
42 1380 1
9 1381 1
43 1382 1
44 1382 1
45 1382 1
46 1382 1
47 1382 1
48 1382 1
49 1382 1
50 1382 1
51 1382 1
52 1382 1
53 1382 1
54 1382 1
55 1382 1
56 1382 1
57 1382 1
58 1382 1
59 1382 1
60 1382 1
23 1382 1
61 1382 1
62 1382 1
63 1382 1
64 1382 1
65 1382 1
66 1382 1
67 1382 1
68 1382 1
69 1382 1
70 1382 1
71 1382 1
72 1382 1
73 1382 1
74 1382 1
75 1382 1
76 1382 1
77 1382 1
78 1382 1
79 1382 1
80 1382 1
81 1382 1
82 1382 1
83 1382 1
84 1382 1
85 1382 1
86 1382 1
87 1382 1
88 1382 1
89 1382 1
90 1382 1
91 1382 1
92 1382 1
93 1382 1
94 1382 1
95 1382 1
96 1382 1
97 1382 1
98 1382 1
99 1382 1
100 1382 1
101 1382 1
102 1382 1
103 1382 1
104 1382 1
105 1382 1
106 1382 1
107 1382 1
108 1383 1
109 1383 1
110 1383 1
111 1383 1
112 1383 1
113 1383 1
114 1383 1
115 1383 1
116 1383 1
117 1383 1
118 1384 1
52 1384 1
119 1384 1
120 1384 1
121 1384 1
122 1384 1
123 1384 1
124 1384 1
3 1384 1
125 1384 1
126 1384 1
127 1384 1
128 1384 1
129 1384 1
130 1384 1
131 1384 1
132 1384 1
133 1384 1
134 1384 1
135 1384 1
136 1384 1
137 1384 1
138 1384 1
139 1384 1
140 1384 1
141 1384 1
142 1384 1
143 1384 1
144 1384 1
145 1384 1
146 1384 1
147 1384 1
5 1384 1
148 1384 1
149 1384 1
150 1384 1
151 1384 1
152 1384 1
153 1384 1
154 1384 1
16 1384 1
155 1384 1
2 1384 1
156 1384 1
157 1384 1
158 1384 1
159 1384 1
27 1384 1
86 1384 1
87 1384 1
160 1384 1
161 1384 1
162 1384 1
163 1384 1
164 1384 1
99 1384 1
101 1384 1
165 1384 1
166 1384 1
167 1384 1
168 1384 1
169 1384 1
119 1385 1
170 1385 1
171 1385 1
63 1385 1
139 1385 1
172 1385 1
173 1385 1
113 1385 1
94 1385 1
174 1385 1
95 1385 1
175 1385 1
176 1385 1
177 1386 1
178 1386 1
179 1386 1
13 1386 1
122 1386 1
41 1386 1
180 1386 1
181 1386 1
182 1386 1
183 1386 1
184 1386 1
26 1386 1
185 1386 1
138 1386 1
186 1386 1
34 1386 1
5 1386 1
187 1386 1
188 1386 1
189 1386 1
81 1386 1
12 1386 1
190 1386 1
191 1386 1
192 1386 1
193 1386 1
24 1386 1
194 1386 1
195 1386 1
196 1386 1
96 1386 1
116 1386 1
99 1386 1
197 1386 1
198 1386 1
199 1386 1
200 1386 1
201 1386 1
202 1386 1
169 1386 1
203 1386 1
204 1386 1
205 1386 1
206 1386 1
130 1386 1
207 1386 1
31 1386 1
208 1386 1
140 1386 1
32 1386 1
209 1386 1
210 1386 1
211 1386 1
35 1386 1
212 1386 1
213 1386 1
214 1386 1
153 1386 1
215 1386 1
216 1386 1
155 1386 1
217 1386 1
218 1386 1
219 1386 1
220 1386 1
221 1386 1
0 1386 1
222 1386 1
223 1386 1
224 1386 1
106 1386 1
225 1386 1
226 1387 1
134 1387 1
227 1387 1
228 1387 1
163 1387 1
98 1387 1
229 1387 1
230 1387 1
23 1387 1
64 1387 1
140 1387 1
141 1387 1
209 1387 1
231 1387 1
232 1387 1
4 1387 1
172 1387 1
233 1387 1
234 1387 1
95 1387 1
235 1387 1
193 1388 1
236 1388 1
162 1388 1
201 1388 1
237 1388 1
238 1388 1
239 1388 1
240 1389 1
162 1389 1
241 1389 1
242 1389 1
41 1390 1
123 1390 1
170 1390 1
171 1390 1
133 1390 1
138 1390 1
186 1390 1
243 1390 1
244 1390 1
245 1390 1
97 1390 1
104 1390 1
246 1390 1
247 1390 1
248 1390 1
249 1390 1
250 1390 1
205 1390 1
237 1390 1
130 1390 1
251 1390 1
139 1390 1
32 1390 1
252 1390 1
109 1390 1
253 1390 1
148 1390 1
172 1390 1
254 1390 1
218 1390 1
255 1390 1
256 1390 1
257 1390 1
258 1390 1
259 1390 1
165 1390 1
260 1390 1
261 1391 1
262 1391 1
13 1392 1
263 1392 1
264 1392 1
265 1392 1
266 1392 1
267 1392 1
191 1392 1
268 1392 1
196 1392 1
269 1392 1
99 1392 1
270 1392 1
199 1392 1
271 1392 1
176 1392 1
272 1392 1
273 1392 1
274 1392 1
48 1392 1
275 1392 1
276 1392 1
277 1392 1
278 1392 1
64 1392 1
279 1392 1
32 1392 1
70 1392 1
149 1392 1
256 1392 1
28 1392 1
93 1392 1
280 1392 1
281 1392 1
177 1393 1
47 1393 1
263 1393 1
282 1393 1
41 1393 1
180 1393 1
181 1393 1
283 1393 1
284 1393 1
285 1393 1
286 1393 1
287 1393 1
288 1393 1
138 1393 1
289 1393 1
290 1393 1
186 1393 1
291 1393 1
227 1393 1
5 1393 1
187 1393 1
243 1393 1
292 1393 1
191 1393 1
113 1393 1
22 1393 1
236 1393 1
293 1393 1
294 1393 1
295 1393 1
94 1393 1
296 1393 1
162 1393 1
297 1393 1
298 1393 1
247 1393 1
201 1393 1
299 1393 1
