7285 183538
0 1362 1
1 1362 1
2 1362 1
3 1362 1
4 1362 1
5 1363 1
6 1363 1
7 1363 1
8 1363 1
9 1363 1
10 1363 1
11 1363 1
12 1363 1
13 1363 1
14 1363 1
15 1363 1
16 1363 1
17 1363 1
18 1363 1
19 1363 1
20 1363 1
21 1363 1
22 1363 1
23 1363 1
24 1363 1
25 1363 1
26 1363 1
27 1363 1
28 1363 1
29 1363 1
30 1363 1
31 1363 1
32 1363 1
33 1363 1
34 1363 1
35 1363 1
36 1363 1
37 1363 1
38 1363 1
39 1363 1
40 1364 1
9 1365 1
41 1366 1
42 1366 1
43 1366 1
44 1366 1
45 1366 1
46 1366 1
47 1366 1
48 1366 1
49 1366 1
50 1366 1
51 1366 1
52 1366 1
53 1366 1
54 1366 1
55 1366 1
56 1366 1
57 1366 1
58 1366 1
22 1366 1
59 1366 1
60 1366 1
61 1366 1
62 1366 1
63 1366 1
64 1366 1
65 1366 1
66 1366 1
67 1366 1
68 1366 1
69 1366 1
70 1366 1
71 1366 1
72 1366 1
73 1366 1
74 1366 1
75 1366 1
76 1366 1
77 1366 1
78 1366 1
79 1366 1
80 1366 1
81 1366 1
82 1366 1
83 1366 1
84 1366 1
85 1366 1
86 1366 1
87 1366 1
88 1366 1
89 1366 1
90 1366 1
91 1366 1
92 1366 1
93 1366 1
94 1366 1
95 1366 1
96 1366 1
97 1366 1
98 1366 1
99 1366 1
100 1366 1
101 1366 1
102 1366 1
103 1366 1
104 1367 1
105 1367 1
106 1367 1
107 1367 1
108 1367 1
109 1367 1
110 1367 1
111 1367 1
112 1368 1
50 1368 1
113 1368 1
114 1368 1
115 1368 1
116 1368 1
117 1368 1
118 1368 1
3 1368 1
119 1368 1
120 1368 1
121 1368 1
122 1368 1
123 1368 1
124 1368 1
125 1368 1
126 1368 1
127 1368 1
128 1368 1
129 1368 1
130 1368 1
131 1368 1
132 1368 1
133 1368 1
134 1368 1
135 1368 1
136 1368 1
137 1368 1
138 1368 1
