7350 193929
0 1409 1
1 1409 1
2 1409 1
3 1409 1
4 1409 1
5 1409 1
6 1409 1
7 1409 1
8 1409 1
9 1409 1
10 1409 1
11 1409 1
12 1410 1
13 1410 1
14 1410 1
15 1410 1
16 1410 1
17 1410 1
18 1410 1
19 1410 1
20 1410 1
21 1410 1
22 1410 1
23 1410 1
24 1410 1
25 1410 1
26 1410 1
27 1410 1
28 1410 1
29 1410 1
30 1410 1
31 1410 1
32 1410 1
33 1410 1
34 1410 1
35 1410 1
36 1410 1
37 1410 1
38 1410 1
39 1410 1
40 1410 1
41 1410 1
42 1410 1
43 1410 1
44 1410 1
45 1410 1
46 1410 1
47 1411 1
16 1412 1
48 1413 1
49 1413 1
50 1413 1
51 1413 1
52 1413 1
53 1413 1
54 1413 1
55 1413 1
56 1413 1
57 1413 1
58 1413 1
59 1413 1
60 1413 1
61 1413 1
62 1413 1
63 1413 1
64 1413 1
65 1413 1
29 1413 1
66 1413 1
67 1413 1
68 1413 1
69 1413 1
70 1413 1
71 1413 1
72 1413 1
73 1413 1
74 1413 1
75 1413 1
76 1413 1
77 1413 1
78 1413 1
79 1413 1
80 1413 1
81 1413 1
82 1413 1
83 1413 1
84 1413 1
85 1413 1
86 1413 1
87 1413 1
88 1413 1
89 1413 1
90 1413 1
91 1413 1
92 1413 1
93 1413 1
94 1413 1
95 1413 1
96 1413 1
97 1413 1
98 1413 1
99 1413 1
100 1413 1
101 1413 1
102 1413 1
103 1413 1
104 1413 1
105 1413 1
106 1413 1
107 1413 1
108 1413 1
109 1413 1
110 1413 1
111 1414 1
112 1414 1
3 1414 1
113 1414 1
114 1414 1
6 1414 1
115 1414 1
116 1414 1
117 1414 1
118 1414 1
119 1414 1
120 1414 1
121 1414 1
122 1414 1
123 1414 1
124 1414 1
125 1415 1
57 1415 1
126 1415 1
127 1415 1
128 1415 1
129 1415 1
130 1415 1
131 1415 1
8 1415 1
132 1415 1
133 1415 1
134 1415 1
135 1415 1
136 1415 1
137 1415 1
138 1415 1
139 1415 1
140 1415 1
141 1415 1
142 1415 1
143 1415 1
144 1415 1
145 1415 1
146 1415 1
147 1415 1
148 1415 1
149 1415 1
150 1415 1
151 1415 1
152 1415 1
153 1415 1
154 1415 1
12 1415 1
155 1415 1
156 1415 1
157 1415 1
158 1415 1
159 1415 1
160 1415 1
161 1415 1
162 1415 1
5 1415 1
163 1415 1
164 1415 1
165 1415 1
166 1415 1
33 1415 1
90 1415 1
91 1415 1
167 1415 1
168 1415 1
169 1415 1
170 1415 1
171 1415 1
104 1415 1
172 1415 1
173 1415 1
174 1415 1
175 1415 1
176 1415 1
126 1416 1
177 1416 1
178 1416 1
68 1416 1
146 1416 1
179 1416 1
180 1416 1
121 1416 1
98 1416 1
181 1416 1
99 1416 1
182 1416 1
183 1416 1
184 1417 1
185 1417 1
20 1417 1
129 1417 1
186 1417 1
187 1417 1
188 1417 1
189 1417 1
32 1417 1
190 1417 1
145 1417 1
191 1417 1
40 1417 1
12 1417 1
192 1417 1
193 1417 1
19 1417 1
194 1417 1
195 1417 1
196 1417 1
30 1417 1
197 1417 1
198 1417 1
199 1417 1
100 1417 1
200 1417 1
201 1417 1
202 1417 1
203 1417 1
9 1417 1
204 1417 1
176 1417 1
1 1417 1
111 1417 1
205 1417 1
206 1417 1
207 1417 1
3 1417 1
208 1417 1
209 1417 1
137 1417 1
210 1417 1
211 1417 1
37 1417 1
212 1417 1
147 1417 1
38 1417 1
213 1417 1
214 1417 1
215 1417 1
41 1417 1
6 1417 1
216 1417 1
217 1417 1
218 1417 1
219 1417 1
160 1417 1
220 1417 1
221 1417 1
162 1417 1
222 1417 1
223 1417 1
224 1417 1
225 1417 1
2 1417 1
226 1417 1
109 1417 1
227 1417 1
228 1417 1
229 1418 1
141 1418 1
230 1418 1
231 1418 1
170 1418 1
102 1418 1
232 1418 1
233 1418 1
29 1418 1
69 1418 1
147 1418 1
148 1418 1
213 1418 1
234 1418 1
235 1418 1
11 1418 1
179 1418 1
236 1418 1
237 1418 1
99 1418 1
238 1418 1
187 1419 1
169 1419 1
239 1419 1
240 1419 1
241 1420 1
169 1420 1
242 1420 1
243 1420 1
130 1421 1
177 1421 1
178 1421 1
140 1421 1
145 1421 1
191 1421 1
244 1421 1
245 1421 1
246 1421 1
101 1421 1
107 1421 1
247 1421 1
248 1421 1
249 1421 1
250 1421 1
251 1421 1
209 1421 1
239 1421 1
137 1421 1
252 1421 1
146 1421 1
38 1421 1
114 1421 1
155 1421 1
179 1421 1
253 1421 1
222 1421 1
254 1421 1
255 1421 1
256 1421 1
257 1421 1
258 1421 1
172 1421 1
259 1421 1
260 1422 1
258 1422 1
261 1422 1
20 1423 1
262 1423 1
263 1423 1
264 1423 1
265 1423 1
266 1423 1
267 1423 1
268 1423 1
202 1423 1
269 1423 1
183 1423 1
270 1423 1
271 1423 1
272 1423 1
53 1423 1
273 1423 1
274 1423 1
275 1423 1
276 1423 1
69 1423 1
277 1423 1
38 1423 1
75 1423 1
156 1423 1
255 1423 1
34 1423 1
97 1423 1
278 1423 1
279 1423 1
52 1424 1
112 1424 1
262 1424 1
280 1424 1
281 1424 1
282 1424 1
283 1424 1
284 1424 1
145 1424 1
285 1424 1
191 1424 1
230 1424 1
286 1424 1
12 1424 1
192 1424 1
244 1424 1
287 1424 1
288 1424 1
195 1424 1
121 1424 1
28 1424 1
289 1424 1
290 1424 1
291 1424 1
98 1424 1
292 1424 1
169 1424 1
293 1424 1
7 1424 1
9 1424 1
248 1424 1
10 1424 1
207 1424 1
3 1424 1
294 1424 1
209 1424 1
295 1424 1
296 1424 1
212 1424 1
75 1424 1
11 1424 1
240 1424 1
82 1424 1
160 1424 1
297 1424 1
298 1424 1
221 1424 1
299 1424 1
300 1424 1
33 1424 1
90 1424 1
257 1424 1
258 1424 1
301 1424 1
174 1424 1
302 1425 1
149 1425 1
192 1425 1
244 1425 1
195 1425 1
202 1425 1
9 1425 1
10 1425 1
303 1425 1
88 1425 1
92 1425 1
258 1425 1
243 1425 1
304 1426 1
305 1427 1
258 1427 1
20 1428 1
189 1428 1
143 1428 1
306 1428 1
79 1428 1
307 1428 1
194 1428 1
308 1428 1
100 1428 1
171 1428 1
294 1428 1
131 1428 1
6 1428 1
309 1428 1
310 1428 1
311 1429 1
263 1429 1
312 1429 1
0 1429 1
313 1429 1
314 1429 1
288 1429 1
315 1429 1
316 1429 1
101 1429 1
268 1429 1
202 1429 1
317 1429 1
272 1429 1
53 1429 1
318 1429 1
319 1429 1
320 1429 1
321 1429 1
322 1429 1
323 1429 1
324 1429 1
96 1429 1
325 1429 1
301 1429 1
326 1429 1
279 1429 1
109 1429 1
327 1430 1
188 1430 1
80 1430 1
328 1430 1
84 1430 1
120 1430 1
289 1430 1
329 1430 1
330 1430 1
316 1430 1
232 1430 1
331 1430 1
175 1430 1
332 1430 1
50 1430 1
333 1430 1
334 1430 1
215 1430 1
75 1430 1
118 1430 1
246 1431 1
276 1431 1
38 1431 1
335 1431 1
173 1431 1
336 1432 1
337 1432 1
338 1432 1
129 1432 1
339 1432 1
340 1432 1
341 1432 1
280 1432 1
342 1432 1
343 1432 1
344 1432 1
135 1432 1
285 1432 1
345 1432 1
191 1432 1
150 1432 1
346 1432 1
245 1432 1
347 1432 1
196 1432 1
348 1432 1
289 1432 1
30 1432 1
349 1432 1
350 1432 1
197 1432 1
329 1432 1
291 1432 1
351 1432 1
36 1432 1
98 1432 1
316 1432 1
352 1432 1
353 1432 1
331 1432 1
354 1432 1
355 1432 1
356 1432 1
357 1432 1
317 1432 1
358 1432 1
359 1432 1
320 1432 1
360 1432 1
321 1432 1
3 1432 1
361 1432 1
362 1432 1
239 1432 1
363 1432 1
364 1432 1
276 1432 1
139 1432 1
365 1432 1
146 1432 1
366 1432 1
367 1432 1
214 1432 1
368 1432 1
369 1432 1
235 1432 1
370 1432 1
371 1432 1
372 1432 1
373 1432 1
374 1432 1
157 1432 1
375 1432 1
376 1432 1
377 1432 1
378 1432 1
160 1432 1
162 1432 1
222 1432 1
379 1432 1
33 1432 1
255 1432 1
256 1432 1
380 1432 1
224 1432 1
260 1432 1
99 1432 1
238 1432 1
381 1432 1
172 1432 1
173 1432 1
382 1432 1
174 1432 1
189 1433 1
383 1433 1
17 1433 1
194 1433 1
203 1433 1
384 1433 1
385 1433 1
219 1433 1
18 1433 1
386 1433 1
128 1434 1
327 1434 1
141 1434 1
145 1434 1
191 1434 1
149 1434 1
387 1434 1
388 1434 1
389 1434 1
390 1434 1
292 1434 1
69 1434 1
210 1434 1
391 1434 1
90 1434 1
34 1434 1
