7324 189804
0 1388 1
1 1388 1
2 1388 1
3 1388 1
4 1388 1
5 1389 1
6 1389 1
7 1389 1
8 1389 1
9 1389 1
10 1389 1
11 1389 1
12 1389 1
13 1389 1
14 1389 1
15 1389 1
16 1389 1
17 1389 1
18 1389 1
19 1389 1
20 1389 1
21 1389 1
22 1389 1
23 1389 1
24 1389 1
25 1389 1
26 1389 1
27 1389 1
28 1389 1
29 1389 1
30 1389 1
31 1389 1
32 1389 1
33 1389 1
34 1389 1
35 1389 1
36 1389 1
37 1389 1
38 1389 1
39 1389 1
40 1390 1
9 1391 1
41 1392 1
42 1392 1
43 1392 1
44 1392 1
45 1392 1
46 1392 1
47 1392 1
48 1392 1
49 1392 1
50 1392 1
51 1392 1
52 1392 1
53 1392 1
54 1392 1
55 1392 1
56 1392 1
57 1392 1
58 1392 1
22 1392 1
59 1392 1
60 1392 1
61 1392 1
62 1392 1
63 1392 1
64 1392 1
65 1392 1
66 1392 1
67 1392 1
68 1392 1
69 1392 1
70 1392 1
71 1392 1
72 1392 1
73 1392 1
74 1392 1
75 1392 1
76 1392 1
77 1392 1
78 1392 1
79 1392 1
80 1392 1
81 1392 1
82 1392 1
83 1392 1
84 1392 1
85 1392 1
86 1392 1
87 1392 1
88 1392 1
89 1392 1
90 1392 1
91 1392 1
92 1392 1
93 1392 1
94 1392 1
95 1392 1
96 1392 1
97 1392 1
98 1392 1
99 1392 1
100 1392 1
101 1392 1
102 1392 1
103 1392 1
104 1392 1
105 1392 1
106 1393 1
107 1393 1
108 1393 1
109 1393 1
110 1393 1
111 1393 1
112 1393 1
113 1393 1
114 1394 1
50 1394 1
115 1394 1
116 1394 1
117 1394 1
118 1394 1
119 1394 1
120 1394 1
3 1394 1
121 1394 1
122 1394 1
123 1394 1
124 1394 1
125 1394 1
126 1394 1
127 1394 1
128 1394 1
129 1394 1
130 1394 1
131 1394 1
132 1394 1
133 1394 1
134 1394 1
135 1394 1
136 1394 1
137 1394 1
138 1394 1
139 1394 1
140 1394 1
141 1394 1
142 1394 1
143 1394 1
5 1394 1
144 1394 1
145 1394 1
146 1394 1
147 1394 1
148 1394 1
149 1394 1
150 1394 1
151 1394 1
2 1394 1
152 1394 1
153 1394 1
154 1394 1
155 1394 1
26 1394 1
84 1394 1
85 1394 1
156 1394 1
157 1394 1
158 1394 1
159 1394 1
160 1394 1
97 1394 1
99 1394 1
161 1394 1
162 1394 1
163 1394 1
164 1394 1
165 1394 1
115 1395 1
166 1395 1
167 1395 1
61 1395 1
135 1395 1
168 1395 1
169 1395 1
110 1395 1
92 1395 1
170 1395 1
93 1395 1
171 1395 1
172 1395 1
173 1396 1
174 1396 1
13 1396 1
175 1396 1
118 1396 1
176 1396 1
177 1396 1
178 1396 1
25 1396 1
179 1396 1
134 1396 1
180 1396 1
33 1396 1
181 1396 1
5 1396 1
182 1396 1
183 1396 1
79 1396 1
12 1396 1
184 1396 1
185 1396 1
23 1396 1
186 1396 1
187 1396 1
94 1396 1
97 1396 1
188 1396 1
189 1396 1
190 1396 1
191 1396 1
192 1396 1
165 1396 1
193 1396 1
194 1396 1
195 1396 1
196 1396 1
126 1396 1
197 1396 1
30 1396 1
198 1396 1
136 1396 1
31 1396 1
199 1396 1
200 1396 1
201 1396 1
34 1396 1
202 1396 1
203 1396 1
149 1396 1
204 1396 1
205 1396 1
151 1396 1
206 1396 1
207 1396 1
208 1396 1
209 1396 1
0 1396 1
210 1396 1
104 1396 1
211 1396 1
212 1397 1
130 1397 1
213 1397 1
214 1397 1
159 1397 1
96 1397 1
215 1397 1
216 1397 1
22 1397 1
62 1397 1
136 1397 1
137 1397 1
199 1397 1
217 1397 1
218 1397 1
4 1397 1
168 1397 1
219 1397 1
220 1397 1
93 1397 1
