7302 184000
0 1374 1
1 1374 1
2 1374 1
3 1374 1
4 1374 1
5 1375 1
6 1375 1
7 1375 1
8 1375 1
9 1375 1
10 1375 1
11 1375 1
12 1375 1
13 1375 1
14 1375 1
15 1375 1
16 1375 1
17 1375 1
18 1375 1
19 1375 1
20 1375 1
21 1375 1
22 1375 1
23 1375 1
24 1375 1
25 1375 1
26 1375 1
27 1375 1
28 1375 1
29 1375 1
30 1375 1
31 1375 1
32 1375 1
33 1375 1
34 1375 1
35 1375 1
36 1375 1
37 1375 1
38 1375 1
39 1375 1
40 1376 1
41 1376 1
42 1376 1
9 1377 1
43 1377 1
44 1378 1
45 1378 1
46 1378 1
47 1378 1
48 1378 1
49 1378 1
50 1378 1
51 1378 1
52 1378 1
53 1378 1
54 1378 1
55 1378 1
56 1378 1
57 1378 1
58 1378 1
59 1378 1
60 1378 1
22 1378 1
61 1378 1
62 1378 1
63 1378 1
64 1378 1
65 1378 1
66 1378 1
67 1378 1
68 1378 1
69 1378 1
70 1378 1
71 1378 1
72 1378 1
73 1378 1
74 1378 1
75 1378 1
76 1378 1
77 1378 1
78 1378 1
79 1378 1
80 1378 1
81 1378 1
82 1378 1
83 1378 1
84 1378 1
85 1378 1
86 1378 1
87 1378 1
88 1378 1
89 1378 1
90 1378 1
91 1378 1
92 1378 1
93 1378 1
94 1378 1
95 1378 1
96 1378 1
97 1378 1
98 1378 1
99 1378 1
100 1378 1
101 1378 1
102 1378 1
103 1378 1
104 1378 1
105 1378 1
106 1379 1
107 1379 1
108 1379 1
109 1379 1
110 1379 1
111 1379 1
112 1379 1
113 1379 1
114 1379 1
115 1379 1
116 1379 1
117 1379 1
118 1379 1
119 1380 1
53 1380 1
120 1380 1
121 1380 1
122 1380 1
123 1380 1
124 1380 1
125 1380 1
3 1380 1
126 1380 1
127 1380 1
128 1380 1
129 1380 1
130 1380 1
131 1380 1
132 1380 1
133 1380 1
134 1380 1
135 1380 1
136 1380 1
137 1380 1
138 1380 1
139 1380 1
140 1380 1
141 1380 1
142 1380 1
143 1380 1
144 1380 1
145 1380 1
146 1380 1
147 1380 1
148 1380 1
5 1380 1
149 1380 1
150 1380 1
151 1380 1
152 1380 1
153 1380 1
154 1380 1
155 1380 1
156 1380 1
2 1380 1
157 1380 1
158 1380 1
159 1380 1
160 1380 1
26 1380 1
85 1380 1
86 1380 1
161 1380 1
162 1380 1
163 1380 1
164 1380 1
165 1380 1
98 1380 1
166 1380 1
167 1380 1
