4080 25762
0 92 1
1 93 1
2 94 1
3 95 1
1 95 1
4 95 1
5 95 1
6 95 1
7 95 1
8 95 1
9 95 1
10 95 1
11 95 1
12 95 1
13 95 1
14 95 1
15 95 1
16 95 1
17 95 1
18 95 1
19 95 1
20 95 1
21 95 1
22 95 1
23 95 1
24 95 1
25 95 1
26 95 1
27 95 1
6 96 1
12 96 1
14 96 1
28 96 1
17 96 1
29 96 1
19 96 1
1 97 1
30 97 1
12 97 1
16 97 1
31 97 1
32 98 1
8 98 1
33 98 1
34 98 1
13 98 1
35 98 1
15 98 1
36 98 1
37 98 1
38 98 1
25 98 1
0 98 1
39 98 1
3 99 1
1 99 1
4 99 1
5 99 1
6 99 1
40 99 1
41 99 1
8 99 1
42 99 1
43 99 1
44 99 1
10 99 1
12 99 1
13 99 1
28 99 1
16 99 1
45 99 1
17 99 1
46 99 1
31 99 1
19 99 1
20 99 1
23 99 1
25 99 1
3 100 1
44 100 1
10 100 1
25 100 1
4 101 1
7 101 1
12 101 1
17 101 1
19 101 1
47 102 1
48 102 1
6 102 1
40 102 1
49 102 1
8 102 1
50 102 1
9 102 1
14 102 1
28 102 1
15 102 1
16 102 1
45 102 1
17 102 1
29 102 1
19 102 1
20 102 1
25 102 1
51 102 1
52 103 1
35 103 1
45 103 1
3 104 1
53 104 1
9 104 1
16 104 1
46 104 1
47 105 1
48 105 1
54 105 1
6 105 1
7 105 1
55 105 1
49 105 1
56 105 1
57 105 1
58 105 1
19 105 1
20 105 1
59 105 1
34 106 1
58 106 1
0 106 1
20 107 1
33 108 1
1 109 1
48 109 1
54 109 1
49 109 1
43 109 1
15 109 1
60 109 1
57 109 1
58 109 1
59 109 1
61 109 1
0 109 1
10 110 1
57 110 1
32 111 1
52 111 1
33 111 1
62 111 1
1 112 1
6 112 1
63 112 1
12 112 1
29 112 1
1 113 1
8 113 1
42 113 1
9 113 1
12 113 1
28 113 1
15 113 1
18 113 1
20 113 1
21 113 1
25 113 1
3 114 1
6 114 1
8 114 1
9 114 1
11 114 1
12 114 1
16 114 1
45 114 1
17 114 1
18 114 1
20 114 1
2 114 1
25 114 1
26 114 1
27 114 1
3 115 1
9 115 1
11 115 1
21 115 1
1 116 1
6 116 1
40 116 1
8 116 1
53 116 1
10 116 1
12 116 1
13 116 1
31 116 1
26 116 1
4 116 1
5 116 1
52 116 1
9 116 1
14 116 1
28 116 1
15 116 1
16 116 1
29 116 1
19 116 1
21 116 1
25 116 1
49 117 1
4 117 1
47 118 1
1 118 1
6 118 1
40 118 1
7 118 1
8 118 1
42 118 1
10 118 1
12 118 1
64 118 1
13 118 1
45 118 1
56 118 1
57 118 1
18 118 1
65 118 1
4 118 1
66 118 1
32 118 1
52 118 1
33 118 1
67 118 1
14 118 1
28 118 1
15 118 1
16 118 1
17 118 1
46 118 1
19 118 1
20 118 1
21 118 1
2 118 1
25 118 1
27 118 1
49 119 1
8 119 1
18 119 1
4 119 1
15 119 1
19 119 1
20 119 1
25 119 1
49 120 1
34 120 1
58 120 1
0 120 1
48 120 1
6 121 1
32 121 1
16 121 1
29 121 1
44 122 1
1 123 1
6 123 1
49 123 1
43 123 1
34 123 1
56 123 1
57 123 1
58 123 1
0 123 1
3 123 1
48 123 1
32 123 1
30 123 1
62 123 1
68 123 1
25 123 1
39 123 1
26 124 1
0 125 1
44 126 1
1 127 1
44 127 1
26 127 1
4 127 1
5 127 1
41 127 1
49 128 1
34 128 1
32 128 1
6 129 1
53 129 1
10 129 1
12 129 1
64 129 1
69 129 1
31 129 1
23 129 1
4 129 1
66 129 1
52 129 1
9 129 1
63 129 1
17 129 1
29 129 1
19 129 1
70 129 1
10 130 1
3 130 1
2 130 1
7 131 1
32 131 1
71 132 1
49 132 1
34 132 1
57 132 1
37 132 1
0 132 1
48 132 1
59 132 1
1 133 1
