4902 54880
0 352 1
1 353 1
2 353 1
3 354 1
4 354 1
0 354 1
5 354 1
6 354 1
7 355 1
8 356 1
9 357 1
10 357 1
1 357 1
11 357 1
12 357 1
13 357 1
0 357 1
14 357 1
15 357 1
16 357 1
17 357 1
18 357 1
19 357 1
20 357 1
21 357 1
22 357 1
23 357 1
24 357 1
25 357 1
26 357 1
27 357 1
28 357 1
29 357 1
30 358 1
31 359 1
18 359 1
32 359 1
20 359 1
33 359 1
34 360 1
35 360 1
1 361 1
36 361 1
37 361 1
38 361 1
39 361 1
40 362 1
5 362 1
41 363 1
42 363 1
43 363 1
44 363 1
45 363 1
17 363 1
46 363 1
19 363 1
47 363 1
48 363 1
49 363 1
50 363 1
51 363 1
52 363 1
53 363 1
54 363 1
9 364 1
1 364 1
11 364 1
12 364 1
55 364 1
56 364 1
57 364 1
58 364 1
15 364 1
17 364 1
32 364 1
59 364 1
20 364 1
60 364 1
37 364 1
61 364 1
24 364 1
9 365 1
10 365 1
62 365 1
63 365 1
64 365 1
65 365 1
66 365 1
67 365 1
2 365 1
40 365 1
0 365 1
68 365 1
36 365 1
69 365 1
70 365 1
71 365 1
72 365 1
73 365 1
14 365 1
58 365 1
74 365 1
75 365 1
15 365 1
76 365 1
77 365 1
78 365 1
79 365 1
80 365 1
81 365 1
34 365 1
82 365 1
4 365 1
83 365 1
84 365 1
85 365 1
86 365 1
38 365 1
52 365 1
87 365 1
26 365 1
35 365 1
88 365 1
28 365 1
89 366 1
11 366 1
2 366 1
13 366 1
0 366 1
5 366 1
90 366 1
91 366 1
92 366 1
76 366 1
20 366 1
78 366 1
93 366 1
79 366 1
4 366 1
94 366 1
95 366 1
96 366 1
85 366 1
61 366 1
8 366 1
51 366 1
97 366 1
41 367 1
42 367 1
55 367 1
98 367 1
99 367 1
18 367 1
32 367 1
100 367 1
19 367 1
59 367 1
47 367 1
101 367 1
102 367 1
20 367 1
48 367 1
33 367 1
51 367 1
52 367 1
103 367 1
104 367 1
105 367 1
106 368 1
46 368 1
59 368 1
107 368 1
9 369 1
108 369 1
91 369 1
109 369 1
101 369 1
60 369 1
85 369 1
38 369 1
110 369 1
13 370 1
111 371 1
111 372 1
51 372 1
80 373 1
112 374 1
113 374 1
114 374 1
44 375 1
111 376 1
41 376 1
42 376 1
115 376 1
63 376 1
1 376 1
65 376 1
116 376 1
66 376 1
68 376 1
69 376 1
70 376 1
71 376 1
72 376 1
5 376 1
73 376 1
117 376 1
14 376 1
118 376 1
119 376 1
75 376 1
6 376 1
112 376 1
19 376 1
48 376 1
120 376 1
34 376 1
121 376 1
122 376 1
123 376 1
107 376 1
86 376 1
110 376 1
124 376 1
125 376 1
126 376 1
104 376 1
75 377 1
112 377 1
86 377 1
26 377 1
30 377 1
65 378 1
15 378 1
40 379 1
106 379 1
44 379 1
100 379 1
48 379 1
120 379 1
51 379 1
104 379 1
30 379 1
113 380 1
127 380 1
1 381 1
128 381 1
33 381 1
36 382 1
78 382 1
38 382 1
1 383 1
57 383 1
129 383 1
32 383 1
100 383 1
19 383 1
21 383 1
22 383 1
