4567 37198
0 145 1
1 145 1
2 145 1
3 145 1
4 145 1
5 145 1
6 145 1
7 145 1
8 146 1
9 147 1
10 148 1
11 148 1
3 148 1
4 148 1
12 148 1
13 148 1
14 148 1
15 148 1
16 148 1
17 148 1
1 148 1
18 149 1
19 150 1
8 150 1
20 150 1
21 150 1
22 150 1
23 150 1
24 150 1
25 150 1
26 150 1
27 150 1
28 150 1
29 150 1
30 150 1
31 150 1
32 150 1
33 150 1
34 150 1
1 150 1
35 150 1
36 150 1
6 150 1
37 150 1
2 150 1
10 150 1
38 150 1
39 150 1
3 150 1
40 150 1
41 150 1
4 150 1
42 150 1
43 150 1
44 150 1
45 150 1
46 150 1
47 150 1
48 150 1
49 150 1
16 150 1
50 150 1
51 150 1
52 150 1
22 151 1
23 151 1
31 151 1
34 151 1
53 151 1
37 151 1
54 151 1
43 151 1
8 152 1
31 152 1
55 152 1
56 152 1
18 152 1
57 152 1
57 153 1
25 154 1
58 154 1
32 154 1
59 154 1
36 154 1
19 155 1
11 155 1
8 155 1
20 155 1
21 155 1
22 155 1
60 155 1
61 155 1
25 155 1
62 155 1
63 155 1
26 155 1
64 155 1
28 155 1
65 155 1
31 155 1
32 155 1
33 155 1
53 155 1
66 155 1
5 155 1
6 155 1
7 155 1
37 155 1
39 155 1
3 155 1
67 155 1
56 155 1
43 155 1
48 155 1
57 155 1
19 156 1
68 156 1
63 156 1
26 156 1
28 156 1
33 156 1
6 156 1
7 156 1
57 156 1
57 157 1
20 158 1
24 158 1
31 158 1
37 158 1
4 158 1
43 158 1
22 159 1
60 159 1
0 159 1
25 159 1
27 159 1
65 159 1
34 159 1
53 159 1
36 159 1
66 159 1
37 159 1
54 159 1
43 159 1
69 159 1
70 160 1
71 161 1
59 161 1
66 161 1
19 162 1
72 162 1
27 162 1
73 162 1
74 162 1
3 162 1
67 162 1
16 162 1
22 163 1
24 163 1
43 163 1
75 164 1
23 165 1
26 165 1
30 165 1
75 165 1
44 165 1
58 166 1
76 166 1
16 166 1
8 167 1
77 167 1
78 167 1
79 167 1
1 167 1
36 167 1
80 167 1
81 167 1
16 167 1
74 168 1
82 169 1
26 169 1
28 169 1
83 169 1
30 169 1
78 169 1
84 169 1
1 169 1
35 169 1
7 169 1
85 169 1
2 169 1
10 169 1
86 169 1
87 169 1
41 169 1
44 169 1
88 169 1
26 170 1
71 170 1
58 170 1
89 170 1
88 170 1
76 171 1
16 171 1
11 172 1
33 172 1
3 172 1
16 172 1
8 173 1
22 173 1
83 173 1
90 173 1
31 173 1
54 173 1
81 173 1
11 174 1
8 175 1
25 175 1
62 175 1
27 175 1
31 175 1
53 175 1
36 175 1
40 175 1
46 175 1
57 176 1
19 177 1
22 177 1
23 177 1
68 177 1
25 177 1
27 177 1
64 177 1
29 177 1
31 177 1
91 177 1
66 177 1
6 177 1
37 177 1
10 177 1
40 177 1
92 177 1
14 177 1
50 177 1
51 177 1
19 178 1
27 178 1
29 178 1
93 178 1
91 178 1
1 178 1
85 178 1
3 178 1
70 178 1
4 178 1
81 178 1
46 178 1
94 178 1
8 179 1
22 179 1
23 179 1
60 179 1
25 179 1
26 179 1
72 179 1
64 179 1
28 179 1
83 179 1
95 179 1
31 179 1
75 179 1
32 179 1
33 179 1
1 179 1
5 179 1
89 179 1
56 179 1
4 179 1
92 179 1
57 179 1
50 179 1
20 179 1
21 179 1
68 179 1
71 179 1
27 179 1
34 179 1
53 179 1
36 179 1
96 179 1
6 179 1
7 179 1
3 179 1
97 179 1
41 179 1
54 179 1
43 179 1
44 179 1
45 179 1
46 179 1
0 180 1
5 180 1
4 180 1
57 180 1
20 180 1
23 181 1
76 182 1
8 183 1
22 183 1
60 183 1
24 183 1
0 183 1
25 183 1
62 183 1
26 183 1
28 183 1
83 183 1
95 183 1
31 183 1
98 183 1
75 183 1
32 183 1
33 183 1
1 183 1
66 183 1
5 183 1
40 183 1
55 183 1
4 183 1
42 183 1
57 183 1
99 183 1
11 183 1
82 183 1
20 183 1
68 183 1
100 183 1
71 183 1
101 183 1
58 183 1
12 183 1
102 183 1
103 183 1
65 183 1
34 183 1
53 183 1
17 183 1
36 183 1
6 183 1
7 183 1
37 183 1
10 183 1
38 183 1
39 183 1
3 183 1
67 183 1
70 183 1
43 183 1
46 183 1
14 183 1
16 183 1
9 183 1
51 183 1
30 184 1
23 185 1
0 185 1
0 186 1
25 186 1
26 186 1
30 186 1
73 186 1
40 186 1
82 186 1
20 186 1
65 186 1
36 186 1
6 186 1
97 186 1
43 186 1
0 187 1
30 187 1
93 187 1
75 187 1
1 187 1
85 187 1
2 187 1
86 187 1
77 187 1
104 187 1
84 187 1
17 187 1
105 187 1
81 187 1
44 187 1
106 187 1
88 187 1
16 187 1
107 187 1
22 188 1
54 188 1
63 189 1
8 190 1
22 190 1
30 190 1
89 190 1
19 190 1
12 190 1
108 190 1
104 190 1
7 190 1
97 190 1
41 190 1
45 190 1
88 190 1
16 190 1
109 191 1
83 192 1
73 192 1
23 193 1
0 193 1
50 193 1
23 194 1
26 195 1
30 195 1
110 195 1
41 195 1
57 196 1
9 197 1
63 198 1
8 199 1
63 199 1
83 199 1
33 199 1
73 199 1
50 199 1
20 199 1
21 199 1
61 199 1
30 200 1
41 200 1
106 200 1
22 201 1
0 201 1
26 201 1
72 201 1
64 201 1
28 201 1
31 201 1
98 201 1
111 201 1
33 201 1
5 201 1
76 201 1
112 201 1
113 201 1
56 201 1
4 201 1
92 201 1
48 201 1
57 201 1
11 201 1
20 201 1
100 201 1
71 201 1
27 201 1
90 201 1
6 201 1
7 201 1
37 201 1
10 201 1
39 201 1
3 201 1
54 201 1
43 201 1
114 201 1
115 201 1
23 202 1
0 202 1
109 202 1
26 202 1
28 202 1
93 202 1
75 202 1
33 202 1
1 202 1
35 202 1
5 202 1
2 202 1
86 202 1
76 202 1
4 202 1
92 202 1
19 202 1
12 202 1
116 202 1
104 202 1
84 202 1
17 202 1
105 202 1
6 202 1
117 202 1
7 202 1
10 202 1
38 202 1
39 202 1
70 202 1
80 202 1
14 202 1
88 202 1
118 202 1
24 203 1
76 203 1
0 204 1
109 204 1
4 204 1
3 204 1
78 205 1
118 205 1
8 206 1
22 206 1
60 206 1
24 206 1
25 206 1
62 206 1
72 206 1
31 206 1
98 206 1
32 206 1
76 206 1
56 206 1
47 206 1
48 206 1
57 206 1
19 206 1
27 206 1
58 206 1
53 206 1
37 206 1
54 206 1
43 206 1
114 206 1
11 207 1
82 207 1
43 207 1
16 207 1
39 208 1
109 209 1
55 209 1
57 209 1
54 209 1
41 210 1
8 211 1
22 211 1
23 211 1
0 211 1
25 211 1
62 211 1
119 211 1
26 211 1
72 211 1
64 211 1
120 211 1
28 211 1
95 211 1
31 211 1
98 211 1
93 211 1
75 211 1
111 211 1
32 211 1
33 211 1
73 211 1
1 211 1
74 211 1
5 211 1
56 211 1
4 211 1
92 211 1
47 211 1
57 211 1
99 211 1
19 211 1
121 211 1
11 211 1
82 211 1
20 211 1
77 211 1
100 211 1
71 211 1
27 211 1
13 211 1
29 211 1
65 211 1
90 211 1
34 211 1
105 211 1
122 211 1
36 211 1
6 211 1
117 211 1
7 211 1
37 211 1
10 211 1
38 211 1
39 211 1
3 211 1
70 211 1
54 211 1
81 211 1
43 211 1
44 211 1
18 211 1
46 211 1
14 211 1
16 211 1
114 211 1
123 211 1
124 211 1
51 211 1
8 212 1
60 212 1
62 212 1
63 212 1
72 212 1
31 212 1
98 212 1
56 212 1
11 212 1
21 212 1
61 212 1
58 212 1
53 212 1
37 212 1
3 212 1
43 212 1
46 212 1
18 213 1
26 214 1
78 215 1
79 215 1
35 215 1
85 215 1
86 215 1
77 215 1
104 215 1
106 215 1
51 215 1
109 216 1
20 217 1
61 217 1
41 218 1
125 218 1
66 219 1
76 219 1
50 219 1
40 220 1
1 221 1
86 221 1
62 222 1
30 222 1
104 222 1
7 222 1
41 222 1
44 223 1
22 224 1
23 224 1
85 224 1
56 224 1
71 224 1
27 224 1
41 224 1
44 224 1
45 224 1
46 224 1
24 225 1
26 225 1
28 225 1
33 225 1
76 225 1
6 225 1
117 225 1
39 225 1
123 225 1
22 226 1
24 226 1
0 226 1
26 226 1
28 226 1
31 226 1
93 226 1
33 226 1
126 226 1
1 226 1
4 226 1
92 226 1
19 226 1
100 226 1
34 226 1
36 226 1
7 226 1
10 226 1
38 226 1
39 226 1
3 226 1
54 226 1
43 226 1
18 226 1
23 227 1
76 227 1
25 228 1
31 228 1
47 228 1
27 228 1
53 228 1
36 228 1
37 228 1
43 228 1
23 229 1
60 229 1
24 229 1
25 229 1
62 229 1
26 229 1
72 229 1
28 229 1
83 229 1
95 229 1
31 229 1
98 229 1
111 229 1
33 229 1
73 229 1
1 229 1
74 229 1
40 229 1
4 229 1
47 229 1
57 229 1
11 229 1
20 229 1
77 229 1
61 229 1
71 229 1
65 229 1
34 229 1
53 229 1
105 229 1
36 229 1
37 229 1
10 229 1
38 229 1
39 229 1
41 229 1
43 229 1
125 229 1
94 229 1
118 229 1
51 229 1
53 230 1
22 231 1
28 231 1
33 231 1
5 231 1
56 231 1
71 231 1
90 231 1
6 231 1
39 231 1
43 232 1
50 233 1
94 233 1
109 234 1
22 235 1
58 235 1
23 236 1
66 236 1
76 236 1
40 237 1
44 237 1
8 238 1
30 238 1
5 238 1
58 238 1
107 238 1
43 239 1
16 239 1
9 239 1
8 240 1
20 240 1
68 240 1
65 240 1
76 241 1
57 241 1
22 242 1
24 242 1
25 242 1
109 242 1
26 242 1
64 242 1
28 242 1
83 242 1
31 242 1
93 242 1
32 242 1
33 242 1
73 242 1
5 242 1
85 242 1
40 242 1
76 242 1
48 242 1
82 242 1
127 242 1
101 242 1
128 242 1
65 242 1
104 242 1
34 242 1
6 242 1
7 242 1
37 242 1
10 242 1
38 242 1
39 242 1
3 242 1
97 242 1
70 242 1
43 242 1
44 242 1
125 242 1
16 242 1
107 242 1
115 242 1
9 242 1
8 243 1
109 243 1
57 243 1
71 243 1
101 243 1
27 243 1
70 243 1
9 243 1
53 244 1
24 245 1
0 245 1
25 245 1
62 245 1
26 245 1
30 245 1
31 245 1
73 245 1
35 245 1
89 245 1
92 245 1
127 245 1
104 245 1
6 245 1
117 245 1
7 245 1
37 245 1
38 245 1
97 245 1
43 245 1
123 245 1
35 246 1
116 246 1
0 247 1
32 248 1
9 248 1
22 249 1
25 249 1
62 249 1
109 249 1
26 249 1
30 249 1
78 249 1
75 249 1
33 249 1
73 249 1
1 249 1
35 249 1
5 249 1
85 249 1
129 249 1
2 249 1
86 249 1
76 249 1
4 249 1
77 249 1
13 249 1
116 249 1
104 249 1
84 249 1
53 249 1
6 249 1
7 249 1
38 249 1
39 249 1
3 249 1
97 249 1
41 249 1
70 249 1
80 249 1
81 249 1
88 249 1
16 249 1
118 249 1
9 249 1
22 250 1
72 250 1
66 250 1
5 250 1
4 250 1
20 250 1
43 250 1
8 251 1
22 251 1
23 251 1
60 251 1
109 251 1
63 251 1
72 251 1
130 251 1
28 251 1
30 251 1
98 251 1
93 251 1
32 251 1
33 251 1
1 251 1
74 251 1
5 251 1
85 251 1
89 251 1
40 251 1
92 251 1
47 251 1
57 251 1
50 251 1
121 251 1
11 251 1
20 251 1
21 251 1
77 251 1
61 251 1
65 251 1
90 251 1
53 251 1
36 251 1
39 251 1
41 251 1
54 251 1
81 251 1
43 251 1
44 251 1
45 251 1
16 251 1
114 251 1
8 252 1
22 252 1
30 252 1
78 252 1
20 252 1
68 252 1
101 252 1
58 252 1
96 252 1
107 252 1
78 253 1
31 253 1
118 253 1
8 254 1
25 254 1
31 254 1
74 254 1
58 254 1
65 254 1
53 254 1
37 254 1
67 254 1
88 254 1
16 254 1
107 254 1
72 255 1
82 255 1
76 256 1
9 256 1
19 257 1
17 257 1
88 257 1
1 258 1
50 258 1
44 258 1
22 259 1
23 259 1
26 259 1
72 259 1
83 259 1
30 259 1
131 259 1
53 259 1
41 259 1
70 259 1
88 259 1
18 260 1
33 261 1
1 261 1
56 261 1
77 261 1
97 261 1
45 261 1
57 262 1
11 262 1
3 262 1
8 263 1
22 263 1
63 263 1
72 263 1
95 263 1
66 263 1
112 263 1
56 263 1
19 263 1
20 263 1
21 263 1
61 263 1
100 263 1
71 263 1
3 263 1
67 263 1
54 263 1
44 264 1
85 265 1
40 265 1
36 265 1
41 265 1
45 265 1
25 266 1
109 266 1
31 266 1
32 266 1
73 266 1
1 266 1
19 266 1
127 266 1
58 266 1
96 266 1
7 266 1
37 266 1
10 266 1
39 266 1
3 266 1
43 266 1
68 267 1
72 268 1
28 268 1
31 268 1
93 268 1
1 268 1
5 268 1
2 268 1
76 268 1
50 268 1
20 268 1
110 268 1
128 268 1
53 268 1
105 268 1
43 268 1
88 268 1
16 268 1
30 269 1
79 269 1
1 269 1
89 269 1
86 269 1
58 269 1
7 269 1
97 269 1
41 269 1
94 269 1
107 269 1
9 269 1
8 270 1
23 271 1
0 271 1
26 271 1
93 271 1
75 271 1
1 271 1
86 271 1
76 271 1
77 271 1
127 271 1
104 271 1
