4805 36710
0 139 1
1 140 1
2 141 1
3 141 1
4 142 1
5 143 1
6 143 1
7 143 1
8 144 1
1 144 1
9 144 1
10 144 1
11 144 1
12 144 1
13 144 1
14 144 1
15 144 1
16 144 1
17 144 1
18 144 1
19 144 1
20 144 1
21 144 1
22 144 1
23 144 1
24 144 1
25 144 1
26 144 1
27 144 1
28 144 1
29 145 1
11 146 1
17 146 1
19 146 1
30 146 1
7 146 1
21 146 1
31 146 1
32 146 1
33 146 1
7 147 1
0 148 1
1 148 1
34 148 1
35 148 1
36 148 1
37 148 1
17 148 1
38 148 1
32 148 1
39 148 1
40 148 1
41 148 1
13 149 1
42 150 1
43 150 1
44 150 1
18 150 1
45 150 1
46 150 1
47 150 1
20 150 1
48 150 1
8 151 1
1 151 1
9 151 1
10 151 1
11 151 1
49 151 1
50 151 1
51 151 1
29 151 1
52 151 1
15 151 1
17 151 1
18 151 1
30 151 1
7 151 1
53 151 1
21 151 1
31 151 1
54 151 1
39 151 1
5 151 1
25 151 1
41 151 1
8 152 1
52 152 1
15 152 1
55 152 1
31 152 1
40 152 1
56 152 1
57 153 1
58 153 1
9 153 1
12 153 1
37 153 1
17 153 1
21 153 1
55 153 1
59 153 1
11 154 1
49 154 1
13 154 1
14 154 1
19 154 1
30 154 1
45 154 1
60 154 1
61 154 1
20 154 1
53 154 1
21 154 1
33 154 1
62 154 1
41 154 1
63 154 1
64 155 1
46 155 1
53 155 1
8 156 1
58 156 1
34 156 1
65 156 1
14 156 1
36 156 1
66 156 1
32 156 1
54 156 1
67 156 1
5 156 1
40 156 1
11 157 1
12 157 1
68 157 1
44 158 1
69 158 1
7 159 1
70 160 1
13 160 1
43 161 1
1 162 1
71 162 1
13 162 1
29 162 1
3 162 1
60 162 1
20 162 1
38 162 1
72 162 1
73 162 1
74 162 1
75 162 1
59 163 1
2 164 1
76 164 1
13 164 1
15 164 1
61 164 1
77 164 1
78 164 1
79 164 1
76 165 1
42 165 1
64 165 1
43 165 1
80 165 1
41 165 1
1 166 1
11 166 1
81 166 1
17 166 1
31 166 1
33 166 1
55 167 1
40 167 1
1 168 1
51 168 1
14 168 1
17 168 1
30 168 1
45 168 1
20 168 1
22 168 1
23 168 1
82 168 1
8 169 1
57 169 1
