5939 87875
0 442 1
1 442 1
2 442 1
3 443 1
4 443 1
5 443 1
6 443 1
7 443 1
8 443 1
9 443 1
10 443 1
11 443 1
12 444 1
13 445 1
14 445 1
15 445 1
16 445 1
17 445 1
18 445 1
19 445 1
20 445 1
21 445 1
22 445 1
23 445 1
24 445 1
25 445 1
26 445 1
27 445 1
28 445 1
29 445 1
30 445 1
31 446 1
2 446 1
5 446 1
32 446 1
33 446 1
34 446 1
35 446 1
36 446 1
37 446 1
38 446 1
39 446 1
40 446 1
41 446 1
42 446 1
43 446 1
0 446 1
44 446 1
45 446 1
46 447 1
47 447 1
48 447 1
9 447 1
49 447 1
50 447 1
51 447 1
52 447 1
3 447 1
53 447 1
6 447 1
54 447 1
41 447 1
55 447 1
8 447 1
56 447 1
57 448 1
58 448 1
40 448 1
59 448 1
60 449 1
61 449 1
62 449 1
31 449 1
12 449 1
63 449 1
64 449 1
65 449 1
66 449 1
67 449 1
68 449 1
69 449 1
70 449 1
71 449 1
7 449 1
72 449 1
73 449 1
3 449 1
74 449 1
75 449 1
76 449 1
77 449 1
4 449 1
78 449 1
79 449 1
80 449 1
81 449 1
42 449 1
0 449 1
82 449 1
83 449 1
84 449 1
45 449 1
85 449 1
86 449 1
87 449 1
88 449 1
2 449 1
89 449 1
90 449 1
47 449 1
91 449 1
49 449 1
92 449 1
93 449 1
94 449 1
95 449 1
96 449 1
97 449 1
98 449 1
54 449 1
99 449 1
43 449 1
100 449 1
101 449 1
102 449 1
5 450 1
103 450 1
104 450 1
42 450 1
105 450 1
49 450 1
106 450 1
96 450 1
107 450 1
108 450 1
67 451 1
77 451 1
79 451 1
109 451 1
110 451 1
85 451 1
111 451 1
112 451 1
113 451 1
114 451 1
115 452 1
116 452 1
117 453 1
12 453 1
65 453 1
118 453 1
119 453 1
120 453 1
77 453 1
41 453 1
47 453 1
121 453 1
33 453 1
122 453 1
123 454 1
117 454 1
118 454 1
124 454 1
115 454 1
119 454 1
120 454 1
125 454 1
41 454 1
126 454 1
9 455 1
127 455 1
78 455 1
128 455 1
84 455 1
129 455 1
15 455 1
130 455 1
114 455 1
131 455 1
60 456 1
14 456 1
12 456 1
63 456 1
64 456 1
132 456 1
67 456 1
133 456 1
134 456 1
135 456 1
9 456 1
136 456 1
137 456 1
138 456 1
139 456 1
103 456 1
3 456 1
74 456 1
