5439 88842
0 271 1
1 271 1
2 271 1
3 271 1
4 272 1
5 273 1
6 273 1
7 273 1
8 273 1
9 273 1
10 273 1
11 274 1
3 274 1
2 275 1
12 276 1
13 276 1
14 276 1
9 276 1
7 277 1
15 277 1
16 278 1
17 278 1
0 278 1
4 278 1
18 278 1
19 278 1
20 278 1
1 278 1
21 278 1
22 278 1
23 278 1
24 278 1
25 278 1
7 278 1
26 278 1
27 278 1
28 278 1
29 278 1
30 278 1
31 278 1
32 278 1
33 278 1
34 278 1
35 278 1
36 278 1
37 278 1
38 278 1
39 278 1
9 278 1
40 278 1
41 278 1
42 278 1
43 278 1
44 278 1
45 278 1
46 278 1
47 278 1
48 278 1
49 278 1
50 278 1
51 278 1
52 278 1
53 278 1
54 278 1
55 278 1
56 278 1
3 278 1
57 278 1
58 278 1
59 278 1
60 278 1
61 278 1
62 278 1
63 279 1
44 279 1
64 280 1
1 281 1
21 281 1
65 281 1
30 281 1
31 281 1
34 281 1
35 281 1
66 281 1
37 281 1
42 281 1
67 281 1
47 281 1
68 281 1
48 281 1
69 281 1
70 281 1
3 281 1
71 281 1
60 281 1
72 281 1
62 281 1
73 282 1
74 282 1
73 283 1
4 283 1
75 283 1
76 283 1
31 283 1
39 283 1
63 283 1
2 283 1
77 283 1
78 284 1
79 284 1
80 284 1
81 285 1
82 285 1
83 285 1
84 285 1
0 285 1
85 285 1
86 285 1
87 285 1
24 285 1
12 285 1
13 285 1
7 285 1
88 285 1
89 285 1
90 285 1
28 285 1
91 285 1
92 285 1
93 285 1
94 285 1
95 285 1
30 285 1
74 285 1
33 285 1
96 285 1
97 285 1
98 285 1
38 285 1
9 285 1
99 285 1
40 285 1
100 285 1
41 285 1
101 285 1
102 285 1
67 285 1
103 285 1
64 285 1
104 285 1
105 285 1
106 285 1
107 285 1
47 285 1
108 285 1
69 285 1
8 285 1
50 285 1
109 285 1
110 285 1
111 285 1
112 285 1
52 285 1
113 285 1
114 285 1
115 285 1
116 285 1
117 285 1
70 285 1
56 285 1
118 285 1
3 285 1
14 285 1
119 285 1
71 285 1
120 285 1
60 285 1
121 285 1
72 285 1
122 285 1
123 285 1
124 285 1
125 285 1
126 285 1
62 285 1
16 286 1
4 286 1
78 286 1
19 286 1
20 286 1
1 286 1
21 286 1
127 286 1
128 286 1
129 286 1
24 286 1
130 286 1
12 286 1
13 286 1
131 286 1
27 286 1
132 286 1
133 286 1
31 286 1
33 286 1
66 286 1
134 286 1
135 286 1
136 286 1
39 286 1
10 286 1
137 286 1
41 286 1
42 286 1
43 286 1
138 286 1
77 286 1
48 286 1
49 286 1
52 286 1
139 286 1
140 286 1
54 286 1
56 286 1
141 286 1
142 286 1
71 286 1
60 286 1
125 286 1
16 287 1
84 287 1
143 287 1
13 287 1
131 287 1
27 287 1
28 287 1
30 287 1
34 287 1
134 287 1
36 287 1
98 287 1
144 287 1
37 287 1
40 287 1
101 287 1
6 287 1
109 287 1
52 287 1
116 287 1
117 287 1
56 287 1
14 287 1
58 287 1
120 287 1
84 288 1
65 288 1
36 288 1
37 288 1
78 289 1
12 289 1
41 289 1
69 289 1
0 290 1
19 290 1
23 290 1
25 290 1
7 290 1
145 290 1
146 290 1
74 290 1
147 290 1
31 290 1
135 290 1
148 290 1
136 290 1
42 290 1
43 290 1
149 290 1
2 290 1
6 290 1
150 290 1
151 290 1
108 290 1
48 290 1
152 290 1
15 290 1
52 290 1
113 290 1
139 290 1
140 290 1
141 290 1
58 290 1
123 290 1
62 290 1
81 291 1
82 291 1
17 291 1
85 291 1
1 291 1
21 291 1
127 291 1
153 291 1
65 291 1
154 291 1
79 291 1
24 291 1
12 291 1
25 291 1
80 291 1
155 291 1
76 291 1
26 291 1
156 291 1
133 291 1
95 291 1
30 291 1
32 291 1
157 291 1
35 291 1
66 291 1
135 291 1
96 291 1
158 291 1
98 291 1
37 291 1
38 291 1
39 291 1
159 291 1
10 291 1
137 291 1
99 291 1
40 291 1
100 291 1
101 291 1
63 291 1
160 291 1
42 291 1
43 291 1
102 291 1
44 291 1
67 291 1
2 291 1
106 291 1
47 291 1
108 291 1
68 291 1
48 291 1
8 291 1
49 291 1
50 291 1
109 291 1
52 291 1
113 291 1
114 291 1
116 291 1
117 291 1
70 291 1
56 291 1
141 291 1
3 291 1
14 291 1
57 291 1
119 291 1
58 291 1
161 291 1
60 291 1
162 291 1
123 291 1
163 291 1
126 291 1
73 292 1
30 292 1
160 292 1
3 292 1
18 293 1
129 293 1
164 293 1
7 293 1
30 293 1
34 293 1
135 293 1
97 293 1
36 293 1
144 293 1
37 293 1
136 293 1
137 293 1
63 293 1
44 293 1
104 293 1
47 293 1
69 293 1
152 293 1
139 293 1
58 293 1
16 294 1
165 294 1
78 294 1
75 294 1
87 294 1
166 294 1
26 294 1
147 294 1
135 294 1
98 294 1
39 294 1
101 294 1
63 294 1
44 294 1
104 294 1
138 294 1
70 294 1
71 294 1
21 295 1
23 295 1
46 295 1
48 295 1
49 295 1
123 296 1
89 297 1
90 297 1
28 297 1
43 297 1
47 297 1
167 297 1
49 297 1
52 297 1
113 297 1
116 297 1
47 298 1
114 298 1
88 299 1
5 300 1
81 300 1
82 300 1
0 300 1
4 300 1
89 300 1
90 300 1
28 300 1
92 300 1
95 300 1
38 300 1
43 300 1
102 300 1
103 300 1
106 300 1
50 300 1
111 300 1
112 300 1
3 300 1
120 300 1
168 300 1
126 300 1
74 301 1
71 301 1
27 302 1
99 302 1
63 302 1
17 303 1
84 303 1
18 303 1
12 303 1
80 303 1
164 303 1
169 303 1
88 303 1
28 303 1
30 303 1
146 303 1
34 303 1
135 303 1
158 303 1
98 303 1
136 303 1
63 303 1
170 303 1
102 303 1
104 303 1
106 303 1
69 303 1
112 303 1
113 303 1
116 303 1
171 303 1
58 303 1
60 303 1
172 304 1
63 304 1
73 305 1
9 305 1
108 305 1
69 305 1
115 305 1
4 306 1
21 306 1
155 306 1
145 306 1
28 306 1
30 306 1
173 306 1
31 306 1
34 306 1
37 306 1
105 306 1
47 306 1
68 306 1
71 306 1
60 306 1
72 306 1
124 306 1
25 307 1
73 308 1
17 308 1
174 308 1
0 308 1
4 308 1
18 308 1
129 308 1
65 308 1
154 308 1
87 308 1
24 308 1
130 308 1
7 308 1
76 308 1
175 308 1
26 308 1
169 308 1
145 308 1
28 308 1
92 308 1
30 308 1
74 308 1
147 308 1
31 308 1
34 308 1
66 308 1
135 308 1
96 308 1
158 308 1
36 308 1
98 308 1
144 308 1
37 308 1
176 308 1
38 308 1
9 308 1
40 308 1
41 308 1
101 308 1
63 308 1
177 308 1
43 308 1
149 308 1
44 308 1
67 308 1
2 308 1
45 308 1
178 308 1
179 308 1
106 308 1
180 308 1
47 308 1
181 308 1
69 308 1
49 308 1
50 308 1
51 308 1
113 308 1
182 308 1
114 308 1
116 308 1
70 308 1
183 308 1
56 308 1
141 308 1
3 308 1
57 308 1
119 308 1
184 308 1
58 308 1
142 308 1
71 308 1
120 308 1
161 308 1
60 308 1
185 308 1
186 308 1
124 308 1
125 308 1
126 308 1
187 308 1
16 309 1
21 309 1
24 309 1
12 309 1
13 309 1
26 309 1
29 309 1
31 309 1
96 309 1
39 309 1
137 309 1
42 309 1
43 309 1
67 309 1
45 309 1
69 309 1
8 309 1
49 309 1
11 309 1
52 309 1
56 309 1
59 309 1
60 309 1
123 309 1
