6199 111016
0 463 1
1 464 1
2 464 1
3 464 1
4 464 1
5 464 1
6 464 1
7 464 1
8 464 1
9 464 1
10 464 1
11 464 1
12 465 1
13 465 1
14 465 1
15 466 1
16 466 1
17 466 1
18 466 1
19 466 1
20 466 1
21 466 1
22 466 1
23 466 1
24 466 1
25 466 1
26 466 1
27 466 1
28 466 1
29 466 1
30 466 1
31 466 1
32 467 1
33 467 1
34 468 1
15 469 1
6 469 1
35 469 1
36 469 1
37 469 1
10 469 1
38 469 1
5 469 1
28 469 1
39 469 1
30 469 1
40 469 1
41 469 1
34 470 1
20 470 1
42 470 1
0 470 1
21 470 1
43 470 1
28 470 1
44 470 1
45 471 1
13 471 1
46 471 1
47 471 1
48 471 1
49 471 1
50 471 1
51 471 1
52 471 1
0 471 1
21 471 1
53 471 1
54 471 1
55 471 1
56 471 1
57 471 1
58 471 1
59 471 1
60 471 1
61 471 1
62 471 1
4 471 1
63 471 1
64 471 1
65 471 1
66 471 1
67 471 1
68 471 1
69 471 1
70 471 1
71 471 1
72 471 1
73 471 1
74 471 1
24 472 1
23 472 1
68 472 1
75 472 1
49 473 1
56 473 1
58 473 1
76 473 1
62 473 1
77 473 1
78 473 1
64 473 1
14 473 1
59 474 1
3 475 1
79 475 1
13 475 1
80 475 1
6 475 1
81 475 1
82 475 1
37 475 1
42 475 1
83 475 1
84 475 1
85 475 1
86 475 1
87 475 1
88 475 1
56 475 1
89 475 1
90 475 1
27 475 1
59 475 1
61 475 1
40 475 1
91 475 1
92 475 1
93 475 1
94 475 1
12 475 1
95 475 1
96 475 1
97 475 1
98 475 1
99 475 1
100 475 1
101 475 1
102 475 1
103 475 1
51 476 1
104 476 1
105 476 1
106 476 1
107 477 1
108 477 1
109 477 1
110 477 1
10 477 1
111 477 1
52 477 1
42 477 1
38 477 1
21 477 1
112 477 1
113 477 1
57 477 1
114 477 1
44 477 1
60 477 1
17 477 1
115 477 1
116 477 1
117 477 1
118 477 1
66 477 1
119 477 1
120 477 1
121 477 1
39 477 1
99 477 1
8 477 1
30 477 1
122 477 1
123 477 1
45 478 1
16 478 1
13 478 1
47 478 1
48 478 1
49 478 1
124 478 1
125 478 1
10 478 1
52 478 1
126 478 1
127 478 1
38 478 1
128 478 1
54 478 1
86 478 1
56 478 1
57 478 1
129 478 1
76 478 1
59 478 1
61 478 1
130 478 1
131 478 1
91 478 1
62 478 1
31 478 1
15 478 1
132 478 1
4 478 1
133 478 1
96 478 1
134 478 1
64 478 1
65 478 1
5 478 1
70 478 1
101 478 1
102 478 1
9 478 1
135 478 1
123 478 1
45 479 1
109 479 1
80 479 1
6 479 1
104 479 1
82 479 1
128 479 1
54 479 1
86 479 1
1 479 1
136 479 1
137 479 1
94 479 1
120 479 1
138 479 1
97 479 1
121 479 1
39 479 1
29 479 1
139 479 1
109 480 1
38 481 1
140 482 1
141 482 1
2 482 1
142 482 1
47 482 1
6 482 1
50 482 1
36 482 1
37 482 1
10 482 1
21 482 1
143 482 1
144 482 1
87 482 1
1 482 1
88 482 1
145 482 1
56 482 1
146 482 1
27 482 1
28 482 1
147 482 1
59 482 1
41 482 1
148 482 1
62 482 1
31 482 1
149 482 1
15 482 1
137 482 1
150 482 1
151 482 1
4 482 1
95 482 1
77 482 1
152 482 1
153 482 1
154 482 1
64 482 1
155 482 1
43 482 1
68 482 1
5 482 1
156 482 1
102 482 1
9 482 1
30 482 1
123 482 1
157 483 1
158 483 1
159 483 1
107 483 1
108 483 1
160 483 1
161 483 1
49 483 1
162 483 1
124 483 1
163 483 1
51 483 1
164 483 1
37 483 1
165 483 1
52 483 1
42 483 1
38 483 1
0 483 1
105 483 1
83 483 1
53 483 1
112 483 1
136 483 1
166 483 1
58 483 1
76 483 1
28 483 1
167 483 1
168 483 1
169 483 1
170 483 1
60 483 1
61 483 1
171 483 1
130 483 1
172 483 1
173 483 1
62 483 1
17 483 1
174 483 1
175 483 1
117 483 1
176 483 1
78 483 1
64 483 1
14 483 1
65 483 1
66 483 1
120 483 1
177 483 1
25 483 1
178 483 1
121 483 1
179 483 1
180 483 1
39 483 1
101 483 1
102 483 1
181 483 1
123 483 1
182 483 1
183 483 1
79 484 1
46 484 1
6 484 1
184 484 1
21 484 1
90 484 1
114 484 1
130 484 1
155 484 1
45 485 1
185 485 1
186 485 1
37 485 1
110 485 1
187 485 1
53 485 1
85 485 1
32 485 1
145 485 1
89 485 1
188 485 1
28 485 1
61 485 1
189 485 1
131 485 1
190 485 1
191 485 1
192 485 1
193 485 1
194 485 1
133 485 1
195 485 1
97 485 1
23 485 1
196 485 1
197 485 1
5 485 1
156 485 1
99 485 1
9 485 1
103 485 1
157 486 1
49 486 1
50 486 1
163 486 1
198 486 1
199 486 1
64 486 1
65 486 1
158 487 1
200 487 1
201 487 1
202 487 1
199 487 1
8 487 1
200 488 1
6 488 1
203 488 1
10 488 1
204 488 1
31 488 1
15 488 1
205 488 1
65 488 1
121 488 1
206 488 1
207 489 1
51 489 1
208 489 1
158 490 1
16 490 1
80 490 1
7 490 1
42 490 1
0 490 1
113 490 1
158 491 1
200 491 1
107 491 1
108 491 1
13 491 1
160 491 1
7 491 1
209 491 1
163 491 1
51 491 1
36 491 1
42 491 1
127 491 1
143 491 1
112 491 1
86 491 1
1 491 1
204 491 1
136 491 1
210 491 1
26 491 1
28 491 1
167 491 1
169 491 1
211 491 1
170 491 1
60 491 1
212 491 1
198 491 1
92 491 1
213 491 1
214 491 1
199 491 1
215 491 1
17 491 1
216 491 1
12 491 1
115 491 1
117 491 1
217 491 1
14 491 1
66 491 1
138 491 1
218 491 1
180 491 1
219 491 1
8 491 1
102 491 1
103 491 1
183 491 1
220 491 1
10 492 1
0 492 1
136 492 1
31 492 1
208 492 1
192 492 1
77 492 1
138 492 1
68 492 1
5 492 1
221 493 1
51 493 1
54 493 1
86 493 1
168 493 1
198 493 1
193 493 1
222 493 1
158 494 1
109 494 1
160 494 1
46 494 1
6 494 1
19 494 1
221 494 1
104 494 1
37 494 1
111 494 1
165 494 1
38 494 1
105 494 1
184 494 1
223 494 1
