5130 50398
0 174 1
1 174 1
2 174 1
3 174 1
4 174 1
5 174 1
6 174 1
7 175 1
8 176 1
9 176 1
6 176 1
10 177 1
11 177 1
12 178 1
6 178 1
13 178 1
14 178 1
15 178 1
11 178 1
16 179 1
8 179 1
17 179 1
7 179 1
18 179 1
19 179 1
20 179 1
4 179 1
21 179 1
5 179 1
22 179 1
23 179 1
24 179 1
25 179 1
26 179 1
27 179 1
2 179 1
28 179 1
29 179 1
30 179 1
31 179 1
32 179 1
33 179 1
34 179 1
35 179 1
36 179 1
37 179 1
38 179 1
39 179 1
40 179 1
41 179 1
42 179 1
43 179 1
44 179 1
45 179 1
46 179 1
47 179 1
48 179 1
49 180 1
50 180 1
20 181 1
51 181 1
28 181 1
30 181 1
52 181 1
33 181 1
53 181 1
37 181 1
38 181 1
47 181 1
54 182 1
7 183 1
14 183 1
28 183 1
11 183 1
32 183 1
49 183 1
55 183 1
6 183 1
56 183 1
44 183 1
11 184 1
4 185 1
22 185 1
57 185 1
26 185 1
29 185 1
58 185 1
31 185 1
59 185 1
45 185 1
47 185 1
16 186 1
7 186 1
18 186 1
19 186 1
20 186 1
4 186 1
60 186 1
61 186 1
22 186 1
62 186 1
63 186 1
25 186 1
28 186 1
29 186 1
52 186 1
11 186 1
32 186 1
64 186 1
65 186 1
33 186 1
66 186 1
67 186 1
35 186 1
68 186 1
56 186 1
37 186 1
39 186 1
69 186 1
42 186 1
45 186 1
47 186 1
16 187 1
51 187 1
63 187 1
25 187 1
26 187 1
45 187 1
70 188 1
18 189 1
4 189 1
21 189 1
14 189 1
28 189 1
33 189 1
35 189 1
37 189 1
71 189 1
69 189 1
72 189 1
20 190 1
73 190 1
60 190 1
14 190 1
22 190 1
24 190 1
30 190 1
52 190 1
31 190 1
32 190 1
74 190 1
64 190 1
49 190 1
33 190 1
35 190 1
53 190 1
37 190 1
38 190 1
39 190 1
45 190 1
47 190 1
75 190 1
54 191 1
11 191 1
76 192 1
77 192 1
78 192 1
58 192 1
64 192 1
49 192 1
71 192 1
72 192 1
16 193 1
79 193 1
14 193 1
80 193 1
24 193 1
81 193 1
32 193 1
49 193 1
67 193 1
68 193 1
69 193 1
44 193 1
50 193 1
8 194 1
20 194 1
51 194 1
21 194 1
37 194 1
38 194 1
39 194 1
1 194 1
11 195 1
82 195 1
83 196 1
51 196 1
26 196 1
84 196 1
35 196 1
3 196 1
38 196 1
85 196 1
39 196 1
86 196 1
87 197 1
86 197 1
8 198 1
57 198 1
11 198 1
8 199 1
88 199 1
7 199 1
54 199 1
89 199 1
26 199 1
90 199 1
91 199 1
31 199 1
84 199 1
35 199 1
92 199 1
85 199 1
86 199 1
88 200 1
93 200 1
4 200 1
