4489 45619
0 331 1
1 332 1
2 333 1
3 333 1
4 333 1
5 333 1
6 334 1
7 335 1
8 335 1
9 335 1
10 336 1
11 337 1
12 338 1
13 338 1
14 338 1
15 338 1
16 339 1
4 339 1
17 340 1
18 340 1
19 340 1
20 340 1
21 340 1
22 340 1
23 340 1
24 340 1
25 340 1
26 340 1
27 340 1
28 340 1
29 340 1
30 340 1
31 340 1
0 340 1
32 340 1
33 340 1
34 341 1
35 341 1
7 342 1
36 342 1
37 342 1
38 342 1
39 342 1
40 342 1
41 342 1
1 342 1
16 342 1
42 342 1
12 342 1
43 342 1
44 342 1
45 342 1
46 342 1
47 342 1
48 342 1
49 342 1
50 342 1
51 342 1
52 342 1
53 342 1
54 342 1
55 342 1
11 342 1
56 342 1
3 342 1
57 342 1
58 342 1
59 342 1
60 342 1
14 342 1
30 342 1
61 342 1
8 342 1
9 342 1
62 343 1
1 343 1
4 343 1
63 343 1
64 343 1
65 343 1
50 343 1
52 343 1
66 343 1
53 343 1
3 343 1
67 343 1
68 343 1
69 343 1
59 343 1
35 343 1
6 343 1
70 343 1
71 344 1
17 344 1
18 344 1
72 344 1
73 344 1
74 344 1
23 344 1
75 344 1
76 344 1
25 344 1
30 344 1
77 344 1
78 344 1
79 345 1
80 346 1
64 346 1
75 346 1
59 346 1
14 346 1
81 346 1
71 347 1
82 347 1
83 347 1
84 347 1
85 347 1
86 347 1
87 348 1
21 348 1
86 348 1
0 348 1
87 349 1
54 350 1
88 351 1
89 351 1
90 351 1
87 352 1
17 352 1
18 352 1
91 352 1
37 352 1
39 352 1
82 352 1
92 352 1
40 352 1
42 352 1
43 352 1
44 352 1
45 352 1
46 352 1
4 352 1
47 352 1
93 352 1
34 352 1
94 352 1
95 352 1
49 352 1
5 352 1
88 352 1
96 352 1
85 352 1
86 352 1
25 352 1
97 352 1
11 352 1
98 352 1
99 352 1
100 352 1
79 352 1
60 352 1
81 352 1
101 352 1
102 352 1
0 352 1
103 352 1
104 352 1
77 352 1
49 353 1
88 353 1
60 353 1
8 353 1
39 354 1
85 354 1
16 355 1
20 355 1
105 355 1
25 355 1
97 355 1
77 355 1
89 356 1
106 356 1
12 357 1
52 357 1
14 357 1
107 358 1
108 358 1
87 359 1
109 359 1
88 359 1
11 359 1
110 359 1
111 359 1
112 359 1
113 359 1
114 359 1
81 359 1
115 359 1
116 359 1
8 359 1
117 359 1
118 359 1
9 359 1
35 360 1
119 361 1
120 361 1
38 361 1
1 361 1
64 361 1
121 361 1
52 361 1
122 361 1
123 361 1
124 361 1
125 361 1
53 361 1
126 361 1
89 361 1
106 361 1
127 361 1
128 361 1
129 361 1
130 361 1
131 361 1
11 361 1
110 361 1
111 361 1
112 361 1
113 361 1
114 361 1
60 361 1
14 361 1
118 361 1
54 362 1
14 362 1
132 362 1
59 362 1
52 363 1
133 364 1
66 364 1
71 365 1
36 365 1
19 365 1
134 365 1
37 365 1
80 365 1
41 365 1
1 365 1
135 365 1
4 365 1
93 365 1
136 365 1
72 365 1
64 365 1
49 365 1
137 365 1
138 365 1
84 365 1
85 365 1
66 365 1
139 365 1
140 365 1
29 365 1
81 365 1
15 365 1
141 365 1
8 365 1
33 365 1
20 365 1
142 365 1
22 365 1
143 365 1
50 365 1
144 365 1
23 365 1
76 365 1
53 365 1
145 365 1
11 365 1
146 365 1
56 365 1
67 365 1
147 365 1
69 365 1
99 365 1
148 365 1
59 365 1
100 365 1
79 365 1
35 365 1
149 365 1
101 365 1
70 365 1
150 365 1
151 365 1
104 365 1
77 365 1
114 366 1
89 366 1
106 366 1
152 366 1
37 367 1
1 367 1
153 367 1
49 367 1
137 367 1
30 367 1
108 367 1
33 367 1
42 367 1
154 367 1
22 367 1
11 367 1
67 367 1
155 367 1
156 367 1
99 367 1
6 367 1
149 367 1
157 367 1
77 367 1
4 368 1
93 368 1
5 368 1
21 368 1
86 368 1
0 368 1
42 368 1
158 368 1
20 369 1
6 370 1
159 370 1
34 371 1
21 371 1
84 371 1
85 371 1
86 371 1
0 371 1
45 371 1
20 371 1
13 371 1
88 371 1
105 371 1
55 371 1
148 371 1
160 371 1
32 371 1
60 372 1
141 372 1
2 372 1
16 372 1
60 373 1
0 374 1
161 375 1
1 376 1
162 376 1
99 376 1
21 377 1
20 377 1
6 378 1
20 379 1
163 380 1
94 380 1
21 380 1
85 380 1
26 380 1
0 380 1
50 380 1
14 381 1
132 381 1
27 381 1
161 382 1
164 382 1
54 383 1
6 383 1
34 384 1
30 384 1
21 385 1
0 385 1
21 386 1
165 386 1
8 386 1
20 386 1
13 386 1
166 386 1
6 386 1
161 387 1
139 387 1
3 387 1
141 387 1
16 387 1
12 387 1
6 387 1
75 388 1
167 389 1
37 389 1
1 389 1
93 389 1
168 389 1
29 389 1
25 389 1
100 389 1
169 389 1
70 389 1
77 389 1
71 390 1
19 390 1
170 390 1
47 390 1
49 390 1
21 390 1
84 390 1
85 390 1
86 390 1
26 390 1
0 390 1
42 390 1
45 390 1
28 390 1
58 391 1
84 392 1
86 392 1
4 393 1
23 394 1
71 395 1
85 395 1
103 395 1
87 395 1
45 395 1
171 396 1
89 396 1
106 396 1
86 397 1
36 398 1
15 398 1
70 398 1
150 398 1
71 399 1
172 399 1
170 399 1
163 399 1
83 399 1
34 399 1
21 399 1
173 399 1
84 399 1
85 399 1
86 399 1
26 399 1
0 399 1
105 399 1
160 399 1
28 399 1
114 400 1
123 400 1
