4125 24251
0 113 1
1 113 1
2 114 1
3 114 1
3 115 1
4 115 1
5 115 1
3 116 1
0 117 1
6 117 1
7 117 1
8 117 1
9 117 1
10 117 1
5 117 1
11 117 1
12 118 1
13 118 1
14 118 1
15 118 1
16 118 1
17 118 1
18 118 1
1 118 1
19 118 1
20 119 1
3 119 1
4 119 1
21 120 1
4 120 1
11 120 1
22 120 1
23 121 1
24 121 1
9 121 1
21 121 1
25 121 1
26 122 1
27 122 1
28 122 1
14 122 1
29 122 1
30 122 1
31 122 1
24 123 1
6 123 1
8 123 1
32 123 1
5 123 1
33 123 1
11 123 1
26 124 1
27 124 1
34 124 1
35 124 1
36 124 1
37 124 1
38 124 1
39 124 1
13 125 1
40 125 1
38 125 1
1 125 1
3 126 1
41 127 1
27 128 1
34 128 1
42 128 1
20 128 1
29 128 1
43 128 1
37 128 1
10 128 1
38 128 1
44 128 1
45 128 1
46 128 1
47 128 1
1 128 1
48 128 1
25 129 1
49 130 1
30 130 1
37 130 1
50 130 1
51 130 1
52 130 1
49 131 1
12 131 1
53 131 1
4 132 1
21 133 1
11 133 1
14 134 1
54 134 1
23 135 1
14 135 1
29 135 1
33 135 1
55 135 1
29 136 1
30 136 1
56 136 1
57 136 1
21 137 1
11 137 1
22 137 1
0 138 1
8 138 1
14 138 1
58 138 1
25 138 1
4 138 1
11 138 1
24 138 1
6 138 1
10 138 1
32 138 1
59 138 1
57 138 1
14 139 1
21 140 1
0 141 1
2 141 1
5 141 1
26 142 1
14 142 1
29 142 1
36 142 1
37 142 1
58 142 1
25 142 1
60 142 1
61 142 1
2 142 1
54 142 1
48 142 1
51 142 1
23 142 1
24 142 1
62 142 1
6 142 1
12 142 1
63 142 1
64 142 1
59 142 1
33 142 1
31 142 1
57 142 1
49 143 1
65 143 1
14 143 1
66 143 1
54 143 1
48 143 1
6 143 1
5 143 1
13 144 1
38 144 1
61 144 1
1 144 1
27 144 1
3 144 1
31 144 1
8 145 1
29 145 1
58 145 1
67 145 1
2 145 1
23 145 1
12 145 1
68 145 1
10 145 1
32 145 1
59 145 1
22 146 1
42 147 1
20 147 1
13 147 1
40 147 1
36 147 1
37 147 1
38 147 1
45 147 1
25 147 1
55 147 1
2 147 1
1 147 1
48 147 1
27 147 1
12 147 1
7 147 1
15 147 1
63 147 1
53 147 1
50 147 1
32 147 1
69 147 1
70 147 1
31 147 1
47 147 1
19 147 1
22 148 1
63 148 1
22 149 1
23 149 1
1 150 1
57 151 1
22 152 1
0 153 1
54 153 1
13 154 1
29 154 1
2 154 1
51 154 1
12 154 1
68 154 1
71 155 1
56 155 1
3 156 1
57 157 1
0 158 1
29 158 1
12 158 1
3 158 1
32 158 1
72 158 1
73 158 1
74 159 1
13 159 1
37 159 1
17 159 1
1 159 1
27 159 1
39 159 1
29 160 1
58 160 1
11 160 1
54 160 1
22 160 1
6 160 1
10 160 1
32 160 1
69 160 1
22 161 1
20 162 1
66 162 1
13 163 1
1 163 1
39 163 1
52 163 1
13 164 1
58 164 1
60 164 1
12 164 1
7 164 1
9 164 1
10 164 1
32 164 1
57 165 1
0 166 1
25 166 1
4 166 1
54 166 1
22 166 1
23 166 1
6 166 1
54 167 1
26 168 1
75 168 1
41 168 1
13 168 1
40 168 1
36 168 1
37 168 1
38 168 1
17 168 1
61 168 1
1 168 1
27 168 1
50 168 1
39 168 1
18 168 1
31 168 1
42 169 1
40 169 1
36 169 1
38 169 1
45 169 1
27 169 1
3 169 1
54 170 1
23 170 1
6 170 1
5 170 1
29 171 1
30 171 1
26 172 1
37 172 1
61 172 1
47 172 1
52 172 1
38 173 1
56 173 1
0 174 1
60 174 1
2 175 1
3 175 1
26 176 1
75 176 1
74 176 1
35 176 1
20 176 1
13 176 1
76 176 1
36 176 1
37 176 1
38 176 1
17 176 1
1 176 1
27 176 1
53 176 1
70 176 1
18 176 1
56 177 1
3 177 1
3 178 1
14 179 1
54 179 1
6 179 1
29 180 1
24 181 1
6 181 1
20 182 1
40 182 1
29 182 1
37 182 1
58 182 1
77 182 1
1 182 1
12 182 1
7 182 1
78 182 1
63 182 1
53 182 1
10 182 1
32 182 1
69 182 1
33 182 1
19 182 1
26 183 1
30 184 1
38 184 1
29 185 1
10 185 1
79 185 1
60 186 1
2 186 1
26 187 1
37 187 1
38 187 1
11 187 1
33 187 1
31 187 1
3 188 1
10 188 1
32 188 1
54 189 1
6 189 1
22 190 1
12 190 1
3 190 1
14 191 1
29 191 1
36 191 1
38 191 1
44 191 1
25 191 1
47 191 1
57 191 1
8 192 1
44 192 1
54 192 1
12 192 1
68 192 1
72 192 1
26 193 1
74 193 1
17 193 1
27 193 1
34 193 1
12 193 1
4 194 1
61 194 1
1 194 1
48 194 1
13 195 1
40 195 1
38 195 1
17 195 1
1 195 1
27 195 1
70 195 1
31 195 1
75 196 1
17 196 1
61 196 1
63 196 1
80 196 1
31 196 1
3 197 1
14 198 1
3 198 1
14 199 1
3 199 1
26 200 1
75 200 1
42 200 1
35 200 1
20 200 1
13 200 1
30 200 1
38 200 1
45 200 1
25 200 1
17 200 1
61 200 1
55 200 1
1 200 1
48 200 1
27 200 1
34 200 1
81 200 1
53 200 1
39 200 1
70 200 1
31 200 1
47 200 1
60 201 1
22 201 1
5 201 1
0 202 1
29 202 1
30 202 1
4 202 1
61 202 1
54 202 1
48 202 1
24 202 1
6 202 1
9 202 1
78 202 1
15 202 1
63 202 1
32 202 1
39 202 1
19 202 1
0 203 1
20 203 1
29 203 1
60 203 1
2 203 1
51 203 1
23 203 1
12 203 1
7 203 1
82 203 1
3 203 1
79 203 1
5 203 1
39 203 1
19 203 1
3 204 1
29 205 1
64 205 1
26 206 1
8 207 1
29 207 1
58 207 1
38 207 1
55 207 1
78 207 1
10 207 1
32 207 1
33 207 1
47 207 1
57 207 1
13 208 1
14 208 1
36 208 1
38 208 1
4 208 1
1 208 1
27 208 1
12 208 1
13 209 1
36 209 1
27 209 1
61 210 1
62 210 1
47 210 1
52 210 1
0 211 1
65 211 1
21 211 1
60 211 1
11 211 1
54 211 1
22 211 1
6 211 1
83 211 1
42 212 1
30 212 1
66 213 1
39 213 1
26 214 1
14 214 1
29 214 1
36 214 1
37 214 1
44 214 1
25 214 1
4 214 1
84 214 1
22 214 1
6 214 1
15 214 1
10 214 1
64 214 1
5 214 1
31 214 1
47 214 1
23 215 1
20 216 1
29 216 1
36 216 1
4 216 1
60 216 1
22 216 1
27 216 1
63 216 1
31 216 1
12 217 1
75 218 1
13 218 1
36 218 1
37 218 1
38 218 1
1 218 1
27 218 1
53 218 1
26 219 1
75 219 1
42 219 1
41 219 1
74 219 1
35 219 1
49 219 1
20 219 1
13 219 1
40 219 1
30 219 1
76 219 1
66 219 1
36 219 1
37 219 1
38 219 1
45 219 1
17 219 1
61 219 1
1 219 1
27 219 1
34 219 1
62 219 1
12 219 1
28 219 1
7 219 1
63 219 1
53 219 1
50 219 1
79 219 1
80 219 1
39 219 1
85 219 1
18 219 1
31 219 1
47 219 1
86 219 1
19 219 1
52 219 1
20 220 1
55 220 1
2 220 1
3 220 1
53 220 1
57 220 1
15 221 1
14 222 1
30 222 1
14 223 1
75 224 1
22 225 1
5 225 1
26 226 1
20 226 1
13 226 1
37 226 1
58 226 1
38 226 1
17 226 1
1 226 1
87 226 1
27 226 1
63 226 1
53 226 1
50 226 1
80 226 1
39 226 1
18 226 1
55 227 1
2 228 1
84 228 1
68 228 1
3 228 1
73 228 1
57 228 1
3 229 1
22 230 1
20 231 1
58 232 1
54 232 1
23 232 1
6 232 1
12 232 1
7 232 1
9 232 1
3 232 1
10 232 1
32 232 1
5 232 1
75 233 1
41 233 1
49 233 1
13 233 1
36 233 1
37 233 1
45 233 1
25 233 1
17 233 1
1 233 1
27 233 1
68 233 1
80 233 1
26 234 1
74 234 1
14 234 1
58 234 1
44 234 1
17 234 1
61 234 1
54 234 1
48 234 1
22 234 1
23 234 1
6 234 1
3 234 1
53 234 1
79 234 1
88 234 1
59 234 1
39 234 1
31 234 1
86 234 1
0 235 1
58 235 1
25 235 1
6 235 1
32 235 1
54 236 1
6 236 1
32 236 1
0 237 1
21 237 1
25 237 1
60 237 1
11 237 1
2 237 1
22 237 1
23 237 1
24 237 1
6 237 1
32 237 1
64 237 1
19 237 1
84 238 1
20 239 1
2 239 1
54 239 1
23 239 1
6 239 1
3 239 1
5 239 1
26 240 1
37 240 1
38 240 1
27 240 1
39 240 1
31 240 1
86 240 1
69 241 1
41 242 1
37 242 1
21 242 1
38 242 1
11 242 1
53 242 1
39 242 1
0 243 1
23 243 1
6 243 1
89 244 1
58 245 1
26 246 1
38 246 1
79 246 1
30 247 1
61 247 1
2 247 1
1 247 1
48 247 1
24 247 1
34 247 1
15 247 1
39 247 1
47 247 1
57 247 1
15 248 1
0 249 1
90 249 1
11 249 1
2 249 1
48 249 1
23 249 1
6 249 1
68 249 1
3 249 1
10 249 1
32 249 1
57 249 1
65 250 1
29 250 1
77 250 1
67 250 1
2 250 1
23 250 1
7 250 1
69 250 1
33 250 1
0 251 1
21 251 1
25 251 1
10 251 1
33 251 1
49 252 1
36 252 1
44 252 1
90 252 1
67 252 1
2 252 1
51 252 1
12 252 1
68 252 1
78 252 1
50 252 1
39 252 1
73 252 1
57 252 1
2 253 1
62 254 1
68 254 1
3 254 1
39 254 1
31 255 1
