5862 81469
0 429 1
1 429 1
2 429 1
3 430 1
4 430 1
5 430 1
6 430 1
7 430 1
8 430 1
9 430 1
10 430 1
11 430 1
12 430 1
13 431 1
14 431 1
15 431 1
16 431 1
17 431 1
18 431 1
19 431 1
20 431 1
21 431 1
22 431 1
23 431 1
24 431 1
25 431 1
26 431 1
27 431 1
28 431 1
29 431 1
30 431 1
31 432 1
2 432 1
5 432 1
32 432 1
33 432 1
34 432 1
35 432 1
36 432 1
37 432 1
38 432 1
39 432 1
40 432 1
41 432 1
0 432 1
42 432 1
43 432 1
44 433 1
45 433 1
46 433 1
10 433 1
47 433 1
48 433 1
49 433 1
50 433 1
3 433 1
51 433 1
6 433 1
52 433 1
53 433 1
8 433 1
54 433 1
55 434 1
56 434 1
39 434 1
57 434 1
58 435 1
59 435 1
31 435 1
60 435 1
61 435 1
62 435 1
63 435 1
64 435 1
7 435 1
65 435 1
3 435 1
66 435 1
4 435 1
67 435 1
68 435 1
40 435 1
0 435 1
69 435 1
70 435 1
43 435 1
71 435 1
72 435 1
73 435 1
2 435 1
74 435 1
45 435 1
75 435 1
47 435 1
76 435 1
77 435 1
78 435 1
79 435 1
52 435 1
41 435 1
80 435 1
5 436 1
81 436 1
82 436 1
40 436 1
83 436 1
47 436 1
84 436 1
79 436 1
85 436 1
86 436 1
87 437 1
88 437 1
89 437 1
90 437 1
91 437 1
92 438 1
93 439 1
60 439 1
94 439 1
95 439 1
96 439 1
97 439 1
45 439 1
33 439 1
98 439 1
99 440 1
93 440 1
94 440 1
100 440 1
95 440 1
96 440 1
101 440 1
102 440 1
10 441 1
103 441 1
104 441 1
105 441 1
106 441 1
107 441 1
15 441 1
108 441 1
109 441 1
110 441 1
9 441 1
91 441 1
111 441 1
112 441 1
14 442 1
113 442 1
114 442 1
10 442 1
115 442 1
116 442 1
117 442 1
118 442 1
81 442 1
3 442 1
4 442 1
39 442 1
87 442 1
119 442 1
2 442 1
75 442 1
24 442 1
6 442 1
120 442 1
53 442 1
8 442 1
91 442 1
5 443 1
121 443 1
65 443 1
48 443 1
106 443 1
102 443 1
122 444 1
58 445 1
10 445 1
40 445 1
89 445 1
79 445 1
123 445 1
6 445 1
53 445 1
86 445 1
124 446 1
58 446 1
5 446 1
125 446 1
126 446 1
87 446 1
127 446 1
128 446 1
69 446 1
129 446 1
106 446 1
15 446 1
53 446 1
63 447 1
117 447 1
4 447 1
38 447 1
40 447 1
43 447 1
130 447 1
13 447 1
131 447 1
132 447 1
37 447 1
133 448 1
134 448 1
135 448 1
31 448 1
136 448 1
62 448 1
64 448 1
137 448 1
138 448 1
139 448 1
115 448 1
117 448 1
140 448 1
95 448 1
49 448 1
141 448 1
35 448 1
101 448 1
142 448 1
4 448 1
143 448 1
67 448 1
144 448 1
68 448 1
88 448 1
145 448 1
146 448 1
147 448 1
129 448 1
148 448 1
149 448 1
119 448 1
150 448 1
106 448 1
151 448 1
152 448 1
153 448 1
154 448 1
155 448 1
156 448 1
1 448 1
157 448 1
2 448 1
158 448 1
159 448 1
160 448 1
161 448 1
84 448 1
162 448 1
163 448 1
164 448 1
165 448 1
166 448 1
167 448 1
168 448 1
6 448 1
52 448 1
169 448 1
170 448 1
41 448 1
8 448 1
98 448 1
91 448 1
171 448 1
172 448 1
42 448 1
86 448 1
173 448 1
174 448 1
124 449 1
5 449 1
125 449 1
175 449 1
176 449 1
70 449 1
177 449 1
178 449 1
179 449 1
78 449 1
180 449 1
48 450 1
105 450 1
4 450 1
70 450 1
181 450 1
179 450 1
76 450 1
78 450 1
9 450 1
10 451 1
182 452 1
45 452 1
90 452 1
5 453 1
183 453 1
184 453 1
100 453 1
34 453 1
185 453 1
186 453 1
78 453 1
187 453 1
37 453 1
14 454 1
104 454 1
38 454 1
188 454 1
41 454 1
189 455 1
125 455 1
121 455 1
175 455 1
65 455 1
100 455 1
118 455 1
3 455 1
4 455 1
190 455 1
38 455 1
191 455 1
127 455 1
0 455 1
70 455 1
192 455 1
178 455 1
179 455 1
193 455 1
73 455 1
15 455 1
18 455 1
194 455 1
187 455 1
180 455 1
37 455 1
195 455 1
41 455 1
53 455 1
9 455 1
189 456 1
58 456 1
135 456 1
93 456 1
5 456 1
196 456 1
113 456 1
62 456 1
138 456 1
10 456 1
117 456 1
34 456 1
96 456 1
36 456 1
39 456 1
67 456 1
40 456 1
145 456 1
147 456 1
197 456 1
185 456 1
155 456 1
157 456 1
89 456 1
164 456 1
102 456 1
79 456 1
6 456 1
52 456 1
170 456 1
54 456 1
91 456 1
42 456 1
86 456 1
28 456 1
31 457 1
121 457 1
198 457 1
196 457 1
62 457 1
184 457 1
199 457 1
200 457 1
201 457 1
95 457 1
4 457 1
39 457 1
191 457 1
202 457 1
128 457 1
0 457 1
69 457 1
188 457 1
178 457 1
203 457 1
204 457 1
205 457 1
158 457 1
46 457 1
77 457 1
162 457 1
24 457 1
37 457 1
206 457 1
207 457 1
208 457 1
8 457 1
27 457 1
209 457 1
86 457 1
210 457 1
58 458 1
62 458 1
184 458 1
200 458 1
201 458 1
103 458 1
117 458 1
104 458 1
35 458 1
149 458 1
211 458 1
15 458 1
212 458 1
53 458 1
42 458 1
86 458 1
210 458 1
138 459 1
142 459 1
67 459 1
148 459 1
156 459 1
164 459 1
41 459 1
86 459 1
28 459 1
93 460 1
17 460 1
196 460 1
19 460 1
138 460 1
117 460 1
95 460 1
96 460 1
81 460 1
213 460 1
101 460 1
4 460 1
214 460 1
39 460 1
67 460 1
40 460 1
202 460 1
215 460 1
83 460 1
145 460 1
216 460 1
197 460 1
153 460 1
156 460 1
1 460 1
217 460 1
2 460 1
89 460 1
47 460 1
33 460 1
161 460 1
50 460 1
164 460 1
165 460 1
79 460 1
52 460 1
41 460 1
8 460 1
54 460 1
172 460 1
86 460 1
101 461 1
150 461 1
218 462 1
194 462 1
219 462 1
91 462 1
19 463 1
7 463 1
65 463 1
24 463 1
220 463 1
116 464 1
87 464 1
221 464 1
106 464 1
91 464 1
94 465 1
96 465 1
44 466 1
65 466 1
81 466 1
4 466 1
222 466 1
127 466 1
50 466 1
163 466 1
79 466 1
28 466 1
223 467 1
224 467 1
189 467 1
58 467 1
99 467 1
135 467 1
225 467 1
17 467 1
31 467 1
5 467 1
226 467 1
227 467 1
196 467 1
60 467 1
136 467 1
94 467 1
62 467 1
228 467 1
63 467 1
184 467 1
64 467 1
137 467 1
100 467 1
139 467 1
115 467 1
140 467 1
34 467 1
95 467 1
49 467 1
96 467 1
229 467 1
213 467 1
66 467 1
142 467 1
230 467 1
4 467 1
231 467 1
222 467 1
38 467 1
232 467 1
143 467 1
214 467 1
39 467 1
233 467 1
67 467 1
127 467 1
144 467 1
68 467 1
40 467 1
128 467 1
0 467 1
69 467 1
70 467 1
88 467 1
215 467 1
43 467 1
145 467 1
146 467 1
234 467 1
149 467 1
119 467 1
181 467 1
216 467 1
235 467 1
203 467 1
236 467 1
152 467 1
237 467 1
238 467 1
239 467 1
154 467 1
185 467 1
240 467 1
241 467 1
18 467 1
1 467 1
242 467 1
217 467 1
157 467 1
2 467 1
74 467 1
32 467 1
243 467 1
244 467 1
159 467 1
131 467 1
245 467 1
246 467 1
76 467 1
77 467 1
50 467 1
194 467 1
162 467 1
164 467 1
187 467 1
247 467 1
132 467 1
165 467 1
248 467 1
249 467 1
167 467 1
37 467 1
250 467 1
6 467 1
52 467 1
207 467 1
169 467 1
251 467 1
27 467 1
91 467 1
252 467 1
253 467 1
172 467 1
42 467 1
86 467 1
254 467 1
28 467 1
81 468 1
4 468 1
46 468 1
62 469 1
63 469 1
7 469 1
4 469 1
39 469 1
0 469 1
69 469 1
70 469 1
148 469 1
72 469 1
240 469 1
241 469 1
89 469 1
77 469 1
50 469 1
52 469 1
8 469 1
98 469 1
91 469 1
44 469 1
60 469 1
138 469 1
255 469 1
115 469 1
96 469 1
142 469 1
143 469 1
256 469 1
87 469 1
257 469 1
67 469 1
88 469 1
146 469 1
106 469 1
216 469 1
155 469 1
18 469 1
2 469 1
258 469 1
259 469 1
166 469 1
79 469 1
28 469 1
21 470 1
55 470 1
137 471 1
4 471 1
235 471 1
45 471 1
201 471 1
260 471 1
182 472 1
197 472 1
48 473 1
155 473 1
53 473 1
261 473 1
124 474 1
94 474 1
65 474 1
116 474 1
48 474 1
141 474 1
3 474 1
4 474 1
262 474 1
38 474 1
82 474 1
39 474 1
233 474 1
127 474 1
68 474 1
0 474 1
177 474 1
178 474 1
15 474 1
89 474 1
21 474 1
160 474 1
263 474 1
84 474 1
6 474 1
52 474 1
220 474 1
8 474 1
98 474 1
54 474 1
252 474 1
209 474 1
189 474 1
113 474 1
19 474 1
201 474 1
114 474 1
103 474 1
55 474 1
96 474 1
104 474 1
81 474 1
35 474 1
191 474 1
87 474 1
145 474 1
264 474 1
236 474 1
204 474 1
18 474 1
2 474 1
32 474 1
20 474 1
258 474 1
109 474 1
75 474 1
131 474 1
47 474 1
12 474 1
163 474 1
166 474 1
265 474 1
37 474 1
79 474 1
123 474 1
41 474 1
78 475 1
133 475 1
37 475 1
51 476 1
4 477 1
44 477 1
216 478 1
200 479 1
72 479 1
8 479 1
91 479 1
44 479 1
10 479 1
83 479 1
204 479 1
18 479 1
168 479 1
120 479 1
28 479 1
5 480 1
184 480 1
7 480 1
3 480 1
105 480 1
230 480 1
4 480 1
38 480 1
0 480 1
70 480 1
181 480 1
179 480 1
74 480 1
205 480 1
263 480 1
78 480 1
24 480 1
219 480 1
9 480 1
266 480 1
125 480 1
19 480 1
114 480 1
43 480 1
188 480 1
204 480 1
18 480 1
46 480 1
75 480 1
194 480 1
12 480 1
267 480 1
167 480 1
37 480 1
251 480 1
41 480 1
28 480 1
210 480 1
127 481 1
91 481 1
103 481 1
216 481 1
258 481 1
80 481 1
55 482 1
268 482 1
136 483 1
269 483 1
62 483 1
63 483 1
184 483 1
64 483 1
7 483 1
117 483 1
140 483 1
118 483 1
141 483 1
105 483 1
66 483 1
270 483 1
38 483 1
68 483 1
69 483 1
70 483 1
177 483 1
178 483 1
181 483 1
203 483 1
72 483 1
153 483 1
179 483 1
193 483 1
73 483 1
157 483 1
271 483 1
272 483 1
273 483 1
263 483 1
50 483 1
78 483 1
187 483 1
24 483 1
51 483 1
274 483 1
9 483 1
54 483 1
171 483 1
252 483 1
42 483 1
266 483 1
174 483 1
133 483 1
189 483 1
31 483 1
125 483 1
113 483 1
19 483 1
100 483 1
139 483 1
103 483 1
34 483 1
49 483 1
97 483 1
35 483 1
275 483 1
256 483 1
191 483 1
67 483 1
88 483 1
145 483 1
119 483 1
211 483 1
204 483 1
156 483 1
18 483 1
276 483 1
277 483 1
167 483 1
37 483 1
85 483 1
251 483 1
41 483 1
278 483 1
111 483 1
86 483 1
210 483 1
93 484 1
96 484 1
106 485 1
155 485 1
166 485 1
7 486 1
4 486 1
9 486 1
256 486 1
191 486 1
37 486 1
34 487 1
188 487 1
3 488 1
15 488 1
18 488 1
109 488 1
46 488 1
12 488 1
85 488 1
208 488 1
45 489 1
45 490 1
5 491 1
89 492 1
160 492 1
115 492 1
105 493 1
127 493 1
209 493 1
103 493 1
267 493 1
60 494 1
255 494 1
96 494 1
218 494 1
279 494 1
2 494 1
55 495 1
28 495 1
94 496 1
101 496 1
5 497 1
230 497 1
40 497 1
202 497 1
0 497 1
205 497 1
58 497 1
143 497 1
67 497 1
83 497 1
280 497 1
131 497 1
168 497 1
86 497 1
28 497 1
127 498 1
201 498 1
103 498 1
281 498 1
2 499 1
282 500 1
105 500 1
178 500 1
108 500 1
9 500 1
125 500 1
180 500 1
63 501 1
127 501 1
8 501 1
276 501 1
116 502 1
45 502 1
99 502 1
95 502 1
96 502 1
104 502 1
87 502 1
43 502 1
146 502 1
59 503 1
118 504 1
91 504 1
93 504 1
138 504 1
279 504 1
41 504 1
48 505 1
283 505 1
53 505 1
105 506 1
9 506 1
284 506 1
210 506 1
63 507 1
105 507 1
148 507 1
149 507 1
203 507 1
6 507 1
19 507 1
103 507 1
97 507 1
216 507 1
285 507 1
132 507 1
168 507 1
86 507 1
78 508 1
251 508 1
28 508 1
