6047 98129
0 430 1
1 431 1
2 431 1
3 431 1
4 431 1
5 431 1
6 431 1
7 431 1
8 431 1
9 431 1
10 431 1
11 431 1
12 432 1
13 432 1
14 433 1
15 433 1
16 433 1
17 433 1
18 433 1
19 433 1
20 433 1
21 433 1
22 433 1
23 433 1
24 433 1
25 433 1
26 433 1
27 433 1
28 433 1
29 433 1
30 433 1
31 434 1
32 435 1
14 436 1
6 436 1
33 436 1
34 436 1
35 436 1
10 436 1
36 436 1
5 436 1
27 436 1
37 436 1
29 436 1
38 436 1
39 436 1
32 437 1
19 437 1
40 437 1
0 437 1
20 437 1
41 437 1
27 437 1
42 437 1
43 438 1
44 438 1
0 438 1
20 438 1
45 438 1
4 438 1
46 438 1
47 438 1
48 438 1
23 439 1
22 439 1
47 439 1
49 439 1
50 440 1
13 440 1
45 441 1
3 442 1
51 442 1
52 442 1
6 442 1
53 442 1
54 442 1
35 442 1
40 442 1
55 442 1
56 442 1
57 442 1
58 442 1
59 442 1
60 442 1
61 442 1
62 442 1
26 442 1
45 442 1
38 442 1
63 442 1
64 442 1
65 442 1
66 442 1
12 442 1
67 442 1
68 442 1
69 442 1
70 442 1
71 442 1
72 442 1
73 442 1
74 442 1
44 443 1
75 443 1
76 443 1
77 443 1
78 444 1
79 444 1
80 444 1
81 444 1
10 444 1
82 444 1
40 444 1
36 444 1
20 444 1
83 444 1
84 444 1
85 444 1
42 444 1
86 444 1
16 444 1
87 444 1
88 444 1
89 444 1
90 444 1
91 444 1
46 444 1
92 444 1
93 444 1
94 444 1
37 444 1
70 444 1
8 444 1
29 444 1
95 444 1
96 444 1
15 445 1
10 445 1
97 445 1
36 445 1
58 445 1
98 445 1
45 445 1
99 445 1
63 445 1
30 445 1
14 445 1
100 445 1
4 445 1
101 445 1
5 445 1
72 445 1
73 445 1
9 445 1
102 445 1
96 445 1
80 446 1
52 446 1
6 446 1
75 446 1
54 446 1
58 446 1
1 446 1
103 446 1
104 446 1
66 446 1
93 446 1
105 446 1
68 446 1
94 446 1
37 446 1
28 446 1
106 446 1
80 447 1
36 448 1
107 449 1
108 449 1
2 449 1
109 449 1
6 449 1
34 449 1
35 449 1
10 449 1
20 449 1
110 449 1
111 449 1
59 449 1
1 449 1
60 449 1
112 449 1
113 449 1
26 449 1
27 449 1
114 449 1
45 449 1
39 449 1
115 449 1
30 449 1
116 449 1
14 449 1
104 449 1
117 449 1
118 449 1
4 449 1
67 449 1
50 449 1
119 449 1
120 449 1
121 449 1
122 449 1
41 449 1
47 449 1
5 449 1
123 449 1
73 449 1
9 449 1
29 449 1
96 449 1
124 450 1
125 450 1
126 450 1
78 450 1
79 450 1
127 450 1
128 450 1
129 450 1
130 450 1
131 450 1
44 450 1
132 450 1
35 450 1
133 450 1
40 450 1
36 450 1
0 450 1
76 450 1
55 450 1
134 450 1
83 450 1
103 450 1
135 450 1
27 450 1
136 450 1
137 450 1
138 450 1
139 450 1
140 450 1
141 450 1
142 450 1
16 450 1
143 450 1
144 450 1
90 450 1
145 450 1
13 450 1
46 450 1
93 450 1
146 450 1
24 450 1
147 450 1
94 450 1
148 450 1
149 450 1
37 450 1
72 450 1
73 450 1
150 450 1
96 450 1
151 450 1
51 451 1
43 451 1
6 451 1
20 451 1
62 451 1
122 451 1
152 452 1
153 452 1
35 452 1
81 452 1
57 452 1
31 452 1
112 452 1
61 452 1
154 452 1
27 452 1
155 452 1
99 452 1
156 452 1
157 452 1
158 452 1
159 452 1
160 452 1
161 452 1
68 452 1
22 452 1
162 452 1
163 452 1
5 452 1
123 452 1
70 452 1
9 452 1
74 452 1
