4967 41814
0 157 1
1 157 1
2 157 1
3 157 1
4 157 1
5 157 1
6 157 1
7 157 1
8 158 1
9 158 1
7 158 1
10 159 1
11 160 1
7 160 1
12 160 1
13 160 1
14 160 1
10 160 1
15 161 1
8 162 1
16 162 1
4 162 1
5 162 1
17 162 1
18 162 1
2 162 1
19 162 1
20 162 1
21 162 1
15 162 1
22 163 1
15 164 1
23 165 1
20 165 1
15 165 1
24 166 1
13 167 1
25 167 1
10 167 1
26 167 1
7 167 1
21 167 1
10 168 1
27 169 1
4 169 1
28 169 1
29 169 1
18 169 1
30 169 1
31 169 1
32 169 1
33 169 1
6 169 1
34 169 1
35 169 1
4 170 1
36 170 1
10 170 1
37 170 1
38 170 1
39 170 1
40 170 1
23 171 1
18 171 1
41 172 1
4 173 1
13 173 1
42 173 1
40 173 1
43 173 1
35 173 1
44 174 1
27 174 1
45 174 1
46 174 1
47 174 1
13 174 1
48 174 1
49 174 1
20 174 1
35 174 1
24 175 1
10 175 1
50 176 1
51 176 1
52 176 1
42 176 1
43 176 1
27 177 1
53 177 1
13 177 1
54 177 1
39 177 1
40 177 1
21 177 1
22 177 1
44 178 1
8 178 1
45 178 1
55 178 1
23 178 1
56 178 1
47 178 1
57 178 1
58 178 1
59 178 1
20 178 1
60 178 1
1 178 1
27 179 1
29 179 1
10 179 1
59 179 1
61 179 1
6 179 1
35 179 1
62 180 1
23 180 1
18 180 1
63 180 1
3 180 1
20 180 1
64 180 1
65 180 1
66 181 1
65 181 1
8 182 1
10 182 1
8 183 1
67 183 1
45 183 1
55 183 1
24 183 1
47 183 1
36 183 1
68 183 1
18 183 1
69 183 1
70 183 1
71 183 1
58 183 1
63 183 1
59 183 1
72 183 1
64 183 1
60 183 1
65 183 1
73 183 1
6 183 1
67 184 1
74 184 1
4 184 1
68 184 1
58 184 1
75 184 1
1 184 1
76 184 1
0 185 1
8 185 1
4 185 1
53 185 1
13 185 1
28 185 1
68 185 1
51 185 1
18 185 1
2 185 1
69 185 1
77 185 1
78 185 1
37 185 1
19 185 1
79 185 1
40 185 1
76 185 1
21 185 1
65 185 1
80 185 1
81 185 1
15 185 1
67 186 1
46 187 1
23 187 1
53 187 1
82 187 1
13 187 1
68 187 1
17 187 1
18 187 1
52 187 1
83 187 1
77 187 1
84 187 1
70 187 1
85 187 1
38 187 1
63 187 1
19 187 1
86 187 1
32 187 1
72 187 1
20 187 1
64 187 1
87 187 1
40 187 1
88 187 1
65 187 1
89 187 1
80 187 1
5 188 1
82 189 1
18 189 1
11 190 1
35 190 1
10 191 1
90 191 1
72 191 1
0 192 1
8 192 1
16 192 1
67 192 1
4 192 1
23 192 1
5 192 1
39 192 1
63 192 1
90 192 1
79 192 1
26 192 1
7 192 1
12 192 1
91 192 1
11 192 1
13 192 1
51 192 1
17 192 1
77 192 1
84 192 1
70 192 1
92 192 1
93 192 1
10 192 1
3 192 1
94 192 1
20 192 1
42 192 1
64 192 1
40 192 1
15 192 1
4 193 1
47 193 1
20 193 1
10 194 1
4 195 1
15 195 1
44 196 1
27 196 1
95 196 1
4 196 1
68 196 1
69 196 1
49 196 1
41 196 1
57 196 1
58 196 1
38 196 1
26 196 1
80 196 1
96 196 1
35 196 1
28 196 1
51 196 1
18 196 1
77 196 1
37 196 1
3 196 1
42 196 1
22 196 1
97 197 1
67 198 1
4 198 1
7 198 1
11 198 1
13 198 1
8 199 1
4 199 1
47 199 1
54 199 1
38 199 1
21 199 1
35 199 1
11 199 1
18 199 1
37 199 1
3 199 1
20 199 1
64 199 1
42 199 1
1 199 1
61 199 1
8 200 1
67 200 1
5 200 1
47 200 1
68 200 1
29 200 1
98 200 1
59 200 1
75 200 1
88 200 1
6 200 1
45 200 1
99 200 1
100 200 1
37 200 1
9 200 1
101 200 1
102 200 1
103 200 1
72 200 1
20 200 1
1 200 1
61 200 1
15 200 1
52 201 1
19 201 1
28 201 1
16 202 1
4 202 1
23 202 1
24 202 1
5 202 1
47 202 1
36 202 1
29 202 1
69 202 1
104 202 1
57 202 1
58 202 1
59 202 1
12 202 1
75 202 1
6 202 1
45 202 1
28 202 1
25 202 1
99 202 1
92 202 1
78 202 1
105 202 1
106 202 1
14 202 1
76 202 1
34 202 1
7 203 1
