3348 17676
0 92 1
1 92 1
2 93 1
3 93 1
4 94 1
5 95 1
6 96 1
7 96 1
8 96 1
9 96 1
10 96 1
11 97 1
12 97 1
13 98 1
14 99 1
15 99 1
16 100 1
17 100 1
18 100 1
19 100 1
20 100 1
1 100 1
21 100 1
22 101 1
2 101 1
3 101 1
13 101 1
4 101 1
12 102 1
23 102 1
24 103 1
25 103 1
26 103 1
27 104 1
27 105 1
28 105 1
29 105 1
30 105 1
24 106 1
25 106 1
31 106 1
32 106 1
0 106 1
12 106 1
33 106 1
34 106 1
35 106 1
17 107 1
35 107 1
1 107 1
4 108 1
12 109 1
36 109 1
25 110 1
31 110 1
22 110 1
11 110 1
37 110 1
34 110 1
13 110 1
35 110 1
38 110 1
36 110 1
4 110 1
39 110 1
9 110 1
40 110 1
1 110 1
23 111 1
7 112 1
41 112 1
42 112 1
11 112 1
43 112 1
0 112 1
34 112 1
6 112 1
38 112 1
36 112 1
4 112 1
39 112 1
23 112 1
16 113 1
11 113 1
12 113 1
44 113 1
4 113 1
15 113 1
27 114 1
45 115 1
12 115 1
46 116 1
11 116 1
2 116 1
3 116 1
47 116 1
48 116 1
23 116 1
27 116 1
10 116 1
38 116 1
8 116 1
4 116 1
39 116 1
49 116 1
15 116 1
3 117 1
48 117 1
24 118 1
0 118 1
2 118 1
33 118 1
34 118 1
23 118 1
16 118 1
29 118 1
45 119 1
12 119 1
2 120 1
42 121 1
11 121 1
17 121 1
35 121 1
1 121 1
25 121 1
16 122 1
42 123 1
22 123 1
11 123 1
17 123 1
12 123 1
33 123 1
34 123 1
35 123 1
6 123 1
1 123 1
7 123 1
25 123 1
41 123 1
16 123 1
14 123 1
44 123 1
50 123 1
51 123 1
21 123 1
1 124 1
43 124 1
0 125 1
43 125 1
51 125 1
23 126 1
17 127 1
16 127 1
16 128 1
52 129 1
17 129 1
34 129 1
19 129 1
53 129 1
1 129 1
25 129 1
38 129 1
22 130 1
17 131 1
1 131 1
17 132 1
16 132 1
14 132 1
8 132 1
15 132 1
27 133 1
2 134 1
27 134 1
15 135 1
24 136 1
54 136 1
42 136 1
11 136 1
17 136 1
12 136 1
33 136 1
34 136 1
35 136 1
19 136 1
53 136 1
1 136 1
25 136 1
41 136 1
20 136 1
33 137 1
35 137 1
25 137 1
4 138 1
24 139 1
11 139 1
34 139 1
53 139 1
41 139 1
43 139 1
35 140 1
24 141 1
54 141 1
52 141 1
32 141 1
22 141 1
17 141 1
55 141 1
33 141 1
34 141 1
35 141 1
19 141 1
1 141 1
25 141 1
44 141 1
50 141 1
20 141 1
45 142 1
45 143 1
2 143 1
3 143 1
47 143 1
48 143 1
23 143 1
7 143 1
56 143 1
4 143 1
15 143 1
23 144 1
57 145 1
42 145 1
46 145 1
22 145 1
11 145 1
2 145 1
3 145 1
34 145 1
47 145 1
6 145 1
53 145 1
1 145 1
48 145 1
23 145 1
7 145 1
27 145 1
16 145 1
14 145 1
43 145 1
28 145 1
44 145 1
13 145 1
8 145 1
58 145 1
15 145 1
21 145 1
24 146 1
4 146 1
35 147 1
59 148 1
27 149 1
4 150 1
30 150 1
24 151 1
34 151 1
35 151 1
5 151 1
2 152 1
48 153 1
16 154 1
33 155 1
35 155 1
23 155 1
8 155 1
15 155 1
27 156 1
16 156 1
8 156 1
15 156 1
24 157 1
52 157 1
19 157 1
25 157 1
31 157 1
16 157 1
1 158 1
17 159 1
35 159 1
19 159 1
1 159 1
25 159 1
50 159 1
54 160 1
19 160 1
15 161 1
24 162 1
54 162 1
42 162 1
32 162 1
22 162 1
11 162 1
17 162 1
35 162 1
19 162 1
1 162 1
25 162 1
31 162 1
60 162 1
44 162 1
50 162 1
42 163 1
11 163 1
48 163 1
61 163 1
29 163 1
8 163 1
21 163 1
22 164 1
16 164 1
14 164 1
62 164 1
21 164 1
24 165 1
29 166 1
35 167 1
45 168 1
17 168 1
0 168 1
12 168 1
2 168 1
33 168 1
35 168 1
1 168 1
25 168 1
16 168 1
13 168 1
17 169 1
33 169 1
25 169 1
42 170 1
45 170 1
11 170 1
47 170 1
15 170 1
2 171 1
3 171 1
27 171 1
15 171 1
11 172 1
11 173 1
24 174 1
33 174 1
34 174 1
23 174 1
23 175 1
42 176 1
46 176 1
22 176 1
11 176 1
2 176 1
33 176 1
25 176 1
41 176 1
63 176 1
29 176 1
15 176 1
11 177 1
16 178 1
54 179 1
17 179 1
33 179 1
34 179 1
35 179 1
1 179 1
25 179 1
44 179 1
24 180 1
54 180 1
42 180 1
52 180 1
32 180 1
46 180 1
22 180 1
11 180 1
17 180 1
0 180 1
55 180 1
33 180 1
34 180 1
35 180 1
19 180 1
1 180 1
7 180 1
25 180 1
31 180 1
41 180 1
16 180 1
26 180 1
14 180 1
43 180 1
44 180 1
51 180 1
64 180 1
20 180 1
39 180 1
9 180 1
21 180 1
4 181 1
22 182 1
44 182 1
23 183 1
45 184 1
23 184 1
43 184 1
13 184 1
4 184 1
39 184 1
54 185 1
2 186 1
23 186 1
10 186 1
29 186 1
3 187 1
24 188 1
22 188 1
17 188 1
34 188 1
35 188 1
19 188 1
53 188 1
1 188 1
25 188 1
44 188 1
20 188 1
27 189 1
27 190 1
9 190 1
2 191 1
3 191 1
22 192 1
7 192 1
48 193 1
27 193 1
16 193 1
14 193 1
4 193 1
39 193 1
15 193 1
54 194 1
17 194 1
33 194 1
34 194 1
19 194 1
1 194 1
25 194 1
24 195 1
52 195 1
0 195 1
2 195 1
19 195 1
23 195 1
44 195 1
58 195 1
45 196 1
2 196 1
23 196 1
10 196 1
8 196 1
48 197 1
27 197 1
2 198 1
3 198 1
48 198 1
23 198 1
27 198 1
29 198 1
4 198 1
30 198 1
21 198 1
22 199 1
11 199 1
2 199 1
3 199 1
47 199 1
48 199 1
23 199 1
7 199 1
27 199 1
10 199 1
29 199 1
8 199 1
49 199 1
15 199 1
24 200 1
0 200 1
12 200 1
34 200 1
35 200 1
53 200 1
7 200 1
25 200 1
