5013 56367
0 384 1
1 384 1
2 384 1
3 384 1
4 384 1
5 385 1
6 386 1
7 386 1
8 386 1
9 386 1
10 387 1
11 387 1
2 387 1
3 387 1
12 387 1
13 387 1
14 387 1
15 387 1
16 387 1
17 388 1
18 389 1
19 390 1
20 390 1
21 390 1
22 390 1
1 390 1
10 390 1
23 390 1
24 390 1
2 390 1
25 390 1
3 390 1
26 390 1
27 390 1
28 390 1
29 390 1
30 390 1
31 390 1
32 391 1
20 391 1
33 392 1
34 393 1
35 393 1
17 393 1
36 393 1
37 393 1
38 394 1
8 394 1
39 395 1
40 395 1
41 395 1
42 395 1
43 395 1
44 395 1
45 395 1
46 395 1
47 395 1
48 395 1
49 395 1
11 396 1
50 396 1
51 396 1
21 396 1
4 396 1
24 396 1
2 396 1
52 396 1
19 397 1
53 397 1
54 397 1
55 397 1
56 397 1
57 397 1
58 397 1
5 397 1
38 397 1
59 397 1
34 397 1
60 397 1
61 397 1
62 397 1
63 397 1
64 397 1
65 397 1
66 397 1
67 397 1
21 397 1
68 397 1
69 397 1
70 397 1
71 397 1
72 397 1
73 397 1
33 397 1
74 397 1
7 397 1
75 397 1
76 397 1
77 397 1
78 397 1
36 397 1
47 397 1
79 397 1
29 397 1
30 397 1
80 398 1
5 398 1
8 398 1
81 398 1
82 398 1
83 398 1
68 398 1
70 398 1
84 398 1
71 398 1
7 398 1
85 398 1
86 398 1
87 398 1
3 398 1
77 398 1
52 398 1
18 398 1
88 398 1
39 399 1
40 399 1
0 399 1
89 399 1
90 399 1
51 399 1
43 399 1
91 399 1
92 399 1
44 399 1
47 399 1
93 399 1
94 399 1
95 400 1
96 401 1
97 402 1
82 402 1
98 402 1
99 402 1
91 402 1
2 402 1
77 402 1
36 402 1
100 402 1
101 403 1
102 403 1
101 404 1
72 405 1
20 406 1
102 406 1
103 406 1
104 406 1
105 406 1
27 406 1
106 407 1
101 408 1
39 408 1
40 408 1
107 408 1
54 408 1
56 408 1
108 408 1
57 408 1
109 408 1
59 408 1
60 408 1
61 408 1
63 408 1
64 408 1
8 408 1
65 408 1
110 408 1
111 408 1
112 408 1
67 408 1
9 408 1
113 408 1
114 408 1
103 408 1
44 408 1
115 408 1
33 408 1
116 408 1
117 408 1
118 408 1
119 408 1
120 408 1
96 408 1
78 408 1
100 408 1
121 408 1
122 408 1
123 408 1
93 408 1
67 409 1
103 409 1
99 409 1
78 409 1
29 409 1
56 410 1
124 410 1
125 410 1
113 410 1
126 410 1
22 410 1
127 410 1
1 410 1
10 410 1
128 410 1
129 410 1
25 410 1
27 410 1
130 410 1
