5023 55135
0 374 1
1 375 1
2 376 1
3 376 1
4 376 1
5 376 1
6 377 1
7 378 1
8 379 1
9 379 1
10 379 1
11 380 1
12 380 1
13 380 1
14 381 1
0 382 1
15 382 1
16 382 1
17 382 1
18 382 1
19 382 1
13 382 1
20 382 1
21 382 1
22 383 1
4 383 1
23 384 1
24 384 1
25 384 1
26 384 1
27 384 1
28 384 1
29 384 1
30 384 1
31 384 1
32 384 1
33 384 1
34 384 1
35 384 1
36 384 1
37 384 1
38 384 1
12 385 1
39 385 1
8 386 1
40 386 1
41 386 1
42 386 1
43 386 1
44 386 1
45 386 1
1 386 1
22 386 1
46 386 1
15 386 1
47 386 1
48 386 1
49 386 1
50 386 1
51 386 1
52 386 1
53 386 1
54 386 1
55 386 1
56 386 1
57 386 1
12 386 1
58 386 1
59 386 1
14 386 1
60 386 1
3 386 1
61 386 1
62 386 1
63 386 1
64 386 1
20 386 1
36 386 1
65 386 1
9 386 1
10 386 1
66 387 1
67 387 1
68 387 1
1 387 1
4 387 1
69 387 1
70 387 1
18 387 1
71 387 1
54 387 1
56 387 1
72 387 1
57 387 1
73 387 1
3 387 1
74 387 1
75 387 1
76 387 1
63 387 1
39 387 1
7 387 1
77 387 1
23 388 1
24 388 1
78 388 1
79 388 1
29 388 1
80 388 1
31 388 1
81 388 1
82 388 1
32 388 1
83 388 1
36 388 1
84 388 1
85 388 1
86 389 1
67 390 1
87 390 1
70 390 1
17 390 1
81 390 1
88 390 1
13 390 1
63 390 1
89 390 1
20 390 1
90 390 1
91 391 1
92 392 1
27 392 1
93 392 1
92 393 1
58 394 1
94 395 1
95 395 1
96 395 1
97 395 1
92 396 1
23 396 1
24 396 1
98 396 1
41 396 1
43 396 1
99 396 1
44 396 1
100 396 1
46 396 1
47 396 1
48 396 1
49 396 1
50 396 1
4 396 1
51 396 1
101 396 1
102 396 1
103 396 1
53 396 1
5 396 1
95 396 1
19 396 1
104 396 1
105 396 1
32 396 1
106 396 1
14 396 1
107 396 1
108 396 1
109 396 1
86 396 1
64 396 1
90 396 1
110 396 1
111 396 1
112 396 1
113 396 1
114 396 1
84 396 1
53 397 1
95 397 1
73 397 1
64 397 1
9 397 1
43 398 1
115 398 1
80 398 1
116 398 1
117 398 1
118 398 1
115 399 1
22 399 1
26 399 1
119 399 1
32 399 1
106 399 1
84 399 1
96 400 1
120 400 1
12 401 1
15 402 1
56 402 1
20 402 1
121 403 1
29 403 1
122 403 1
123 403 1
92 404 1
66 404 1
124 404 1
95 404 1
29 404 1
14 404 1
125 404 1
126 404 1
127 404 1
128 404 1
129 404 1
89 404 1
130 404 1
90 404 1
131 404 1
132 404 1
9 404 1
133 404 1
134 404 1
10 404 1
80 405 1
135 405 1
39 405 1
136 405 1
137 406 1
138 406 1
42 406 1
1 406 1
70 406 1
139 406 1
56 406 1
140 406 1
141 406 1
142 406 1
143 406 1
57 406 1
144 406 1
96 406 1
120 406 1
145 406 1
146 406 1
147 406 1
148 406 1
149 406 1
14 406 1
125 406 1
126 406 1
127 406 1
128 406 1
129 406 1
64 406 1
20 406 1
134 406 1
0 407 1
17 407 1
29 407 1
150 407 1
73 407 1
12 407 1
58 407 1
20 407 1
67 407 1
151 407 1
