6312 109239
0 686 1
1 686 1
2 687 1
3 687 1
4 687 1
5 687 1
6 687 1
7 687 1
8 687 1
9 687 1
10 688 1
11 689 1
12 689 1
13 689 1
14 689 1
15 689 1
16 689 1
17 689 1
18 689 1
19 689 1
20 689 1
21 689 1
6 689 1
22 689 1
23 689 1
24 689 1
25 689 1
26 689 1
27 689 1
28 689 1
29 689 1
30 689 1
31 689 1
32 690 1
1 690 1
33 690 1
34 690 1
35 690 1
36 690 1
37 690 1
38 690 1
39 690 1
40 690 1
41 690 1
42 690 1
43 690 1
44 691 1
45 691 1
46 691 1
7 691 1
47 691 1
48 691 1
49 691 1
50 691 1
2 691 1
51 691 1
3 691 1
52 691 1
5 691 1
53 691 1
54 692 1
55 692 1
56 692 1
40 692 1
57 692 1
58 693 1
59 693 1
60 693 1
32 693 1
61 693 1
62 693 1
63 693 1
64 693 1
65 693 1
4 693 1
6 693 1
66 693 1
2 693 1
67 693 1
68 693 1
41 693 1
69 693 1
70 693 1
43 693 1
71 693 1
72 693 1
1 693 1
73 693 1
45 693 1
74 693 1
47 693 1
75 693 1
76 693 1
77 693 1
52 693 1
78 693 1
79 693 1
80 693 1
81 694 1
82 694 1
41 694 1
83 694 1
47 694 1
84 694 1
85 694 1
86 695 1
87 696 1
88 696 1
89 696 1
90 696 1
91 696 1
92 696 1
93 697 1
94 697 1
95 697 1
96 698 1
61 698 1
97 698 1
98 698 1
99 698 1
100 698 1
45 698 1
34 698 1
101 698 1
102 698 1
103 698 1
104 699 1
96 699 1
97 699 1
105 699 1
106 699 1
22 699 1
99 699 1
107 699 1
108 699 1
109 700 1
110 700 1
111 700 1
7 700 1
112 700 1
113 700 1
114 700 1
115 700 1
13 700 1
116 700 1
117 700 1
118 700 1
119 700 1
120 700 1
121 700 1
122 700 1
92 700 1
123 700 1
124 700 1
12 701 1
125 701 1
126 701 1
7 701 1
127 701 1
128 701 1
81 701 1
2 701 1
40 701 1
88 701 1
129 701 1
1 701 1
74 701 1
