6309 121486
0 658 1
1 659 1
2 659 1
3 659 1
4 659 1
5 659 1
6 659 1
7 659 1
8 659 1
9 659 1
10 659 1
11 660 1
12 660 1
13 661 1
14 661 1
15 661 1
16 661 1
17 661 1
18 661 1
19 661 1
20 661 1
8 661 1
21 661 1
22 661 1
23 661 1
24 661 1
25 661 1
26 661 1
27 661 1
28 661 1
29 661 1
30 661 1
31 661 1
32 661 1
33 662 1
34 663 1
13 664 1
35 664 1
36 664 1
9 664 1
37 664 1
4 664 1
30 664 1
38 664 1
32 664 1
39 664 1
40 664 1
34 665 1
19 665 1
41 665 1
0 665 1
22 665 1
42 665 1
30 665 1
43 665 1
44 666 1
45 666 1
46 666 1
47 666 1
8 666 1
48 666 1
0 666 1
22 666 1
49 666 1
50 666 1
51 666 1
52 666 1
53 666 1
26 667 1
25 667 1
50 667 1
54 667 1
55 668 1
56 669 1
57 669 1
58 670 1
59 670 1
3 671 1
60 671 1
61 671 1
62 671 1
63 671 1
41 671 1
64 671 1
65 671 1
66 671 1
67 671 1
68 671 1
69 671 1
70 671 1
71 671 1
29 671 1
39 671 1
72 671 1
73 671 1
74 671 1
75 671 1
11 671 1
76 671 1
77 671 1
78 671 1
79 671 1
80 671 1
47 672 1
81 672 1
21 672 1
82 672 1
83 672 1
84 673 1
85 673 1
86 673 1
87 673 1
88 673 1
9 673 1
89 673 1
41 673 1
37 673 1
22 673 1
90 673 1
91 673 1
92 673 1
93 673 1
43 673 1
94 673 1
15 673 1
95 673 1
96 673 1
97 673 1
98 673 1
49 673 1
99 673 1
100 673 1
101 673 1
102 673 1
103 673 1
104 673 1
105 673 1
38 673 1
79 673 1
6 673 1
32 673 1
106 673 1
107 673 1
108 673 1
14 674 1
9 674 1
109 674 1
37 674 1
67 674 1
110 674 1
111 674 1
72 674 1
13 674 1
112 674 1
113 674 1
114 674 1
4 674 1
80 674 1
7 674 1
115 674 1
108 674 1
44 675 1
116 675 1
117 675 1
87 675 1
118 675 1
119 675 1
61 675 1
120 675 1
121 675 1
12 675 1
46 675 1
81 675 1
8 675 1
122 675 1
63 675 1
123 675 1
124 675 1
125 675 1
126 675 1
127 675 1
48 675 1
128 675 1
129 675 1
67 675 1
1 675 1
130 675 1
131 675 1
132 675 1
75 675 1
133 675 1
134 675 1
135 675 1
58 675 1
136 675 1
20 675 1
137 675 1
138 675 1
139 675 1
100 675 1
140 675 1
77 675 1
103 675 1
104 675 1
141 675 1
38 675 1
31 675 1
52 675 1
59 675 1
142 675 1
53 675 1
87 676 1
37 677 1
143 678 1
144 678 1
2 678 1
145 678 1
12 678 1
8 678 1
36 678 1
9 678 1
21 678 1
146 678 1
147 678 1
22 678 1
148 678 1
149 678 1
68 678 1
1 678 1
69 678 1
150 678 1
151 678 1
152 678 1
130 678 1
29 678 1
30 678 1
153 678 1
40 678 1
154 678 1
155 678 1
13 678 1
132 678 1
156 678 1
157 678 1
133 678 1
158 678 1
76 678 1
57 678 1
159 678 1
20 678 1
160 678 1
161 678 1
162 678 1
139 678 1
163 678 1
114 678 1
42 678 1
102 678 1
50 678 1
4 678 1
164 678 1
7 678 1
32 678 1
165 678 1
108 678 1
166 679 1
167 679 1
84 679 1
85 679 1
168 679 1
169 679 1
170 679 1
47 679 1
171 679 1
172 679 1
41 679 1
173 679 1
174 679 1
37 679 1
0 679 1
82 679 1
64 679 1
90 679 1
175 679 1
30 679 1
176 679 1
177 679 1
178 679 1
179 679 1
180 679 1
181 679 1
94 679 1
182 679 1
183 679 1
184 679 1
15 679 1
185 679 1
95 679 1
186 679 1
187 679 1
49 679 1
100 679 1
188 679 1
27 679 1
102 679 1
189 679 1
103 679 1
104 679 1
190 679 1
191 679 1
38 679 1
80 679 1
192 679 1
108 679 1
193 679 1
194 679 1
60 680 1
45 680 1
22 680 1
71 680 1
163 680 1
195 680 1
196 681 1
197 681 1
198 681 1
88 681 1
147 681 1
66 681 1
33 681 1
150 681 1
70 681 1
199 681 1
30 681 1
200 681 1
182 681 1
111 681 1
201 681 1
202 681 1
203 681 1
204 681 1
205 681 1
139 681 1
206 681 1
77 681 1
25 681 1
207 681 1
208 681 1
4 681 1
209 681 1
164 681 1
79 681 1
7 681 1
166 682 1
210 682 1
211 682 1
212 683 1
213 683 1
214 683 1
211 683 1
6 683 1
212 684 1
215 684 1
9 684 1
216 684 1
13 684 1
217 684 1
102 684 1
103 684 1
218 684 1
134 685 1
219 686 1
47 686 1
220 686 1
221 686 1
222 686 1
223 686 1
14 687 1
61 687 1
5 687 1
41 687 1
0 687 1
91 687 1
212 688 1
84 688 1
85 688 1
224 688 1
117 688 1
168 688 1
119 688 1
5 688 1
225 688 1
120 688 1
226 688 1
46 688 1
47 688 1
122 688 1
123 688 1
124 688 1
125 688 1
36 688 1
126 688 1
21 688 1
127 688 1
227 688 1
41 688 1
109 688 1
48 688 1
228 688 1
229 688 1
148 688 1
90 688 1
129 688 1
23 688 1
67 688 1
92 688 1
1 688 1
216 688 1
230 688 1
28 688 1
220 688 1
30 688 1
176 688 1
179 688 1
231 688 1
180 688 1
232 688 1
210 688 1
73 688 1
233 688 1
234 688 1
211 688 1
235 688 1
15 688 1
95 688 1
236 688 1
11 688 1
96 688 1
237 688 1
58 688 1
238 688 1
239 688 1
240 688 1
241 688 1
49 688 1
195 688 1
140 688 1
209 688 1
242 688 1
