5602 71173
0 420 1
1 420 1
2 420 1
3 420 1
4 420 1
5 420 1
6 421 1
7 422 1
8 422 1
9 422 1
5 422 1
10 422 1
11 422 1
12 422 1
13 423 1
14 424 1
15 424 1
16 424 1
13 424 1
17 425 1
18 426 1
19 426 1
4 426 1
20 426 1
5 426 1
21 426 1
22 426 1
23 426 1
2 426 1
24 426 1
25 426 1
26 426 1
27 426 1
28 427 1
29 428 1
30 429 1
31 429 1
32 430 1
33 430 1
34 430 1
35 431 1
36 431 1
13 431 1
37 431 1
38 431 1
25 431 1
39 431 1
40 432 1
10 432 1
13 432 1
41 433 1
42 433 1
43 433 1
23 433 1
44 433 1
45 433 1
46 433 1
47 433 1
48 433 1
49 433 1
50 433 1
51 433 1
52 433 1
53 433 1
54 433 1
13 434 1
55 434 1
56 434 1
57 434 1
58 434 1
59 434 1
18 435 1
60 435 1
61 435 1
62 435 1
63 435 1
64 435 1
65 435 1
6 435 1
31 435 1
20 435 1
40 435 1
5 435 1
66 435 1
35 435 1
67 435 1
68 435 1
69 435 1
70 435 1
71 435 1
21 435 1
72 435 1
73 435 1
23 435 1
74 435 1
75 435 1
76 435 1
77 435 1
78 435 1
79 435 1
80 435 1
33 435 1
81 435 1
9 435 1
82 435 1
83 435 1
84 435 1
85 435 1
38 435 1
52 435 1
86 435 1
26 435 1
34 435 1
87 435 1
27 435 1
88 436 1
89 437 1
6 437 1
5 437 1
10 437 1
90 437 1
91 437 1
36 437 1
92 437 1
75 437 1
77 437 1
93 437 1
78 437 1
9 437 1
94 437 1
95 437 1
96 437 1
84 437 1
97 437 1
58 437 1
59 437 1
17 437 1
51 437 1
98 437 1
99 437 1
41 438 1
42 438 1
100 438 1
101 438 1
102 438 1
74 438 1
103 438 1
104 438 1
46 438 1
105 438 1
106 438 1
47 438 1
51 438 1
52 438 1
107 438 1
108 438 1
32 439 1
13 439 1
109 440 1
110 440 1
111 440 1
97 440 1
112 440 1
98 440 1
113 441 1
114 441 1
91 441 1
115 441 1
105 441 1
57 441 1
84 441 1
59 441 1
38 441 1
116 441 1
25 441 1
28 441 1
31 442 1
1 442 1
117 443 1
13 443 1
118 443 1
117 444 1
119 444 1
31 444 1
23 444 1
120 444 1
3 444 1
121 444 1
51 444 1
122 444 1
79 445 1
123 446 1
124 446 1
125 446 1
126 446 1
122 446 1
13 447 1
117 448 1
41 448 1
42 448 1
127 448 1
61 448 1
63 448 1
128 448 1
64 448 1
32 448 1
20 448 1
66 448 1
67 448 1
68 448 1
69 448 1
70 448 1
10 448 1
71 448 1
129 448 1
21 448 1
130 448 1
131 448 1
132 448 1
73 448 1
11 448 1
23 448 1
44 448 1
74 448 1
133 448 1
12 448 1
123 448 1
120 448 1
47 448 1
134 448 1
33 448 1
135 448 1
136 448 1
137 448 1
138 448 1
121 448 1
112 448 1
85 448 1
116 448 1
122 448 1
139 448 1
140 448 1
141 448 1
107 448 1
73 449 1
74 449 1
123 449 1
85 449 1
26 449 1
29 449 1
63 450 1
142 450 1
130 450 1
143 450 1
1 450 1
144 450 1
0 451 1
114 451 1
40 451 1
130 451 1
110 451 1
23 451 1
2 451 1
145 451 1
103 451 1
55 451 1
24 451 1
47 451 1
146 451 1
134 451 1
59 451 1
51 451 1
144 451 1
25 451 1
122 451 1
147 451 1
148 451 1
107 451 1
29 451 1
124 452 1
149 452 1
100 453 1
31 453 1
114 453 1
150 453 1
130 453 1
22 453 1
23 453 1
111 453 1
151 453 1
145 453 1
152 453 1
133 453 1
153 453 1
56 453 1
120 453 1
24 453 1
154 453 1
48 453 1
137 453 1
121 453 1
155 453 1
59 453 1
156 453 1
122 453 1
157 453 1
147 453 1
4 454 1
20 454 1
35 454 1
77 454 1
38 454 1
150 455 1
158 455 1
23 455 1
44 455 1
103 455 1
51 455 1
159 455 1
117 456 1
14 456 1
20 456 1
5 456 1
21 456 1
160 456 1
123 456 1
33 456 1
161 456 1
162 456 1
163 456 1
164 456 1
165 456 1
116 456 1
166 456 1
167 456 1
26 456 1
168 456 1
169 456 1
27 456 1
5 457 1
13 457 1
170 457 1
137 457 1
58 457 1
171 458 1
172 458 1
62 458 1
6 458 1
91 458 1
74 458 1
173 458 1
77 458 1
174 458 1
175 458 1
176 458 1
177 458 1
78 458 1
178 458 1
124 458 1
149 458 1
179 458 1
180 458 1
181 458 1
182 458 1
183 458 1
33 458 1
161 458 1
162 458 1
163 458 1
164 458 1
165 458 1
85 458 1
38 458 1
169 458 1
87 458 1
0 459 1
19 459 1
31 459 1
4 459 1
57 459 1
120 459 1
170 459 1
146 459 1
37 459 1
79 459 1
15 459 1
38 459 1
184 459 1
185 459 1
14 459 1
5 459 1
110 459 1
22 459 1
44 459 1
145 459 1
152 459 1
133 459 1
186 459 1
12 459 1
187 459 1
13 459 1
103 459 1
3 459 1
188 459 1
84 459 1
97 459 1
121 459 1
59 459 1
29 460 1
74 461 1
77 461 1
13 461 1
29 461 1
189 462 1
93 462 1
29 462 1
29 463 1
60 464 1
43 464 1
190 464 1
61 464 1
191 464 1
113 464 1
65 464 1
6 464 1
20 464 1
192 464 1
10 464 1
129 464 1
193 464 1
21 464 1
130 464 1
101 464 1
91 464 1
73 464 1
194 464 1
104 464 1
88 464 1
195 464 1
56 464 1
93 464 1
37 464 1
196 464 1
197 464 1
50 464 1
116 464 1
39 464 1
198 464 1
26 464 1
147 464 1
199 464 1
54 464 1
5 464 1
110 464 1
200 464 1
23 464 1
45 464 1
201 464 1
145 464 1
12 464 1
75 464 1
103 464 1
202 464 1
46 464 1
106 464 1
55 464 1
78 464 1
3 464 1
203 464 1
33 464 1
204 464 1
81 464 1
94 464 1
205 464 1
96 464 1
136 464 1
206 464 1
84 464 1
138 464 1
97 464 1
112 464 1
58 464 1
51 464 1
207 464 1
139 464 1
99 464 1
208 464 1
28 464 1
209 464 1
141 464 1
107 464 1
29 464 1
210 465 1
14 466 1
74 467 1
165 467 1
124 467 1
149 467 1
211 467 1
29 467 1
61 468 1
6 468 1
212 468 1
73 468 1
115 468 1
194 468 1
56 468 1
52 468 1
159 468 1
25 468 1
54 468 1
14 468 1
66 468 1
23 468 1
213 468 1
45 468 1
12 468 1
103 468 1
55 468 1
3 468 1
33 468 1
94 468 1
214 468 1
215 468 1
136 468 1
121 468 1
97 468 1
17 468 1
51 468 1
1 468 1
207 468 1
118 468 1
216 468 1
107 468 1
4 469 1
10 469 1
129 469 1
130 469 1
11 469 1
217 469 1
143 469 1
156 469 1
66 469 1
218 469 1
219 469 1
55 469 1
7 469 1
220 469 1
221 469 1
222 469 1
137 469 1
1 469 1
118 469 1
223 469 1
111 470 1
24 470 1
12 470 1
87 471 1
17 471 1
224 471 1
29 471 1
19 472 1
31 472 1
32 472 1
4 472 1
21 472 1
225 472 1
15 472 1
143 472 1
5 472 1
69 472 1
44 472 1
218 472 1
186 472 1
123 472 1
226 472 1
80 472 1
206 472 1
16 472 1
144 472 1
85 473 1
198 473 1
87 473 1
8 473 1
40 473 1
34 473 1
85 474 1
87 474 1
115 475 1
24 475 1
25 475 1
145 475 1
130 476 1
32 477 1
4 477 1
130 477 1
2 477 1
74 477 1
227 477 1
186 477 1
19 478 1
29 478 1
228 479 1
88 479 1
87 479 1
29 480 1
6 481 1
115 481 1
104 481 1
56 481 1
229 481 1
5 481 1
103 481 1
136 481 1
97 481 1
59 481 1
230 481 1
231 481 1
29 481 1
110 482 1
88 483 1
17 483 1
218 484 1
12 485 1
29 485 1
232 486 1
32 486 1
131 486 1
75 486 1
221 486 1
222 486 1
122 486 1
118 486 1
38 487 1
87 487 1
185 487 1
12 487 1
49 487 1
228 488 1
233 488 1
79 489 1
87 489 1
17 489 1
29 489 1
52 490 1
120 491 1
0 492 1
234 492 1
25 492 1
26 492 1
235 492 1
17 492 1
28 492 1
34 492 1
2 493 1
228 494 1
111 494 1
115 494 1
196 494 1
9 494 1
198 494 1
87 494 1
40 494 1
5 494 1
35 494 1
110 494 1
36 494 1
137 494 1
16 494 1
17 494 1
29 494 1
104 495 1
105 495 1
57 495 1
25 495 1
236 495 1
145 495 1
152 495 1
237 495 1
121 495 1
59 495 1
51 495 1
238 496 1
61 496 1
6 496 1
129 496 1
239 496 1
50 496 1
47 496 1
138 496 1
240 496 1
99 496 1
107 496 1
25 497 1
43 498 1
19 498 1
71 498 1
73 498 1
2 498 1
241 498 1
125 498 1
147 498 1
66 498 1
69 498 1
44 498 1
242 498 1
227 498 1
218 498 1
186 498 1
226 498 1
144 498 1
31 499 1
29 499 1
83 500 1
25 500 1
114 500 1
56 501 1
57 501 1
59 501 1
36 502 1
74 503 1
146 503 1
10 504 1
88 504 1
34 504 1
46 505 1
3 505 1
121 505 1
122 505 1
130 506 1
140 506 1
117 506 1
69 506 1
243 506 1
44 506 1
227 506 1
218 506 1
221 506 1
244 507 1
13 507 1
124 507 1
149 507 1
110 508 1
144 508 1
60 509 1
39 509 1
99 509 1
208 509 1
14 510 1
245 511 1
165 512 1
5 512 1
175 512 1
124 512 1
149 512 1
163 512 1
207 512 1
99 512 1
44 513 1
124 514 1
149 514 1
207 514 1
224 514 1
99 514 1
208 514 1
10 515 1
105 515 1
196 515 1
109 515 1
246 515 1
208 515 1
34 515 1
247 516 1
89 516 1
61 516 1
248 516 1
244 516 1
172 516 1
249 516 1
62 516 1
250 516 1
228 516 1
251 516 1
113 516 1
252 516 1
253 516 1
6 516 1
189 516 1
20 516 1
254 516 1
10 516 1
90 516 1
129 516 1
21 516 1
102 516 1
212 516 1
160 516 1
115 516 1
194 516 1
104 516 1
255 516 1
195 516 1
105 516 1
146 516 1
256 516 1
165 516 1
257 516 1
197 516 1
233 516 1
229 516 1
258 516 1
259 516 1
116 516 1
166 516 1
167 516 1
168 516 1
54 516 1
236 516 1
63 516 1
260 516 1
261 516 1
128 516 1
185 516 1
114 516 1
5 516 1
66 516 1
262 516 1
35 516 1
69 516 1
110 516 1
263 516 1
158 516 1
200 516 1
23 516 1
44 516 1
45 516 1
264 516 1
133 516 1
237 516 1
12 516 1
265 516 1
266 516 1
235 516 1
267 516 1
46 516 1
106 516 1
55 516 1
173 516 1
124 516 1
179 516 1
180 516 1
204 516 1
268 516 1
269 516 1
49 516 1
214 516 1
136 516 1
270 516 1
271 516 1
272 516 1
246 516 1
273 516 1
274 516 1
138 516 1
97 516 1
275 516 1
276 516 1
51 516 1
1 516 1
207 516 1
277 516 1
118 516 1
139 516 1
211 516 1
278 516 1
279 516 1
99 516 1
208 516 1
209 516 1
280 516 1
107 516 1
29 516 1
108 516 1
31 517 1
2 517 1
120 517 1
146 517 1
157 517 1
236 517 1
3 517 1
121 517 1
1 517 1
122 517 1
118 517 1
228 518 1
160 518 1
35 518 1
110 518 1
29 518 1
74 519 1
44 519 1
207 519 1
281 520 1
255 520 1
79 520 1
