4572 47036
0 350 1
1 351 1
2 351 1
3 352 1
4 353 1
5 353 1
6 353 1
7 353 1
8 353 1
9 354 1
10 354 1
11 354 1
12 354 1
13 354 1
14 355 1
15 356 1
16 356 1
17 356 1
18 356 1
19 357 1
20 357 1
21 358 1
22 359 1
23 359 1
24 359 1
25 360 1
6 360 1
26 361 1
27 361 1
28 361 1
29 361 1
30 361 1
31 361 1
32 361 1
33 361 1
34 361 1
35 361 1
36 361 1
2 362 1
20 362 1
37 362 1
3 362 1
15 363 1
38 363 1
39 363 1
40 363 1
41 363 1
42 363 1
1 363 1
25 363 1
43 363 1
22 363 1
44 363 1
45 363 1
46 363 1
47 363 1
48 363 1
49 363 1
50 363 1
51 363 1
52 363 1
53 363 1
54 363 1
55 363 1
56 363 1
21 363 1
57 363 1
5 363 1
58 363 1
59 363 1
60 363 1
61 363 1
23 363 1
34 363 1
62 363 1
17 363 1
18 363 1
63 364 1
1 364 1
6 364 1
64 364 1
65 364 1
66 364 1
51 364 1
53 364 1
67 364 1
54 364 1
5 364 1
68 364 1
69 364 1
70 364 1
60 364 1
37 364 1
14 364 1
71 364 1
26 365 1
27 365 1
72 365 1
73 365 1
30 365 1
74 365 1
75 365 1
31 365 1
34 365 1
76 365 1
77 365 1
78 366 1
79 367 1
80 368 1
78 368 1
65 368 1
81 368 1
74 368 1
82 368 1
60 368 1
23 368 1
83 368 1
84 368 1
0 369 1
85 370 1
85 371 1
3 371 1
55 372 1
86 373 1
87 373 1
88 373 1
89 373 1
85 374 1
26 374 1
27 374 1
90 374 1
40 374 1
91 374 1
41 374 1
43 374 1
44 374 1
45 374 1
46 374 1
47 374 1
6 374 1
48 374 1
92 374 1
93 374 1
94 374 1
50 374 1
16 374 1
7 374 1
86 374 1
20 374 1
31 374 1
95 374 1
88 374 1
96 374 1
21 374 1
97 374 1
98 374 1
99 374 1
79 374 1
61 374 1
3 374 1
100 374 1
12 374 1
83 374 1
101 374 1
102 374 1
103 374 1
76 374 1
50 375 1
86 375 1
61 375 1
17 375 1
10 376 1
40 376 1
104 376 1
105 376 1
16 376 1
106 376 1
0 376 1
9 376 1
95 376 1
88 376 1
3 376 1
100 376 1
25 377 1
16 377 1
31 377 1
96 377 1
3 377 1
76 377 1
87 378 1
107 378 1
78 379 1
22 380 1
53 380 1
23 380 1
108 381 1
109 381 1
85 382 1
110 382 1
86 382 1
21 382 1
111 382 1
112 382 1
113 382 1
