4862 39270
0 174 1
1 174 1
2 174 1
3 174 1
4 174 1
5 174 1
6 174 1
7 175 1
8 176 1
9 176 1
2 176 1
3 176 1
10 176 1
11 176 1
12 176 1
13 176 1
14 176 1
15 177 1
16 177 1
17 177 1
18 178 1
19 178 1
20 178 1
21 178 1
5 178 1
1 178 1
8 178 1
22 178 1
23 178 1
2 178 1
24 178 1
3 178 1
25 178 1
26 178 1
27 178 1
28 178 1
18 179 1
17 179 1
29 179 1
30 179 1
17 180 1
7 181 1
31 181 1
32 181 1
33 181 1
34 181 1
35 181 1
30 181 1
36 181 1
15 181 1
37 181 1
38 181 1
39 181 1
39 182 1
40 183 1
41 183 1
42 183 1
43 183 1
44 183 1
9 184 1
45 184 1
19 184 1
46 184 1
20 184 1
17 184 1
4 184 1
5 184 1
6 184 1
23 184 1
29 184 1
2 184 1
38 184 1
39 184 1
47 185 1
19 185 1
20 185 1
5 185 1
6 185 1
48 185 1
29 185 1
37 185 1
39 185 1
49 185 1
39 186 1
50 187 1
51 187 1
34 187 1
48 187 1
52 187 1
3 187 1
0 188 1
46 188 1
42 188 1
53 188 1
54 188 1
55 188 1
38 188 1
56 189 1
51 190 1
31 190 1
33 190 1
57 190 1
58 190 1
59 190 1
2 190 1
30 190 1
60 190 1
37 190 1
61 191 1
41 192 1
62 192 1
63 192 1
17 193 1
64 194 1
18 194 1
62 194 1
26 194 1
65 195 1
66 196 1
67 196 1
68 196 1
69 196 1
53 196 1
35 196 1
70 196 1
71 196 1
72 196 1
73 196 1
74 196 1
75 196 1
58 197 1
52 197 1
76 198 1
77 198 1
19 198 1
78 198 1
68 198 1
79 198 1
54 198 1
21 198 1
80 198 1
6 198 1
81 198 1
1 198 1
8 198 1
82 198 1
83 198 1
24 198 1
26 198 1
84 198 1
85 198 1
86 198 1
77 199 1
40 199 1
87 199 1
88 199 1
84 199 1
38 199 1
65 200 1
9 201 1
20 201 1
2 201 1
78 202 1
29 202 1
73 202 1
9 203 1
48 203 1
37 203 1
42 204 1
89 204 1
39 205 1
50 206 1
18 206 1
47 206 1
45 206 1
90 206 1
42 206 1
53 206 1
5 206 1
8 206 1
60 206 1
91 206 1
12 206 1
92 206 1
93 207 1
90 207 1
53 207 1
54 207 1
94 207 1
81 207 1
2 207 1
56 207 1
3 207 1
73 207 1
95 207 1
96 207 1
48 208 1
37 208 1
49 208 1
7 209 1
18 209 1
33 209 1
45 209 1
19 209 1
78 209 1
97 209 1
62 209 1
20 209 1
42 209 1
98 209 1
4 209 1
88 209 1
52 209 1
29 209 1
3 209 1
37 209 1
91 209 1
39 209 1
51 209 1
47 209 1
31 209 1
99 209 1
5 209 1
35 209 1
59 209 1
6 209 1
2 209 1
