5952 88790
0 469 1
1 469 1
2 469 1
3 469 1
4 469 1
5 469 1
6 469 1
7 469 1
8 469 1
9 470 1
10 470 1
11 470 1
12 470 1
13 470 1
14 470 1
15 470 1
16 471 1
17 471 1
18 471 1
19 471 1
20 471 1
21 471 1
22 471 1
23 471 1
24 471 1
25 471 1
26 471 1
27 471 1
28 471 1
29 471 1
30 471 1
31 471 1
32 471 1
33 471 1
34 472 1
35 472 1
36 472 1
4 472 1
37 472 1
38 472 1
39 472 1
5 472 1
40 472 1
41 472 1
42 472 1
43 472 1
44 472 1
45 472 1
46 472 1
47 472 1
48 472 1
49 472 1
50 472 1
1 472 1
51 472 1
52 472 1
53 473 1
54 473 1
55 473 1
13 473 1
56 473 1
57 473 1
58 473 1
59 473 1
9 473 1
60 473 1
61 473 1
10 473 1
62 473 1
63 473 1
12 473 1
64 473 1
65 474 1
66 474 1
48 474 1
67 474 1
68 475 1
69 475 1
36 475 1
70 475 1
71 475 1
72 475 1
73 475 1
74 475 1
75 475 1
11 475 1
76 475 1
77 475 1
9 475 1
78 475 1
79 475 1
80 475 1
81 475 1
82 475 1
83 475 1
49 475 1
1 475 1
84 475 1
85 475 1
86 475 1
52 475 1
7 475 1
87 475 1
88 475 1
89 475 1
2 475 1
34 475 1
90 475 1
91 475 1
4 475 1
92 475 1
54 475 1
93 475 1
94 475 1
56 475 1
95 475 1
5 475 1
96 475 1
97 475 1
98 475 1
99 475 1
100 475 1
62 475 1
101 475 1
102 475 1
103 476 1
104 476 1
49 476 1
105 476 1
56 476 1
106 476 1
107 476 1
73 477 1
108 477 1
109 477 1
110 477 1
111 477 1
112 477 1
113 478 1
114 479 1
70 479 1
115 479 1
116 479 1
117 479 1
54 479 1
118 479 1
38 479 1
60 479 1
119 479 1
120 479 1
121 480 1
114 480 1
115 480 1
122 480 1
116 480 1
117 480 1
123 480 1
124 480 1
120 480 1
13 481 1
125 481 1
126 481 1
18 481 1
127 481 1
112 481 1
128 481 1
17 482 1
35 482 1
129 482 1
130 482 1
13 482 1
131 482 1
132 482 1
77 482 1
103 482 1
133 482 1
9 482 1
78 482 1
134 482 1
81 482 1
48 482 1
108 482 1
135 482 1
6 482 1
7 482 1
8 482 1
91 482 1
4 482 1
94 482 1
27 482 1
10 482 1
136 482 1
63 482 1
12 482 1
112 482 1
120 482 1
137 483 1
76 483 1
138 483 1
77 483 1
57 483 1
78 483 1
81 483 1
7 483 1
126 483 1
8 483 1
124 483 1
120 483 1
139 484 1
120 485 1
68 486 1
13 486 1
49 486 1
110 486 1
5 486 1
140 486 1
10 486 1
63 486 1
68 487 1
0 487 1
134 487 1
108 487 1
141 487 1
142 487 1
84 487 1
143 487 1
126 487 1
18 487 1
63 487 1
74 488 1
47 488 1
49 488 1
52 488 1
144 488 1
16 488 1
145 488 1
146 488 1
45 488 1
147 489 1
148 489 1
149 489 1
36 489 1
150 489 1
72 489 1
75 489 1
151 489 1
152 489 1
153 489 1
131 489 1
154 489 1
116 489 1
58 489 1
155 489 1
42 489 1
123 489 1
156 489 1
