5773 97583
0 318 1
1 318 1
2 318 1
3 318 1
4 318 1
5 318 1
6 318 1
7 318 1
8 318 1
9 318 1
10 319 1
11 319 1
12 319 1
13 319 1
14 320 1
15 320 1
16 320 1
17 320 1
18 320 1
19 320 1
20 320 1
21 321 1
22 321 1
4 321 1
5 321 1
6 321 1
23 321 1
24 321 1
25 321 1
26 321 1
27 321 1
13 321 1
28 321 1
29 321 1
1 321 1
30 321 1
12 322 1
31 323 1
32 323 1
33 323 1
34 323 1
18 323 1
16 324 1
35 324 1
36 325 1
10 325 1
37 325 1
11 325 1
38 325 1
39 325 1
2 325 1
40 325 1
41 325 1
42 325 1
16 325 1
43 325 1
44 325 1
45 325 1
46 325 1
47 325 1
48 325 1
49 325 1
50 325 1
51 325 1
27 325 1
52 325 1
1 325 1
53 325 1
54 325 1
55 325 1
18 325 1
30 325 1
56 325 1
57 325 1
8 325 1
3 325 1
21 325 1
58 325 1
59 325 1
4 325 1
60 325 1
5 325 1
61 325 1
62 325 1
63 325 1
6 325 1
64 325 1
65 325 1
66 325 1
67 325 1
68 325 1
69 325 1
13 325 1
28 325 1
70 325 1
71 325 1
72 325 1
73 325 1
51 326 1
60 326 1
74 327 1
11 328 1
39 328 1
75 328 1
49 328 1
53 328 1
76 328 1
63 328 1
77 328 1
78 328 1
13 328 1
79 328 1
80 328 1
72 328 1
81 329 1
82 329 1
81 330 1
83 330 1
84 330 1
12 330 1
85 330 1
33 330 1
86 330 1
87 331 1
88 331 1
89 331 1
86 331 1
90 332 1
91 332 1
92 332 1
93 332 1
10 332 1
94 332 1
95 332 1
96 332 1
40 332 1
31 332 1
32 332 1
16 332 1
97 332 1
98 332 1
45 332 1
99 332 1
100 332 1
101 332 1
102 332 1
103 332 1
82 332 1
48 332 1
104 332 1
105 332 1
106 332 1
55 332 1
18 332 1
107 332 1
56 332 1
108 332 1
57 332 1
109 332 1
110 332 1
76 332 1
111 332 1
74 332 1
112 332 1
113 332 1
114 332 1
115 332 1
63 332 1
116 332 1
77 332 1
17 332 1
67 332 1
117 332 1
118 332 1
119 332 1
120 332 1
121 332 1
122 332 1
123 332 1
124 332 1
125 332 1
78 332 1
69 332 1
126 332 1
13 332 1
34 332 1
127 332 1
79 332 1
128 332 1
129 332 1
80 332 1
130 332 1
131 332 1
132 332 1
133 332 1
134 332 1
72 332 1
22 333 1
87 333 1
11 333 1
135 333 1
2 333 1
40 333 1
31 333 1
32 333 1
41 333 1
43 333 1
136 333 1
44 333 1
137 333 1
138 333 1
48 333 1
50 333 1
139 333 1
140 333 1
141 333 1
20 333 1
57 333 1
7 333 1
8 333 1
9 333 1
59 333 1
5 333 1
142 333 1
143 333 1
69 333 1
144 333 1
145 333 1
79 333 1
86 333 1
133 333 1
93 334 1
146 334 1
2 334 1
147 334 1
32 334 1
41 334 1
43 334 1
44 334 1
45 334 1
49 334 1
50 334 1
51 334 1
139 334 1
52 334 1
106 334 1
148 334 1
53 334 1
56 334 1
8 334 1
109 334 1
9 334 1
15 334 1
117 334 1
124 334 1
125 334 1
69 334 1
34 334 1
71 334 1
86 334 1
128 334 1
