6265 113913
0 500 1
1 500 1
2 500 1
3 500 1
4 500 1
5 500 1
6 500 1
7 500 1
8 500 1
9 501 1
10 501 1
11 501 1
12 501 1
13 501 1
14 501 1
15 501 1
16 501 1
17 501 1
18 501 1
19 502 1
20 502 1
21 503 1
22 503 1
23 503 1
24 503 1
25 503 1
26 503 1
27 503 1
28 503 1
29 503 1
30 503 1
31 503 1
32 503 1
33 503 1
34 503 1
35 503 1
36 503 1
37 503 1
38 503 1
39 504 1
40 504 1
3 504 1
5 504 1
41 504 1
42 504 1
43 504 1
44 504 1
45 504 1
46 504 1
47 504 1
1 504 1
48 505 1
21 506 1
49 506 1
50 506 1
17 506 1
51 506 1
52 506 1
13 506 1
34 506 1
53 506 1
36 506 1
54 506 1
55 506 1
48 507 1
26 507 1
56 507 1
4 507 1
27 507 1
57 507 1
34 507 1
58 507 1
59 508 1
60 508 1
61 508 1
62 508 1
4 508 1
27 508 1
63 508 1
64 508 1
65 508 1
1 508 1
66 508 1
67 508 1
7 508 1
2 508 1
39 508 1
68 508 1
69 508 1
12 508 1
3 508 1
70 508 1
5 508 1
71 508 1
72 508 1
73 508 1
74 508 1
75 508 1
76 508 1
46 508 1
77 508 1
30 509 1
29 509 1
75 509 1
78 509 1
60 510 1
79 510 1
20 510 1
67 511 1
11 512 1
80 512 1
81 512 1
82 512 1
83 512 1
56 512 1
84 512 1
85 512 1
86 512 1
87 512 1
88 512 1
89 512 1
90 512 1
91 512 1
33 512 1
67 512 1
54 512 1
92 512 1
93 512 1
94 512 1
95 512 1
19 512 1
96 512 1
97 512 1
52 512 1
98 512 1
99 512 1
100 512 1
101 512 1
102 512 1
103 512 1
61 513 1
104 513 1
105 513 1
106 513 1
103 513 1
107 514 1
108 514 1
109 514 1
110 514 1
17 514 1
111 514 1
56 514 1
51 514 1
27 514 1
112 514 1
113 514 1
58 514 1
23 514 1
114 514 1
115 514 1
116 514 1
117 514 1
74 514 1
118 514 1
119 514 1
120 514 1
53 514 1
100 514 1
15 514 1
36 514 1
121 514 1
122 514 1
22 515 1
40 515 1
17 515 1
123 515 1
51 515 1
62 515 1
124 515 1
63 515 1
87 515 1
125 515 1
65 515 1
126 515 1
67 515 1
127 515 1
6 515 1
7 515 1
92 515 1
8 515 1
38 515 1
21 515 1
69 515 1
128 515 1
12 515 1
3 515 1
129 515 1
13 515 1
101 515 1
102 515 1
16 515 1
130 515 1
103 515 1
122 515 1
109 516 1
81 516 1
104 516 1
83 516 1
131 516 1
62 516 1
63 516 1
87 516 1
9 516 1
132 516 1
65 516 1
7 516 1
8 516 1
133 516 1
95 516 1
119 516 1
134 516 1
98 516 1
120 516 1
53 516 1
35 516 1
103 516 1
135 516 1
109 517 1
51 518 1
103 518 1
136 519 1
137 519 1
10 519 1
138 519 1
50 519 1
17 519 1
27 519 1
139 519 1
140 519 1
88 519 1
9 519 1
89 519 1
141 519 1
142 519 1
33 519 1
34 519 1
143 519 1
67 519 1
55 519 1
144 519 1
38 519 1
145 519 1
21 519 1
133 519 1
146 519 1
147 519 1
12 519 1
96 519 1
79 519 1
148 519 1
149 519 1
150 519 1
5 519 1
151 519 1
57 519 1
75 519 1
13 519 1
152 519 1
102 519 1
16 519 1
36 519 1
122 519 1
153 520 1
154 520 1
155 520 1
107 520 1
108 520 1
156 520 1
157 520 1
158 520 1
0 520 1
61 520 1
159 520 1
160 520 1
56 520 1
51 520 1
4 520 1
105 520 1
84 520 1
112 520 1
125 520 1
132 520 1
161 520 1
34 520 1
162 520 1
163 520 1
164 520 1
165 520 1
166 520 1
167 520 1
168 520 1
23 520 1
169 520 1
170 520 1
116 520 1
171 520 1
20 520 1
74 520 1
119 520 1
172 520 1
31 520 1
173 520 1
120 520 1
174 520 1
175 520 1
53 520 1
101 520 1
102 520 1
176 520 1
122 520 1
177 520 1
178 521 1
80 522 1
59 522 1
27 522 1
91 522 1
151 522 1
179 523 1
180 523 1
110 523 1
86 523 1
43 523 1
141 523 1
90 523 1
181 523 1
182 523 1
34 523 1
183 523 1
184 523 1
127 523 1
185 523 1
186 523 1
187 523 1
3 523 1
188 523 1
189 523 1
190 523 1
98 523 1
29 523 1
191 523 1
192 523 1
13 523 1
152 523 1
46 523 1
100 523 1
16 523 1
153 524 1
193 524 1
194 524 1
154 525 1
195 525 1
196 525 1
197 525 1
198 525 1
194 525 1
15 525 1
195 526 1
199 526 1
17 526 1
200 526 1
38 526 1
21 526 1
201 526 1
120 526 1
202 526 1
203 527 1
60 527 1
61 527 1
62 527 1
64 527 1
196 527 1
204 527 1
72 527 1
154 528 1
22 528 1
81 528 1
14 528 1
56 528 1
4 528 1
113 528 1
205 528 1
46 528 1
154 529 1
195 529 1
107 529 1
