5241 53443
0 211 1
1 211 1
2 211 1
3 211 1
4 211 1
5 211 1
6 211 1
7 211 1
8 211 1
9 212 1
10 212 1
11 212 1
12 212 1
13 212 1
14 212 1
15 213 1
14 213 1
16 213 1
17 214 1
18 214 1
4 214 1
5 214 1
19 214 1
20 214 1
21 214 1
22 214 1
23 214 1
24 214 1
25 214 1
26 214 1
1 214 1
27 214 1
28 215 1
14 215 1
29 215 1
30 215 1
31 215 1
32 215 1
24 215 1
33 216 1
34 216 1
13 216 1
2 216 1
35 216 1
36 216 1
37 216 1
38 216 1
39 216 1
40 216 1
11 216 1
41 216 1
23 216 1
1 216 1
42 216 1
27 216 1
7 216 1
43 216 1
3 216 1
17 216 1
44 216 1
45 216 1
4 216 1
46 216 1
5 216 1
47 216 1
48 216 1
49 216 1
50 216 1
51 216 1
52 216 1
25 216 1
53 216 1
54 217 1
34 218 1
55 218 1
48 218 1
56 219 1
30 220 1
24 220 1
57 220 1
14 220 1
58 220 1
32 220 1
52 220 1
59 220 1
24 221 1
59 221 1
39 222 1
60 222 1
18 223 1
2 223 1
35 223 1
37 223 1
61 223 1
38 223 1
62 223 1
41 223 1
24 223 1
6 223 1
7 223 1
63 223 1
8 223 1
64 223 1
65 223 1
45 223 1
4 223 1
66 223 1
59 223 1
55 224 1
2 224 1
67 224 1
35 224 1
37 224 1
38 224 1
39 224 1
41 224 1
7 224 1
8 224 1
59 224 1
68 225 1
59 225 1
30 226 1
5 226 1
69 226 1
66 226 1
70 226 1
71 227 1
0 227 1
30 227 1
62 227 1
72 227 1
48 227 1
56 228 1
24 228 1
73 228 1
74 229 1
75 229 1
76 229 1
69 229 1
70 229 1
77 230 1
30 230 1
78 230 1
23 230 1
27 230 1
79 230 1
65 230 1
4 230 1
66 230 1
52 230 1
25 230 1
54 230 1
55 231 1
48 231 1
10 231 1
37 232 1
80 232 1
24 232 1
51 232 1
81 232 1
82 233 1
55 233 1
39 233 1
83 233 1
12 233 1
48 233 1
84 233 1
85 233 1
34 234 1
35 234 1
37 234 1
40 234 1
80 234 1
86 234 1
49 234 1
85 234 1
24 235 1
87 235 1
25 235 1
88 236 1
56 236 1
2 236 1
89 236 1
37 236 1
39 236 1
90 236 1
91 236 1
92 236 1
93 236 1
23 236 1
1 236 1
27 236 1
83 236 1
94 236 1
95 236 1
84 236 1
85 236 1
25 236 1
79 237 1
96 238 1
97 238 1
89 238 1
35 238 1
37 238 1
38 238 1
98 238 1
40 238 1
90 238 1
99 238 1
1 238 1
42 238 1
27 238 1
8 238 1
100 238 1
3 238 1
17 238 1
101 238 1
102 238 1
46 238 1
103 238 1
49 238 1
51 238 1
10 238 1
104 238 1
105 238 1
9 239 1
77 239 1
30 239 1
89 239 1
35 239 1
75 239 1
39 239 1
11 239 1
92 239 1
106 239 1
63 239 1
43 239 1
107 239 1
108 239 1
66 239 1
104 239 1
52 239 1
85 239 1
105 239 1
109 239 1
110 239 1
37 240 1
23 240 1
27 240 1
87 240 1
51 240 1
25 240 1
18 241 1
41 241 1
27 241 1
4 241 1
25 241 1
71 242 1
55 242 1
77 242 1
111 242 1
30 242 1
89 242 1
36 242 1
98 242 1
39 242 1
76 242 1
112 242 1
106 242 1
113 242 1
93 242 1
114 242 1
64 242 1
83 242 1
43 242 1
115 242 1
60 242 1
95 242 1
48 242 1
84 242 1
116 242 1
66 242 1
117 242 1
85 242 1
118 242 1
109 242 1
18 243 1
13 243 1
111 244 1
39 244 1
59 245 1
28 246 1
34 246 1
2 246 1
67 246 1
37 246 1
61 246 1
119 246 1
7 246 1
17 246 1
120 246 1
21 246 1
121 247 1
119 247 1
24 247 1
1 247 1
27 247 1
100 247 1
122 247 1
4 247 1
73 247 1
5 247 1
95 247 1
51 247 1
123 247 1
9 248 1
33 248 1
34 248 1
55 248 1
13 248 1
2 248 1
35 248 1
61 248 1
38 248 1
98 248 1
124 248 1
80 248 1
41 248 1
1 248 1
27 248 1
6 248 1
65 248 1
83 248 1
122 248 1
107 248 1
108 248 1
57 248 1
14 248 1
29 248 1
5 248 1
51 248 1
120 248 1
59 248 1
125 248 1
28 248 1
67 248 1
30 248 1
75 248 1
36 248 1
106 248 1
113 248 1
93 248 1
126 248 1
127 248 1
24 248 1
128 248 1
7 248 1
8 248 1
4 248 1
12 248 1
129 248 1
130 248 1
46 248 1
48 248 1
69 248 1
84 248 1
49 248 1
50 248 1
66 248 1
0 249 1
2 249 1
6 249 1
5 249 1
59 249 1
48 249 1
34 250 1
24 250 1
87 251 1
131 252 1
0 252 1
2 252 1
89 252 1
35 252 1
37 252 1
38 252 1
98 252 1
124 252 1
80 252 1
41 252 1
92 252 1
1 252 1
72 252 1
68 252 1
27 252 1
6 252 1
64 252 1
57 252 1
58 252 1
5 252 1
47 252 1
109 252 1
59 252 1
132 252 1
18 252 1
96 252 1
67 252 1
75 252 1
133 252 1
19 252 1
134 252 1
39 252 1
62 252 1
106 252 1
26 252 1
7 252 1
63 252 1
8 252 1
17 252 1
44 252 1
45 252 1
4 252 1
12 252 1
73 252 1
69 252 1
21 252 1
25 252 1
54 252 1
16 252 1
40 253 1
135 253 1
14 254 1
28 254 1
30 254 1
34 255 1
0 255 1
0 256 1
2 256 1
35 256 1
40 256 1
78 256 1
64 256 1
52 256 1
96 256 1
28 256 1
39 256 1
62 256 1
7 256 1
63 256 1
12 256 1
129 256 1
48 256 1
84 256 1
69 256 1
10 256 1
81 256 1
13 257 1
0 257 1
89 257 1
37 257 1
40 257 1
121 257 1
80 257 1
1 257 1
27 257 1
136 257 1
100 257 1
3 257 1
101 257 1
103 257 1
51 257 1
117 257 1
88 257 1
137 257 1
138 257 1
99 257 1
23 257 1
26 257 1
139 257 1
63 257 1
15 257 1
140 257 1
141 257 1
142 257 1
