4233 29595
0 146 1
1 146 1
2 146 1
3 146 1
4 146 1
5 146 1
6 146 1
7 147 1
8 148 1
9 148 1
10 149 1
11 150 1
12 151 1
13 151 1
2 151 1
14 151 1
15 151 1
16 151 1
3 151 1
17 151 1
18 151 1
19 151 1
20 151 1
21 151 1
22 151 1
23 151 1
24 152 1
25 153 1
26 153 1
27 153 1
28 153 1
29 153 1
5 153 1
1 153 1
12 153 1
30 153 1
31 153 1
2 153 1
32 153 1
3 153 1
33 153 1
34 153 1
35 153 1
36 153 1
25 154 1
37 154 1
38 155 1
24 155 1
39 155 1
40 155 1
40 156 1
13 157 1
41 157 1
42 157 1
28 157 1
8 157 1
9 157 1
4 157 1
5 157 1
37 157 1
6 157 1
31 157 1
2 157 1
10 157 1
40 157 1
43 158 1
28 158 1
5 158 1
6 158 1
40 158 1
40 159 1
27 160 1
3 160 1
44 160 1
0 161 1
42 161 1
45 162 1
46 162 1
45 163 1
47 163 1
48 163 1
49 163 1
50 163 1
2 163 1
51 163 1
7 164 1
27 164 1
52 165 1
10 166 1
25 167 1
27 167 1
52 167 1
53 167 1
34 167 1
54 168 1
55 169 1
26 169 1
56 169 1
57 169 1
37 169 1
58 169 1
53 169 1
59 169 1
60 169 1
10 169 1
61 169 1
19 169 1
49 170 1
44 170 1
15 171 1
62 171 1
63 171 1
64 171 1
26 171 1
65 171 1
66 171 1
7 171 1
56 171 1
67 171 1
29 171 1
6 171 1
68 171 1
1 171 1
12 171 1
14 171 1
69 171 1
58 171 1
53 171 1
70 171 1
32 171 1
34 171 1
10 171 1
61 171 1
71 171 1
44 171 1
26 172 1
27 172 1
72 172 1
10 172 1
71 172 1
39 172 1
54 173 1
13 174 1
28 174 1
2 174 1
45 175 1
65 175 1
60 175 1
13 176 1
40 177 1
25 178 1
43 178 1
41 178 1
73 178 1
5 178 1
12 178 1
74 178 1
20 178 1
75 179 1
27 179 1
76 179 1
73 179 1
68 179 1
2 179 1
46 179 1
3 179 1
60 179 1
77 179 1
25 180 1
78 180 1
41 180 1
26 180 1
65 180 1
79 180 1
52 180 1
28 180 1
8 180 1
9 180 1
4 180 1
80 180 1
72 180 1
3 180 1
74 180 1
40 180 1
81 180 1
44 180 1
43 180 1
45 180 1
22 180 1
82 180 1
5 180 1
6 180 1
2 180 1
58 180 1
83 180 1
32 180 1
16 180 1
34 180 1
35 180 1
10 180 1
61 180 1
84 180 1
39 180 1
0 181 1
4 181 1
3 181 1
40 181 1
25 182 1
54 183 1
9 184 1
81 184 1
