6002 90895
0 466 1
1 466 1
2 466 1
3 467 1
4 467 1
5 467 1
6 467 1
7 467 1
8 467 1
9 467 1
10 467 1
11 468 1
12 468 1
13 468 1
14 468 1
15 468 1
16 468 1
17 468 1
18 468 1
19 468 1
20 468 1
21 468 1
22 468 1
23 468 1
24 468 1
25 468 1
26 468 1
27 468 1
28 468 1
29 468 1
30 468 1
31 469 1
2 469 1
32 469 1
33 469 1
34 469 1
35 469 1
36 469 1
37 469 1
38 469 1
39 469 1
40 469 1
0 469 1
41 469 1
42 469 1
43 470 1
44 470 1
45 470 1
8 470 1
46 470 1
47 470 1
48 470 1
49 470 1
50 470 1
3 470 1
51 470 1
5 470 1
52 470 1
53 470 1
54 470 1
7 470 1
55 470 1
56 470 1
57 471 1
58 471 1
39 471 1
59 471 1
60 472 1
61 472 1
31 472 1
62 472 1
63 472 1
64 472 1
65 472 1
66 472 1
6 472 1
67 472 1
68 472 1
3 472 1
69 472 1
70 472 1
71 472 1
40 472 1
0 472 1
72 472 1
73 472 1
42 472 1
74 472 1
75 472 1
76 472 1
2 472 1
77 472 1
44 472 1
78 472 1
46 472 1
79 472 1
80 472 1
81 472 1
52 472 1
82 472 1
83 473 1
84 473 1
85 473 1
40 473 1
86 473 1
46 473 1
87 473 1
88 473 1
89 474 1
90 474 1
56 474 1
91 474 1
92 474 1
93 474 1
94 474 1
95 474 1
56 475 1
96 475 1
97 476 1
4 476 1
62 476 1
98 476 1
99 476 1
100 476 1
101 476 1
102 476 1
103 476 1
104 476 1
105 476 1
93 476 1
44 476 1
33 476 1
106 476 1
107 476 1
108 476 1
109 477 1
97 477 1
98 477 1
68 477 1
110 477 1
100 477 1
101 477 1
111 477 1
112 477 1
8 478 1
113 478 1
114 478 1
115 478 1
116 478 1
117 478 1
118 478 1
13 478 1
119 478 1
120 478 1
95 478 1
121 478 1
12 479 1
122 479 1
123 479 1
8 479 1
124 479 1
125 479 1
83 479 1
84 479 1
3 479 1
39 479 1
89 479 1
56 479 1
126 479 1
91 479 1
2 479 1
78 479 1
50 479 1
23 479 1
5 479 1
127 479 1
54 479 1
7 479 1
108 479 1
95 479 1
128 480 1
67 480 1
47 480 1
118 480 1
129 480 1
91 480 1
106 480 1
112 480 1
130 480 1
131 481 1
60 482 1
132 482 1
133 482 1
8 482 1
104 482 1
40 482 1
129 482 1
134 482 1
92 482 1
135 482 1
5 482 1
54 482 1
60 483 1
68 483 1
89 483 1
116 483 1
136 483 1
137 483 1
72 483 1
138 483 1
118 483 1
13 483 1
139 483 1
54 483 1
108 483 1
65 484 1
38 484 1
40 484 1
42 484 1
140 484 1
11 484 1
141 484 1
142 484 1
37 484 1
143 485 1
144 485 1
145 485 1
133 485 1
31 485 1
146 485 1
64 485 1
66 485 1
147 485 1
99 485 1
148 485 1
149 485 1
124 485 1
150 485 1
100 485 1
48 485 1
103 485 1
151 485 1
35 485 1
111 485 1
152 485 1
153 485 1
70 485 1
154 485 1
71 485 1
90 485 1
155 485 1
156 485 1
157 485 1
138 485 1
158 485 1
159 485 1
126 485 1
160 485 1
118 485 1
161 485 1
162 485 1
163 485 1
164 485 1
165 485 1
166 485 1
167 485 1
1 485 1
168 485 1
2 485 1
169 485 1
93 485 1
170 485 1
171 485 1
172 485 1
87 485 1
173 485 1
174 485 1
175 485 1
50 485 1
176 485 1
106 485 1
177 485 1
178 485 1
179 485 1
5 485 1
52 485 1
180 485 1
181 485 1
7 485 1
107 485 1
95 485 1
182 485 1
183 485 1
41 485 1
184 485 1
185 485 1
73 486 1
186 486 1
187 486 1
81 486 1
47 487 1
115 487 1
188 487 1
73 487 1
189 487 1
186 487 1
79 487 1
81 487 1
8 488 1
190 489 1
56 489 1
44 489 1
94 489 1
191 490 1
192 490 1
68 490 1
110 490 1
34 490 1
193 490 1
194 490 1
81 490 1
195 490 1
37 490 1
12 491 1
114 491 1
38 491 1
196 491 1
197 492 1
128 492 1
198 492 1
67 492 1
68 492 1
110 492 1
83 492 1
3 492 1
199 492 1
38 492 1
24 492 1
200 492 1
136 492 1
0 492 1
73 492 1
105 492 1
186 492 1
201 492 1
202 492 1
76 492 1
13 492 1
16 492 1
203 492 1
195 492 1
37 492 1
204 492 1
54 492 1
205 492 1
197 493 1
60 493 1
145 493 1
97 493 1
206 493 1
122 493 1
64 493 1
148 493 1
8 493 1
34 493 1
101 493 1
36 493 1
39 493 1
70 493 1
40 493 1
155 493 1
157 493 1
207 493 1
193 493 1
166 493 1
134 493 1
168 493 1
92 493 1
175 493 1
112 493 1
5 493 1
52 493 1
181 493 1
55 493 1
95 493 1
41 493 1
28 493 1
31 494 1
128 494 1
208 494 1
206 494 1
64 494 1
19 494 1
192 494 1
209 494 1
210 494 1
211 494 1
68 494 1
100 494 1
39 494 1
200 494 1
212 494 1
137 494 1
0 494 1
72 494 1
196 494 1
213 494 1
214 494 1
215 494 1
216 494 1
169 494 1
45 494 1
80 494 1
173 494 1
23 494 1
37 494 1
217 494 1
218 494 1
219 494 1
7 494 1
27 494 1
220 494 1
221 494 1
222 494 1
60 495 1
64 495 1
192 495 1
210 495 1
211 495 1
113 495 1
114 495 1
35 495 1
159 495 1
223 495 1
13 495 1
224 495 1
54 495 1
108 495 1
41 495 1
221 495 1
148 496 1
152 496 1
70 496 1
158 496 1
167 496 1
175 496 1
28 496 1
97 497 1
15 497 1
206 497 1
17 497 1
148 497 1
100 497 1
101 497 1
84 497 1
225 497 1
111 497 1
226 497 1
39 497 1
70 497 1
40 497 1
212 497 1
227 497 1
86 497 1
155 497 1
228 497 1
207 497 1
164 497 1
167 497 1
1 497 1
229 497 1
2 497 1
92 497 1
46 497 1
33 497 1
172 497 1
49 497 1
175 497 1
176 497 1
52 497 1
7 497 1
55 497 1
183 497 1
111 498 1
160 498 1
230 499 1
91 499 1
203 499 1
231 499 1
95 499 1
17 500 1
6 500 1
67 500 1
129 500 1
23 500 1
106 500 1
232 500 1
125 501 1
89 501 1
116 501 1
233 501 1
118 501 1
234 501 1
95 501 1
98 502 1
101 502 1
132 503 1
43 503 1
67 503 1
84 503 1
235 503 1
116 503 1
136 503 1
49 503 1
174 503 1
236 503 1
28 503 1
237 504 1
238 504 1
197 504 1
