5794 94768
0 307 1
1 307 1
2 307 1
3 307 1
4 307 1
5 307 1
6 308 1
7 308 1
8 308 1
9 308 1
10 308 1
11 308 1
12 308 1
13 308 1
14 308 1
4 309 1
3 310 1
15 311 1
16 311 1
10 311 1
17 311 1
18 311 1
19 311 1
20 311 1
13 311 1
9 312 1
21 312 1
22 313 1
1 313 1
23 313 1
2 313 1
24 313 1
25 313 1
26 313 1
27 313 1
9 313 1
10 313 1
28 313 1
29 313 1
30 313 1
31 313 1
32 313 1
33 313 1
13 313 1
34 313 1
35 313 1
36 313 1
37 313 1
38 313 1
39 313 1
40 313 1
4 313 1
41 313 1
42 313 1
43 313 1
44 314 1
36 314 1
45 315 1
2 316 1
46 316 1
31 316 1
20 316 1
47 316 1
48 316 1
49 316 1
38 316 1
50 316 1
51 316 1
4 316 1
52 316 1
53 316 1
43 316 1
54 317 1
55 317 1
20 317 1
54 318 1
0 318 1
56 318 1
57 318 1
10 318 1
58 318 1
59 318 1
60 318 1
61 318 1
3 318 1
49 318 1
62 318 1
63 318 1
64 318 1
65 318 1
5 318 1
66 318 1
67 319 1
25 319 1
68 319 1
69 319 1
70 320 1
71 320 1
72 320 1
73 320 1
1 320 1
74 320 1
75 320 1
76 320 1
77 320 1
26 320 1
15 320 1
16 320 1
9 320 1
78 320 1
79 320 1
80 320 1
28 320 1
81 320 1
82 320 1
83 320 1
84 320 1
85 320 1
55 320 1
30 320 1
86 320 1
87 320 1
88 320 1
89 320 1
33 320 1
13 320 1
90 320 1
34 320 1
91 320 1
35 320 1
92 320 1
93 320 1
47 320 1
94 320 1
95 320 1
45 320 1
96 320 1
97 320 1
98 320 1
99 320 1
38 320 1
100 320 1
50 320 1
11 320 1
39 320 1
101 320 1
102 320 1
103 320 1
104 320 1
105 320 1
106 320 1
107 320 1
108 320 1
109 320 1
51 320 1
40 320 1
110 320 1
4 320 1
19 320 1
111 320 1
52 320 1
112 320 1
113 320 1
53 320 1
114 320 1
115 320 1
116 320 1
117 320 1
118 320 1
43 320 1
67 321 1
2 321 1
119 321 1
26 321 1
44 321 1
15 321 1
16 321 1
120 321 1
121 321 1
30 321 1
122 321 1
123 321 1
124 321 1
20 321 1
14 321 1
35 321 1
48 321 1
17 321 1
125 321 1
126 321 1
40 321 1
127 321 1
65 321 1
128 321 1
52 321 1
117 321 1
73 322 1
129 322 1
16 322 1
28 322 1
31 322 1
122 322 1
32 322 1
88 322 1
130 322 1
34 322 1
92 322 1
131 322 1
48 322 1
8 322 1
101 322 1
63 322 1
64 322 1
108 322 1
109 322 1
40 322 1
19 322 1
42 322 1
5 322 1
112 322 1
132 322 1
73 323 1
46 323 1
32 323 1
67 324 1
15 324 1
35 324 1
50 324 1
64 324 1
133 325 1
134 325 1
1 325 1
27 325 1
9 325 1
135 325 1
136 325 1
55 325 1
60 325 1
137 325 1
123 325 1
138 325 1
124 325 1
131 325 1
139 325 1
140 325 1
3 325 1
62 325 1
8 325 1
141 325 1
142 325 1
100 325 1
143 325 1
21 325 1
105 325 1
125 325 1
126 325 1
127 325 1
42 325 1
5 325 1
115 325 1
43 325 1
70 326 1
71 326 1
22 326 1
74 326 1
2 326 1
25 326 1
144 326 1
46 326 1
145 326 1
68 326 1
26 326 1
15 326 1
27 326 1
69 326 1
146 326 1
57 326 1
147 326 1
121 326 1
85 326 1
29 326 1
148 326 1
149 326 1
123 326 1
86 326 1
150 326 1
151 326 1
152 326 1
88 326 1
33 326 1
153 326 1
14 326 1
90 326 1
34 326 1
91 326 1
92 326 1
154 326 1
93 326 1
36 326 1
47 326 1
3 326 1
62 326 1
98 326 1
38 326 1
100 326 1
11 326 1
39 326 1
101 326 1
64 326 1
155 326 1
105 326 1
106 326 1
108 326 1
109 326 1
51 326 1
40 326 1
127 326 1
4 326 1
19 326 1
41 326 1
111 326 1
65 326 1
42 326 1
156 326 1
157 326 1
115 326 1
118 326 1
54 327 1
154 327 1
4 327 1
23 328 1
119 328 1
9 328 1
31 328 1
123 328 1
87 328 1
32 328 1
130 328 1
124 328 1
36 328 1
96 328 1
38 328 1
50 328 1
143 328 1
125 328 1
42 328 1
134 329 1
158 329 1
67 329 1
56 329 1
76 329 1
59 329 1
137 329 1
123 329 1
88 329 1
92 329 1
159 329 1
36 329 1
49 329 1
96 329 1
62 329 1
160 329 1
17 329 1
63 329 1
64 329 1
51 329 1
52 329 1
5 329 1
66 329 1
161 330 1
37 330 1
78 331 1
162 331 1
115 331 1
79 332 1
80 332 1
28 332 1
38 332 1
163 332 1
105 332 1
108 332 1
20 333 1
164 334 1
25 334 1
38 334 1
106 334 1
6 335 1
70 335 1
71 335 1
1 335 1
165 335 1
25 335 1
44 335 1
10 335 1
79 335 1
80 335 1
28 335 1
82 335 1
85 335 1
148 335 1
12 335 1
150 335 1
33 335 1
61 335 1
166 335 1
167 335 1
93 335 1
94 335 1
62 335 1
98 335 1
39 335 1
103 335 1
104 335 1
4 335 1
168 335 1
169 335 1
112 335 1
66 335 1
170 335 1
118 335 1
55 336 1
140 336 1
64 336 1
52 336 1
5 336 1
7 337 1
171 337 1
25 337 1
152 337 1
90 337 1
172 337 1
173 337 1
174 337 1
22 338 1
73 338 1
23 338 1
171 338 1
77 338 1
15 338 1
69 338 1
175 338 1
28 338 1
136 338 1
31 338 1
123 338 1
151 338 1
88 338 1
124 338 1
176 338 1
177 338 1
93 338 1
96 338 1
98 338 1
50 338 1
64 338 1
104 338 1
105 338 1
108 338 1
178 338 1
65 338 1
42 338 1
5 338 1
66 338 1
179 339 1
54 340 1
13 340 1
100 340 1
50 340 1
107 340 1
146 341 1
135 341 1
28 341 1
31 341 1
48 341 1
97 341 1
38 341 1
52 341 1
53 341 1
116 341 1
27 342 1
131 342 1
63 342 1
54 343 1
22 343 1
180 343 1
1 343 1
23 343 1
119 343 1
46 343 1
145 343 1
76 343 1
26 343 1
9 343 1
57 343 1
181 343 1
175 343 1
135 343 1
28 343 1
82 343 1
55 343 1
137 343 1
31 343 1
123 343 1
86 343 1
151 343 1
32 343 1
88 343 1
130 343 1
182 343 1
33 343 1
13 343 1
34 343 1
35 343 1
92 343 1
183 343 1
139 343 1
36 343 1
47 343 1
3 343 1
184 343 1
185 343 1
98 343 1
186 343 1
38 343 1
187 343 1
50 343 1
39 343 1
105 343 1
188 343 1
106 343 1
108 343 1
51 343 1
189 343 1
40 343 1
127 343 1
4 343 1
41 343 1
111 343 1
190 343 1
42 343 1
128 343 1
52 343 1
112 343 1
156 343 1
191 343 1
192 343 1
116 343 1
117 343 1
118 343 1
193 343 1
133 344 1
26 344 1
15 344 1
16 344 1
10 344 1
86 344 1
150 344 1
47 344 1
50 344 1
11 344 1
160 344 1
64 344 1
194 344 1
40 344 1
115 344 1
116 344 1
43 344 1
25 345 1
27 345 1
150 345 1
152 345 1
195 345 1
36 345 1
106 345 1
4 345 1
52 345 1
196 345 1
131 346 1
63 346 1
132 346 1
22 347 1
0 347 1
158 347 1
1 347 1
26 347 1
15 347 1
27 347 1
57 347 1
59 347 1
55 347 1
148 347 1
30 347 1
31 347 1
86 347 1
32 347 1
130 347 1
197 347 1
140 347 1
47 347 1
48 347 1
62 347 1
98 347 1
186 347 1
63 347 1
126 347 1
41 347 1
198 347 1
199 347 1
111 347 1
42 347 1
52 347 1
5 347 1
54 347 1
134 347 1
67 347 1
23 347 1
200 347 1
2 347 1
46 347 1
145 347 1
68 347 1
56 347 1
76 347 1
10 347 1
135 347 1
82 347 1
136 347 1
137 347 1
12 347 1
123 347 1
151 347 1
201 347 1
124 347 1
33 347 1
13 347 1
92 347 1
61 347 1
159 347 1
36 347 1
202 347 1
3 347 1
184 347 1
187 347 1
50 347 1
143 347 1
125 347 1
40 347 1
4 347 1
196 347 1
203 347 1
43 347 1
15 348 1
16 348 1
86 348 1
46 348 1
88 348 1
35 348 1
73 349 1
131 349 1
73 350 1
0 351 1
18 351 1
123 351 1
49 351 1
178 351 1
6 352 1
204 352 1
72 352 1
22 352 1
73 352 1
129 352 1
144 352 1
26 352 1
15 352 1
16 352 1
146 352 1
85 352 1
55 352 1
205 352 1
29 352 1
148 352 1
30 352 1
31 352 1
86 352 1
150 352 1
32 352 1
138 352 1
153 352 1
197 352 1
177 352 1
140 352 1
94 352 1
96 352 1
62 352 1
206 352 1
207 352 1
98 352 1
186 352 1
163 352 1
11 352 1
17 352 1
64 352 1
102 352 1
126 352 1
208 352 1
18 352 1
65 352 1
190 352 1
42 352 1
128 352 1
169 352 1
173 352 1
5 352 1
113 352 1
115 352 1
133 352 1
134 352 1
23 352 1
2 352 1
46 352 1
145 352 1
209 352 1
56 352 1
76 352 1
77 352 1
69 352 1
9 352 1
175 352 1
135 352 1
210 352 1
147 352 1
28 352 1
84 352 1
121 352 1
12 352 1
123 352 1
151 352 1
88 352 1
211 352 1
124 352 1
33 352 1
14 352 1
34 352 1
91 352 1
35 352 1
212 352 1
139 352 1
36 352 1
213 352 1
202 352 1
3 352 1
214 352 1
185 352 1
141 352 1
38 352 1
50 352 1
143 352 1
160 352 1
101 352 1
155 352 1
105 352 1
215 352 1
106 352 1
40 352 1
178 352 1
127 352 1
156 352 1
191 352 1
216 352 1
66 352 1
196 352 1
203 352 1
116 352 1
117 352 1
43 352 1
193 352 1
25 353 1
179 354 1
144 354 1
15 354 1
100 354 1
6 355 1
22 355 1
180 355 1
179 355 1
1 355 1
171 355 1
119 355 1
144 355 1
26 355 1
44 355 1
15 355 1
16 355 1
27 355 1
146 355 1
57 355 1
217 355 1
55 355 1
148 355 1
31 355 1
218 355 1
86 355 1
32 355 1
130 355 1
138 355 1
219 355 1
177 355 1
183 355 1
47 355 1
98 355 1
186 355 1
163 355 1
220 355 1
221 355 1
11 355 1
126 355 1
108 355 1
109 355 1
51 355 1
189 355 1
41 355 1
198 355 1
199 355 1
111 355 1
190 355 1
42 355 1
128 355 1
52 355 1
169 355 1
5 355 1
113 355 1
222 355 1
115 355 1
67 355 1
23 355 1
2 355 1
46 355 1
145 355 1
68 355 1
56 355 1
76 355 1
9 355 1
175 355 1
135 355 1
120 355 1
147 355 1
28 355 1
223 355 1
84 355 1
121 355 1
137 355 1
12 355 1
151 355 1
124 355 1
33 355 1
14 355 1
90 355 1
35 355 1
154 355 1
139 355 1
36 355 1
49 355 1
214 355 1
184 355 1
185 355 1
141 355 1
224 355 1
225 355 1
37 355 1
38 355 1
187 355 1
143 355 1
103 355 1
21 355 1
105 355 1
215 355 1
40 355 1
178 355 1
127 355 1
4 355 1
112 355 1
191 355 1
216 355 1
226 355 1
116 355 1
117 355 1
118 355 1
193 355 1
6 356 1
25 356 1
144 356 1
78 356 1
148 356 1
207 356 1
199 356 1
79 356 1
20 356 1
155 356 1
59 357 1
31 357 1
150 357 1
197 357 1
62 357 1
17 357 1
64 357 1
227 357 1
18 357 1
52 357 1
5 357 1
133 357 1
77 357 1
228 357 1
10 357 1
12 357 1
61 357 1
159 357 1
202 357 1
66 357 1
43 357 1
179 358 1
229 358 1
132 358 1
68 358 1
21 358 1
104 358 1
165 359 1
25 359 1
144 359 1
78 359 1
55 359 1
162 359 1
32 359 1
130 359 1
183 359 1
167 359 1
140 359 1
62 359 1
194 359 1
108 359 1
51 359 1
18 359 1
198 359 1
111 359 1
169 359 1
46 359 1
76 359 1
77 359 1
10 359 1
58 359 1
175 359 1
82 359 1
137 359 1
89 359 1
211 359 1
14 359 1
35 359 1
176 359 1
172 359 1
159 359 1
230 359 1
39 359 1
155 359 1
106 359 1
40 359 1
168 359 1
66 359 1
27 360 1
11 360 1
19 360 1
132 360 1
69 360 1
231 360 1
211 360 1
201 360 1
132 361 1
133 361 1
32 362 1
126 362 1
10 362 1
92 362 1
73 363 1
73 364 1
104 364 1
196 364 1
132 365 1
54 365 1
37 365 1
23 366 1
104 367 1
6 368 1
22 368 1
73 368 1
179 368 1
0 368 1
158 368 1
27 368 1
55 368 1
31 368 1
232 368 1
32 368 1
130 368 1
138 368 1
153 368 1
233 368 1
190 368 1
42 368 1
128 368 1
5 368 1
67 368 1
23 368 1
2 368 1
9 368 1
175 368 1
135 368 1
120 368 1
147 368 1
137 368 1
122 368 1
151 368 1
88 368 1
124 368 1
35 368 1
139 368 1
36 368 1
3 368 1
214 368 1
184 368 1
187 368 1
143 368 1
125 368 1
43 368 1
193 368 1
7 369 1
78 369 1
150 369 1
18 369 1
173 369 1
77 369 1
228 369 1
158 370 1
27 370 1
234 370 1
23 370 1
195 370 1
139 370 1
125 370 1
7 371 1
100 371 1
20 371 1
37 371 1
104 371 1
21 372 1
27 373 1
196 373 1
0 374 1
7 374 1
150 374 1
5 374 1
77 374 1
12 374 1
20 374 1
159 374 1
235 374 1
236 374 1
13 375 1
144 376 1
15 376 1
78 376 1
148 376 1
95 376 1
11 376 1
161 376 1
103 376 1
204 377 1
22 377 1
73 377 1
57 377 1
150 377 1
197 377 1
96 377 1
62 377 1
186 377 1
63 377 1
64 377 1
190 377 1
132 377 1
67 377 1
200 377 1
56 377 1
69 377 1
136 377 1
137 377 1
12 377 1
13 377 1
61 377 1
159 377 1
184 377 1
99 377 1
230 377 1
178 377 1
66 377 1
26 378 1
30 378 1
11 378 1
67 378 1
40 378 1
144 379 1
36 379 1
132 380 1
21 380 1
148 381 1
219 381 1
109 381 1
52 381 1
67 381 1
108 382 1
111 382 1
78 383 1
161 383 1
174 383 1
73 384 1
78 384 1
148 384 1
31 384 1
197 384 1
62 384 1
206 384 1
17 384 1
64 384 1
65 384 1
76 384 1
77 384 1
10 384 1
58 384 1
60 384 1
137 384 1
61 384 1
159 384 1
139 384 1
50 384 1
21 384 1
10 385 1
196 385 1
73 386 1
179 386 1
0 386 1
26 386 1
57 386 1
55 386 1
30 386 1
140 386 1
48 386 1
8 386 1
163 386 1
220 386 1
190 386 1
52 386 1
5 386 1
132 386 1
237 386 1
133 386 1
67 386 1
23 386 1
56 386 1
76 386 1
69 386 1
121 386 1
136 386 1
123 386 1
201 386 1
124 386 1
33 386 1
13 386 1
36 386 1
