6085 100733
0 454 1
1 455 1
2 455 1
3 455 1
4 455 1
5 455 1
6 455 1
7 455 1
8 455 1
9 455 1
10 455 1
11 456 1
12 456 1
13 457 1
14 457 1
15 457 1
16 457 1
17 457 1
18 457 1
19 457 1
20 457 1
21 457 1
22 457 1
23 457 1
24 457 1
25 457 1
26 457 1
27 457 1
28 457 1
29 457 1
30 457 1
31 458 1
32 459 1
13 460 1
33 460 1
34 460 1
9 460 1
35 460 1
36 460 1
5 460 1
37 460 1
27 460 1
38 460 1
29 460 1
39 460 1
40 460 1
41 460 1
32 461 1
19 461 1
42 461 1
0 461 1
20 461 1
43 461 1
27 461 1
44 461 1
45 462 1
46 462 1
0 462 1
20 462 1
4 462 1
47 462 1
48 462 1
49 462 1
50 463 1
23 463 1
22 463 1
48 463 1
51 463 1
39 464 1
52 464 1
53 464 1
54 464 1
12 464 1
39 465 1
3 466 1
55 466 1
56 466 1
57 466 1
58 466 1
59 466 1
42 466 1
60 466 1
61 466 1
62 466 1
63 466 1
64 466 1
65 466 1
66 466 1
67 466 1
26 466 1
40 466 1
68 466 1
69 466 1
70 466 1
71 466 1
11 466 1
72 466 1
54 466 1
73 466 1
74 466 1
75 466 1
76 466 1
46 467 1
77 467 1
78 467 1
79 467 1
80 468 1
81 468 1
82 468 1
83 468 1
9 468 1
84 468 1
42 468 1
35 468 1
20 468 1
85 468 1
86 468 1
87 468 1
88 468 1
89 468 1
44 468 1
15 468 1
90 468 1
91 468 1
92 468 1
93 468 1
47 468 1
94 468 1
95 468 1
96 468 1
38 468 1
75 468 1
7 468 1
29 468 1
97 468 1
98 468 1
14 469 1
9 469 1
99 469 1
50 469 1
35 469 1
63 469 1
100 469 1
39 469 1
101 469 1
68 469 1
30 469 1
13 469 1
102 469 1
4 469 1
52 469 1
103 469 1
36 469 1
5 469 1
76 469 1
8 469 1
104 469 1
98 469 1
82 470 1
56 470 1
77 470 1
58 470 1
63 470 1
1 470 1
105 470 1
106 470 1
71 470 1
52 470 1
95 470 1
107 470 1
73 470 1
96 470 1
38 470 1
28 470 1
108 470 1
82 471 1
35 472 1
109 473 1
110 473 1
2 473 1
111 473 1
112 473 1
34 473 1
9 473 1
20 473 1
113 473 1
114 473 1
64 473 1
1 473 1
65 473 1
115 473 1
116 473 1
26 473 1
27 473 1
117 473 1
41 473 1
118 473 1
30 473 1
119 473 1
13 473 1
106 473 1
120 473 1
121 473 1
4 473 1
122 473 1
72 473 1
53 473 1
123 473 1
124 473 1
125 473 1
126 473 1
43 473 1
48 473 1
5 473 1
127 473 1
8 473 1
29 473 1
98 473 1
128 474 1
129 474 1
130 474 1
80 474 1
81 474 1
131 474 1
132 474 1
133 474 1
46 474 1
134 474 1
135 474 1
42 474 1
35 474 1
0 474 1
78 474 1
60 474 1
85 474 1
105 474 1
136 474 1
88 474 1
27 474 1
137 474 1
138 474 1
139 474 1
140 474 1
141 474 1
142 474 1
143 474 1
15 474 1
144 474 1
145 474 1
146 474 1
12 474 1
47 474 1
95 474 1
147 474 1
24 474 1
148 474 1
96 474 1
149 474 1
150 474 1
38 474 1
76 474 1
151 474 1
98 474 1
152 474 1
55 475 1
45 475 1
20 475 1
67 475 1
126 475 1
153 476 1
111 476 1
154 476 1
59 476 1
83 476 1
62 476 1
31 476 1
115 476 1
66 476 1
155 476 1
27 476 1
156 476 1
101 476 1
157 476 1
158 476 1
159 476 1
160 476 1
54 476 1
161 476 1
162 476 1
163 476 1
36 476 1
73 476 1
22 476 1
164 476 1
165 476 1
5 476 1
127 476 1
75 476 1
8 476 1
128 477 1
166 477 1
167 477 1
168 477 1
129 478 1
169 478 1
87 478 1
170 478 1
171 478 1
167 478 1
7 478 1
169 479 1
172 479 1
9 479 1
173 479 1
30 479 1
13 479 1
174 479 1
96 479 1
175 479 1
39 480 1
176 481 1
46 481 1
177 481 1
129 482 1
14 482 1
56 482 1
6 482 1
42 482 1
0 482 1
86 482 1
129 483 1
169 483 1
80 483 1
81 483 1
131 483 1
6 483 1
178 483 1
46 483 1
34 483 1
42 483 1
99 483 1
50 483 1
113 483 1
85 483 1
63 483 1
1 483 1
173 483 1
105 483 1
179 483 1
25 483 1
27 483 1
137 483 1
139 483 1
180 483 1
140 483 1
181 483 1
166 483 1
69 483 1
182 483 1
183 483 1
167 483 1
184 483 1
185 483 1
15 483 1
186 483 1
11 483 1
90 483 1
187 483 1
12 483 1
47 483 1
107 483 1
188 483 1
150 483 1
189 483 1
7 483 1
190 483 1
152 483 1
191 483 1
9 484 1
0 484 1
105 484 1
30 484 1
177 484 1
122 484 1
159 484 1
53 484 1
107 484 1
48 484 1
5 484 1
18 485 1
192 485 1
46 485 1
63 485 1
138 485 1
166 485 1
193 485 1
160 485 1
194 485 1
195 485 1
196 485 1
129 486 1
82 486 1
131 486 1
45 486 1
17 486 1
192 486 1
77 486 1
84 486 1
135 486 1
35 486 1
78 486 1
197 486 1
86 486 1
31 486 1
27 486 1
140 486 1
198 486 1
68 486 1
199 486 1
200 486 1
15 486 1
4 486 1
201 486 1
72 486 1
202 486 1
12 486 1
96 486 1
149 486 1
150 486 1
49 486 1
203 486 1
76 486 1
204 486 1
152 486 1
53 487 1
205 487 1
48 487 1
206 487 1
207 487 1
57 488 1
67 488 1
26 488 1
133 489 1
63 489 1
52 489 1
92 489 1
12 489 1
58 490 1
106 490 1
73 490 1
208 490 1
209 491 1
45 491 1
83 491 1
20 491 1
60 491 1
197 491 1
115 491 1
88 491 1
210 491 1
30 491 1
13 491 1
121 491 1
72 491 1
211 491 1
212 491 1
47 491 1
213 491 1
96 491 1
149 491 1
214 491 1
104 491 1
151 491 1
175 491 1
56 492 1
169 493 1
110 493 1
55 493 1
35 493 1
0 493 1
88 493 1
137 493 1
215 493 1
162 493 1
48 493 1
216 493 1
217 493 1
175 493 1
218 493 1
46 494 1
219 494 1
137 494 1
138 494 1
220 494 1
101 494 1
171 494 1
177 494 1
5 494 1
221 494 1
222 494 1
105 495 1
106 495 1
215 495 1
107 495 1
73 495 1
223 495 1
217 495 1
108 495 1
3 496 1
55 496 1
35 496 1
60 496 1
62 496 1
66 496 1
224 496 1
88 496 1
225 496 1
118 496 1
200 496 1
120 496 1
122 496 1
52 496 1
201 496 1
53 496 1
211 496 1
33 496 1
73 496 1
226 496 1
2 496 1
111 496 1
45 496 1
154 496 1
59 496 1
83 496 1
227 496 1
1 496 1
115 496 1
25 496 1
228 496 1
69 496 1
157 496 1
229 496 1
230 496 1
231 496 1
232 496 1
212 496 1
126 496 1
48 496 1
149 496 1
222 496 1
35 497 1
88 497 1
186 497 1
29 497 1
13 497 1
232 497 1
233 497 1
8 497 1
175 497 1
82 498 1
105 498 1
106 498 1
28 498 1
234 498 1
82 499 1
28 499 1
235 499 1
44 499 1
3 500 1
135 500 1
26 500 1
210 500 1
37 500 1
229 500 1
30 500 1
13 500 1
4 500 1
123 500 1
54 500 1
232 500 1
203 500 1
128 501 1
129 501 1
82 501 1
42 501 1
35 501 1
0 501 1
236 501 1
237 501 1
66 501 1
88 501 1
137 501 1
238 501 1
180 501 1
117 501 1
141 501 1
181 501 1
166 501 1
225 501 1
182 501 1
199 501 1
158 501 1
15 501 1
122 501 1
90 501 1
72 501 1
239 501 1
53 501 1
205 501 1
202 501 1
240 501 1
161 501 1
241 501 1
242 501 1
211 501 1
103 501 1
36 501 1
243 501 1
22 501 1
244 501 1
5 501 1
208 501 1
74 501 1
37 501 1
76 501 1
29 501 1
214 501 1
104 501 1
190 501 1
221 501 1
195 501 1
98 501 1
110 501 1
245 501 1
2 501 1
111 501 1
131 501 1
45 501 1
246 501 1
247 501 1
134 501 1
34 501 1
59 501 1
83 501 1
84 501 1
78 501 1
20 501 1
227 501 1
197 501 1
85 501 1
86 501 1
31 501 1
248 501 1
249 501 1
250 501 1
25 501 1
251 501 1
27 501 1
252 501 1
253 501 1
254 501 1
255 501 1
256 501 1
143 501 1
30 501 1
230 501 1
257 501 1
70 501 1
71 501 1
121 501 1
258 501 1
259 501 1
231 501 1
123 501 1
260 501 1
124 501 1
146 501 1
126 501 1
162 501 1
95 501 1
147 501 1
24 501 1
261 501 1
164 501 1
148 501 1
48 501 1
127 501 1
262 501 1
203 501 1
263 501 1
151 501 1
264 501 1
222 501 1
175 501 1
152 501 1
46 502 1
113 503 1
98 504 1
134 504 1
16 504 1
75 504 1
129 505 1
265 505 1
35 505 1
105 505 1
215 505 1
19 505 1
44 505 1
129 506 1
209 506 1
192 506 1
50 506 1
35 506 1
60 506 1
10 506 1
266 506 1
88 506 1
238 506 1
139 506 1
117 506 1
267 506 1
199 506 1
211 506 1
96 506 1
214 506 1
104 506 1
190 506 1
45 506 1
59 506 1
83 506 1
9 506 1
20 506 1
197 506 1
115 506 1
25 506 1
30 506 1
13 506 1
121 506 1
54 506 1
260 506 1
124 506 1
268 506 1
269 506 1
212 506 1
12 506 1
126 506 1
43 506 1
127 506 1
203 506 1
8 506 1
152 506 1
129 507 1
46 507 1
87 507 1
171 507 1
167 507 1
242 507 1
194 507 1
7 507 1
39 507 1
147 507 1
62 508 1
137 508 1
225 508 1
36 508 1
270 508 1
37 508 1
110 508 1
84 508 1
271 508 1
25 508 1
69 508 1
157 508 1
231 508 1
118 509 1
272 509 1
273 509 1
108 509 1
43 509 1
129 510 1
178 510 1
46 510 1
274 510 1
275 510 1
42 510 1
99 510 1
87 510 1
170 510 1
276 510 1
181 510 1
166 510 1
171 510 1
277 510 1
278 510 1
167 510 1
185 510 1
122 510 1
205 510 1
33 510 1
194 510 1
243 510 1
216 510 1
96 510 1
37 510 1
7 510 1
190 510 1
221 510 1
279 510 1
130 510 1
280 510 1
281 510 1
34 510 1
83 510 1
84 510 1
282 510 1
61 510 1
197 510 1
31 510 1
115 510 1
283 510 1
27 510 1
89 510 1
253 510 1
254 510 1
101 510 1
198 510 1
142 510 1
193 510 1
157 510 1
13 510 1
284 510 1
146 510 1
285 510 1
47 510 1
286 510 1
147 510 1
150 510 1
189 510 1
97 510 1
287 510 1
57 511 1
288 511 1
107 511 1
38 511 1
28 511 1
108 511 1
56 511 1
77 511 1
78 511 1
23 511 1
289 511 1
253 511 1
228 511 1
40 511 1
71 511 1
57 512 1
107 512 1
108 512 1
110 512 1
57 513 1
42 513 1
66 513 1
210 513 1
28 513 1
290 513 1
82 514 1
105 515 1
7 515 1
82 516 1
0 516 1
222 516 1
15 517 1
6 517 1
108 518 1
40 518 1
57 519 1
45 519 1
55 520 1
135 520 1
82 521 1
3 521 1
224 521 1
291 521 1
26 521 1
117 521 1
41 521 1
141 521 1
118 521 1
200 521 1
32 521 1
11 521 1
72 521 1
53 521 1
161 521 1
28 521 1
29 521 1
214 521 1
104 521 1
292 521 1
45 521 1
246 521 1
20 521 1
293 521 1
197 521 1
115 521 1
294 521 1
44 521 1
30 521 1
121 521 1
260 521 1
212 521 1
126 521 1
295 521 1
8 521 1
18 522 1
87 522 1
137 522 1
37 522 1
195 522 1
98 522 1
84 522 1
271 522 1
0 523 1
296 523 1
45 523 1
220 523 1
121 523 1
129 524 1
297 524 1
18 524 1
0 524 1
273 524 1
98 524 1
19 524 1
39 524 1
57 525 1
56 525 1
43 525 1
0 526 1
222 526 1
3 527 1
18 527 1
137 527 1
28 527 1
84 527 1
25 527 1
39 527 1
157 527 1
298 527 1
299 527 1
22 528 1
300 529 1
35 529 1
87 529 1
166 529 1
91 529 1
194 529 1
7 529 1
168 529 1
148 529 1
263 529 1
82 530 1
42 530 1
60 530 1
66 530 1
137 530 1
225 530 1
211 530 1
273 530 1
73 530 1
214 530 1
108 530 1
19 530 1
34 530 1
59 530 1
78 530 1
115 530 1
25 530 1
27 530 1
69 530 1
157 530 1
93 530 1
285 530 1
164 530 1
203 530 1
75 530 1
55 531 1
86 531 1
40 531 1
57 532 1
272 532 1
28 532 1
108 532 1
43 532 1
57 533 1
99 533 1
267 533 1
96 534 1
87 535 1
7 535 1
168 535 1
196 535 1
148 536 1
82 537 1
55 537 1
57 537 1
114 537 1
87 537 1
210 537 1
276 537 1
225 537 1
118 537 1
32 537 1
159 537 1
72 537 1
301 537 1
202 537 1
240 537 1
288 537 1
36 537 1
5 537 1
76 537 1
29 537 1
204 537 1
98 537 1
2 537 1
56 537 1
246 537 1
134 537 1
83 537 1
84 537 1
61 537 1
290 537 1
65 537 1
115 537 1
40 537 1
69 537 1
157 537 1
30 537 1
71 537 1
121 537 1
302 537 1
232 537 1
43 537 1
148 537 1
8 537 1
222 538 1
82 539 1
3 539 1
55 539 1
57 539 1
60 539 1
303 539 1
26 539 1
122 539 1
52 539 1
11 539 1
72 539 1
53 539 1
161 539 1
272 539 1
103 539 1
5 539 1
28 539 1
214 539 1
108 539 1
110 539 1
153 539 1
45 539 1
19 539 1
77 539 1
58 539 1
59 539 1
83 539 1
78 539 1
63 539 1
64 539 1
235 539 1
228 539 1
44 539 1
40 539 1
70 539 1
4 539 1
123 539 1
232 539 1
95 539 1
43 539 1
35 540 1
116 540 1
100 540 1
141 540 1
118 540 1
158 540 1
32 540 1
72 540 1
53 540 1
161 540 1
103 540 1
5 540 1
29 540 1
214 540 1
104 540 1
221 540 1
226 540 1
