4428 28645
0 138 1
1 138 1
2 139 1
3 139 1
4 140 1
5 141 1
6 142 1
7 142 1
8 142 1
9 142 1
10 142 1
11 143 1
12 143 1
13 144 1
12 145 1
14 145 1
15 145 1
16 145 1
12 146 1
1 147 1
17 147 1
18 147 1
19 147 1
20 147 1
21 147 1
16 147 1
22 147 1
23 147 1
24 148 1
25 148 1
26 148 1
27 148 1
28 148 1
2 149 1
3 149 1
12 149 1
14 149 1
15 149 1
4 149 1
29 150 1
15 150 1
22 150 1
30 150 1
31 151 1
32 151 1
20 151 1
29 151 1
33 151 1
34 151 1
26 152 1
35 152 1
36 152 1
37 153 1
32 154 1
37 154 1
17 154 1
19 154 1
38 154 1
39 154 1
40 154 1
16 154 1
41 154 1
22 154 1
42 154 1
0 155 1
43 155 1
25 156 1
44 156 1
4 157 1
12 158 1
45 159 1
46 159 1
47 160 1
13 160 1
14 160 1
21 160 1
48 160 1
49 160 1
50 160 1
46 160 1
4 160 1
51 160 1
9 160 1
52 160 1
53 160 1
33 161 1
34 161 1
7 162 1
54 162 1
55 162 1
56 162 1
13 162 1
57 162 1
0 162 1
35 162 1
58 162 1
6 162 1
50 162 1
46 162 1
4 162 1
51 162 1
59 162 1
34 162 1
60 162 1
56 163 1
24 163 1
13 163 1
61 163 1
4 163 1
23 163 1
37 164 1
15 164 1
29 165 1
22 165 1
26 166 1
62 166 1
31 167 1
26 167 1
41 167 1
63 167 1
64 168 1
35 168 1
65 168 1
66 168 1
29 169 1
22 169 1
30 169 1
1 170 1
67 170 1
19 170 1
13 170 1
26 170 1
2 170 1
3 170 1
68 170 1
69 170 1
33 170 1
15 170 1
22 170 1
70 170 1
34 170 1
32 170 1
37 170 1
17 170 1
10 170 1
21 170 1
39 170 1
50 170 1
71 170 1
8 170 1
4 170 1
51 170 1
72 170 1
23 170 1
66 170 1
26 171 1
29 172 1
1 173 1
3 173 1
11 173 1
70 173 1
16 173 1
0 174 1
26 174 1
2 174 1
68 174 1
33 174 1
73 174 1
74 174 1
11 174 1
62 174 1
53 174 1
59 174 1
34 174 1
31 174 1
32 174 1
75 174 1
17 174 1
24 174 1
76 174 1
77 174 1
40 174 1
71 174 1
41 174 1
36 174 1
66 174 1
64 175 1
56 176 1
78 176 1
26 176 1
2 176 1
79 176 1
62 176 1
53 176 1
17 176 1
16 176 1
55 177 1
13 177 1
25 177 1
74 177 1
12 177 1
36 177 1
19 178 1
68 178 1
80 178 1
11 178 1
31 178 1
24 178 1
81 178 1
21 178 1
39 178 1
71 178 1
30 179 1
55 180 1
47 180 1
13 180 1
25 180 1
44 180 1
49 180 1
33 180 1
6 180 1
63 180 1
11 180 1
53 180 1
7 180 1
54 180 1
24 180 1
18 180 1
27 180 1
76 180 1
61 180 1
58 180 1
39 180 1
82 180 1
83 180 1
36 180 1
52 180 1
30 181 1
76 181 1
30 182 1
31 182 1
57 183 1
0 184 1
57 184 1
83 184 1
66 184 1
30 185 1
1 186 1
62 186 1
34 186 1
25 187 1
11 187 1
59 187 1
24 187 1
81 187 1
84 188 1
65 188 1
12 189 1
66 190 1
1 191 1
24 191 1
12 191 1
39 191 1
85 191 1
86 191 1
25 192 1
28 192 1
87 192 1
50 192 1
43 192 1
68 193 1
22 193 1
62 193 1
30 193 1
17 193 1
21 193 1
39 193 1
82 193 1
30 194 1
79 195 1
25 196 1
43 196 1
60 196 1
25 197 1
68 197 1
73 197 1
24 197 1
18 197 1
20 197 1
21 197 1
39 197 1
8 197 1
23 197 1
66 198 1
1 199 1
33 199 1
15 199 1
62 199 1
30 199 1
31 199 1
37 199 1
17 199 1
2 200 1
62 200 1
37 200 1
23 201 1
55 202 1
45 202 1
13 202 1
25 202 1
44 202 1
28 202 1
74 202 1
87 202 1
54 202 1
58 202 1
43 202 1
36 202 1
47 203 1
44 203 1
49 203 1
12 203 1
62 204 1
31 204 1
17 204 1
16 204 1
4 205 1
35 206 1
13 207 1
74 207 1
87 207 1
54 207 1
57 207 1
52 207 1
60 207 1
65 208 1
1 209 1
73 209 1
11 210 1
12 210 1
25 211 1
28 211 1
61 211 1
64 212 1
65 212 1
12 212 1
12 213 1
64 214 1
26 214 1
2 214 1
3 214 1
69 214 1
62 214 1
70 214 1
34 214 1
7 214 1
17 214 1
88 214 1
4 214 1
23 214 1
34 215 1
32 215 1
17 215 1
89 216 1
55 216 1
67 216 1
13 216 1
44 216 1
2 216 1
3 216 1
68 216 1
69 216 1
90 216 1
6 216 1
87 216 1
70 216 1
34 216 1
7 216 1
37 216 1
24 216 1
18 216 1
57 216 1
91 216 1
76 216 1
38 216 1
61 216 1
14 216 1
21 216 1
39 216 1
82 216 1
8 216 1
92 216 1
41 216 1
23 216 1
4 217 1
35 218 1
21 219 1
93 219 1
94 220 1
73 221 1
11 221 1
37 221 1
4 222 1
42 222 1
22 223 1
41 223 1
36 223 1
5 223 1
2 224 1
12 224 1
21 224 1
39 224 1
62 225 1
70 225 1
17 225 1
30 226 1
24 226 1
12 226 1
26 227 1
48 227 1
33 227 1
34 227 1
8 227 1
52 227 1
23 227 1
66 227 1
19 228 1
48 228 1
62 228 1
37 228 1
24 228 1
81 228 1
8 228 1
85 228 1
23 228 1
28 229 1
24 229 1
15 230 1
74 230 1
53 230 1
25 231 1
44 231 1
28 231 1
36 231 1
28 232 1
74 232 1
76 232 1
95 232 1
36 232 1
23 233 1
12 234 1
26 235 1
12 235 1
26 236 1
12 236 1
55 237 1
47 237 1
13 237 1
25 237 1
35 237 1
49 237 1
33 237 1
28 237 1
74 237 1
63 237 1
53 237 1
61 237 1
43 237 1
36 237 1
52 237 1
73 238 1
30 238 1
16 238 1
1 239 1
55 239 1
13 239 1
35 239 1
15 239 1
74 239 1
62 239 1
53 239 1
70 239 1
32 239 1
17 239 1
20 239 1
96 239 1
91 239 1
27 239 1
76 239 1
39 239 1
40 239 1
43 239 1
8 239 1
1 240 1
73 240 1
11 240 1
59 240 1
31 240 1
24 240 1
18 240 1
12 240 1
93 240 1
16 240 1
