6471 148320
0 616 1
1 616 1
2 616 1
3 617 1
4 617 1
5 617 1
6 617 1
7 617 1
8 617 1
9 617 1
10 617 1
11 617 1
12 617 1
13 617 1
14 617 1
15 617 1
16 617 1
17 617 1
18 618 1
19 618 1
20 618 1
21 618 1
22 618 1
23 618 1
24 618 1
25 618 1
26 618 1
27 618 1
28 618 1
29 618 1
30 618 1
31 618 1
32 618 1
33 618 1
10 618 1
34 618 1
35 618 1
36 618 1
37 618 1
38 618 1
39 618 1
40 618 1
41 618 1
42 618 1
43 619 1
2 619 1
6 619 1
44 619 1
45 619 1
46 619 1
47 619 1
48 619 1
49 619 1
50 619 1
51 619 1
52 619 1
53 619 1
54 619 1
55 619 1
56 619 1
57 619 1
0 619 1
58 619 1
59 619 1
60 619 1
9 620 1
61 621 1
62 621 1
63 621 1
14 621 1
64 621 1
65 621 1
66 621 1
67 621 1
68 621 1
69 621 1
3 621 1
70 621 1
7 621 1
71 621 1
10 621 1
54 621 1
55 621 1
72 621 1
73 621 1
12 621 1
74 621 1
37 621 1
75 622 1
30 622 1
76 622 1
77 622 1
52 622 1
78 622 1
79 623 1
80 623 1
4 623 1
43 623 1
81 623 1
8 623 1
82 623 1
83 623 1
84 623 1
85 623 1
86 623 1
87 623 1
11 623 1
88 623 1
89 623 1
90 623 1
30 623 1
3 623 1
91 623 1
92 623 1
93 623 1
5 623 1
94 623 1
95 623 1
53 623 1
96 623 1
97 623 1
56 623 1
98 623 1
0 623 1
99 623 1
100 623 1
101 623 1
59 623 1
37 623 1
60 623 1
102 623 1
103 623 1
104 623 1
105 623 1
106 623 1
107 623 1
2 623 1
108 623 1
109 623 1
62 623 1
110 623 1
111 623 1
64 623 1
112 623 1
113 623 1
114 623 1
115 623 1
116 623 1
117 623 1
118 623 1
71 623 1
119 623 1
57 623 1
120 623 1
121 623 1
122 623 1
123 623 1
124 623 1
6 624 1
125 624 1
126 624 1
56 624 1
127 624 1
107 624 1
64 624 1
128 624 1
118 624 1
129 624 1
130 624 1
17 624 1
131 625 1
8 626 1
132 626 1
95 626 1
133 626 1
134 626 1
135 626 1
136 626 1
137 626 1
138 626 1
139 626 1
140 626 1
141 626 1
124 626 1
142 627 1
143 627 1
144 627 1
145 627 1
142 628 1
146 628 1
82 628 1
147 628 1
148 628 1
149 628 1
150 628 1
151 628 1
54 628 1
9 628 1
109 628 1
62 628 1
45 628 1
152 628 1
13 628 1
153 629 1
146 629 1
147 629 1
154 629 1
155 629 1
143 629 1
156 629 1
150 629 1
151 629 1
157 629 1
54 629 1
158 629 1
159 629 1
160 630 1
161 630 1
162 630 1
163 630 1
4 630 1
164 630 1
165 630 1
166 630 1
14 630 1
89 630 1
65 630 1
66 630 1
30 630 1
167 630 1
168 630 1
169 630 1
92 630 1
170 630 1
171 630 1
172 630 1
173 630 1
174 630 1
94 630 1
175 630 1
176 630 1
177 630 1
101 630 1
37 630 1
178 630 1
102 630 1
179 630 1
103 630 1
180 630 1
21 630 1
181 630 1
135 630 1
182 630 1
131 630 1
183 630 1
184 630 1
185 630 1
186 630 1
187 630 1
188 630 1
137 630 1
31 630 1
116 630 1
189 630 1
190 630 1
191 630 1
192 630 1
193 630 1
194 630 1
195 630 1
196 630 1
197 630 1
139 630 1
119 630 1
198 630 1
72 630 1
199 630 1
140 630 1
200 630 1
201 630 1
141 630 1
202 630 1
203 630 1
204 630 1
205 630 1
206 630 1
124 630 1
20 631 1
8 631 1
207 631 1
208 631 1
209 631 1
14 631 1
89 631 1
210 631 1
211 631 1
212 631 1
65 631 1
66 631 1
125 631 1
3 631 1
213 631 1
214 631 1
5 631 1
94 631 1
52 631 1
133 631 1
215 631 1
54 631 1
55 631 1
216 631 1
38 631 1
103 631 1
217 631 1
41 631 1
2 631 1
111 631 1
114 631 1
33 631 1
218 631 1
219 631 1
7 631 1
220 631 1
119 631 1
221 631 1
222 631 1
73 631 1
12 631 1
223 631 1
140 631 1
205 631 1
163 632 1
6 632 1
224 632 1
225 632 1
88 632 1
66 632 1
67 632 1
92 632 1
95 632 1
215 632 1
55 632 1
98 632 1
177 632 1
226 632 1
102 632 1
180 632 1
27 632 1
189 632 1
159 632 1
196 632 1
197 632 1
119 632 1
72 632 1
121 632 1
13 632 1
200 632 1
163 633 1
132 633 1
98 633 1
227 633 1
65 634 1
103 634 1
137 634 1
79 635 1
4 635 1
143 635 1
14 635 1
90 635 1
30 635 1
228 635 1
229 635 1
230 635 1
231 635 1
56 635 1
232 635 1
216 635 1
41 635 1
233 635 1
136 635 1
9 635 1
27 635 1
234 635 1
235 635 1
188 635 1
236 635 1
76 635 1
193 635 1
118 635 1
218 635 1
219 635 1
237 635 1
7 635 1
222 635 1
73 635 1
121 635 1
13 635 1
122 635 1
130 635 1
124 635 1
160 636 1
161 636 1
79 636 1
164 636 1
6 636 1
8 636 1
132 636 1
238 636 1
155 636 1
89 636 1
65 636 1
90 636 1
156 636 1
239 636 1
149 636 1
240 636 1
214 636 1
174 636 1
93 636 1
241 636 1
133 636 1
175 636 1
242 636 1
243 636 1
244 636 1
177 636 1
99 636 1
101 636 1
245 636 1
38 636 1
178 636 1
246 636 1
102 636 1
179 636 1
180 636 1
247 636 1
21 636 1
181 636 1
107 636 1
135 636 1
9 636 1
186 636 1
188 636 1
31 636 1
114 636 1
116 636 1
189 636 1
193 636 1
194 636 1
196 636 1
197 636 1
139 636 1
119 636 1
222 636 1
72 636 1
73 636 1
120 636 1
199 636 1
121 636 1
248 636 1
122 636 1
249 636 1
206 636 1
142 637 1
86 637 1
212 637 1
5 637 1
51 637 1
231 637 1
54 637 1
144 637 1
56 637 1
59 637 1
247 637 1
250 637 1
19 637 1
109 637 1
251 637 1
47 637 1
252 637 1
50 637 1
81 638 1
208 638 1
30 638 1
95 638 1
176 638 1
98 638 1
226 638 1
216 638 1
107 638 1
184 638 1
137 638 1
236 638 1
218 638 1
121 638 1
253 639 1
254 639 1
255 639 1
256 639 1
43 639 1
257 639 1
85 639 1
87 639 1
258 639 1
148 639 1
166 639 1
259 639 1
260 639 1
210 639 1
212 639 1
261 639 1
150 639 1
68 639 1
262 639 1
48 639 1
157 639 1
263 639 1
230 639 1
5 639 1
264 639 1
53 639 1
96 639 1
265 639 1
97 639 1
144 639 1
177 639 1
134 639 1
266 639 1
267 639 1
60 639 1
268 639 1
246 639 1
269 639 1
270 639 1
217 639 1
271 639 1
180 639 1
272 639 1
273 639 1
274 639 1
275 639 1
276 639 1
277 639 1
107 639 1
1 639 1
278 639 1
2 639 1
279 639 1
109 639 1
280 639 1
184 639 1
281 639 1
282 639 1
158 639 1
47 639 1
128 639 1
283 639 1
284 639 1
285 639 1
286 639 1
287 639 1
288 639 1
289 639 1
7 639 1
139 639 1
71 639 1
290 639 1
220 639 1
291 639 1
57 639 1
12 639 1
152 639 1
140 639 1
292 639 1
293 639 1
58 639 1
13 639 1
130 639 1
294 639 1
295 639 1
6 640 1
100 640 1
296 640 1
110 640 1
114 640 1
115 640 1
67 641 1
5 641 1
54 641 1
100 641 1
297 641 1
296 641 1
112 641 1
115 641 1
117 641 1
220 641 1
17 641 1
14 642 1
168 642 1
169 642 1
92 642 1
41 642 1
298 642 1
114 642 1
193 642 1
196 642 1
55 643 1
299 643 1
62 643 1
138 643 1
6 644 1
300 644 1
301 644 1
154 644 1
46 644 1
302 644 1
303 644 1
115 644 1
304 644 1
50 644 1
194 644 1
20 645 1
167 645 1
51 645 1
54 645 1
305 645 1
220 645 1
57 645 1
122 645 1
18 646 1
160 646 1
161 646 1
306 646 1
4 646 1
224 646 1
88 646 1
154 646 1
3 646 1
168 646 1
169 646 1
92 646 1
171 646 1
174 646 1
5 646 1
307 646 1
51 646 1
308 646 1
53 646 1
55 646 1
242 646 1
0 646 1
100 646 1
101 646 1
60 646 1
296 646 1
309 646 1
106 646 1
21 646 1
181 646 1
24 646 1
182 646 1
186 646 1
310 646 1
116 646 1
304 646 1
191 646 1
192 646 1
50 646 1
57 646 1
73 646 1
200 646 1
311 646 1
206 646 1
306 647 1
79 647 1
255 647 1
146 647 1
6 647 1
312 647 1
207 647 1
85 647 1
143 647 1
259 647 1
14 647 1
212 647 1
46 647 1
151 647 1
49 647 1
52 647 1
231 647 1
96 647 1
55 647 1
56 647 1
266 647 1
268 647 1
313 647 1
41 647 1
302 647 1
276 647 1
278 647 1
136 647 1
109 647 1
158 647 1
47 647 1
285 647 1
159 647 1
118 647 1
7 647 1
71 647 1
291 647 1
74 647 1
140 647 1
58 647 1
13 647 1
122 647 1
130 647 1
39 647 1
43 648 1
224 648 1
314 648 1
312 648 1
85 648 1
301 648 1
315 648 1
316 648 1
317 648 1
150 648 1
5 648 1
52 648 1
231 648 1
308 648 1
55 648 1
318 648 1
244 648 1
0 648 1
99 648 1
305 648 1
60 648 1
178 648 1
319 648 1
320 648 1
321 648 1
279 648 1
109 648 1
63 648 1
113 648 1
47 648 1
283 648 1
117 648 1
33 648 1
50 648 1
322 648 1
323 648 1
220 648 1
324 648 1
12 648 1
36 648 1
325 648 1
130 648 1
326 648 1
79 649 1
163 649 1
81 649 1
85 649 1
301 649 1
316 649 1
317 649 1
212 649 1
65 649 1
156 649 1
327 649 1
167 649 1
48 649 1
92 649 1
229 649 1
95 649 1
231 649 1
144 649 1
243 649 1
177 649 1
216 649 1
270 649 1
328 649 1
21 649 1
181 649 1
329 649 1
109 649 1
184 649 1
186 649 1
158 649 1
47 649 1
137 649 1
192 649 1
193 649 1
196 649 1
330 649 1
73 649 1
121 649 1
58 649 1
13 649 1
122 649 1
130 649 1
17 649 1
326 649 1
331 650 1
259 650 1
263 650 1
231 650 1
53 650 1
96 650 1
60 650 1
269 650 1
277 650 1
47 650 1
117 650 1
285 650 1
57 650 1
122 650 1
130 650 1
39 650 1
146 651 1
23 651 1
312 651 1
25 651 1
143 651 1
259 651 1
212 651 1
150 651 1
151 651 1
125 651 1
332 651 1
157 651 1
5 651 1
333 651 1
52 651 1
231 651 1
10 651 1
96 651 1
55 651 1
56 651 1
318 651 1
334 651 1
127 651 1
266 651 1
60 651 1
335 651 1
313 651 1
274 651 1
277 651 1
1 651 1
336 651 1
2 651 1
136 651 1
64 651 1
45 651 1
282 651 1
69 651 1
47 651 1
285 651 1
286 651 1
118 651 1
71 651 1
57 651 1
12 651 1
74 651 1
293 651 1
130 651 1
142 652 1
143 652 1
157 652 1
37 652 1
271 652 1
188 652 1
137 652 1
195 652 1
239 653 1
228 653 1
92 653 1
337 653 1
95 653 1
185 653 1
310 653 1
338 653 1
140 653 1
141 653 1
204 653 1
25 654 1
11 654 1
88 654 1
90 654 1
33 654 1
339 654 1
142 655 1
340 655 1
4 655 1
81 655 1
208 655 1
132 655 1
238 655 1
166 655 1
89 655 1
211 655 1
30 655 1
149 655 1
341 655 1
327 655 1
228 655 1
92 655 1
171 655 1
230 655 1
95 655 1
133 655 1
175 655 1
243 655 1
98 655 1
177 655 1
226 655 1
342 655 1
101 655 1
37 655 1
102 655 1
103 655 1
180 655 1
41 655 1
343 655 1
233 655 1
107 655 1
135 655 1
9 655 1
344 655 1
345 655 1
186 655 1
346 655 1
347 655 1
137 655 1
114 655 1
116 655 1
193 655 1
348 655 1
194 655 1
196 655 1
139 655 1
349 655 1
119 655 1
222 655 1
120 655 1
199 655 1
350 655 1
121 655 1
223 655 1
140 655 1
200 655 1
248 655 1
351 655 1
352 655 1
204 655 1
205 655 1
206 655 1
353 655 1
147 656 1
151 656 1
158 656 1
61 657 1
88 657 1
89 657 1
65 657 1
66 657 1
125 657 1
5 657 1
354 657 1
175 657 1
55 657 1
242 657 1
135 657 1
69 657 1
137 657 1
31 657 1
114 657 1
284 657 1
118 657 1
220 657 1
119 657 1
39 657 1
204 657 1
124 657 1
355 658 1
356 658 1
306 658 1
79 658 1
153 658 1
255 658 1
357 658 1
23 658 1
43 658 1
6 658 1
358 658 1
359 658 1
312 658 1
82 658 1
257 658 1
147 658 1
85 658 1
360 658 1
86 658 1
301 658 1
87 658 1
258 658 1
154 658 1
260 658 1
210 658 1
261 658 1
90 658 1
46 658 1
150 658 1
68 658 1
151 658 1
361 658 1
332 658 1
91 658 1
263 658 1
362 658 1
5 658 1
363 658 1
354 658 1
51 658 1
364 658 1
264 658 1
333 658 1
52 658 1
231 658 1
365 658 1
96 658 1
54 658 1
242 658 1
265 658 1
97 658 1
144 658 1
56 658 1
244 658 1
0 658 1
99 658 1
100 658 1
134 658 1
334 658 1
59 658 1
266 658 1
267 658 1
366 658 1
60 658 1
270 658 1
217 658 1
297 658 1
335 658 1
367 658 1
319 658 1
368 658 1
273 658 1
369 658 1
370 658 1
371 658 1
275 658 1
302 658 1
372 658 1
373 658 1
107 658 1
24 658 1
1 658 1
374 658 1
336 658 1
278 658 1
2 658 1
108 658 1
44 658 1
375 658 1
109 658 1
376 658 1
280 658 1
251 658 1
377 658 1
378 658 1
112 658 1
158 658 1
113 658 1
69 658 1
310 658 1
283 658 1
117 658 1
285 658 1
304 658 1
379 658 1
252 658 1
286 658 1
380 658 1
381 658 1
288 658 1
50 658 1
