6686 159087
0 777 1
1 777 1
2 777 1
3 777 1
4 778 1
5 778 1
6 778 1
7 778 1
8 778 1
9 778 1
10 778 1
11 778 1
12 778 1
13 778 1
14 778 1
15 778 1
16 778 1
17 778 1
18 778 1
19 778 1
20 778 1
21 778 1
22 779 1
23 779 1
24 780 1
25 780 1
26 780 1
27 780 1
28 780 1
29 780 1
30 780 1
31 780 1
32 780 1
33 780 1
34 780 1
35 780 1
36 780 1
37 780 1
38 780 1
39 780 1
40 780 1
41 780 1
42 780 1
43 780 1
44 780 1
45 780 1
46 780 1
47 780 1
48 780 1
49 780 1
50 780 1
51 780 1
52 780 1
53 780 1
54 780 1
55 780 1
56 780 1
57 781 1
2 781 1
10 781 1
58 781 1
59 781 1
60 781 1
61 781 1
62 781 1
63 781 1
64 781 1
65 781 1
66 781 1
67 781 1
68 781 1
0 781 1
69 781 1
70 781 1
71 782 1
24 783 1
72 783 1
73 783 1
74 783 1
75 783 1
76 783 1
17 783 1
77 783 1
78 783 1
79 783 1
80 783 1
81 783 1
4 783 1
82 783 1
11 783 1
83 783 1
47 783 1
66 783 1
84 783 1
85 783 1
14 783 1
86 783 1
52 783 1
87 783 1
88 783 1
71 784 1
35 784 1
89 784 1
3 784 1
90 784 1
38 784 1
91 784 1
92 784 1
65 784 1
47 784 1
93 784 1
94 784 1
95 785 1
96 785 1
57 785 1
97 785 1
98 785 1
99 785 1
100 785 1
101 785 1
102 785 1
13 785 1
103 785 1
104 785 1
3 785 1
38 785 1
4 785 1
105 785 1
9 785 1
106 785 1
107 785 1
67 785 1
0 785 1
108 785 1
109 785 1
70 785 1
110 785 1
111 785 1
112 785 1
8 785 1
2 785 1
113 785 1
73 785 1
114 785 1
77 785 1
115 785 1
116 785 1
117 785 1
118 785 1
119 785 1
120 785 1
83 785 1
121 785 1
68 785 1
122 785 1
10 786 1
123 786 1
43 786 1
124 786 1
67 786 1
125 786 1
77 786 1
126 786 1
42 786 1
120 786 1
127 786 1
128 786 1
129 786 1
20 786 1
130 787 1
131 787 1
132 787 1
23 787 1
133 787 1
134 787 1
135 788 1
136 788 1
137 789 1
7 789 1
138 789 1
139 789 1
98 789 1
140 789 1
141 789 1
142 789 1
89 789 1
143 789 1
144 789 1
145 789 1
146 789 1
147 789 1
148 789 1
149 789 1
150 789 1
151 789 1
152 789 1
46 789 1
66 789 1
87 789 1
153 789 1
154 789 1
155 789 1
156 789 1
22 789 1
157 789 1
73 789 1
59 789 1
158 789 1
159 789 1
160 789 1
161 789 1
162 789 1
163 789 1
164 790 1
137 790 1
140 790 1
104 790 1
165 790 1
166 790 1
135 790 1
167 790 1
144 790 1
145 790 1
168 790 1
66 790 1
169 790 1
170 790 1
171 791 1
172 791 1
173 791 1
174 791 1
17 791 1
175 791 1
89 791 1
78 791 1
38 791 1
176 791 1
177 791 1
94 791 1
178 791 1
27 791 1
179 791 1
180 791 1
181 791 1
182 791 1
183 791 1
119 791 1
184 791 1
185 791 1
186 791 1
84 791 1
160 791 1
15 791 1
52 791 1
134 791 1
187 791 1
188 791 1
189 791 1
26 792 1
190 792 1
191 792 1
17 792 1
192 792 1
193 792 1
194 792 1
195 792 1
78 792 1
123 792 1
4 792 1
148 792 1
9 792 1
65 792 1
196 792 1
130 792 1
66 792 1
197 792 1
153 792 1
55 792 1
24 792 1
198 792 1
8 792 1
2 792 1
114 792 1
199 792 1
117 792 1
41 792 1
11 792 1
200 792 1
85 792 1
14 792 1
162 792 1
163 792 1
16 792 1
201 792 1
134 792 1
188 792 1
173 793 1
10 793 1
202 793 1
139 793 1
103 793 1
165 793 1
142 793 1
79 793 1
148 793 1
5 793 1
203 793 1
178 793 1
204 793 1
156 793 1
185 793 1
205 793 1
158 793 1
170 793 1
186 793 1
84 793 1
50 793 1
206 793 1
173 794 1
207 794 1
78 795 1
208 796 1
95 796 1
209 796 1
6 796 1
210 796 1
135 796 1
76 796 1
17 796 1
38 796 1
211 796 1
212 796 1
149 796 1
5 796 1
150 796 1
213 796 1
214 796 1
46 796 1
47 796 1
67 796 1
215 796 1
88 796 1
216 796 1
55 796 1
217 796 1
24 796 1
204 796 1
218 796 1
219 796 1
8 796 1
157 796 1
132 796 1
220 796 1
221 796 1
222 796 1
223 796 1
91 796 1
120 796 1
224 796 1
11 796 1
225 796 1
85 796 1
163 796 1
16 796 1
52 796 1
129 796 1
188 796 1
226 797 1
227 797 1
228 797 1
171 797 1
172 797 1
95 797 1
10 797 1
229 797 1
230 797 1
231 797 1
104 797 1
232 797 1
233 797 1
89 797 1
78 797 1
3 797 1
167 797 1
143 797 1
176 797 1
203 797 1
234 797 1
130 797 1
47 797 1
235 797 1
236 797 1
237 797 1
108 797 1
238 797 1
239 797 1
240 797 1
241 797 1
242 797 1
178 797 1
27 797 1
243 797 1
244 797 1
182 797 1
245 797 1
23 797 1
117 797 1
119 797 1
185 797 1
246 797 1
44 797 1
247 797 1
186 797 1
248 797 1
249 797 1
84 797 1
85 797 1
162 797 1
163 797 1
250 797 1
188 797 1
251 797 1
101 798 1
194 798 1
9 798 1
64 798 1
66 798 1
67 798 1
70 798 1
252 798 1
25 798 1
253 798 1
254 798 1
63 798 1
138 799 1
97 799 1
38 799 1
152 799 1
223 799 1
255 800 1
256 800 1
257 800 1
258 800 1
57 800 1
259 800 1
260 800 1
100 800 1
102 800 1
261 800 1
174 800 1
262 800 1
263 800 1
192 800 1
194 800 1
264 800 1
144 800 1
80 800 1
147 800 1
265 800 1
61 800 1
168 800 1
266 800 1
213 800 1
9 800 1
151 800 1
267 800 1
268 800 1
47 800 1
106 800 1
269 800 1
107 800 1
131 800 1
270 800 1
271 800 1
272 800 1
273 800 1
240 800 1
274 800 1
275 800 1
197 800 1
276 800 1
178 800 1
277 800 1
278 800 1
279 800 1
280 800 1
281 800 1
282 800 1
283 800 1
284 800 1
1 800 1
285 800 1
286 800 1
2 800 1
287 800 1
288 800 1
289 800 1
290 800 1
126 800 1
291 800 1
292 800 1
293 800 1
294 800 1
295 800 1
158 800 1
42 800 1
296 800 1
297 800 1
298 800 1
299 800 1
300 800 1
11 800 1
83 800 1
301 800 1
225 800 1
302 800 1
68 800 1
14 800 1
160 800 1
161 800 1
16 800 1
134 800 1
303 800 1
304 800 1
69 800 1
129 800 1
305 800 1
306 800 1
226 801 1
10 801 1
109 801 1
307 801 1
308 801 1
117 801 1
118 801 1
227 802 1
309 802 1
79 802 1
9 802 1
310 802 1
66 802 1
109 802 1
311 802 1
308 802 1
115 802 1
118 802 1
15 802 1
20 802 1
309 803 1
312 803 1
17 803 1
313 803 1
55 803 1
24 803 1
314 803 1
117 803 1
186 803 1
315 803 1
316 804 1
73 804 1
133 804 1
10 805 1
317 805 1
318 805 1
104 805 1
166 805 1
60 805 1
319 805 1
320 805 1
118 805 1
321 805 1
63 805 1
227 806 1
26 806 1
139 806 1
12 806 1
89 806 1
3 806 1
177 806 1
64 806 1
66 806 1
322 806 1
68 806 1
227 807 1
309 807 1
171 807 1
172 807 1
323 807 1
229 807 1
202 807 1
12 807 1
324 807 1
103 807 1
104 807 1
166 807 1
76 807 1
89 807 1
195 807 1
211 807 1
176 807 1
4 807 1
148 807 1
5 807 1
313 807 1
203 807 1
9 807 1
325 807 1
64 807 1
326 807 1
45 807 1
327 807 1
47 807 1
235 807 1
237 807 1
0 807 1
328 807 1
109 807 1
238 807 1
329 807 1
307 807 1
154 807 1
330 807 1
331 807 1
308 807 1
332 807 1
112 807 1
27 807 1
30 807 1
333 807 1
22 807 1
179 807 1
182 807 1
334 807 1
335 807 1
23 807 1
119 807 1
321 807 1
205 807 1
63 807 1
336 807 1
249 807 1
337 807 1
68 807 1
85 807 1
15 807 1
163 807 1
251 807 1
338 807 1
323 808 1
95 808 1
257 808 1
137 808 1
10 808 1
339 808 1
190 808 1
100 808 1
135 808 1
262 808 1
17 808 1
194 808 1
3 808 1
60 808 1
145 808 1
62 808 1
203 808 1
65 808 1
