6401 150218
0 579 1
1 580 1
2 580 1
3 580 1
4 580 1
5 580 1
6 580 1
7 580 1
8 580 1
9 580 1
10 580 1
11 580 1
12 580 1
13 580 1
14 580 1
15 580 1
16 580 1
17 580 1
18 580 1
19 580 1
20 581 1
21 581 1
22 582 1
23 582 1
24 582 1
25 582 1
26 582 1
27 582 1
28 582 1
29 582 1
30 582 1
31 582 1
32 582 1
33 582 1
34 582 1
35 582 1
36 582 1
37 582 1
38 582 1
39 582 1
40 582 1
41 582 1
42 582 1
43 582 1
44 582 1
45 582 1
46 583 1
47 584 1
12 584 1
37 584 1
23 585 1
8 585 1
9 585 1
48 585 1
49 585 1
50 585 1
17 585 1
51 585 1
52 585 1
53 585 1
7 585 1
40 585 1
54 585 1
42 585 1
55 585 1
56 585 1
43 585 1
47 586 1
8 586 1
57 586 1
29 586 1
58 586 1
0 586 1
31 586 1
59 586 1
40 586 1
60 586 1
5 587 1
61 587 1
11 587 1
62 587 1
63 587 1
64 587 1
65 587 1
0 587 1
31 587 1
66 587 1
67 587 1
68 587 1
69 587 1
70 587 1
71 587 1
72 587 1
43 587 1
73 587 1
74 587 1
75 587 1
6 587 1
76 587 1
77 587 1
78 587 1
79 587 1
80 587 1
81 587 1
82 587 1
83 587 1
35 588 1
84 588 1
75 588 1
51 588 1
34 588 1
78 588 1
85 588 1
86 589 1
11 590 1
87 590 1
18 590 1
69 590 1
88 590 1
89 590 1
90 590 1
21 590 1
37 590 1
91 590 1
92 590 1
93 590 1
83 590 1
94 591 1
71 591 1
94 592 1
4 592 1
26 592 1
95 592 1
96 592 1
9 592 1
97 592 1
57 592 1
98 592 1
99 592 1
50 592 1
58 592 1
100 592 1
101 592 1
102 592 1
103 592 1
104 592 1
105 592 1
106 592 1
107 592 1
39 592 1
71 592 1
55 592 1
108 592 1
109 592 1
110 592 1
111 592 1
20 592 1
112 592 1
8 592 1
12 592 1
113 592 1
114 592 1
3 592 1
115 592 1
116 592 1
117 592 1
118 592 1
119 592 1
16 592 1
120 592 1
63 593 1
121 593 1
122 593 1
123 593 1
124 593 1
125 594 1
126 594 1
127 594 1
128 594 1
5 594 1
26 594 1
129 594 1
57 594 1
130 594 1
131 594 1
17 594 1
132 594 1
64 594 1
58 594 1
52 594 1
53 594 1
31 594 1
133 594 1
134 594 1
135 594 1
136 594 1
66 594 1
137 594 1
138 594 1
139 594 1
140 594 1
141 594 1
68 594 1
142 594 1
143 594 1
144 594 1
60 594 1
72 594 1
43 594 1
145 594 1
73 594 1
146 594 1
74 594 1
147 594 1
25 594 1
148 594 1
88 594 1
149 594 1
86 594 1
150 594 1
151 594 1
152 594 1
153 594 1
154 594 1
51 594 1
90 594 1
32 594 1
77 594 1
155 594 1
156 594 1
157 594 1
158 594 1
159 594 1
160 594 1
161 594 1
162 594 1
163 594 1
164 594 1
91 594 1
79 594 1
165 594 1
54 594 1
116 594 1
13 594 1
166 594 1
42 594 1
92 594 1
167 594 1
168 594 1
169 594 1
93 594 1
170 594 1
171 594 1
172 594 1
173 594 1
174 594 1
83 594 1
24 595 1
11 595 1
175 595 1
17 595 1
64 595 1
176 595 1
52 595 1
53 595 1
103 595 1
177 595 1
178 595 1
68 595 1
179 595 1
180 595 1
71 595 1
181 595 1
44 595 1
74 595 1
182 595 1
108 595 1
45 595 1
23 595 1
183 595 1
6 595 1
8 595 1
51 595 1
184 595 1
