5912 104486
0 336 1
1 336 1
2 336 1
3 336 1
4 336 1
5 336 1
6 336 1
7 336 1
8 336 1
9 336 1
10 336 1
11 337 1
12 337 1
13 337 1
14 337 1
10 337 1
15 337 1
16 337 1
17 337 1
18 337 1
19 337 1
20 338 1
8 338 1
6 339 1
21 340 1
10 340 1
22 340 1
23 340 1
24 340 1
25 340 1
26 340 1
20 340 1
27 340 1
18 340 1
16 341 1
28 341 1
29 341 1
30 342 1
12 342 1
3 342 1
31 342 1
32 342 1
4 342 1
33 342 1
7 342 1
9 342 1
34 342 1
35 342 1
16 342 1
36 342 1
37 342 1
38 342 1
2 342 1
39 342 1
40 342 1
41 342 1
42 342 1
43 342 1
44 342 1
18 342 1
45 342 1
46 342 1
47 342 1
48 342 1
49 342 1
50 342 1
51 342 1
52 342 1
53 342 1
54 342 1
55 342 1
8 342 1
56 342 1
57 342 1
58 342 1
29 342 1
59 342 1
60 343 1
48 343 1
61 343 1
62 344 1
29 344 1
4 345 1
63 345 1
64 345 1
38 345 1
41 345 1
43 345 1
65 345 1
50 345 1
66 345 1
51 345 1
67 345 1
8 345 1
68 345 1
58 345 1
29 345 1
69 345 1
59 345 1
70 346 1
71 346 1
72 346 1
70 347 1
14 347 1
73 347 1
23 347 1
74 347 1
20 347 1
60 347 1
75 347 1
6 347 1
10 347 1
54 347 1
76 348 1
77 348 1
78 348 1
20 348 1
79 349 1
80 349 1
81 349 1
82 349 1
3 349 1
83 349 1
14 349 1
7 349 1
84 349 1
85 349 1
34 349 1
24 349 1
25 349 1
16 349 1
86 349 1
87 349 1
37 349 1
88 349 1
89 349 1
90 349 1
91 349 1
92 349 1
38 349 1
72 349 1
40 349 1
93 349 1
94 349 1
95 349 1
44 349 1
18 349 1
96 349 1
45 349 1
97 349 1
46 349 1
98 349 1
99 349 1
65 349 1
100 349 1
62 349 1
101 349 1
102 349 1
103 349 1
104 349 1
50 349 1
105 349 1
66 349 1
17 349 1
52 349 1
106 349 1
107 349 1
108 349 1
109 349 1
53 349 1
110 349 1
111 349 1
112 349 1
113 349 1
114 349 1
67 349 1
55 349 1
115 349 1
8 349 1
27 349 1
116 349 1
68 349 1
117 349 1
58 349 1
118 349 1
69 349 1
119 349 1
120 349 1
121 349 1
122 349 1
123 349 1
59 349 1
76 350 1
4 350 1
7 350 1
124 350 1
34 350 1
24 350 1
25 350 1
125 350 1
126 350 1
40 350 1
127 350 1
128 350 1
20 350 1
129 350 1
19 350 1
46 350 1
130 350 1
131 350 1
132 350 1
133 350 1
53 350 1
134 350 1
135 350 1
55 350 1
136 350 1
137 350 1
68 350 1
58 350 1
122 350 1
82 351 1
14 351 1
138 351 1
63 351 1
25 351 1
37 351 1
38 351 1
41 351 1
127 351 1
42 351 1
95 351 1
139 351 1
43 351 1
45 351 1
98 351 1
15 351 1
106 351 1
53 351 1
113 351 1
114 351 1
55 351 1
27 351 1
57 351 1
117 351 1
82 352 1
64 352 1
42 352 1
43 352 1
76 353 1
24 353 1
140 353 1
46 353 1
66 353 1
3 354 1
14 354 1
7 354 1
23 354 1
35 354 1
16 354 1
141 354 1
142 354 1
72 354 1
143 354 1
128 354 1
144 354 1
129 354 1
145 354 1
6 354 1
15 354 1
146 354 1
147 354 1
105 354 1
148 354 1
133 354 1
28 354 1
53 354 1
110 354 1
134 354 1
149 354 1
135 354 1
136 354 1
57 354 1
120 354 1
59 354 1
79 355 1
80 355 1
30 355 1
83 355 1
14 355 1
4 355 1
150 355 1
151 355 1
64 355 1
152 355 1
77 355 1
23 355 1
34 355 1
24 355 1
35 355 1
78 355 1
153 355 1
74 355 1
154 355 1
126 355 1
92 355 1
38 355 1
39 355 1
155 355 1
128 355 1
93 355 1
156 355 1
95 355 1
43 355 1
44 355 1
157 355 1
19 355 1
96 355 1
45 355 1
97 355 1
98 355 1
60 355 1
158 355 1
99 355 1
48 355 1
65 355 1
6 355 1
103 355 1
50 355 1
105 355 1
51 355 1
17 355 1
52 355 1
106 355 1
53 355 1
110 355 1
111 355 1
113 355 1
114 355 1
67 355 1
55 355 1
136 355 1
8 355 1
27 355 1
56 355 1
116 355 1
57 355 1
159 355 1
58 355 1
160 355 1
120 355 1
123 355 1
70 356 1
71 356 1
38 356 1
20 356 1
158 356 1
8 356 1
32 357 1
14 357 1
161 357 1
124 357 1
162 357 1
16 357 1
163 357 1
38 357 1
41 357 1
128 357 1
94 357 1
42 357 1
139 357 1
43 357 1
129 357 1
60 357 1
48 357 1
101 357 1
50 357 1
66 357 1
148 357 1
134 357 1
149 357 1
57 357 1
164 358 1
76 358 1
165 358 1
73 358 1
23 358 1
85 358 1
143 358 1
166 358 1
128 358 1
95 358 1
98 358 1
60 358 1
132 358 1
48 358 1
101 358 1
133 358 1
67 358 1
54 358 1
68 358 1
61 358 1
12 359 1
63 359 1
49 359 1
51 359 1
1 359 1
20 360 1
167 360 1
120 360 1
168 361 1
63 361 1
86 361 1
87 361 1
37 361 1
169 361 1
5 361 1
50 361 1
170 361 1
51 361 1
171 361 1
53 361 1
110 361 1
113 361 1
172 361 1
173 362 1
50 362 1
111 362 1
172 362 1
12 363 1
20 363 1
11 364 1
79 364 1
80 364 1
12 364 1
3 364 1
174 364 1
71 364 1
175 364 1
86 364 1
87 364 1
37 364 1
89 364 1
92 364 1
176 364 1
177 364 1
44 364 1
169 364 1
99 364 1
100 364 1
103 364 1
178 364 1
171 364 1
52 364 1
108 364 1
109 364 1
172 364 1
8 364 1
117 364 1
179 364 1
123 364 1
72 365 1
68 365 1
174 366 1
180 366 1
7 366 1
175 366 1
96 366 1
60 366 1
181 366 1
1 366 1
182 366 1
0 367 1
30 367 1
82 367 1
12 367 1
32 367 1
14 367 1
7 367 1
165 367 1
23 367 1
175 367 1
24 367 1
78 367 1
162 367 1
183 367 1
37 367 1
38 367 1
142 367 1
2 367 1
41 367 1
176 367 1
184 367 1
128 367 1
156 367 1
95 367 1
129 367 1
130 367 1
60 367 1
185 367 1
47 367 1
99 367 1
186 367 1
101 367 1
103 367 1
66 367 1
133 367 1
109 367 1
110 367 1
182 367 1
113 367 1
54 367 1
172 367 1
187 367 1
57 367 1
188 367 1
58 367 1
189 367 1
29 367 1
190 368 1
60 368 1
174 369 1
70 370 1
18 370 1
105 370 1
66 370 1
112 370 1
150 371 1
63 371 1
165 371 1
191 371 1
23 371 1
175 371 1
153 371 1
36 371 1
141 371 1
37 371 1
163 371 1
192 371 1
38 371 1
41 371 1
184 371 1
193 371 1
177 371 1
43 371 1
194 371 1
131 371 1
169 371 1
47 371 1
195 371 1
102 371 1
50 371 1
178 371 1
51 371 1
171 371 1
196 371 1
133 371 1
197 371 1
172 371 1
198 371 1
68 371 1
188 371 1
58 371 1
69 371 1
121 371 1
9 372 1
35 372 1
70 373 1
30 373 1
199 373 1
3 373 1
32 373 1
14 373 1
124 373 1
64 373 1
152 373 1
191 373 1
85 373 1
34 373 1
16 373 1
74 373 1
200 373 1
183 373 1
141 373 1
37 373 1
89 373 1
38 373 1
72 373 1
143 373 1
41 373 1
128 373 1
93 373 1
156 373 1
42 373 1
95 373 1
139 373 1
43 373 1
201 373 1
44 373 1
18 373 1
45 373 1
46 373 1
98 373 1
60 373 1
202 373 1
145 373 1
48 373 1
65 373 1
6 373 1
203 373 1
204 373 1
103 373 1
205 373 1
50 373 1
206 373 1
66 373 1
52 373 1
110 373 1
207 373 1
111 373 1
113 373 1
67 373 1
208 373 1
55 373 1
136 373 1
8 373 1
56 373 1
116 373 1
209 373 1
57 373 1
137 373 1
68 373 1
117 373 1
159 373 1
58 373 1
210 373 1
211 373 1
121 373 1
122 373 1
123 373 1
212 373 1
21 374 1
34 374 1
24 374 1
25 374 1
93 374 1
65 374 1
66 374 1
17 374 1
53 374 1
55 374 1
58 374 1
120 374 1
121 374 1
59 374 1
35 375 1
20 375 1
213 375 1
48 375 1
178 375 1
111 375 1
8 375 1
68 375 1
0 376 1
30 376 1
12 376 1
164 376 1
3 376 1
31 376 1
174 376 1
7 376 1
63 376 1
9 376 1
