5533 86199
0 281 1
1 281 1
2 281 1
3 281 1
4 281 1
5 281 1
6 282 1
7 282 1
8 283 1
9 283 1
10 284 1
11 284 1
12 284 1
13 284 1
14 284 1
15 284 1
16 284 1
2 285 1
17 285 1
18 285 1
19 285 1
20 285 1
21 285 1
22 285 1
5 285 1
4 286 1
23 287 1
24 287 1
22 287 1
25 287 1
14 287 1
12 288 1
26 288 1
27 289 1
1 289 1
28 289 1
3 289 1
29 289 1
30 289 1
31 289 1
12 289 1
32 289 1
33 289 1
34 289 1
35 289 1
36 289 1
37 289 1
38 289 1
39 289 1
40 289 1
41 289 1
14 289 1
42 289 1
43 289 1
44 289 1
2 289 1
45 289 1
46 289 1
9 289 1
47 289 1
48 289 1
49 289 1
5 289 1
50 289 1
51 289 1
52 289 1
53 289 1
54 290 1
44 290 1
55 291 1
3 292 1
56 292 1
34 292 1
38 292 1
40 292 1
57 292 1
58 292 1
2 292 1
46 292 1
59 292 1
60 292 1
5 292 1
61 292 1
52 292 1
62 292 1
53 292 1
63 293 1
64 293 1
63 294 1
65 294 1
66 294 1
22 294 1
54 294 1
2 294 1
4 294 1
67 294 1
68 295 1
69 295 1
70 295 1
22 295 1
71 296 1
72 296 1
73 296 1
74 296 1
1 296 1
75 296 1
76 296 1
77 296 1
30 296 1
23 296 1
24 296 1
12 296 1
78 296 1
79 296 1
33 296 1
80 296 1
81 296 1
82 296 1
83 296 1
84 296 1
34 296 1
64 296 1
37 296 1
85 296 1
86 296 1
87 296 1
41 296 1
14 296 1
88 296 1
42 296 1
89 296 1
43 296 1
90 296 1
91 296 1
58 296 1
92 296 1
55 296 1
93 296 1
94 296 1
95 296 1
96 296 1
46 296 1
97 296 1
59 296 1
13 296 1
47 296 1
98 296 1
99 296 1
100 296 1
101 296 1
48 296 1
102 296 1
103 296 1
104 296 1
105 296 1
106 296 1
60 296 1
49 296 1
107 296 1
5 296 1
25 296 1
108 296 1
61 296 1
109 296 1
52 296 1
110 296 1
62 296 1
111 296 1
112 296 1
113 296 1
114 296 1
115 296 1
53 296 1
68 297 1
3 297 1
116 297 1
30 297 1
23 297 1
24 297 1
117 297 1
118 297 1
37 297 1
119 297 1
120 297 1
22 297 1
6 297 1
7 297 1
121 297 1
15 297 1
43 297 1
57 297 1
2 297 1
9 297 1
8 297 1
48 297 1
122 297 1
123 297 1
49 297 1
124 297 1
125 297 1
61 297 1
52 297 1
114 297 1
74 298 1
126 298 1
24 298 1
33 298 1
34 298 1
38 298 1
119 298 1
39 298 1
87 298 1
127 298 1
40 298 1
42 298 1
90 298 1
2 298 1
11 298 1
98 298 1
48 298 1
105 298 1
106 298 1
49 298 1
25 298 1
51 298 1
109 298 1
74 299 1
56 299 1
39 299 1
40 299 1
68 300 1
23 300 1
43 300 1
59 300 1
1 301 1
31 301 1
12 301 1
128 301 1
129 301 1
64 301 1
130 301 1
35 301 1
120 301 1
131 301 1
121 301 1
132 301 1
2 301 1
4 301 1
11 301 1
133 301 1
134 301 1
97 301 1
135 301 1
26 301 1
48 301 1
102 301 1
122 301 1
123 301 1
124 301 1
51 301 1
112 301 1
136 301 1
53 301 1
71 302 1
72 302 1
27 302 1
75 302 1
3 302 1
137 302 1
56 302 1
138 302 1
69 302 1
30 302 1
23 302 1
31 302 1
70 302 1
139 302 1
66 302 1
140 302 1
118 302 1
84 302 1
34 302 1
36 302 1
141 302 1
120 302 1
85 302 1
142 302 1
87 302 1
40 302 1
41 302 1
143 302 1
15 302 1
88 302 1
42 302 1
89 302 1
90 302 1
54 302 1
144 302 1
91 302 1
44 302 1
58 302 1
4 302 1
95 302 1
46 302 1
97 302 1
13 302 1
47 302 1
98 302 1
48 302 1
102 302 1
103 302 1
105 302 1
106 302 1
60 302 1
49 302 1
124 302 1
5 302 1
25 302 1
50 302 1
108 302 1
51 302 1
145 302 1
52 302 1
146 302 1
112 302 1
115 302 1
63 303 1
147 303 1
34 303 1
22 303 1
144 303 1
5 303 1
28 304 1
116 304 1
12 304 1
34 304 1
38 304 1
120 304 1
86 304 1
39 304 1
127 304 1
40 304 1
121 304 1
54 304 1
44 304 1
93 304 1
46 304 1
59 304 1
135 304 1
122 304 1
51 304 1
148 305 1
68 305 1
147 305 1
65 305 1
77 305 1
130 305 1
120 305 1
87 305 1
149 305 1
90 305 1
54 305 1
150 305 1
44 305 1
2 305 1
93 305 1
9 305 1
60 305 1
151 305 1
61 305 1
0 306 1
35 306 1
45 306 1
22 307 1
112 307 1
78 308 1
79 308 1
33 308 1
46 308 1
152 308 1
8 308 1
48 308 1
102 308 1
105 308 1
35 309 1
2 309 1
153 309 1
46 309 1
103 309 1
22 310 1
10 311 1
71 311 1
72 311 1
1 311 1
32 311 1
78 311 1
79 311 1
33 311 1
81 311 1
84 311 1
41 311 1
57 311 1
91 311 1
92 311 1
154 311 1
153 311 1
95 311 1
9 311 1
47 311 1
100 311 1
8 311 1
101 311 1
155 311 1
20 311 1
5 311 1
109 311 1
156 311 1
115 311 1
64 312 1
61 312 1
136 312 1
18 313 1
157 313 1
158 313 1
32 313 1
159 313 1
0 313 1
88 313 1
54 313 1
17 313 1
154 313 1
153 313 1
9 313 1
8 313 1
155 313 1
136 313 1
27 314 1
74 314 1
28 314 1
23 314 1
70 314 1
160 314 1
32 314 1
33 314 1
34 314 1
129 314 1
35 314 1
38 314 1
120 314 1
142 314 1
87 314 1
121 314 1
54 314 1
161 314 1
91 314 1
2 314 1
93 314 1
95 314 1
9 314 1
59 314 1
8 314 1
101 314 1
102 314 1
105 314 1
162 314 1
67 314 1
51 314 1
52 314 1
163 315 1
54 315 1
63 316 1
14 316 1
97 316 1
59 316 1
104 316 1
147 317 1
139 317 1
128 317 1
33 317 1
34 317 1
38 317 1
40 317 1
94 317 1
46 317 1
61 317 1
52 317 1
62 317 1
113 317 1
31 318 1
63 319 1
27 319 1
