6335 125828
0 524 1
1 525 1
2 525 1
3 525 1
4 525 1
5 525 1
6 525 1
7 525 1
8 525 1
9 525 1
10 525 1
11 525 1
12 525 1
13 525 1
14 525 1
15 525 1
16 525 1
17 525 1
18 525 1
19 525 1
20 525 1
21 526 1
22 526 1
23 527 1
24 527 1
25 527 1
26 527 1
27 527 1
28 527 1
29 527 1
16 527 1
30 527 1
31 527 1
32 527 1
33 527 1
34 527 1
35 527 1
36 527 1
37 527 1
38 527 1
39 527 1
40 527 1
41 527 1
42 528 1
43 528 1
44 529 1
23 530 1
10 530 1
11 530 1
45 530 1
16 530 1
46 530 1
47 530 1
48 530 1
19 530 1
49 530 1
50 530 1
51 530 1
9 530 1
38 530 1
43 530 1
52 530 1
40 530 1
53 530 1
54 530 1
44 531 1
10 531 1
55 531 1
30 531 1
56 531 1
0 531 1
31 531 1
57 531 1
38 531 1
58 531 1
59 532 1
60 532 1
14 532 1
61 532 1
0 532 1
31 532 1
62 532 1
63 532 1
7 532 1
64 532 1
65 532 1
8 532 1
66 532 1
67 532 1
68 532 1
69 532 1
34 533 1
70 533 1
49 533 1
33 533 1
67 533 1
71 533 1
72 533 1
73 534 1
74 534 1
22 534 1
75 535 1
64 535 1
6 536 1
27 536 1
76 536 1
77 536 1
11 536 1
78 536 1
55 536 1
79 536 1
48 536 1
56 536 1
80 536 1
81 536 1
82 536 1
83 536 1
84 536 1
85 536 1
86 536 1
87 536 1
37 536 1
43 536 1
64 536 1
53 536 1
88 536 1
89 536 1
90 536 1
91 536 1
21 536 1
92 536 1
93 536 1
10 536 1
16 536 1
94 536 1
4 536 1
68 536 1
95 536 1
96 536 1
97 536 1
98 536 1
99 536 1
18 536 1
100 536 1
61 537 1
101 537 1
102 537 1
43 537 1
103 537 1
104 538 1
105 538 1
106 538 1
27 538 1
55 538 1
107 538 1
19 538 1
108 538 1
56 538 1
50 538 1
31 538 1
109 538 1
110 538 1
63 538 1
58 538 1
25 538 1
111 538 1
112 538 1
113 538 1
114 538 1
49 538 1
66 538 1
115 538 1
116 538 1
117 538 1
52 538 1
96 538 1
15 538 1
40 538 1
118 538 1
119 538 1
24 539 1
19 539 1
120 539 1
50 539 1
83 539 1
121 539 1
43 539 1
64 539 1
122 539 1
123 539 1
88 539 1
41 539 1
124 539 1
125 539 1
23 539 1
126 539 1
8 539 1
10 539 1
49 539 1
127 539 1
128 539 1
9 539 1
98 539 1
99 539 1
17 539 1
129 539 1
119 539 1
106 540 1
77 540 1
11 540 1
73 540 1
55 540 1
101 540 1
79 540 1
83 540 1
63 540 1
2 540 1
130 540 1
131 540 1
91 540 1
132 540 1
116 540 1
133 540 1
94 540 1
117 540 1
52 540 1
39 540 1
18 540 1
134 540 1
106 541 1
50 542 1
135 542 1
136 543 1
137 543 1
3 543 1
138 543 1
11 543 1
47 543 1
48 543 1
19 543 1
31 543 1
139 543 1
140 543 1
84 543 1
2 543 1
85 543 1
141 543 1
142 543 1
37 543 1
38 543 1
143 543 1
64 543 1
54 543 1
144 543 1
41 543 1
145 543 1
23 543 1
131 543 1
146 543 1
147 543 1
8 543 1
92 543 1
74 543 1
148 543 1
149 543 1
150 543 1
132 543 1
49 543 1
151 543 1
128 543 1
57 543 1
67 543 1
152 543 1
9 543 1
153 543 1
99 543 1
17 543 1
40 543 1
18 543 1
119 543 1
154 544 1
155 544 1
156 544 1
104 544 1
105 544 1
157 544 1
158 544 1
159 544 1
55 544 1
160 544 1
61 544 1
161 544 1
48 544 1
162 544 1
56 544 1
50 544 1
0 544 1
102 544 1
80 544 1
109 544 1
70 544 1
130 544 1
163 544 1
38 544 1
164 544 1
165 544 1
166 544 1
167 544 1
168 544 1
169 544 1
170 544 1
25 544 1
171 544 1
172 544 1
10 544 1
113 544 1
173 544 1
132 544 1
22 544 1
66 544 1
116 544 1
174 544 1
35 544 1
175 544 1
117 544 1
176 544 1
177 544 1
52 544 1
98 544 1
99 544 1
178 544 1
119 544 1
179 544 1
75 545 1
43 545 1
76 546 1
60 546 1
11 546 1
180 546 1
181 546 1
31 546 1
182 546 1
87 546 1
151 546 1
152 546 1
183 547 1
184 547 1
185 547 1
48 547 1
107 547 1
82 547 1
42 547 1
70 547 1
141 547 1
86 547 1
186 547 1
187 547 1
38 547 1
188 547 1
122 547 1
189 547 1
125 547 1
190 547 1
191 547 1
192 547 1
193 547 1
132 547 1
49 547 1
194 547 1
128 547 1
94 547 1
33 547 1
4 547 1
195 547 1
196 547 1
9 547 1
68 547 1
153 547 1
96 547 1
17 547 1
18 547 1
72 547 1
100 547 1
154 548 1
73 548 1
160 548 1
197 548 1
198 548 1
5 548 1
155 549 1
199 549 1
70 549 1
200 549 1
43 549 1
201 549 1
198 549 1
49 549 1
4 549 1
202 549 1
15 549 1
199 550 1
27 550 1
11 550 1
203 550 1
73 550 1
204 550 1
19 550 1
63 550 1
205 550 1
41 550 1
206 550 1
23 550 1
207 550 1
13 550 1
208 550 1
117 550 1
209 550 1
210 550 1
211 551 1
61 551 1
212 551 1
213 551 1
209 551 1
155 552 1
24 552 1
77 552 1
12 552 1
56 552 1
0 552 1
110 552 1
70 552 1
43 552 1
155 553 1
199 553 1
104 553 1
105 553 1
157 553 1
12 553 1
214 553 1
75 553 1
160 553 1
61 553 1
47 553 1
56 553 1
120 553 1
215 553 1
139 553 1
109 553 1
83 553 1
63 553 1
2 553 1
70 553 1
205 553 1
130 553 1
216 553 1
217 553 1
218 553 1
36 553 1
38 553 1
164 553 1
166 553 1
219 553 1
167 553 1
220 553 1
197 553 1
89 553 1
221 553 1
222 553 1
206 553 1
198 553 1
223 553 1
25 553 1
224 553 1
21 553 1
111 553 1
10 553 1
113 553 1
132 553 1
225 553 1
49 553 1
226 553 1
208 553 1
22 553 1
66 553 1
133 553 1
209 553 1
227 553 1
177 553 1
228 553 1
15 553 1
99 553 1
100 553 1
179 553 1
229 553 1
55 554 1
19 554 1
0 554 1
130 554 1
41 554 1
212 554 1
191 554 1
74 554 1
132 554 1
133 554 1
67 554 1
9 554 1
18 554 1
230 555 1
231 555 1
61 555 1
215 555 1
83 555 1
165 555 1
197 555 1
192 555 1
232 555 1
233 555 1
5 555 1
234 555 1
155 556 1
1 556 1
106 556 1
27 556 1
157 556 1
60 556 1
11 556 1
29 556 1
231 556 1
185 556 1
101 556 1
48 556 1
108 556 1
162 556 1
215 556 1
50 556 1
102 556 1
181 556 1
235 556 1
110 556 1
42 556 1
63 556 1
70 556 1
7 556 1
216 556 1
236 556 1
38 556 1
167 556 1
237 556 1
123 556 1
88 556 1
238 556 1
239 556 1
65 556 1
25 556 1
8 556 1
240 556 1
92 556 1
10 556 1
241 556 1
113 556 1
49 556 1
22 556 1
128 556 1
234 556 1
117 556 1
68 556 1
209 556 1
176 556 1
177 556 1
69 556 1
242 556 1
97 556 1
98 556 1
99 556 1
243 556 1
18 556 1
244 556 1
100 556 1
245 556 1
179 556 1
74 557 1
246 557 1
67 557 1
247 557 1
248 557 1
78 558 1
87 558 1
37 558 1
64 558 1
97 558 1
159 559 1
73 559 1
185 559 1
249 559 1
48 559 1
215 559 1
62 559 1
83 559 1
63 559 1
182 559 1
250 559 1
236 559 1
251 559 1
218 559 1
252 559 1
124 559 1
206 559 1
65 559 1
253 559 1
112 559 1
226 559 1
208 559 1
22 559 1
254 559 1
128 559 1
255 559 1
209 559 1
256 559 1
243 559 1
14 560 1
79 560 1
131 560 1
94 560 1
257 560 1
258 561 1
27 561 1
60 561 1
249 561 1
107 561 1
31 561 1
80 561 1
235 561 1
63 561 1
141 561 1
259 561 1
41 561 1
23 561 1
147 561 1
92 561 1
113 561 1
260 561 1
261 561 1
66 561 1
262 561 1
117 561 1
176 561 1
263 561 1
129 561 1
178 561 1
210 561 1
77 562 1
97 562 1
199 563 1
137 563 1
76 563 1
45 563 1
50 563 1
0 563 1
164 563 1
264 563 1
67 563 1
265 563 1
210 563 1
266 563 1
61 564 1
267 564 1
43 564 1
164 564 1
165 564 1
122 564 1
201 564 1
212 564 1
268 564 1
226 564 1
9 564 1
269 564 1
130 565 1
131 565 1
264 565 1
133 565 1
94 565 1
270 565 1
265 565 1
134 565 1
1 566 1
6 566 1
27 566 1
59 566 1
76 566 1
73 566 1
14 566 1
50 566 1
80 566 1
82 566 1
86 566 1
271 566 1
272 566 1
144 566 1
125 566 1
206 566 1
239 566 1
268 566 1
146 566 1
240 566 1
93 566 1
10 566 1
74 566 1
16 566 1
113 566 1
260 566 1
46 566 1
94 566 1
18 566 1
273 566 1
274 566 1
3 566 1
60 566 1
184 566 1
45 566 1
48 566 1
107 566 1
181 566 1
62 566 1
275 566 1
2 566 1
141 566 1
236 566 1
251 566 1
218 566 1
276 566 1
36 566 1
277 566 1
43 566 1
278 566 1
89 566 1
189 566 1
279 566 1
280 566 1
13 566 1
281 566 1
282 566 1
132 566 1
49 566 1
261 566 1
