4898 42547
0 176 1
1 176 1
2 176 1
3 176 1
4 176 1
5 176 1
6 176 1
7 176 1
8 177 1
9 177 1
10 178 1
11 178 1
12 179 1
13 179 1
7 179 1
14 179 1
4 180 1
15 180 1
16 180 1
17 180 1
18 180 1
19 180 1
20 180 1
21 181 1
7 181 1
22 181 1
23 181 1
24 181 1
20 181 1
12 182 1
25 182 1
6 182 1
26 182 1
27 182 1
28 182 1
3 182 1
29 182 1
30 182 1
4 182 1
11 182 1
31 182 1
32 182 1
33 183 1
34 184 1
35 184 1
4 184 1
31 184 1
36 185 1
23 186 1
20 186 1
4 186 1
37 186 1
7 186 1
32 186 1
38 186 1
39 187 1
20 187 1
28 188 1
40 188 1
41 188 1
39 189 1
20 189 1
8 189 1
9 189 1
42 189 1
35 189 1
43 189 1
44 189 1
4 189 1
11 189 1
45 189 1
10 189 1
34 190 1
28 190 1
4 190 1
41 190 1
39 191 1
46 191 1
23 192 1
29 192 1
4 192 1
47 192 1
45 192 1
48 192 1
49 192 1
50 193 1
23 193 1
51 193 1
31 193 1
41 193 1
36 194 1
52 194 1
20 194 1
53 195 1
54 195 1
55 195 1
47 195 1
48 195 1
39 196 1
56 196 1
52 196 1
23 196 1
57 196 1
58 196 1
44 196 1
59 196 1
4 196 1
11 196 1
45 196 1
32 196 1
60 196 1
33 196 1
12 197 1
34 197 1
1 197 1
29 197 1
31 197 1
2 197 1
20 198 1
61 198 1
62 199 1
34 199 1
28 199 1
63 199 1
5 199 1
31 199 1
64 199 1
10 199 1
41 199 1
65 199 1
29 200 1
4 200 1
66 200 1
67 200 1
65 200 1
12 201 1
20 201 1
12 202 1
36 202 1
68 202 1
27 202 1
28 202 1
69 202 1
70 202 1
35 202 1
63 202 1
71 202 1
67 202 1
11 202 1
72 202 1
64 202 1
10 202 1
73 202 1
18 202 1
65 202 1
49 203 1
16 204 1
74 204 1
75 204 1
76 204 1
68 204 1
27 204 1
77 204 1
1 204 1
15 204 1
71 204 1
67 204 1
78 204 1
11 204 1
10 204 1
73 204 1
2 204 1
79 204 1
49 204 1
0 205 1
12 205 1
56 205 1
23 205 1
68 205 1
54 205 1
27 205 1
28 205 1
3 205 1
29 205 1
69 205 1
80 205 1
42 205 1
30 205 1
4 205 1
81 205 1
11 205 1
45 205 1
10 205 1
79 205 1
41 205 1
32 205 1
65 205 1
38 205 1
82 205 1
83 205 1
50 206 1
34 206 1
56 206 1
84 206 1
52 206 1
23 206 1
68 206 1
26 206 1
28 206 1
55 206 1
85 206 1
80 206 1
86 206 1
70 206 1
87 206 1
43 206 1
63 206 1
30 206 1
88 206 1
40 206 1
72 206 1
31 206 1
64 206 1
89 206 1
45 206 1
90 206 1
65 206 1
91 206 1
82 206 1
6 207 1
84 208 1
28 208 1
11 208 1
41 208 1
21 209 1
92 210 1
29 210 1
20 210 1
93 210 1
72 210 1
0 211 1
12 211 1
25 211 1
34 211 1
6 211 1
94 211 1
27 211 1
8 211 1
9 211 1
95 211 1
44 211 1
63 211 1
93 211 1
81 211 1
37 211 1
