1806 2948
0 556 1
1 556 1
2 557 1
3 558 1
4 559 1
5 560 1
6 560 1
7 561 1
8 562 1
9 562 1
10 563 1
11 563 1
12 563 1
13 564 1
14 564 1
15 564 1
16 564 1
17 565 1
18 566 1
19 566 1
20 567 1
21 568 1
22 568 1
23 569 1
24 570 1
25 571 1
26 572 1
27 572 1
28 572 1
29 572 1
1 572 1
30 572 1
31 573 1
3 574 1
32 575 1
33 575 1
34 576 1
35 577 1
1 577 1
36 577 1
37 578 1
38 579 1
39 579 1
40 580 1
41 581 1
42 581 1
43 581 1
44 582 1
45 583 1
46 584 1
47 585 1
48 585 1
49 586 1
50 586 1
51 586 1
52 587 1
53 588 1
54 588 1
17 588 1
55 589 1
56 589 1
57 589 1
49 589 1
41 589 1
58 589 1
59 589 1
60 589 1
61 589 1
62 589 1
63 589 1
64 589 1
65 589 1
66 589 1
67 589 1
68 589 1
69 590 1
70 591 1
71 592 1
72 593 1
73 594 1
74 595 1
75 595 1
76 596 1
77 596 1
78 596 1
50 596 1
48 596 1
79 596 1
80 597 1
81 597 1
82 597 1
83 598 1
84 598 1
59 598 1
85 598 1
54 598 1
86 599 1
87 599 1
76 599 1
56 600 1
88 600 1
89 601 1
90 601 1
91 602 1
92 602 1
93 602 1
94 602 1
95 603 1
96 603 1
97 603 1
98 603 1
99 603 1
100 603 1
101 603 1
102 603 1
3 603 1
103 604 1
66 605 1
104 606 1
105 606 1
99 607 1
106 608 1
107 609 1
108 610 1
74 610 1
109 611 1
7 611 1
110 611 1
111 611 1
112 611 1
113 611 1
66 611 1
114 612 1
115 613 1
25 613 1
2 613 1
116 613 1
19 613 1
117 614 1
117 615 1
90 616 1
118 617 1
119 617 1
120 617 1
121 618 1
122 619 1
74 619 1
121 619 1
123 619 1
124 619 1
125 620 1
126 621 1
127 622 1
110 622 1
128 622 1
129 623 1
6 624 1
130 625 1
123 626 1
131 627 1
62 628 1
132 629 1
133 630 1
101 630 1
134 630 1
34 630 1
3 631 1
135 632 1
136 633 1
137 634 1
138 634 1
139 634 1
140 634 1
141 634 1
142 635 1
143 636 1
65 637 1
33 638 1
144 638 1
145 639 1
146 640 1
114 641 1
147 642 1
42 643 1
148 644 1
149 645 1
48 646 1
150 647 1
151 648 1
72 648 1
152 649 1
52 650 1
153 651 1
108 652 1
154 652 1
155 653 1
156 654 1
23 655 1
157 656 1
123 657 1
119 658 1
158 658 1
16 658 1
83 659 1
159 660 1
160 661 1
161 661 1
136 661 1
121 662 1
162 663 1
129 664 1
163 665 1
164 665 1
165 665 1
32 666 1
157 667 1
106 668 1
17 668 1
89 669 1
161 669 1
8 670 1
166 671 1
167 671 1
168 672 1
169 672 1
170 672 1
171 672 1
143 672 1
172 672 1
173 672 1
127 673 1
174 673 1
69 673 1
39 673 1
113 673 1
66 673 1
175 674 1
117 674 1
176 675 1
177 675 1
178 675 1
179 676 1
180 677 1
25 677 1
20 677 1
181 678 1
81 679 1
48 680 1
70 680 1
182 680 1
153 681 1
183 681 1
184 681 1
185 681 1
186 681 1
187 681 1
188 682 1
189 682 1
0 683 1
54 683 1
190 683 1
69 684 1
51 685 1
73 686 1
191 687 1
151 687 1
20 687 1
117 687 1
192 687 1
74 687 1
116 687 1
193 688 1
194 689 1
195 690 1
32 690 1
196 690 1
197 690 1
198 691 1
36 691 1
199 692 1
200 693 1
201 694 1
202 694 1
84 694 1
22 694 1
203 694 1
6 694 1
42 694 1
204 694 1
205 694 1
206 694 1
207 695 1
208 695 1
209 696 1
63 697 1
122 698 1
138 698 1
210 698 1
184 698 1
211 698 1
212 698 1
213 699 1
214 700 1
187 701 1
118 702 1
117 703 1
215 704 1
216 704 1
217 704 1
218 705 1
219 706 1
69 707 1
129 707 1
220 707 1
94 707 1
81 708 1
221 709 1
168 710 1
222 710 1
161 711 1
223 712 1
60 713 1
224 714 1
212 714 1
225 715 1
50 715 1
150 715 1
155 715 1
226 715 1
227 715 1
156 715 1
97 715 1
177 715 1
2 715 1
228 716 1
7 716 1
130 716 1
34 716 1
103 716 1
138 717 1
99 718 1
26 719 1
3 719 1
229 719 1
31 720 1
230 720 1
231 721 1
232 721 1
233 721 1
12 721 1
234 721 1
199 721 1
49 722 1
37 722 1
73 722 1
181 722 1
235 722 1
236 722 1
84 722 1
203 722 1
237 722 1
19 722 1
68 722 1
91 722 1
27 722 1
41 722 1
86 722 1
238 722 1
32 722 1
71 722 1
185 722 1
8 722 1
239 722 1
217 722 1
113 722 1
220 722 1
240 722 1
43 722 1
241 722 1
126 722 1
9 722 1
149 723 1
133 724 1
25 725 1
196 725 1
242 726 1
243 727 1
160 728 1
161 728 1
157 729 1
49 730 1
53 730 1
236 730 1
2 730 1
154 731 1
244 732 1
245 733 1
39 734 1
246 735 1
70 736 1
247 736 1
66 736 1
57 737 1
76 737 1
56 737 1
41 737 1
248 737 1
98 737 1
54 737 1
217 737 1
197 737 1
231 738 1
232 738 1
139 738 1
249 738 1
200 739 1
82 739 1
250 739 1
32 739 1
251 739 1
176 739 1
177 739 1
252 739 1
207 740 1
253 740 1
254 740 1
89 740 1
90 740 1
156 740 1
97 740 1
255 740 1
94 740 1
5 741 1
128 741 1
167 741 1
16 741 1
66 742 1
39 743 1
206 743 1
84 744 1
2 745 1
242 746 1
107 747 1
114 748 1
5 749 1
167 749 1
14 750 1
8 750 1
256 751 1
50 752 1
49 753 1
257 753 1
168 753 1
127 753 1
258 753 1
259 753 1
260 753 1
261 753 1
122 753 1
78 753 1
25 753 1
153 753 1
262 753 1
110 753 1
263 753 1
203 753 1
264 753 1
111 753 1
265 753 1
210 753 1
151 753 1
128 753 1
266 753 1
267 753 1
250 753 1
268 753 1
269 753 1
11 753 1
13 753 1
134 753 1
247 753 1
238 753 1
32 753 1
270 753 1
271 753 1
130 753 1
272 753 1
273 753 1
189 753 1
274 753 1
142 753 1
275 753 1
217 753 1
276 753 1
187 753 1
277 753 1
278 753 1
214 754 1
37 755 1
269 755 1
168 756 1
279 756 1
280 756 1
143 756 1
269 756 1
281 756 1
282 756 1
46 756 1
69 757 1
273 757 1
150 758 1
200 758 1
205 759 1
269 760 1
196 760 1
200 761 1
280 762 1
133 763 1
125 764 1
114 765 1
91 766 1
283 767 1
284 767 1
285 768 1
286 769 1
287 769 1
288 769 1
289 769 1
161 769 1
167 769 1
96 769 1
290 770 1
291 770 1
63 770 1
54 771 1
292 772 1
154 772 1
101 772 1
220 772 1
293 773 1
35 773 1
294 773 1
262 773 1
110 773 1
295 773 1
296 773 1
227 773 1
144 773 1
270 773 1
223 773 1
273 773 1
297 773 1
298 774 1
299 774 1
231 774 1
300 774 1
301 774 1
262 774 1
263 774 1
139 774 1
69 774 1
155 774 1
184 774 1
268 774 1
245 774 1
121 774 1
34 774 1
120 774 1
177 774 1
302 774 1
303 774 1
274 774 1
297 774 1
252 774 1
187 774 1
44 774 1
304 775 1
37 776 1
294 776 1
263 776 1
183 776 1
166 776 1
305 776 1
306 776 1
34 776 1
120 776 1
196 776 1
252 776 1
307 776 1
133 777 1
295 778 1
308 779 1
98 780 1
