7918 12080
0 1878 1
0 1931 1
0 1966 1
0 1997 1
0 2032 1
0 2057 1
0 2083 1
0 2142 1
0 2192 1
0 2216 1
0 3769 1
0 4347 1
0 4523 1
0 5045 1
0 5092 1
0 5122 1
0 5246 1
0 5836 1
0 5841 1
0 7418 1
0 7454 1
0 7736 1
1 1878 1
1 4268 1
2 1879 1
2 3035 1
4 2215 1
4 2280 1
6 1879 1
6 6190 1
6 6775 1
6 7819 1
7 2194 1
7 2328 1
7 2734 1
7 3404 1
7 4756 1
7 5222 1
7 5757 1
7 5829 1
7 5854 1
7 6594 1
7 6741 1
7 7076 1
7 7733 1
7 7898 1
7 7916 1
8 2337 1
8 5010 1
8 5373 1
8 5489 1
9 1880 1
9 2769 1
9 6918 1
9 7590 1
10 1880 1
10 1950 1
10 2444 1
10 2460 1
10 2478 1
10 3023 1
10 3312 1
10 3387 1
10 3389 1
10 3819 1
10 3918 1
10 4260 1
10 4340 1
10 4357 1
10 4466 1
10 4539 1
10 4586 1
10 4653 1
10 4690 1
10 4785 1
10 5393 1
10 5431 1
10 5908 1
11 1881 1
11 4420 1
11 6300 1
11 6460 1
12 5143 1
12 6276 1
12 6758 1
12 6901 1
12 7589 1
13 1961 1
13 2017 1
13 2084 1
13 2125 1
13 2139 1
13 2219 1
13 2277 1
13 2323 1
13 2368 1
13 3113 1
13 5792 1
13 6402 1
13 6454 1
13 6996 1
13 7237 1
13 7754 1
14 1881 1
14 4047 1
14 4485 1
14 7658 1
15 1895 1
15 1913 1
15 1917 1
15 1921 1
15 1930 1
15 1947 1
15 1960 1
15 1979 1
15 2008 1
15 2012 1
15 2025 1
15 2039 1
15 2055 1
15 2075 1
15 2082 1
15 2093 1
15 2099 1
15 2100 1
15 2108 1
15 2148 1
15 2149 1
15 2151 1
15 2152 1
15 2172 1
15 2179 1
15 2200 1
15 2220 1
15 2249 1
15 2253 1
15 2285 1
15 2289 1
15 2303 1
15 2322 1
15 2338 1
15 2352 1
15 2359 1
15 2401 1
15 2408 1
15 2410 1
15 2413 1
15 2418 1
15 2424 1
15 2427 1
15 2459 1
15 2474 1
15 2515 1
15 2555 1
15 2558 1
15 2587 1
15 2606 1
15 2631 1
15 2641 1
15 2647 1
15 2661 1
15 2689 1
15 2691 1
15 2692 1
15 2716 1
15 2730 1
15 2746 1
15 2768 1
15 2772 1
15 2779 1
15 2790 1
15 2806 1
15 2826 1
15 2828 1
15 2830 1
15 2852 1
15 2894 1
15 2928 1
15 2938 1
15 2964 1
15 2986 1
15 2989 1
15 2994 1
15 2997 1
15 3006 1
15 3009 1
15 3026 1
15 3037 1
15 3053 1
15 3081 1
15 3134 1
15 3146 1
15 3168 1
15 3175 1
15 3176 1
15 3177 1
15 3183 1
15 3199 1
15 3202 1
15 3223 1
15 3230 1
15 3233 1
15 3302 1
15 3353 1
15 3358 1
15 3373 1
15 3384 1
15 3388 1
15 3401 1
15 3405 1
15 3417 1
15 3440 1
15 3444 1
15 3460 1
15 3476 1
15 3483 1
15 3505 1
15 3520 1
15 3532 1
15 3533 1
15 3553 1
15 3557 1
15 3558 1
15 3567 1
