12071 6040
6025 6031 1
6020 6050 1
6006 6093 1
6026 6110 1
6025 6116 1
5991 6180 1
5990 6200 1
5841 6207 1
5785 6246 1
6006 6270 1
6025 6381 1
5906 6405 1
5990 6411 1
5944 6435 1
6015 6440 1
6006 6475 1
5981 6485 1
5954 6530 1
6006 6598 1
5997 6641 1
6025 6643 1
6013 6648 1
5526 6704 1
6026 6756 1
5965 6240 1
6026 6774 1
5802 6849 1
5933 6859 1
6026 6871 1
5707 6502 1
6025 6888 1
6030 6730 1
97 6907 1
6027 6620 1
5945 6981 1
6030 6245 1
5172 7050 1
5559 7055 1
6026 6117 1
5868 7072 1
5944 6124 1
6025 6211 1
5950 7107 1
5968 6573 1
6015 7133 1
5936 7168 1
6027 6392 1
6015 6183 1
4971 7239 1
6009 6395 1
213 7248 1
6006 7253 1
4850 7262 1
5449 7349 1
5988 7352 1
5548 7356 1
5964 7357 1
5985 7178 1
6011 7386 1
5990 6738 1
5814 7410 1
6025 7415 1
5954 7476 1
5837 6822 1
5878 6691 1
5770 7098 1
83 7490 1
5802 7495 1
6000 7500 1
6013 6467 1
5997 7506 1
5883 7507 1
5864 6226 1
5802 6829 1
2659 7523 1
5676 6741 1
5290 7546 1
5785 7470 1
5951 7559 1
6030 7562 1
6006 7566 1
5976 7471 1
5323 7578 1
5712 7557 1
5991 7581 1
6026 6586 1
5595 7584 1
5954 7587 1
5785 7589 1
5543 7590 1
414 7606 1
6025 7067 1
5814 7640 1
5906 7649 1
5997 6590 1
5458 7657 1
5782 7660 1
442 7672 1
5330 7673 1
5765 7294 1
5935 7681 1
5878 7684 1
421 7690 1
5944 6398 1
6015 7353 1
3720 7698 1
5990 7125 1
4639 7708 1
119 7712 1
6025 6205 1
6022 6953 1
5947 7654 1
5418 7719 1
5999 7722 1
213 7728 1
5878 7730 1
4760 7736 1
5801 7772 1
5802 7778 1
506 7785 1
5880 7786 1
5905 7789 1
5777 7300 1
5103 7827 1
6026 7828 1
5104 7301 1
472 7836 1
4784 7847 1
5529 7850 1
560 7858 1
5483 7861 1
5871 7881 1
4473 7883 1
358 7891 1
5785 7896 1
252 7899 1
5551 7913 1
506 7916 1
1 7919 1
6015 7926 1
6007 7599 1
599 7930 1
9 7932 1
5883 6860 1
6013 7259 1
5351 7536 1
5868 7871 1
5323 7304 1
5302 7989 1
6030 6129 1
6015 7113 1
5868 8034 1
6025 7205 1
6006 6914 1
5670 6984 1
5868 7552 1
5962 8027 1
5981 7408 1
5944 7872 1
6026 7311 1
6006 7207 1
6016 6713 1
5914 6220 1
5912 7020 1
6001 6082 1
5954 7481 1
676 8118 1
5986 8121 1
5823 7970 1
6018 7956 1
5886 8014 1
6026 7021 1
6009 6665 1
5778 8172 1
5782 8112 1
5938 8178 1
5944 8179 1
4998 7022 1
6015 8181 1
5814 7516 1
5944 8185 1
5520 8015 1
5665 8193 1
5906 7319 1
6001 7517 1
6025 8201 1
6026 8204 1
6015 8237 1
5847 8238 1
6026 8240 1
5240 8242 1
656 8243 1
5945 8063 1
5831 8053 1
5886 8262 1
6020 6722 1
5101 8302 1
6026 6723 1
6006 6195 1
774 8325 1
4155 8327 1
4540 6174 1
5945 6375 1
6013 8251 1
5964 8346 1
4917 8349 1
6015 8351 1
6000 6701 1
5870 8051 1
5821 8352 1
5802 8355 1
66 8357 1
6030 7918 1
5917 8359 1
5734 7056 1
5905 6382 1
5844 7624 1
5802 8313 1
5679 8392 1
5997 8393 1
826 8394 1
5988 8252 1
6005 6488 1
5962 7306 1
5986 7444 1
465 8422 1
6013 7969 1
5954 8424 1
5990 6130 1
5993 6219 1
6025 6659 1
6030 7503 1
5964 7019 1
5947 6783 1
6027 6490 1
6015 6784 1
6009 7139 1
5839 7537 1
5986 7208 1
5029 8356 1
5032 8288 1
5753 7314 1
4529 8460 1
321 8461 1
4263 8462 1
6004 7354 1
6030 6492 1
5883 6296 1
5939 7315 1
5410 8475 1
5384 8476 1
6006 6789 1
5995 6302 1
5785 7715 1
4375 8480 1
6025 7628 1
5841 6452 1
5944 7077 1
5951 8483 1
6030 6046 1
6026 6558 1
6006 8200 1
5255 8490 1
177 8491 1
5997 7321 1
5951 6193 1
5827 6792 1
5090 7609 1
6026 7322 1
5673 8501 1
5802 8505 1
6026 7324 1
6015 8336 1
5751 8512 1
5962 8513 1
5878 7219 1
5966 7493 1
5886 8515 1
5323 7454 1
6025 7221 1
6026 7326 1
6029 8544 1
5611 8545 1
283 8546 1
828 8556 1
973 8558 1
4263 7154 1
6008 6569 1
6015 8029 1
5991 7843 1
5909 8562 1
6023 6059 1
6026 6506 1
5589 7855 1
4445 8321 1
6030 6212 1
5739 8577 1
5765 7556 1
5936 8016 1
6030 6251 1
5796 8584 1
5749 6544 1
6013 7206 1
5658 8599 1
5938 8498 1
6025 8002 1
5944 8286 1
6026 8003 1
5628 8615 1
5228 8616 1
320 8621 1
5751 8585 1
5968 6551 1
6006 8227 1
5844 6787 1
6026 6295 1
6000 7117 1
6004 6148 1
6026 6923 1
6026 8638 1
5595 8541 1
5939 8028 1
239 8644 1
5484 7758 1
6025 8038 1
6030 8645 1
6020 6556 1
5844 8653 1
6016 6416 1
5944 6612 1
4581 8662 1
5919 7975 1
5962 6311 1
6030 6866 1
5739 8667 1
1094 8675 1
6026 6234 1
5982 7977 1
6026 6969 1
5944 6501 1
6026 8683 1
6015 7716 1
5802 8619 1
6024 7489 1
6015 6239 1
5383 8114 1
5864 8690 1
6030 7251 1
6014 6267 1
6006 6802 1
5979 6329 1
5868 8054 1
5944 6567 1
5745 8707 1
5990 7153 1
6028 6330 1
6006 6178 1
5954 7327 1
5309 8717 1
5951 7631 1
6021 7460 1
5946 7632 1
5546 8440 1
6004 6572 1
5964 7981 1
6026 7173 1
6006 6335 1
6000 6461 1
5753 8720 1
5886 6685 1
5990 7463 1
5928 6763 1
6030 8007 1
6025 7228 1
5520 8652 1
5946 7243 1
6017 6202 1
6015 7159 1
6013 7096 1
6023 6083 1
6009 7062 1
6002 8295 1
5944 6186 1
5870 8709 1
5044 8726 1
5984 8728 1
5785 8173 1
6026 8634 1
5900 8731 1
5783 8734 1
5101 8010 1
4263 7602 1
5852 6225 1
41 8745 1
65 8746 1
321 8747 1
4537 8750 1
281 8751 1
1131 8753 1
414 8754 1
87 8755 1
745 8756 1
421 8757 1
74 8759 1
6025 8090 1
1121 8761 1
6015 7759 1
5613 7976 1
4635 8316 1
5990 7452 1
5357 8766 1
5917 6560 1
6006 7782 1
5175 8344 1
5844 8661 1
5993 6797 1
6006 8612 1
6025 7453 1
5990 7979 1
6000 6618 1
5848 6423 1
5633 8783 1
5785 7980 1
5383 8784 1
5917 8803 1
6016 8337 1
5997 8115 1
5956 7457 1
6025 7222 1
2917 8805 1
5951 7459 1
6006 7329 1
5870 8806 1
6009 6683 1
6026 6334 1
5870 7821 1
5802 7461 1
5944 7586 1
28 8814 1
6025 6394 1
5966 7226 1
6026 6735 1
5208 8818 1
5626 8387 1
5847 8613 1
5838 6508 1
6015 7158 1
5988 7331 1
5666 7909 1
6026 6818 1
5951 7465 1
5101 8823 1
5778 7230 1
5986 7336 1
5968 6820 1
5483 8708 1
6030 6084 1
5777 8824 1
6013 6085 1
4155 8595 1
6026 7834 1
5951 8841 1
5785 8635 1
5944 7648 1
5458 6224 1
6025 7085 1
5871 8816 1
6006 7162 1
5296 8730 1
5778 8845 1
6006 6836 1
5604 8848 1
5898 6773 1
5968 7044 1
6026 7986 1
200 8851 1
5890 7605 1
5672 8856 1
6013 8096 1
6025 6206 1
6002 6400 1
5954 7344 1
5330 8235 1
5841 8860 1
6008 6697 1
5292 7636 1
4271 6842 1
6026 8710 1
5802 8861 1
6013 7068 1
5868 8324 1
6015 7238 1
5803 8236 1
5990 7104 1
6030 8863 1
5384 6527 1
6006 7165 1
5745 8033 1
5802 6847 1
6006 6680 1
5991 6122 1
6013 7647 1
5626 6505 1
5990 8593 1
5595 8869 1
6003 6210 1
5978 7774 1
6030 8320 1
6025 7224 1
5769 8875 1
5862 7856 1
5963 7895 1
6000 8594 1
5878 7610 1
6025 7227 1
6000 8293 1
5986 6813 1
5977 8365 1
6020 8679 1
5946 6342 1
5777 7335 1
5782 7710 1
6006 8416 1
6009 6252 1
3899 8294 1
