1364 1850
0 464 1
1 465 1
2 466 1
3 467 1
4 468 1
5 468 1
6 468 1
7 469 1
8 469 1
9 470 1
10 471 1
11 471 1
12 472 1
13 473 1
14 474 1
15 475 1
16 476 1
17 476 1
18 476 1
19 476 1
20 476 1
21 477 1
22 478 1
23 478 1
24 479 1
25 479 1
26 480 1
27 481 1
28 482 1
29 483 1
30 484 1
31 485 1
32 486 1
33 487 1
34 488 1
9 488 1
35 489 1
36 489 1
37 489 1
38 489 1
39 489 1
40 489 1
41 489 1
42 489 1
43 489 1
44 490 1
45 491 1
46 492 1
47 493 1
48 494 1
49 494 1
50 494 1
51 495 1
52 495 1
53 496 1
37 496 1
54 497 1
48 497 1
55 498 1
56 499 1
57 499 1
58 499 1
59 500 1
60 500 1
61 500 1
62 500 1
63 500 1
64 501 1
65 502 1
66 502 1
67 503 1
68 504 1
69 505 1
70 506 1
2 506 1
71 506 1
72 506 1
73 506 1
74 506 1
75 507 1
15 508 1
11 508 1
76 509 1
77 510 1
78 510 1
79 511 1
71 511 1
80 511 1
81 512 1
40 513 1
82 514 1
62 515 1
83 516 1
84 517 1
85 518 1
86 518 1
87 518 1
88 519 1
23 520 1
89 521 1
75 522 1
90 523 1
91 524 1
92 525 1
93 526 1
94 527 1
95 528 1
33 529 1
96 530 1
69 531 1
97 532 1
98 533 1
99 534 1
53 535 1
100 536 1
84 537 1
101 538 1
102 539 1
103 539 1
104 539 1
22 540 1
67 541 1
9 541 1
3 542 1
105 543 1
106 543 1
107 544 1
108 544 1
109 544 1
110 544 1
111 544 1
79 545 1
112 545 1
74 545 1
113 546 1
114 546 1
115 546 1
116 547 1
15 548 1
12 548 1
117 549 1
44 550 1
118 550 1
96 551 1
119 551 1
120 551 1
121 551 1
122 551 1
123 552 1
124 552 1
0 553 1
125 553 1
32 554 1
46 555 1
126 556 1
94 556 1
12 556 1
127 556 1
128 557 1
129 558 1
130 559 1
22 559 1
131 559 1
132 560 1
25 560 1
133 561 1
134 562 1
13 562 1
135 562 1
136 562 1
137 563 1
138 563 1
139 564 1
41 565 1
77 566 1
86 566 1
119 566 1
140 566 1
141 566 1
142 567 1
122 568 1
143 569 1
144 569 1
145 569 1
146 570 1
147 571 1
148 572 1
107 573 1
149 573 1
150 574 1
38 575 1
151 576 1
141 576 1
152 577 1
93 577 1
97 577 1
153 577 1
98 577 1
60 577 1
114 577 1
154 578 1
2 578 1
64 578 1
86 579 1
16 580 1
155 580 1
21 581 1
156 581 1
157 582 1
158 582 1
159 582 1
6 582 1
160 582 1
133 582 1
46 583 1
117 583 1
161 583 1
162 583 1
135 583 1
163 583 1
11 583 1
56 583 1
17 583 1
54 583 1
22 583 1
45 583 1
120 583 1
3 583 1
164 583 1
145 583 1
74 583 1
165 583 1
166 583 1
92 584 1
15 585 1
167 586 1
168 587 1
34 588 1
162 588 1
169 589 1
170 590 1
171 591 1
44 592 1
172 592 1
48 593 1
173 593 1
145 593 1
131 593 1
157 594 1
158 594 1
174 594 1
52 595 1
175 595 1
22 595 1
176 595 1
113 595 1
114 595 1
137 596 1
177 596 1
178 596 1
98 596 1
60 596 1
179 596 1
80 597 1
106 597 1
167 598 1
68 599 1
75 600 1
106 601 1
3 602 1
180 603 1
181 604 1
107 604 1
79 604 1
182 604 1
183 604 1
184 604 1
185 604 1
77 604 1
50 604 1
15 604 1
96 604 1
71 604 1
186 604 1
135 604 1
187 604 1
72 604 1
188 604 1
94 604 1
80 604 1
189 604 1
190 604 1
175 604 1
191 604 1
5 604 1
7 604 1
172 604 1
22 604 1
192 604 1
193 604 1
194 604 1
195 604 1
124 604 1
196 604 1
88 604 1
197 604 1
145 604 1
198 604 1
122 604 1
199 604 1
107 605 1
200 605 1
201 605 1
202 605 1
30 605 1
195 606 1
93 607 1
200 608 1
75 609 1
56 610 1
203 611 1
204 611 1
205 612 1
206 613 1
207 613 1
106 613 1
208 614 1
209 614 1
41 614 1
210 615 1
62 615 1
211 616 1
24 616 1
71 616 1
212 616 1
213 616 1
192 616 1
150 616 1
195 616 1
214 617 1
157 617 1
215 617 1
186 617 1
97 617 1
119 617 1
191 617 1
170 617 1
76 617 1
114 617 1
216 617 1
217 617 1
196 617 1
122 617 1
28 617 1
218 618 1
186 619 1
105 619 1
219 619 1
220 619 1
76 619 1
221 619 1
212 620 1
222 621 1
223 622 1
159 623 1
224 623 1
225 623 1
226 623 1
227 624 1
18 625 1
15 625 1
39 625 1
1 626 1
111 627 1
8 628 1
228 629 1
126 630 1
203 630 1
68 630 1
31 630 1
48 631 1
52 631 1
229 631 1
34 632 1
230 632 1
96 632 1
81 632 1
52 632 1
66 632 1
231 632 1
190 632 1
2 632 1
192 632 1
150 632 1
114 632 1
195 632 1
144 632 1
64 632 1
92 632 1
232 633 1
113 634 1
233 635 1
162 636 1
26 636 1
213 636 1
109 636 1
151 636 1
113 636 1
234 636 1
235 637 1
53 637 1
0 637 1
57 638 1
26 638 1
236 638 1
237 638 1
106 638 1
23 639 1
238 640 1
54 640 1
139 641 1
133 642 1
18 643 1
239 643 1
222 643 1
240 644 1
129 645 1
72 646 1
241 646 1
242 646 1
13 647 1
243 648 1
181 649 1
111 650 1
244 651 1
137 652 1
245 652 1
178 653 1
42 653 1
95 654 1
186 655 1
44 655 1
246 655 1
247 655 1
248 655 1
249 655 1
39 655 1
74 655 1
196 656 1
180 657 1
250 657 1
251 658 1
252 659 1
107 660 1
253 661 1
142 662 1
132 663 1
254 663 1
82 664 1
92 665 1
204 665 1
16 666 1
255 666 1
167 667 1
196 667 1
225 668 1
256 669 1
107 669 1
134 669 1
149 669 1
184 669 1
257 669 1
258 669 1
259 669 1
260 669 1
261 669 1
262 669 1
263 669 1
264 669 1
265 669 1
266 669 1
112 669 1
210 669 1
267 669 1
232 669 1
268 669 1
228 669 1
186 669 1
269 669 1
270 669 1
271 669 1
97 669 1
272 669 1
273 669 1
274 669 1
275 669 1
276 669 1
277 669 1
278 669 1
279 669 1
280 669 1
281 669 1
235 669 1
282 669 1
108 669 1
283 669 1
284 669 1
285 669 1
10 669 1
246 669 1
255 669 1
189 669 1
109 669 1
110 669 1
130 669 1
249 669 1
286 669 1
5 669 1
287 669 1
288 669 1
148 669 1
289 669 1
0 669 1
290 669 1
104 669 1
291 669 1
193 669 1
292 669 1
293 669 1
294 669 1
253 669 1
150 669 1
295 669 1
296 669 1
297 669 1
51 669 1
216 669 1
234 669 1
298 669 1
299 669 1
300 669 1
88 669 1
125 669 1
121 669 1
166 669 1
28 669 1
179 669 1
301 669 1
52 670 1
9 671 1
37 672 1
302 673 1
222 674 1
149 675 1
173 675 1
303 676 1
67 676 1
42 676 1
174 677 1
266 678 1
2 678 1
144 679 1
184 680 1
38 681 1
304 682 1
82 682 1
211 683 1
172 683 1
226 683 1
93 684 1
304 685 1
186 685 1
76 685 1
121 685 1
305 685 1
204 685 1
184 686 1
191 686 1
306 686 1
109 687 1
2 688 1
307 688 1
308 689 1
23 690 1
309 691 1
146 691 1
107 692 1
86 692 1
17 692 1
310 693 1
80 693 1
94 694 1
311 695 1
58 695 1
2 696 1
226 696 1
7 697 1
259 698 1
306 698 1
132 699 1
67 700 1
291 701 1
312 702 1
159 702 1
67 702 1
129 702 1
