5483 35071
0 926 1
1 927 1
2 927 1
3 927 1
4 927 1
5 927 1
6 927 1
7 927 1
1 928 1
8 929 1
9 929 1
10 929 1
11 929 1
12 929 1
13 929 1
14 929 1
15 929 1
16 929 1
17 929 1
18 929 1
19 929 1
20 929 1
21 930 1
22 930 1
23 931 1
24 932 1
25 932 1
6 932 1
26 932 1
27 932 1
28 932 1
29 932 1
30 932 1
31 933 1
32 934 1
33 935 1
34 936 1
35 937 1
36 938 1
9 939 1
37 939 1
38 939 1
33 939 1
25 940 1
39 940 1
40 940 1
41 941 1
42 942 1
43 942 1
44 942 1
45 942 1
46 943 1
47 943 1
26 943 1
48 943 1
49 943 1
50 943 1
51 943 1
52 943 1
53 943 1
54 944 1
45 944 1
55 945 1
56 945 1
57 945 1
58 945 1
59 945 1
60 945 1
41 945 1
61 945 1
62 945 1
63 946 1
64 946 1
26 947 1
65 947 1
66 947 1
67 948 1
1 948 1
68 948 1
69 948 1
0 949 1
70 949 1
71 950 1
6 950 1
72 950 1
73 950 1
74 950 1
75 950 1
76 950 1
77 950 1
78 951 1
9 951 1
79 951 1
12 951 1
80 951 1
24 952 1
81 952 1
46 952 1
82 952 1
6 952 1
26 952 1
83 952 1
49 952 1
84 952 1
3 952 1
85 952 1
5 952 1
86 952 1
87 952 1
88 952 1
89 952 1
22 952 1
90 952 1
24 953 1
91 953 1
6 953 1
92 953 1
26 953 1
93 953 1
83 953 1
94 953 1
79 953 1
95 953 1
96 953 1
97 953 1
85 953 1
98 953 1
99 953 1
24 954 1
46 954 1
91 954 1
100 954 1
96 954 1
50 954 1
75 955 1
56 956 1
101 956 1
54 957 1
102 957 1
103 957 1
24 958 1
26 959 1
104 960 1
6 960 1
105 960 1
106 960 1
107 960 1
108 960 1
109 960 1
110 960 1
111 960 1
112 960 1
27 960 1
113 960 1
114 960 1
115 960 1
116 960 1
117 960 1
118 960 1
76 960 1
119 960 1
61 960 1
120 961 1
121 961 1
122 961 1
94 962 1
110 963 1
38 963 1
35 963 1
123 963 1
124 963 1
125 963 1
22 963 1
5 964 1
50 964 1
126 965 1
127 966 1
26 966 1
128 966 1
66 966 1
129 966 1
29 966 1
130 966 1
131 966 1
132 966 1
133 966 1
134 966 1
135 966 1
136 966 1
137 966 1
83 966 1
23 966 1
138 966 1
107 966 1
139 966 1
140 966 1
141 966 1
142 966 1
7 966 1
143 967 1
96 968 1
13 968 1
78 969 1
144 969 1
91 970 1
26 970 1
49 970 1
96 970 1
29 970 1
6 970 1
145 970 1
141 970 1
146 970 1
147 970 1
26 971 1
27 971 1
148 971 1
24 971 1
149 971 1
94 971 1
79 971 1
150 971 1
151 971 1
152 971 1
153 971 1
7 971 1
116 971 1
32 971 1
63 972 1
54 972 1
154 972 1
155 973 1
156 974 1
26 974 1
65 974 1
157 974 1
158 974 1
56 974 1
159 974 1
160 974 1
161 974 1
29 974 1
148 974 1
162 974 1
163 974 1
123 974 1
1 974 1
164 974 1
165 974 1
83 974 1
23 974 1
166 974 1
167 974 1
84 974 1
138 974 1
168 974 1
5 974 1
169 974 1
116 974 1
89 974 1
32 974 1
170 974 1
35 975 1
24 975 1
171 975 1
172 976 1
173 977 1
38 977 1
75 978 1
24 978 1
83 978 1
5 978 1
174 979 1
79 979 1
7 980 1
175 981 1
173 982 1
176 982 1
33 982 1
141 982 1
177 982 1
178 983 1
179 983 1
6 983 1
180 984 1
181 984 1
35 984 1
182 984 1
183 984 1
184 985 1
96 986 1
185 986 1
186 986 1
15 986 1
187 986 1
188 986 1
189 986 1
190 986 1
76 987 1
26 988 1
123 988 1
1 988 1
152 988 1
191 989 1
26 990 1
192 990 1
193 991 1
194 991 1
24 992 1
195 992 1
196 993 1
178 993 1
197 993 1
138 993 1
198 993 1
73 994 1
96 994 1
143 994 1
116 994 1
199 995 1
54 995 1
38 995 1
130 995 1
182 995 1
200 995 1
201 995 1
22 995 1
202 996 1
38 996 1
203 996 1
204 997 1
127 998 1
96 998 1
205 999 1
26 999 1
65 999 1
27 999 1
76 999 1
104 999 1
24 999 1
206 999 1
123 999 1
84 999 1
168 999 1
85 999 1
5 999 1
32 999 1
200 1000 1
207 1000 1
41 1001 1
208 1001 1
65 1002 1
27 1002 1
209 1002 1
1 1002 1
36 1002 1
210 1002 1
173 1003 1
211 1004 1
35 1004 1
79 1005 1
205 1006 1
212 1006 1
158 1006 1
86 1006 1
29 1006 1
24 1006 1
67 1006 1
213 1006 1
206 1006 1
1 1006 1
214 1006 1
94 1006 1
68 1006 1
3 1006 1
5 1006 1
152 1006 1
116 1006 1
89 1006 1
154 1007 1
12 1008 1
164 1008 1
138 1008 1
215 1009 1
64 1009 1
78 1009 1
216 1010 1
38 1011 1
217 1011 1
218 1012 1
219 1012 1
220 1012 1
73 1012 1
221 1012 1
222 1012 1
223 1012 1
224 1012 1
225 1012 1
203 1012 1
226 1012 1
96 1013 1
191 1013 1
116 1013 1
26 1014 1
1 1014 1
227 1015 1
26 1015 1
65 1015 1
228 1015 1
49 1015 1
73 1015 1
229 1015 1
2 1015 1
112 1015 1
194 1015 1
230 1015 1
87 1015 1
16 1015 1
222 1015 1
69 1015 1
231 1015 1
76 1015 1
61 1015 1
232 1015 1
1 1015 1
233 1015 1
84 1015 1
168 1015 1
3 1015 1
13 1015 1
234 1015 1
208 1015 1
235 1015 1
236 1015 1
4 1016 1
68 1016 1
237 1017 1
10 1017 1
7 1017 1
238 1018 1
163 1018 1
139 1018 1
13 1018 1
239 1018 1
240 1019 1
241 1019 1
242 1019 1
243 1019 1
244 1020 1
198 1020 1
53 1020 1
245 1021 1
63 1021 1
46 1021 1
246 1021 1
247 1021 1
127 1021 1
92 1021 1
17 1021 1
49 1021 1
66 1021 1
178 1021 1
229 1021 1
248 1021 1
249 1021 1
78 1021 1
24 1021 1
10 1021 1
15 1021 1
250 1021 1
251 1021 1
50 1021 1
96 1022 1
229 1023 1
0 1023 1
159 1023 1
35 1023 1
252 1024 1
26 1025 1
49 1025 1
212 1025 1
16 1025 1
253 1025 1
93 1025 1
254 1025 1
89 1025 1
255 1026 1
127 1026 1
0 1027 1
179 1027 1
79 1027 1
139 1027 1
219 1028 1
220 1028 1
256 1028 1
1 1028 1
166 1028 1
143 1028 1
32 1028 1
65 1029 1
158 1029 1
187 1029 1
214 1029 1
26 1030 1
257 1030 1
96 1031 1
64 1032 1
26 1032 1
212 1032 1
33 1032 1
69 1032 1
24 1032 1
258 1032 1
187 1032 1
83 1032 1
139 1032 1
34 1032 1
143 1032 1
5 1032 1
259 1032 1
234 1032 1
113 1032 1
89 1032 1
32 1032 1
260 1032 1
261 1033 1
180 1034 1
262 1034 1
54 1034 1
27 1034 1
33 1034 1
222 1034 1
69 1034 1
154 1034 1
41 1034 1
263 1034 1
264 1034 1
265 1034 1
182 1034 1
266 1034 1
102 1034 1
149 1034 1
103 1034 1
125 1034 1
267 1034 1
141 1034 1
268 1034 1
252 1034 1
177 1034 1
116 1034 1
173 1035 1
38 1035 1
269 1035 1
99 1035 1
78 1035 1
24 1035 1
270 1035 1
256 1035 1
271 1035 1
136 1035 1
214 1035 1
94 1035 1
95 1035 1
84 1035 1
272 1035 1
139 1035 1
13 1035 1
273 1035 1
274 1035 1
142 1035 1
152 1035 1
80 1035 1
127 1036 1
179 1036 1
87 1036 1
24 1036 1
84 1036 1
85 1036 1
80 1036 1
275 1037 1
276 1037 1
96 1037 1
277 1037 1
278 1037 1
279 1037 1
20 1037 1
9 1037 1
280 1037 1
186 1037 1
281 1037 1
79 1037 1
282 1037 1
107 1037 1
109 1037 1
139 1037 1
283 1037 1
284 1037 1
285 1037 1
286 1037 1
62 1037 1
287 1038 1
22 1038 1
288 1039 1
9 1040 1
149 1040 1
89 1040 1
289 1041 1
73 1041 1
61 1041 1
290 1041 1
