8793 36230
0 2753 1
0 2776 1
0 2791 1
0 2806 1
0 2840 1
0 2841 1
0 2847 1
0 2856 1
0 2859 1
0 2861 1
0 2872 1
0 2907 1
0 2932 1
0 2958 1
0 2988 1
0 3017 1
0 3039 1
0 3044 1
0 3049 1
0 3067 1
0 3084 1
0 3086 1
0 3091 1
0 3107 1
0 3109 1
0 3113 1
0 3192 1
0 3225 1
0 3498 1
0 3523 1
0 3593 1
0 3863 1
0 4373 1
0 4494 1
0 4644 1
0 4663 1
0 5027 1
0 5097 1
0 5222 1
0 5294 1
0 5336 1
0 5398 1
0 5425 1
0 5514 1
0 5531 1
0 5898 1
0 5920 1
0 5967 1
0 5974 1
0 5997 1
0 6107 1
0 6121 1
0 6240 1
0 6244 1
0 6275 1
0 6537 1
0 6651 1
0 6711 1
0 6716 1
0 6877 1
0 7034 1
0 7176 1
0 7194 1
0 7215 1
0 7265 1
0 7316 1
0 7402 1
0 7539 1
0 7577 1
0 7600 1
0 7665 1
0 7687 1
0 7743 1
0 7809 1
0 7832 1
0 7907 1
0 7920 1
0 7927 1
0 7937 1
0 7958 1
0 7976 1
0 8005 1
0 8063 1
0 8229 1
0 8293 1
0 8329 1
0 8447 1
0 8495 1
0 8611 1
0 8785 1
1 2753 1
1 2818 1
1 3131 1
1 3929 1
1 4089 1
1 4267 1
1 4600 1
1 4780 1
1 4880 1
1 4914 1
1 5143 1
1 6895 1
1 8136 1
1 8212 1
2 2753 1
2 3741 1
2 4440 1
2 5116 1
2 5194 1
2 5467 1
2 5772 1
2 6112 1
2 6231 1
2 6281 1
2 6401 1
2 6419 1
2 6712 1
2 6918 1
2 6960 1
2 7194 1
2 7219 1
2 7452 1
2 7611 1
2 7725 1
2 7757 1
2 7786 1
2 7796 1
2 7953 1
2 8029 1
2 8163 1
2 8292 1
2 8387 1
2 8435 1
2 8743 1
3 2837 1
3 2952 1
3 3005 1
3 3175 1
3 3258 1
3 3527 1
3 3669 1
3 3672 1
3 3688 1
3 3778 1
3 3799 1
3 3882 1
3 3947 1
3 4002 1
3 4003 1
3 4071 1
3 4196 1
3 4280 1
3 4327 1
3 4508 1
3 4551 1
3 4681 1
3 4723 1
3 4739 1
3 4761 1
3 4792 1
3 4847 1
3 4954 1
3 4988 1
3 5080 1
3 5127 1
3 5144 1
3 5201 1
3 5216 1
3 5254 1
3 5260 1
3 5358 1
3 5472 1
3 5525 1
3 5580 1
3 5596 1
3 5616 1
3 5619 1
3 5677 1
3 5701 1
3 5702 1
3 5711 1
3 5775 1
3 5861 1
3 5884 1
3 5885 1
3 5901 1
3 5908 1
3 5929 1
3 5962 1
3 6049 1
3 6103 1
3 6131 1
3 6134 1
3 6144 1
3 6380 1
3 7073 1
3 7250 1
3 7285 1
3 7398 1
3 7400 1
3 7686 1
3 7875 1
3 7962 1
3 8056 1
3 8086 1
3 8125 1
3 8152 1
3 8207 1
3 8222 1
3 8248 1
3 8258 1
3 8338 1
3 8351 1
3 8354 1
3 8393 1
3 8396 1
3 8452 1
3 8466 1
3 8479 1
3 8550 1
3 8648 1
3 8672 1
3 8729 1
3 8746 1
3 8769 1
3 8776 1
4 2753 1
4 2768 1
4 2856 1
4 2911 1
4 2980 1
4 3070 1
4 3130 1
4 3233 1
4 3341 1
4 3731 1
4 4337 1
4 4471 1
4 5192 1
4 5636 1
4 6961 1
4 7090 1
4 7191 1
4 7299 1
4 7406 1
5 2753 1
5 2763 1
5 2780 1
5 2787 1
5 2789 1
5 2795 1
5 2820 1
5 2836 1
5 2843 1
5 2844 1
5 2848 1
5 2887 1
5 2899 1
5 2904 1
5 2949 1
5 2967 1
5 2969 1
5 2976 1
5 2989 1
5 2995 1
5 2996 1
5 3000 1
5 3001 1
5 3012 1
5 3015 1
5 3092 1
5 3094 1
5 3112 1
5 3131 1
5 3135 1
5 3148 1
5 3154 1
5 3579 1
5 3699 1
5 3749 1
5 4103 1
5 4434 1
5 4455 1
5 4582 1
5 4745 1
5 4935 1
5 5247 1
5 5392 1
5 5411 1
5 5658 1
5 5675 1
5 5775 1
5 5937 1
5 6137 1
5 6140 1
5 6169 1
5 6213 1
5 6446 1
5 6486 1
5 6502 1
5 6539 1
5 6540 1
