9214 30200
375 3174 1
248 3174 1
208 3174 1
85 3174 1
12 3174 1
426 3193 1
24 3193 1
195 3193 1
143 3193 1
110 3193 1
492 3236 1
1311 3236 1
1040 3236 1
1079 3236 1
29 3236 1
1761 3253 1
900 3253 1
40 3253 1
1096 3253 1
206 3253 1
910 3259 1
58 3259 1
54 3259 1
64 3259 1
63 3259 1
391 3323 1
248 3323 1
162 3323 1
76 3323 1
71 3323 1
915 3343 1
489 3343 1
511 3343 1
75 3343 1
110 3343 1
563 3350 1
94 3350 1
98 3350 1
97 3350 1
93 3350 1
107 3389 1
103 3389 1
896 3389 1
104 3389 1
101 3389 1
123 3413 1
499 3413 1
426 3413 1
121 3413 1
195 3413 1
641 3524 1
138 3524 1
511 3524 1
319 3524 1
206 3524 1
1229 3548 1
1580 3548 1
1049 3548 1
27 3548 1
653 3548 1
110 3554 1
747 3554 1
155 3554 1
154 3554 1
153 3554 1
1245 3578 1
52 3578 1
1000 3578 1
848 3578 1
546 3578 1
1069 3583 1
169 3583 1
837 3583 1
173 3583 1
426 3583 1
784 3618 1
246 3618 1
206 3618 1
248 3618 1
232 3618 1
375 3628 1
349 3628 1
192 3628 1
313 3628 1
195 3628 1
144 3673 1
155 3673 1
207 3673 1
206 3673 1
198 3673 1
221 3741 1
580 3741 1
69 3741 1
219 3741 1
218 3741 1
1289 3784 1
1049 3784 1
784 3784 1
226 3784 1
52 3784 1
666 3786 1
635 3786 1
319 3786 1
248 3786 1
228 3786 1
155 3791 1
245 3791 1
446 3791 1
69 3791 1
244 3791 1
257 3847 1
242 3847 1
258 3847 1
58 3847 1
256 3847 1
896 3899 1
843 3899 1
837 3899 1
155 3899 1
426 3899 1
12 3383 1
852 3383 1
493 3383 1
472 3383 1
85 3383 1
546 3917 1
287 3917 1
9 3917 1
46 3917 1
1 3917 1
1269 3992 1
295 3992 1
1202 3992 1
1039 3992 1
292 3992 1
540 4002 1
267 4002 1
122 4002 1
304 4002 1
228 4002 1
896 4014 1
155 4014 1
481 4014 1
446 4014 1
41 4014 1
933 3645 1
92 3645 1
896 3645 1
359 3645 1
183 3645 1
326 4031 1
1798 4031 1
153 4031 1
268 4031 1
1162 4031 1
72 3873 1
391 3873 1
335 3873 1
333 3873 1
248 3873 1
106 4050 1
78 4050 1
103 4050 1
343 4050 1
341 4050 1
391 3763 1
375 3763 1
208 3763 1
347 3763 1
198 3763 1
351 4124 1
489 4124 1
360 4124 1
359 4124 1
357 4124 1
363 3388 1
127 3388 1
85 3388 1
66 3388 1
362 3388 1
374 4193 1
372 4193 1
371 4193 1
369 4193 1
365 4193 1
351 4198 1
175 4198 1
55 4198 1
379 4198 1
378 4198 1
426 3260 1
381 3260 1
232 3260 1
76 3260 1
46 3260 1
207 4215 1
386 4215 1
1000 4215 1
385 4215 1
387 4215 1
1117 3267 1
67 3267 1
821 3267 1
493 3267 1
46 3267 1
395 3354 1
896 3354 1
398 3354 1
204 3354 1
85 3354 1
1741 4250 1
1564 4250 1
1408 4250 1
1275 4250 1
410 4250 1
762 3716 1
666 3716 1
363 3716 1
195 3716 1
1 3716 1
848 4276 1
784 4276 1
446 4276 1
416 4276 1
