7115 103690
0 1 0.01
0 2 0.01
0 3 0.01
0 4 0.01
0 5 0.01
6 7 0.01
6 0 0.01
6 8 0.01
6 9 0.01
6 10 0.01
6 11 0.01
6 12 0.01
6 13 0.01
6 14 0.01
6 15 0.01
6 16 0.01
6 17 0.01
6 18 0.01
6 19 0.01
6 20 0.01
6 21 0.01
6 22 0.01
6 23 0.01
6 24 0.01
6 25 0.01
6 26 0.01
6 27 0.01
6 28 0.01
29 6 0.01
29 30 0.01
29 31 0.01
29 32 0.01
29 33 0.01
29 7 0.01
29 34 0.01
29 0 0.01
29 35 0.01
29 36 0.01
29 37 0.01
29 9 0.01
29 38 0.01
29 39 0.01
29 40 0.01
29 41 0.01
29 42 0.01
29 43 0.01
29 11 0.01
29 44 0.01
29 13 0.01
29 45 0.01
29 14 0.01
29 46 0.01
29 47 0.01
29 48 0.01
29 49 0.01
29 50 0.01
29 51 0.01
29 52 0.01
29 15 0.01
29 53 0.01
29 54 0.01
29 55 0.01
29 16 0.01
29 56 0.01
29 17 0.01
29 57 0.01
29 58 0.01
29 59 0.01
29 60 0.01
29 61 0.01
29 62 0.01
29 63 0.01
29 18 0.01
29 19 0.01
29 64 0.01
29 65 0.01
29 66 0.01
29 67 0.01
29 20 0.01
29 68 0.01
29 69 0.01
29 70 0.01
29 71 0.01
29 72 0.01
29 73 0.01
29 74 0.01
29 75 0.01
29 76 0.01
29 77 0.01
29 78 0.01
29 79 0.01
29 80 0.01
29 25 0.01
29 81 0.01
29 82 0.01
29 26 0.01
29 27 0.01
29 83 0.01
29 84 0.01
29 85 0.01
29 86 0.01
29 87 0.01
29 88 0.01
29 89 0.01
29 90 0.01
29 91 0.01
29 92 0.01
29 93 0.01
29 94 0.01
29 95 0.01
29 96 0.01
29 97 0.01
29 98 0.01
29 99 0.01
29 100 0.01
29 101 0.01
29 102 0.01
29 103 0.01
104 31 0.01
104 105 0.01
104 7 0.01
104 0 0.01
104 106 0.01
104 38 0.01
104 107 0.01
104 39 0.01
104 108 0.01
104 109 0.01
104 110 0.01
104 111 0.01
104 11 0.01
104 14 0.01
104 112 0.01
104 113 0.01
104 55 0.01
104 56 0.01
104 114 0.01
104 66 0.01
104 67 0.01
104 72 0.01
104 80 0.01
104 115 0.01
104 27 0.01
104 83 0.01
104 84 0.01
104 85 0.01
104 102 0.01
116 30 0.01
116 31 0.01
116 105 0.01
116 33 0.01
116 0 0.01
116 35 0.01
116 106 0.01
116 37 0.01
116 9 0.01
116 38 0.01
116 117 0.01
116 39 0.01
116 118 0.01
116 119 0.01
116 43 0.01
116 108 0.01
116 110 0.01
116 120 0.01
116 121 0.01
116 122 0.01
116 123 0.01
116 124 0.01
116 56 0.01
30 6 0.01
30 31 0.01
30 105 0.01
30 32 0.01
30 33 0.01
30 7 0.01
30 34 0.01
30 0 0.01
30 35 0.01
30 125 0.01
30 36 0.01
30 106 0.01
30 8 0.01
30 37 0.01
30 9 0.01
30 38 0.01
30 107 0.01
30 117 0.01
30 40 0.01
30 41 0.01
30 118 0.01
30 119 0.01
30 42 0.01
30 43 0.01
30 108 0.01
30 126 0.01
30 127 0.01
30 109 0.01
30 110 0.01
30 111 0.01
30 120 0.01
30 44 0.01
30 121 0.01
30 122 0.01
30 123 0.01
30 128 0.01
30 124 0.01
30 12 0.01
30 13 0.01
30 129 0.01
30 130 0.01
30 131 0.01
30 47 0.01
30 132 0.01
30 133 0.01
30 112 0.01
30 134 0.01
30 113 0.01
30 135 0.01
30 49 0.01
30 51 0.01
30 136 0.01
30 137 0.01
30 52 0.01
30 15 0.01
30 53 0.01
30 138 0.01
30 54 0.01
30 139 0.01
30 16 0.01
30 140 0.01
30 141 0.01
30 56 0.01
30 17 0.01
30 142 0.01
30 143 0.01
30 58 0.01
30 144 0.01
