(10, 498.863)
(11, 527.965)
(12, 567.898)
(13, 602.166)
(14, 635.768)
(15, 665.351)
(16, 698.337)
(17, 727.994)
(18, 758.883)
(19, 790.203)
(20, 819.105)
(21, 850.964)
(1, 106.033)
(1, 106.965)
(2, 157.628)
(3, 209.061)
(4, 261.53)
(5, 301.341)
(6, 345.079)
(7, 385.375)
(8, 424.635)
(9, 466.664)
(10, 499.855)
(11, 523.557)
(12, 565.995)
(13, 601.025)
(14, 635.735)
(15, 664.509)
(16, 698.064)
(17, 739.054)
(18, 757.935)
(19, 792.953)
(20, 813.945)
(21, 844.907)
(22, 885.984)
(1, 105.827)
(2, 155.254)
(3, 212.505)
(4, 254.877)
(5, 299.379)
(6, 345.257)
(7, 384.694)
(8, 434.088)
(9, 461.749)
(10, 491.909)
(11, 532.294)
(12, 568.476)
(13, 604.056)
(14, 633.276)
(15, 657.159)
(16, 695.837)
(17, 737.931)
(18, 763.581)
(19, 784.269)
(20, 807.643)
(21, 845.763)
(22, 870.771)
